Assembly No,Constituency No,Year,month,DelimID,Poll No,Position,Candidate,Sex,Party,Votes,Age of Winner,Average Age of Contestants,Candidate Type,No. of Valid Votes Casted,No. of Electors,Select Constituency,Constituency Type,District,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,No. of Terms Held by Winner,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,No. of Turncoat,% of Turncoats,Incumbent,Recontest,No. of Recontests,% of Recontests,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc
13,43,2019,10,4,0,5,NOTA,,NOTA,1769,,51.8181818181818,,191974,289657,Morshi,GEN,Amravati,Vidarbha,11,66.28,0.92,,986,0.51,2.22,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0909090909090909,,,,,
13,44,2019,10,4,0,6,NOTA,,NOTA,1416,,43.3,,176929,262594,Arvi,GEN,Wardha,Vidarbha,10,67.38,0.8,,405,0.23,2.38,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.2,,,,,
13,45,2019,10,4,0,9,NOTA,,NOTA,1002,,42.6428571428571,,175033,275460,Deoli,GEN,Wardha,Vidarbha,14,63.54,0.57,,73,0.04,3.7,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.142857142857143,,,,,
13,46,2019,10,4,0,8,NOTA,,NOTA,1764,,49.1538461538462,,192412,296130,Hinganghat,GEN,Wardha,Vidarbha,13,64.98,0.92,,562,0.29,2.7,,NOTA,5897,True,,,,,,,,,0,0,,,3,0.230769230769231,,,,,
13,47,2019,10,4,0,5,NOTA,,NOTA,2729,,48.1,,169363,316641,Wardha,GEN,Wardha,Vidarbha,10,53.49,1.61,,882,0.52,2.5,,NOTA,5897,True,,,,,,,,,0,0,,,3,0.3,,,,,
13,48,2019,10,4,0,4,NOTA,,NOTA,2004,,48.7,,190017,272288,Katol,GEN,Nagpur,Vidarbha,10,69.79,1.05,,638,0.34,2.27,,NOTA,5897,True,,,,,,,,,1,0.1,,,1,0.1,,,,,
13,49,2019,10,4,0,5,NOTA,,NOTA,1819,,50.75,,211672,311018,Savner,GEN,Nagpur,Vidarbha,8,68.06,0.86,,1154,0.55,2.17,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.25,,,,,
13,50,2019,10,4,0,5,NOTA,,NOTA,2256,,41.1666666666667,,226866,376915,Hingna,GEN,Nagpur,Vidarbha,12,60.19,0.99,,1231,0.54,2.5,,NOTA,5897,True,,,,,,,,,1,0.0833333333333333,,,1,0.0833333333333333,,,,,
13,51,2019,10,4,0,6,NOTA,,NOTA,1724,,45,,197658,284768,Umred (SC),SC,Nagpur,Vidarbha,11,69.41,0.87,,772,0.39,2.7,,NOTA,5897,True,,,,,,,,,0,0,,,3,0.272727272727273,,,,,
13,52,2019,10,4,0,5,NOTA,,NOTA,3064,,46.75,,192118,384355,Nagpur South West,GEN,Nagpur,Vidarbha,20,49.98,1.59,,1939,1.01,2.38,,NOTA,5897,True,,,,,,,,,1,0.05,,,2,0.1,,,,,
13,53,2019,10,4,0,8,NOTA,,NOTA,2353,,46.4117647058824,,193366,382493,Nagpur South,GEN,Nagpur,Vidarbha,17,50.55,1.22,,2031,1.05,2.78,,NOTA,5897,True,,,,,,,,,0,0,,,0,0,,,,,
13,54,2019,10,4,0,5,NOTA,,NOTA,3460,,46.625,,198641,371967,Nagpur East,GEN,Nagpur,Vidarbha,8,53.4,1.74,,2925,1.47,2.33,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.125,,,,,
13,55,2019,10,4,0,4,NOTA,,NOTA,2149,,41.9230769230769,,163238,324233,Nagpur Central,GEN,Nagpur,Vidarbha,13,50.35,1.32,,178,0.11,2.44,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0769230769230769,,,,,
13,56,2019,10,4,0,4,NOTA,,NOTA,3717,,45.9166666666667,,178469,362539,Nagpur West,GEN,Nagpur,Vidarbha,12,49.23,2.08,,1516,0.85,2.44,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.166666666666667,,,,,
13,57,2019,10,4,0,6,NOTA,,NOTA,1986,,43.5714285714286,,195771,384742,Nagpur North (SC),SC,Nagpur,Vidarbha,14,50.88,1.01,,1297,0.66,3.12,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.142857142857143,,,,,
