Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,No. of Valid Votes Casted,No. of Registered Electors,Select Constituency,District,Constituency Type,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No. of Terms Held by Winner,Turncoat,No. of Turncoat Candidates,% of Candidates Turncoat,Incumbent,Recontest,No. of Recontesting Candidates,% of Candidates Recontesting,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
16,1,2014,4,0,4,1,DR.GAVIT HEENA VIJAYKUMAR,F,BJP,579486,ST,1116676,1672943,Nandurbar (ST),Dhule,ST,,9,66.75,51.89,no,106905,9.57,2.22,GEMH15451,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,11.1111111111111,Graduate Professional,Liberal Profession or Professional,Doctor,,,
16,1,2014,4,0,4,1,DR.GAVIT HEENA VIJAYKUMAR,F,BJP,579486,ST,1116676,1672943,Nandurbar (ST),Nandurbar,ST,,9,66.75,51.89,no,106905,9.57,2.22,GEMH15451,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,11.1111111111111,Graduate Professional,Liberal Profession or Professional,Doctor,,,
16,2,2014,4,0,4,1,DR. BHAMRE SUBHASH RAMRAO,M,BJP,529450,GEN,983083,1675367,Dhule,Dhule,GEN,,19,58.68,53.86,no,130723,13.3,2.22,AEMH92726,National Party,1605,True,1,,,,,,1,False,0,0,False,False,4,21.0526315789474,Post Graduate,Liberal Profession or Professional,Doctor,,,
16,2,2014,4,0,4,1,DR. BHAMRE SUBHASH RAMRAO,M,BJP,529450,GEN,983083,1675367,Dhule,Nashik,GEN,,19,58.68,53.86,no,130723,13.3,2.22,AEMH92726,National Party,1605,True,1,,,,,,1,False,0,0,False,False,4,21.0526315789474,Post Graduate,Liberal Profession or Professional,Doctor,,,
16,3,2014,4,0,4,1,A.T. NANA PATIL,M,BJP,647773,GEN,990332,1707969,Jalgaon,Jalgaon,GEN,,20,57.98,65.41,no,383525,38.73,2,GEMH6754,National Party,1605,True,2,BJP,1605,JALGAON,1,1,2,False,0,0,True,True,1,5,Graduate,Business,,Agriculture,,
16,4,2014,4,0,4,1,KHADASE RAKSHA NIKHIL,F,BJP,605452,GEN,1009213,1593389,Raver,Buldhana,GEN,,23,63.34,59.99,no,318068,31.52,2.27,GEMH6815,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,4.34782608695652,Graduate,Business,,Agriculture,,
16,4,2014,4,0,4,1,KHADASE RAKSHA NIKHIL,F,BJP,605452,GEN,1009213,1593389,Raver,Jalgaon,GEN,,23,63.34,59.99,no,318068,31.52,2.27,GEMH6815,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,4.34782608695652,Graduate,Business,,Agriculture,,
16,5,2014,4,0,4,1,JADHAV PRATAPRAO GANPATRAO,M,SHS,509145,GEN,978626,1595435,Buldhana,Buldhana,GEN,,17,61.34,52.03,no,159579,16.31,2.5,AEMH102655,State-based Party,18691,True,2,SHS,18691,BULDHANA,1,1,2,False,0,0,True,True,1,5.88235294117647,12th Pass,Agriculture,,,,
16,6,2014,4,0,4,1,DHOTRE SANJAY SHAMRAO,M,BJP,456472,GEN,978491,1672643,Akola,Akola,GEN,,7,58.5,46.65,no,203116,20.76,2.86,GEMH79219,National Party,1605,True,3,BJP,1605,AKOLA,1,1,3,False,0,0,True,True,2,28.5714285714286,Graduate Professional,Business,,Agriculture,,
16,6,2014,4,0,4,1,DHOTRE SANJAY SHAMRAO,M,BJP,456472,GEN,978491,1672643,Akola,Washim,GEN,,7,58.5,46.65,no,203116,20.76,2.86,GEMH79219,National Party,1605,True,3,BJP,1605,AKOLA,1,1,3,False,0,0,True,True,2,28.5714285714286,Graduate Professional,Business,,Agriculture,,
16,7,2014,4,0,4,1,ADSUL ANANDRAO VITHOBA,M,SHS,467212,SC,1004061,1612739,Amravati (SC),Amravati,SC,,19,62.26,46.53,no,137932,13.74,2.94,GEMH81305,State-based Party,18691,True,6,SHS,18691,AMRAVATI,1,1,5,False,0,0,True,True,5,26.3157894736842,Graduate,Business,,,,
16,8,2014,4,0,4,1,RAMDAS CHANDRABHANJI TADAS,M,BJP,537518,GEN,1013445,1564552,Wardha,Amravati,GEN,,21,64.78,53.04,no,215783,21.29,2.56,AEMH88923,National Party,1605,True,1,,,,,,1,False,0,0,False,False,3,14.2857142857143,10th Pass,Agriculture,,Social Work,,
16,8,2014,4,0,4,1,RAMDAS CHANDRABHANJI TADAS,M,BJP,537518,GEN,1013445,1564552,Wardha,Wardha,GEN,,21,64.78,53.04,no,215783,21.29,2.56,AEMH88923,National Party,1605,True,1,,,,,,1,False,0,0,False,False,3,14.2857142857143,10th Pass,Agriculture,,Social Work,,
