Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,30,2019,4,0,4,4,NOTA,,NOTA,13834,,797250,1440380,Mumbai South Central,Mumbai City,GEN,,17,55.35,1.74,,5199,0.65,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,30,2019,4,0,4,4,NOTA,,NOTA,13834,,797250,1440380,Mumbai South Central,Mumbai Suburban,GEN,,17,55.35,1.74,,5199,0.65,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,31,2019,4,0,4,4,NOTA,,NOTA,15115,,801611,1554176,Mumbai South,Mumbai City,GEN,,13,51.58,1.89,,10786,1.35,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,32,2019,4,0,4,5,NOTA,,NOTA,11490,,1025467,1652965,Raigad,Raigad,GEN,,16,62.04,1.12,,1738,0.17,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,32,2019,4,0,4,5,NOTA,,NOTA,11490,,1025467,1652965,Raigad,Ratnagiri,GEN,,16,62.04,1.12,,1738,0.17,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,33,2019,4,0,4,4,NOTA,,NOTA,15779,,1368872,2298080,Maval,Pune,GEN,,21,59.57,1.15,,5582,0.41,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,33,2019,4,0,4,4,NOTA,,NOTA,15779,,1368872,2298080,Maval,Raigad,GEN,,21,59.57,1.15,,5582,0.41,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,34,2019,4,0,4,4,NOTA,,NOTA,11001,,1035236,2075824,Pune,Pune,GEN,,31,49.87,1.06,,6209,0.6,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,35,2019,4,0,4,4,NOTA,,NOTA,7868,,1304728,2114663,Baramati,Pune,GEN,,18,61.7,0.6,,986,0.08,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,36,2019,4,0,4,5,NOTA,,NOTA,6051,,1293117,2175529,Shirur,Pune,GEN,,23,59.44,0.47,,1121,0.09,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,37,2019,4,0,4,5,NOTA,,NOTA,4072,,1203797,1861396,Ahmadnagar,Ahilyanagar,GEN,,19,64.67,0.34,,86,0.01,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,38,2019,4,0,4,9,NOTA,,NOTA,5394,,1029362,1587079,Shirdi (SC),Ahilyanagar,SC,,20,64.86,0.52,,1802,0.18,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,39,2019,4,0,4,11,NOTA,,NOTA,2500,,1352399,2045405,Beed,Beed,GEN,,36,66.12,0.18,,414,0.03,2.56,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,40,2019,4,0,4,4,NOTA,,NOTA,10024,,1204730,1889740,Osmanabad,Dharashiv,GEN,,14,63.75,0.83,,3345,0.28,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,40,2019,4,0,4,4,NOTA,,NOTA,10024,,1204730,1889740,Osmanabad,Latur,GEN,,14,63.75,0.83,,3345,0.28,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,40,2019,4,0,4,4,NOTA,,NOTA,10024,,1204730,1889740,Osmanabad,Solapur,GEN,,14,63.75,0.83,,3345,0.28,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,41,2019,4,0,4,4,NOTA,,NOTA,6564,,1176542,1886657,Latur (SC),Latur,SC,,10,62.36,0.56,,15,0,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,41,2019,4,0,4,4,NOTA,,NOTA,6564,,1176542,1886657,Latur (SC),Nanded,SC,,10,62.36,0.56,,15,0,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,42,2019,4,0,4,4,NOTA,,NOTA,6191,,1084514,1851654,Solapur (SC),Solapur,SC,,13,58.57,0.57,,2311,0.21,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,43,2019,4,0,4,10,NOTA,,NOTA,3666,,1216319,1909574,Madha,Satara,GEN,,31,63.7,0.3,,444,0.04,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
