District,Year,Taluka,Rural/Urban,Select Vaccine,Number,,
Pune,2012,Aambegaon,Urban,Polio,91,,
Pune,2012,Aambegaon,Urban,Tetanus 10 years,250,,
Pune,2012,Aambegaon,Urban,Tetanus 16 years,305,,
Pune,2012,Aambegaon,Urban,Tetanus Pregnant Women,1448,,
Gondia,2012,Aamgaon,Rural,BCG,1782,,
Gondia,2012,Aamgaon,Rural,D.T,2370,,
Gondia,2012,Aamgaon,Rural,DPT,1880,,
Gondia,2012,Aamgaon,Rural,Measles,1980,,
Gondia,2012,Aamgaon,Rural,Polio,1880,,
Gondia,2012,Aamgaon,Rural,Tetanus 10 years,2338,,
Gondia,2012,Aamgaon,Rural,Tetanus 16 years,2712,,
Gondia,2012,Aamgaon,Rural,Tetanus Pregnant Women,3463,,
Gondia,2012,Aamgaon,Total,BCG,1782,,
Gondia,2012,Aamgaon,Total,D.T,2370,,
Gondia,2012,Aamgaon,Total,DPT,1880,,
Gondia,2012,Aamgaon,Total,Measles,1980,,
Gondia,2012,Aamgaon,Total,Polio,1880,,
Gondia,2012,Aamgaon,Total,Tetanus 10 years,2338,,
Gondia,2012,Aamgaon,Total,Tetanus 16 years,2712,,
Gondia,2012,Aamgaon,Total,Tetanus Pregnant Women,3463,,
Gadchiroli,2012,Aarmori,Rural,BCG,1191,,
Gadchiroli,2012,Aarmori,Rural,D.T,1514,,
Gadchiroli,2012,Aarmori,Rural,DPT,1591,,
Gadchiroli,2012,Aarmori,Rural,Measles,1505,,
Gadchiroli,2012,Aarmori,Rural,Polio,1591,,
Gadchiroli,2012,Aarmori,Rural,Tetanus 10 years,1714,,
Gadchiroli,2012,Aarmori,Rural,Tetanus 16 years,1598,,
Gadchiroli,2012,Aarmori,Rural,Tetanus Pregnant Women,1639,,
Gadchiroli,2012,Aarmori,Total,BCG,1191,,
Gadchiroli,2012,Aarmori,Total,D.T,1514,,
Gadchiroli,2012,Aarmori,Total,DPT,1591,,
Gadchiroli,2012,Aarmori,Total,Measles,1505,,
Gadchiroli,2012,Aarmori,Total,Polio,1591,,
Gadchiroli,2012,Aarmori,Total,Tetanus 10 years,1714,,
Gadchiroli,2012,Aarmori,Total,Tetanus 16 years,1598,,
Gadchiroli,2012,Aarmori,Total,Tetanus Pregnant Women,1639,,
Yavatmal,2012,Aarni,Rural,BCG,2573,,
Yavatmal,2012,Aarni,Rural,D.T,2420,,
Yavatmal,2012,Aarni,Rural,DPT,2590,,
Yavatmal,2012,Aarni,Rural,Measles,2452,,
Yavatmal,2012,Aarni,Rural,Polio,2590,,
Yavatmal,2012,Aarni,Rural,Tetanus 10 years,2594,,
Yavatmal,2012,Aarni,Rural,Tetanus 16 years,2683,,
Yavatmal,2012,Aarni,Rural,Tetanus Pregnant Women,2908,,
Yavatmal,2012,Aarni,Total,BCG,3314,,
Yavatmal,2012,Aarni,Total,D.T,2444,,
Yavatmal,2012,Aarni,Total,DPT,4507,,
Yavatmal,2012,Aarni,Total,Measles,3068,,
Yavatmal,2012,Aarni,Total,Polio,5335,,
Yavatmal,2012,Aarni,Total,Tetanus 10 years,2594,,
Yavatmal,2012,Aarni,Total,Tetanus 16 years,2683,,
Yavatmal,2012,Aarni,Total,Tetanus Pregnant Women,3317,,
Wardha,2012,Aarvi,Rural,BCG,1400,,
Wardha,2012,Aarvi,Rural,D.T,1641,,
Wardha,2012,Aarvi,Rural,DPT,1339,,
Wardha,2012,Aarvi,Rural,Measles,1417,,
Wardha,2012,Aarvi,Rural,Polio,1339,,
Wardha,2012,Aarvi,Rural,Tetanus 10 years,1747,,
Wardha,2012,Aarvi,Rural,Tetanus 16 years,1896,,
Wardha,2012,Aarvi,Rural,Tetanus Pregnant Women,1589,,
Wardha,2012,Aarvi,Total,BCG,2024,,
Wardha,2012,Aarvi,Total,D.T,2267,,
Wardha,2012,Aarvi,Total,DPT,1936,,
Wardha,2012,Aarvi,Total,Measles,2042,,
Wardha,2012,Aarvi,Total,Polio,1936,,
Wardha,2012,Aarvi,Total,Tetanus 10 years,2400,,
Wardha,2012,Aarvi,Total,Tetanus 16 years,2544,,
Wardha,2012,Aarvi,Total,Tetanus Pregnant Women,2275,,
Sangli,2012,Aatpadi,Rural,BCG,2523,,
Sangli,2012,Aatpadi,Rural,D.T,2310,,
Sangli,2012,Aatpadi,Rural,DPT,2275,,
Sangli,2012,Aatpadi,Rural,Measles,2369,,
Sangli,2012,Aatpadi,Rural,Polio,2275,,
Sangli,2012,Aatpadi,Rural,Tetanus 10 years,2593,,
Sangli,2012,Aatpadi,Rural,Tetanus 16 years,2663,,
Sangli,2012,Aatpadi,Rural,Tetanus Pregnant Women,2246,,
Sangli,2012,Aatpadi,Total,BCG,2523,,
Sangli,2012,Aatpadi,Total,D.T,2310,,
Sangli,2012,Aatpadi,Total,DPT,2275,,
Sangli,2012,Aatpadi,Total,Measles,2369,,
Sangli,2012,Aatpadi,Total,Polio,2275,,
Sangli,2012,Aatpadi,Total,Tetanus 10 years,2593,,
Sangli,2012,Aatpadi,Total,Tetanus 16 years,2663,,
Sangli,2012,Aatpadi,Total,Tetanus Pregnant Women,2246,,
Amravati,2012,Achalpur,Rural,BCG,2089,,
Amravati,2012,Achalpur,Rural,D.T,0,,
Amravati,2012,Achalpur,Rural,DPT,2287,,
Amravati,2012,Achalpur,Rural,Measles,2231,,
Amravati,2012,Achalpur,Rural,Polio,2287,,
Amravati,2012,Achalpur,Total,BCG,4264,,
Amravati,2012,Achalpur,Total,D.T,1803,,
Amravati,2012,Achalpur,Total,DPT,4093,,
Amravati,2012,Achalpur,Total,Measles,3992,,
Amravati,2012,Achalpur,Total,Polio,4093,,
Latur,2012,Ahamadpur,Rural,BCG,3638,,
Latur,2012,Ahamadpur,Rural,D.T,3188,,
Latur,2012,Ahamadpur,Rural,DPT,3469,,
Latur,2012,Ahamadpur,Rural,Measles,3416,,
Latur,2012,Ahamadpur,Rural,Polio,3469,,
Latur,2012,Ahamadpur,Rural,Tetanus 10 years,3551,,
Latur,2012,Ahamadpur,Rural,Tetanus 16 years,4016,,
Latur,2012,Ahamadpur,Rural,Tetanus Pregnant Women,3643,,
Latur,2012,Ahamadpur,Total,BCG,4280,,
Latur,2012,Ahamadpur,Total,D.T,3745,,
Latur,2012,Ahamadpur,Total,DPT,4154,,
Latur,2012,Ahamadpur,Total,Measles,4214,,
Latur,2012,Ahamadpur,Total,Polio,3921,,
Latur,2012,Ahamadpur,Total,Tetanus 10 years,4125,,
Latur,2012,Ahamadpur,Total,Tetanus 16 years,4560,,
Latur,2012,Ahamadpur,Total,Tetanus Pregnant Women,3897,,
Gadchiroli,2012,Aheri,Rural,BCG,1810,,
Gadchiroli,2012,Aheri,Rural,D.T,1585,,
Gadchiroli,2012,Aheri,Rural,DPT,1823,,
Gadchiroli,2012,Aheri,Rural,Measles,1748,,
Gadchiroli,2012,Aheri,Rural,Polio,1823,,
Gadchiroli,2012,Aheri,Rural,Tetanus 10 years,1988,,
Gadchiroli,2012,Aheri,Rural,Tetanus 16 years,1957,,
Gadchiroli,2012,Aheri,Rural,Tetanus Pregnant Women,2059,,
Gadchiroli,2012,Aheri,Total,BCG,1810,,
Gadchiroli,2012,Aheri,Total,D.T,1585,,
Gadchiroli,2012,Aheri,Total,DPT,1823,,
Gadchiroli,2012,Aheri,Total,Measles,1748,,
Gadchiroli,2012,Aheri,Total,Polio,1823,,
Gadchiroli,2012,Aheri,Total,Tetanus 10 years,1988,,
Gadchiroli,2012,Aheri,Total,Tetanus 16 years,1957,,
Gadchiroli,2012,Aheri,Total,Tetanus Pregnant Women,2059,,
Kolhapur,2012,Ajara,Rural,BCG,1577,,
Kolhapur,2012,Ajara,Rural,D.T,1798,,
Kolhapur,2012,Ajara,Rural,DPT,1766,,
Kolhapur,2012,Ajara,Rural,Measles,1779,,
Kolhapur,2012,Ajara,Rural,Polio,1766,,
Kolhapur,2012,Ajara,Rural,Tetanus 10 years,1782,,
Kolhapur,2012,Ajara,Rural,Tetanus 16 years,2013,,
Kolhapur,2012,Ajara,Rural,Tetanus Pregnant Women,1541,,
Kolhapur,2012,Ajara,Total,BCG,1577,,
Kolhapur,2012,Ajara,Total,D.T,1798,,
Kolhapur,2012,Ajara,Total,DPT,1766,,
Kolhapur,2012,Ajara,Total,Measles,1779,,
Kolhapur,2012,Ajara,Total,Polio,1766,,
Kolhapur,2012,Ajara,Total,Tetanus 10 years,1782,,
Kolhapur,2012,Ajara,Total,Tetanus 16 years,2013,,
Kolhapur,2012,Ajara,Total,Tetanus Pregnant Women,1541,,
Nandurbar,2012,Akkalkuva,Rural,BCG,4877,,
Nandurbar,2012,Akkalkuva,Rural,D.T,4804,,
Nandurbar,2012,Akkalkuva,Rural,DPT,4893,,
Nandurbar,2012,Akkalkuva,Rural,Measles,4937,,
Nandurbar,2012,Akkalkuva,Rural,Polio,4893,,
Nandurbar,2012,Akkalkuva,Rural,Tetanus 10 years,4670,,
Nandurbar,2012,Akkalkuva,Rural,Tetanus 16 years,3909,,
Nandurbar,2012,Akkalkuva,Rural,Tetanus Pregnant Women,5575,,
Nandurbar,2012,Akkalkuva,Total,BCG,4877,,
Nandurbar,2012,Akkalkuva,Total,D.T,4804,,
Nandurbar,2012,Akkalkuva,Total,DPT,4893,,
Nandurbar,2012,Akkalkuva,Total,Measles,4937,,
Nandurbar,2012,Akkalkuva,Total,Polio,4893,,
Nandurbar,2012,Akkalkuva,Total,Tetanus 10 years,4670,,
Nandurbar,2012,Akkalkuva,Total,Tetanus 16 years,3909,,
Nandurbar,2012,Akkalkuva,Total,Tetanus Pregnant Women,5575,,
Ahilyanagar,2012,Akole,Rural,BCG,4800,,
Ahilyanagar,2012,Akole,Rural,D.T,4609,,
Ahilyanagar,2012,Akole,Rural,DPT,4993,,
Ahilyanagar,2012,Akole,Rural,Measles,4946,,
Ahilyanagar,2012,Akole,Rural,Polio,4993,,
Ahilyanagar,2012,Akole,Rural,Tetanus 10 years,5767,,
Ahilyanagar,2012,Akole,Rural,Tetanus 16 years,5411,,
Ahilyanagar,2012,Akole,Rural,Tetanus Pregnant Women,4938,,
Ahilyanagar,2012,Akole,Total,BCG,5390,,
Ahilyanagar,2012,Akole,Total,D.T,4609,,
Ahilyanagar,2012,Akole,Total,DPT,5136,,
Ahilyanagar,2012,Akole,Total,Measles,5121,,
Ahilyanagar,2012,Akole,Total,Polio,5136,,
Ahilyanagar,2012,Akole,Total,Tetanus 10 years,5767,,
Ahilyanagar,2012,Akole,Total,Tetanus 16 years,5411,,
Ahilyanagar,2012,Akole,Total,Tetanus Pregnant Women,5099,,
Nandurbar,2012,Akrani,Rural,BCG,3832,,
Nandurbar,2012,Akrani,Rural,D.T,4164,,
Nandurbar,2012,Akrani,Rural,DPT,3972,,
