District,Year,Select Contraceptive,Number
Ahilyanagar,2017,Centchroman (Weekly Pills),0
Ahilyanagar,2017,Condom Pieces,1052351
Akola,2017,Oral Pills,41486
Akola,2017,Emergency Pills,1026
Akola,2017,Centchroman (Weekly Pills),0
Akola,2017,Condom Pieces,159192
Amravati,2017,Oral Pills,34318
Amravati,2017,Emergency Pills,580
Amravati,2017,Centchroman (Weekly Pills),480
Amravati,2017,Condom Pieces,291621
Beed,2017,Oral Pills,115780
Beed,2017,Emergency Pills,959
Beed,2017,Centchroman (Weekly Pills),0
Beed,2017,Condom Pieces,516697
Bhandara,2017,Oral Pills,26359
Bhandara,2017,Emergency Pills,242
Bhandara,2017,Centchroman (Weekly Pills),21
Bhandara,2017,Condom Pieces,174980
Buldhana,2017,Oral Pills,46903
Buldhana,2017,Emergency Pills,626
Buldhana,2017,Centchroman (Weekly Pills),0
Buldhana,2017,Condom Pieces,282316
Chandrapur,2017,Oral Pills,44038
Chandrapur,2017,Emergency Pills,193
Chandrapur,2017,Centchroman (Weekly Pills),69
Chandrapur,2017,Condom Pieces,276430
Chh. Sambhaji Nagar,2017,Oral Pills,91381
Chh. Sambhaji Nagar,2017,Emergency Pills,845
Chh. Sambhaji Nagar,2017,Centchroman (Weekly Pills),0
Chh. Sambhaji Nagar,2017,Condom Pieces,768486
Dharashiv,2017,Oral Pills,42484
Dharashiv,2017,Emergency Pills,827
Dharashiv,2017,Centchroman (Weekly Pills),180
Dharashiv,2017,Condom Pieces,267154
Dhule,2017,Oral Pills,78250
Dhule,2017,Emergency Pills,1538
Dhule,2017,Centchroman (Weekly Pills),1104
Dhule,2017,Condom Pieces,262383
Gadchiroli,2017,Oral Pills,21870
Gadchiroli,2017,Emergency Pills,1268
Gadchiroli,2017,Centchroman (Weekly Pills),478
Gadchiroli,2017,Condom Pieces,243699
Gondia,2017,Oral Pills,21766
Gondia,2017,Emergency Pills,531
Gondia,2017,Centchroman (Weekly Pills),0
Gondia,2017,Condom Pieces,178119
Hingoli,2017,Oral Pills,24553
Hingoli,2017,Emergency Pills,329
Hingoli,2017,Centchroman (Weekly Pills),700
Hingoli,2017,Condom Pieces,352135
Jalgaon,2017,Oral Pills,122873
Jalgaon,2017,Emergency Pills,180
Jalgaon,2017,Centchroman (Weekly Pills),0
Jalgaon,2017,Condom Pieces,329987
Jalna,2017,Oral Pills,16754
Jalna,2017,Emergency Pills,924
Jalna,2017,Centchroman (Weekly Pills),0
Jalna,2017,Condom Pieces,83330
Kolhapur,2017,Oral Pills,323396
Kolhapur,2017,Emergency Pills,399
Kolhapur,2017,Centchroman (Weekly Pills),1723
Kolhapur,2017,Condom Pieces,614471
Latur,2017,Oral Pills,66220
Latur,2017,Emergency Pills,223
Latur,2017,Centchroman (Weekly Pills),2074
Latur,2017,Condom Pieces,428098
Mumbai,2017,Oral Pills,320610
Mumbai,2017,Emergency Pills,574
Mumbai,2017,Centchroman (Weekly Pills),532
Mumbai,2017,Condom Pieces,5978295
Nagpur,2017,Oral Pills,44371
Nagpur,2017,Emergency Pills,386
Nagpur,2017,Centchroman (Weekly Pills),827
Nagpur,2017,Condom Pieces,416258
Nanded,2017,Oral Pills,78734
Nanded,2017,Emergency Pills,241
Nanded,2017,Centchroman (Weekly Pills),0
Nanded,2017,Condom Pieces,440935
Nandurbar,2017,Oral Pills,46987
Nandurbar,2017,Emergency Pills,1143
Nandurbar,2017,Centchroman (Weekly Pills),1136
Nandurbar,2017,Condom Pieces,257280
Nashik,2017,Oral Pills,116933
Nashik,2017,Emergency Pills,729
Nashik,2017,Centchroman (Weekly Pills),1134
Nashik,2017,Condom Pieces,588544
Palghar,2017,Oral Pills,65600
Palghar,2017,Emergency Pills,410
Palghar,2017,Centchroman (Weekly Pills),445
Palghar,2017,Condom Pieces,511773
Parbhani,2017,Oral Pills,34024
Parbhani,2017,Emergency Pills,294
Parbhani,2017,Centchroman (Weekly Pills),84
Parbhani,2017,Condom Pieces,408276
Pune,2017,Oral Pills,211609
Pune,2017,Emergency Pills,5203
Pune,2017,Centchroman (Weekly Pills),9710
Pune,2017,Condom Pieces,1495779
Raigad,2017,Oral Pills,46791
Raigad,2017,Emergency Pills,229
Raigad,2017,Centchroman (Weekly Pills),1347
Raigad,2017,Condom Pieces,227121
Ratnagiri,2017,Oral Pills,93459
