District,Year,Taluka,Type,Male,Female,Children
Amravati,2021,Dhamangaon Re,Outpatient,35757,37211,5669
Beed,2013,Ashti,Outpatient,18800,19600,12200
Beed,2013,Patoda,Outpatient,14400,15800,6400
Beed,2013,Shirur Kasar,Outpatient,19400,21300,14500
Beed,2013,Gevrai,Outpatient,27700,20500,11400
Beed,2013,Majalgaon,Outpatient,40000,39500,21000
Beed,2013,Wadwani,Outpatient,13300,19400,1600
Beed,2013,Beed,Outpatient,225500,120600,100000
Beed,2013,Cage,Outpatient,36300,46700,18900
Beed,2013,Dharur,Outpatient,13900,27300,16700
Beed,2013,Parli,Outpatient,25300,48500,40300
Beed,2013,Ambajogai,Outpatient,11300,9800,5400
Beed,2014,Ashti,Outpatient,175700,163700,58400
Beed,2014,Patoda,Outpatient,17700,14900,12100
Beed,2014,Shirur Kasar,Outpatient,14400,7700,4600
Beed,2014,Gevrai,Outpatient,32800,27600,20400
Beed,2014,Majalgaon,Outpatient,36300,22400,17200
Beed,2014,Wadwani,Outpatient,15200,9100,8700
Beed,2014,Beed,Outpatient,227700,175800,77500
Beed,2014,Cage,Outpatient,69600,47600,25900
Beed,2014,Dharur,Outpatient,29800,17600,12200
Beed,2014,Parli,Outpatient,65300,37200,54800
Beed,2014,Ambajogai,Outpatient,18000,12600,5800
Beed,2015,Ashti,Outpatient,187500,173700,58400
Beed,2015,Patoda,Outpatient,18700,15500,13100
Beed,2015,Shirur Kasar,Outpatient,15600,8700,3500
Beed,2015,Gevrai,Outpatient,33800,29600,19500
Beed,2015,Majalgaon,Outpatient,37300,23600,18700
Beed,2015,Wadwani,Outpatient,16200,10100,6800
Beed,2015,Beed,Outpatient,257600,187600,78500
Beed,2015,Cage,Outpatient,70600,48600,26900
Beed,2015,Dharur,Outpatient,30500,18600,10200
Beed,2015,Parli,Outpatient,67300,36700,53500
Beed,2015,Ambajogai,Outpatient,18700,13600,4800
Beed,2016,Ashti,Outpatient,7100,6500,3400
Beed,2016,Patoda,Outpatient,12100,13700,11200
Beed,2016,Shirur Kasar,Outpatient,12100,11900,8400
Beed,2016,Gevrai,Outpatient,30900,30900,16000
Beed,2016,Majalgaon,Outpatient,28100,57100,23800
Beed,2016,Wadwani,Outpatient,13100,10900,5600
Beed,2016,Beed,Outpatient,182800,226500,44000
Beed,2016,Cage,Outpatient,40200,60300,14600
Beed,2016,Dharur,Outpatient,11400,19300,13400
Beed,2016,Parli,Outpatient,30900,44500,35500
Beed,2016,Ambajogai,Outpatient,31000,11800,1000
Beed,2017,Ashti,Outpatient,686300,808500,252900
Beed,2017,Patoda,Outpatient,920700,1213200,500600
Beed,2017,Shirur Kasar,Outpatient,2398700,1475900,75900
Beed,2017,Gevrai,Outpatient,3675900,3458900,1203200
Beed,2017,Majalgaon,Outpatient,3847000,6330300,644500
Beed,2017,Wadwani,Outpatient,490000,1467600,136400
Beed,2017,Beed,Outpatient,17399500,22327500,10633700
