District,Year,Vasectomies,Tubectomies,Private Institutions,Public Institutions,Public Facilities,Private Facilities
Buldhana,2012,191,14158,7,13220,5484,451
Chandrapur,2012,1450,13492,3,13260,5710,611
Chh. Sambhaji Nagar,2012,63,17561,1,13365,8072,4607
Dharashiv,2012,14,8952,,8779,4213,180
Dhule,2012,522,13054,5,12495,5989,140
Gadchiroli,2012,3530,3409,16,6855,1857,36
Gondia,2012,2581,8085,8,10260,3092,162
Hingoli,2012,24,7548,,7481,1928,72
Jalgaon,2012,205,29891,15,21243,10681,1928
Jalna,2012,19,12387,8,11286,6218,909
Kolhapur,2012,426,23714,,18028,20516,4577
Latur,2012,70,16854,1,14275,7078,870
Mumbai,2012,1363,24994,,26352,36882,
Nagpur,2012,619,17874,10,16039,13367,1373
Nanded,2012,99,20259,,18853,6122,736
Nandurbar,2012,790,8003,51,7826,1506,18
Nashik,2012,1604,47381,4,45203,9166,3309
Palghar,2012,,,,0,,
Parbhani,2012,23,8849,,8783,6657,56
Pune,2012,401,48367,125,28819,19601,11892
Raigad,2012,32,9436,2,5689,5619,757
Ratnagiri,2012,88,7036,5,5833,7509,382
Sangli,2012,56,16241,6,11145,15158,2060
Satara,2012,920,19370,10,15000,11746,647
Sindhudurg,2012,75,3198,,2219,4386,140
Solapur,2012,103,28263,34,22316,14723,2898
Thane,2012,544,29501,66,20440,18350,11278
Wardha,2012,460,7938,4,5975,5438,1218
Washim,2012,4,7058,,6770,3465,208
Yavatmal,2012,195,16681,7,15598,8159,882
Ahilyanagar,2011,101,23595,2,19835,21643,2060
Akola,2011,738,7375,10,6508,3933,970
Amravati,2011,1172,11505,4,10692,6009,1588
Beed,2011,96,13117,13,12446,10075,754
Bhandara,2011,1249,5173,16,6387,3427,130
Buldhana,2011,234,11442,31,10247,4357,295
Chandrapur,2011,1558,13103,,13131,6190,552
Chh. Sambhaji Nagar,2011,92,13262,37,10150,7688,4493
Dharashiv,2011,38,9244,19,8700,3865,426
Dhule,2011,809,12041,236,11584,5697,299
Gadchiroli,2011,3126,3043,165,5904,1434,45
Gondia,2011,2444,7513,1,9680,3377,217
Hingoli,2011,92,7037,,6953,1951,258
Jalgaon,2011,307,26685,51,20215,10543,1394
Jalna,2011,61,10433,47,8881,5107,1010
Kolhapur,2011,139,19962,6,16142,19326,4842
Latur,2011,85,16825,1,13879,6618,1482
Mumbai,2011,1619,24112,,25731,46929,
Nagpur,2011,889,17906,43,16541,15414,2091
Nanded,2011,140,20501,3,19090,5998,1223
Nandurbar,2011,893,6973,248,7565,1666,21
Nashik,2011,2013,26607,36,24568,10973,3588
Palghar,2011,,,,0,,
Parbhani,2011,62,9057,,9038,6441,68
Pune,2011,422,45609,132,28659,16822,10635
Raigad,2011,39,8449,8,5152,6428,1133
