District,Year,Select Cause,Number
Sangli,2017,Fever,2
Sangli,2017,Measles,1
Satara,2017,Sepsis,5
Satara,2017,Asphyxia,5
Satara,2017,Pneumonia,4
Satara,2017,Diarrhea,0
Satara,2017,Fever,1
Satara,2017,Measles,0
Sindhudurg,2017,Sepsis,0
Sindhudurg,2017,Asphyxia,9
Sindhudurg,2017,Pneumonia,5
Sindhudurg,2017,Diarrhea,0
Sindhudurg,2017,Fever,3
Sindhudurg,2017,Measles,0
Solapur,2017,Sepsis,9
Solapur,2017,Asphyxia,14
Solapur,2017,Pneumonia,3
Solapur,2017,Diarrhea,0
Solapur,2017,Fever,5
Solapur,2017,Measles,0
Thane,2017,Sepsis,8
Thane,2017,Asphyxia,12
Thane,2017,Pneumonia,3
Thane,2017,Diarrhea,1
Thane,2017,Fever,1
Thane,2017,Measles,0
Wardha,2017,Sepsis,9
Wardha,2017,Asphyxia,10
Wardha,2017,Pneumonia,4
Wardha,2017,Diarrhea,0
Wardha,2017,Fever,1
Wardha,2017,Measles,0
Washim,2017,Sepsis,15
Washim,2017,Asphyxia,12
Washim,2017,Pneumonia,8
Washim,2017,Diarrhea,0
Washim,2017,Fever,0
Washim,2017,Measles,0
Yavatmal,2017,Sepsis,3
Yavatmal,2017,Asphyxia,3
Yavatmal,2017,Pneumonia,2
Yavatmal,2017,Diarrhea,0
Yavatmal,2017,Fever,1
Yavatmal,2017,Measles,0
Ahilyanagar,2016,Sepsis,4
Ahilyanagar,2016,Asphyxia,13
Ahilyanagar,2016,Pneumonia,4
Ahilyanagar,2016,Diarrhea,0
Ahilyanagar,2016,Fever,0
Ahilyanagar,2016,Measles,0
Ahilyanagar,2016,Low Birth Weight,28
Akola,2016,Sepsis,20
Akola,2016,Asphyxia,15
Akola,2016,Pneumonia,2
Akola,2016,Diarrhea,0
Akola,2016,Fever,0
Akola,2016,Measles,0
Akola,2016,Low Birth Weight,32
Amravati,2016,Sepsis,2
Amravati,2016,Asphyxia,16
Amravati,2016,Pneumonia,10
Amravati,2016,Diarrhea,0
Amravati,2016,Fever,0
Amravati,2016,Measles,1
Amravati,2016,Low Birth Weight,24
Beed,2016,Sepsis,4
Beed,2016,Asphyxia,13
Beed,2016,Pneumonia,4
Beed,2016,Diarrhea,0
Beed,2016,Fever,0
Beed,2016,Measles,1
Beed,2016,Low Birth Weight,40
Bhandara,2016,Sepsis,7
Bhandara,2016,Asphyxia,14
Bhandara,2016,Pneumonia,5
Bhandara,2016,Diarrhea,0
Bhandara,2016,Fever,0
Bhandara,2016,Measles,0
Bhandara,2016,Low Birth Weight,37
Buldhana,2016,Sepsis,9
Buldhana,2016,Asphyxia,15
Buldhana,2016,Pneumonia,3
Buldhana,2016,Diarrhea,0
Buldhana,2016,Fever,0
Buldhana,2016,Measles,0
Buldhana,2016,Low Birth Weight,39
Chandrapur,2016,Sepsis,17
Chandrapur,2016,Asphyxia,13
Chandrapur,2016,Pneumonia,4
Chandrapur,2016,Diarrhea,0
Chandrapur,2016,Fever,0
Chandrapur,2016,Measles,1
Chandrapur,2016,Low Birth Weight,14
Chh. Sambhaji Nagar,2016,Sepsis,11
Chh. Sambhaji Nagar,2016,Asphyxia,8
Chh. Sambhaji Nagar,2016,Pneumonia,2
Chh. Sambhaji Nagar,2016,Diarrhea,0
Chh. Sambhaji Nagar,2016,Fever,0
Chh. Sambhaji Nagar,2016,Measles,0
Chh. Sambhaji Nagar,2016,Low Birth Weight,24
Dharashiv,2016,Sepsis,8
Dharashiv,2016,Asphyxia,13
Dharashiv,2016,Pneumonia,2
Dharashiv,2016,Diarrhea,0
Dharashiv,2016,Fever,0
Dharashiv,2016,Measles,0
Dharashiv,2016,Low Birth Weight,27
Dhule,2016,Sepsis,12
Dhule,2016,Asphyxia,8
Dhule,2016,Pneumonia,8
Dhule,2016,Diarrhea,0
Dhule,2016,Fever,0
Dhule,2016,Measles,1
Dhule,2016,Low Birth Weight,16
Gadchiroli,2016,Sepsis,7
Gadchiroli,2016,Asphyxia,18
Gadchiroli,2016,Pneumonia,7
Gadchiroli,2016,Diarrhea,0
Gadchiroli,2016,Fever,0
Gadchiroli,2016,Measles,1
Gadchiroli,2016,Low Birth Weight,24
Gondia,2016,Sepsis,11
Gondia,2016,Asphyxia,20
Gondia,2016,Pneumonia,3
Gondia,2016,Diarrhea,0
Gondia,2016,Fever,0
Gondia,2016,Measles,1
Gondia,2016,Low Birth Weight,38
Hingoli,2016,Sepsis,2
Hingoli,2016,Asphyxia,14
Hingoli,2016,Pneumonia,0
Hingoli,2016,Diarrhea,0
Hingoli,2016,Fever,0
Hingoli,2016,Measles,2
Hingoli,2016,Low Birth Weight,34
Jalgaon,2016,Sepsis,5
Jalgaon,2016,Asphyxia,14
Jalgaon,2016,Pneumonia,2
Jalgaon,2016,Diarrhea,0
Jalgaon,2016,Fever,0
Jalgaon,2016,Measles,0
Jalgaon,2016,Low Birth Weight,17
Jalna,2016,Sepsis,5
Jalna,2016,Asphyxia,17
Jalna,2016,Pneumonia,2
Jalna,2016,Diarrhea,0
Jalna,2016,Fever,0
Jalna,2016,Measles,0
Jalna,2016,Low Birth Weight,33
Kolhapur,2016,Sepsis,5
Kolhapur,2016,Asphyxia,6
Kolhapur,2016,Pneumonia,1
Kolhapur,2016,Diarrhea,0
Kolhapur,2016,Fever,0
Kolhapur,2016,Measles,0
Kolhapur,2016,Low Birth Weight,36
Latur,2016,Sepsis,3
Latur,2016,Asphyxia,9
Latur,2016,Pneumonia,3
Latur,2016,Diarrhea,0
Latur,2016,Fever,0
Latur,2016,Measles,0
Latur,2016,Low Birth Weight,19
Mumbai,2016,Sepsis,19
