District,Year,Select Disease,Number
Thane,2019,Acute Flaccid Paralysis (AFP),47
Thane,2019,Measles,83
Thane,2019,Malaria,292
Thane,2019,Diarrhea,3787
Wardha,2019,Pneumonia,107
Wardha,2019,Asthma,17
Wardha,2019,Sepsis,5
Wardha,2019,Diphtheria,0
Wardha,2019,Pertussis,0
Wardha,2019,Tetanus Neonatorum,0
Wardha,2019,Tuberculosis (TB),8
Wardha,2019,Acute Flaccid Paralysis (AFP),0
Wardha,2019,Measles,0
Wardha,2019,Malaria,0
Wardha,2019,Diarrhea,609
Washim,2019,Pneumonia,50
Washim,2019,Asthma,9
Washim,2019,Sepsis,4
Washim,2019,Diphtheria,0
Washim,2019,Pertussis,0
Washim,2019,Tetanus Neonatorum,0
Washim,2019,Tuberculosis (TB),3
Washim,2019,Acute Flaccid Paralysis (AFP),0
Washim,2019,Measles,0
Washim,2019,Malaria,0
Washim,2019,Diarrhea,648
Yavatmal,2019,Pneumonia,52
Yavatmal,2019,Asthma,12
Yavatmal,2019,Sepsis,22
Yavatmal,2019,Diphtheria,0
Yavatmal,2019,Pertussis,0
Yavatmal,2019,Tetanus Neonatorum,0
Yavatmal,2019,Tuberculosis (TB),7
Yavatmal,2019,Acute Flaccid Paralysis (AFP),2
Yavatmal,2019,Measles,3
Yavatmal,2019,Malaria,2
Yavatmal,2019,Diarrhea,506
Ahilyanagar,2018,Pneumonia,564
Ahilyanagar,2018,Asthma,72
Ahilyanagar,2018,Sepsis,89
Ahilyanagar,2018,Diphtheria,0
Ahilyanagar,2018,Pertussis,0
Ahilyanagar,2018,Tetanus Neonatorum,0
Ahilyanagar,2018,Tuberculosis (TB),32
Ahilyanagar,2018,Acute Flaccid Paralysis (AFP),47
Ahilyanagar,2018,Measles,21
Ahilyanagar,2018,Malaria,0
Ahilyanagar,2018,Diarrhea,5393
Akola,2018,Pneumonia,130
Akola,2018,Asthma,10
Akola,2018,Sepsis,70
Akola,2018,Diphtheria,0
Akola,2018,Pertussis,0
Akola,2018,Tetanus Neonatorum,0
Akola,2018,Tuberculosis (TB),12
Akola,2018,Acute Flaccid Paralysis (AFP),0
Akola,2018,Measles,51
