District,Year,Select Examination,Percentage
Kolhapur,2019,Oral Cavity Examination,8.3
Latur,2019,Cervix Examination,0.9
Latur,2019,Breast Examination,0.5
Latur,2019,Oral Cavity Examination,0.4
Mumbai,2019,Cervix Examination,1
Mumbai,2019,Breast Examination,0
Mumbai,2019,Oral Cavity Examination,0.2
Nagpur,2019,Cervix Examination,0.8
Nagpur,2019,Breast Examination,0.3
Nagpur,2019,Oral Cavity Examination,0.7
Nanded,2019,Cervix Examination,1.6
Nanded,2019,Breast Examination,0.2
Nanded,2019,Oral Cavity Examination,0
Nandurbar,2019,Cervix Examination,0.7
Nandurbar,2019,Breast Examination,1.2
Nandurbar,2019,Oral Cavity Examination,0.4
Nashik,2019,Cervix Examination,0.4
Nashik,2019,Breast Examination,0.2
Nashik,2019,Oral Cavity Examination,0
Palghar,2019,Cervix Examination,1.8
Palghar,2019,Breast Examination,0.4
Palghar,2019,Oral Cavity Examination,0
Parbhani,2019,Cervix Examination,3.8
Parbhani,2019,Breast Examination,0.9
Parbhani,2019,Oral Cavity Examination,0.2
Pune,2019,Cervix Examination,3.8
Pune,2019,Breast Examination,2.3
Pune,2019,Oral Cavity Examination,0.9
Raigad,2019,Cervix Examination,1
Raigad,2019,Breast Examination,0.6
Raigad,2019,Oral Cavity Examination,0.4
Ratnagiri,2019,Cervix Examination,1.4
Ratnagiri,2019,Breast Examination,0.4
Ratnagiri,2019,Oral Cavity Examination,0.2
Sangli,2019,Cervix Examination,3.9
Sangli,2019,Breast Examination,4.1
Sangli,2019,Oral Cavity Examination,4.1
Satara,2019,Cervix Examination,1.2
Satara,2019,Breast Examination,0.5
Satara,2019,Oral Cavity Examination,0
Sindhudurg,2019,Cervix Examination,1.9
Sindhudurg,2019,Breast Examination,0.6
Sindhudurg,2019,Oral Cavity Examination,0.4
Solapur,2019,Cervix Examination,1.3
Solapur,2019,Breast Examination,0.3
Solapur,2019,Oral Cavity Examination,0.5
Thane,2019,Cervix Examination,4.3
Thane,2019,Breast Examination,3
Thane,2019,Oral Cavity Examination,4.8
Wardha,2019,Cervix Examination,0.4
Wardha,2019,Breast Examination,0
Wardha,2019,Oral Cavity Examination,0.2
Washim,2019,Cervix Examination,1.8
Washim,2019,Breast Examination,0.6
Washim,2019,Oral Cavity Examination,0.9
Yavatmal,2019,Cervix Examination,1.3
Yavatmal,2019,Breast Examination,0.4
Yavatmal,2019,Oral Cavity Examination,0
