District,Year,Inpatients,Outpatients,Given Allopathic Treatment,Received AYUSH Treatment,Outpatients to Inpatients,Major Operations,Minor Operations,Hysterectomies Performed
Solapur,2012,93460,1554523,,34465,6,5654,7568,
Thane,2012,265951,3805463,,108082,7,15776,21957,
Wardha,2012,68938,1006569,,127386,6.8,4586,6915,
Washim,2012,51629,573746,,18226,9,2523,1268,
Yavatmal,2012,106572,1111720,,92384,9.6,2313,4877,
Ahilyanagar,2011,94711,1503964,,46164,6.3,4957,7594,
Akola,2011,87530,548910,,19624,15.9,4331,3015,
Amravati,2011,154756,1779124,,74984,8.7,9713,15680,
Beed,2011,101366,804897,,35829,12.6,4828,3630,
Bhandara,2011,80845,951707,,60037,8.5,6437,4049,
Buldhana,2011,120453,996892,,109427,12.1,5030,3889,
Chandrapur,2011,139585,1557044,,68149,9,9208,5748,
Chh. Sambhaji Nagar,2011,52209,845144,,22788,6.2,333,4909,
Dharashiv,2011,92731,857831,,125401,10.8,4001,7839,
Dhule,2011,34670,531042,,9457,6.5,1490,1534,
Gadchiroli,2011,44881,520089,,27891,8.6,959,1512,
Gondia,2011,72290,872893,,49874,8.3,3484,2509,
Hingoli,2011,55565,411859,,38909,13.5,411,1005,
Jalgaon,2011,137126,1347607,,91376,10.2,5152,7440,
Jalna,2011,47553,462354,,34538,10.3,1277,3039,
Kolhapur,2011,94058,1335575,,70808,7,7887,8023,
Latur,2011,88582,1224796,,132238,7.2,1957,6044,
Mumbai,2011,523238,10885828,,,4.8,78451,73710,
Nagpur,2011,125424,1397227,,36796,9,8881,10804,
Nanded,2011,159260,1237989,,154903,12.9,2955,3983,
Nandurbar,2011,80220,635728,,9259,12.6,1623,4041,
Nashik,2011,189980,2293768,,95974,8.3,7044,11624,
Palghar,2011,,,,,,,,
Parbhani,2011,88001,784145,,19812,11.2,3614,5472,
Pune,2011,205290,2706912,,69300,7.6,12940,13563,
Raigad,2011,92283,1071166,,30848,8.6,5028,4519,
Ratnagiri,2011,102195,979933,,26026,10.4,3688,4279,
Sangli,2011,47298,754405,,36404,6.3,1159,6852,
Satara,2011,106680,1403184,,49797,7.6,2428,4911,
Sindhudurg,2011,57875,728563,,34046,7.9,3785,4973,
Solapur,2011,111082,1426439,,30279,7.8,3456,8774,
Thane,2011,184260,1736003,,23069,10.6,1853,9434,
Wardha,2011,59908,575355,,44400,10.4,1922,2755,
Washim,2011,39570,401176,,22319,9.9,132,685,
Yavatmal,2011,153020,1031455,,65735,14.8,2264,4450,
Ahilyanagar,2010,,,,,,,,
Akola,2010,3339,95438,,,3.5,,,
Amravati,2010,58542,204546,,7805,28.6,4477,7299,
Beed,2010,,,,,,,,
Bhandara,2010,,,,,,,,
Buldhana,2010,,,,,,,,
Chandrapur,2010,,,,,,,,
Chh. Sambhaji Nagar,2010,,,,,,,,
Dharashiv,2010,,,,,,,,
Dhule,2010,2516,257104,,8316,1,1247,1119,
Gadchiroli,2010,169,,,,,,,
Gondia,2010,,,,,,,,
Hingoli,2010,,,,,,,,
Jalgaon,2010,,597901,,,0,,,
Jalna,2010,19,652234,,,0,1966,1466,
Kolhapur,2010,,850175,,,0,,,
Latur,2010,,35057,,,0,140,201,
Mumbai,2010,,,,,,,,
Nagpur,2010,,,,1,,,,
Nanded,2010,,323018,,,0,,,
Nandurbar,2010,432,330632,,,0.1,,,
Nashik,2010,,,,,,,,
Palghar,2010,,,,,,,,
Parbhani,2010,204,,,,,,,
Pune,2010,1055009,1300617,,,81.1,,,
Raigad,2010,,,,,,,,
Ratnagiri,2010,,,,,,,,
Sangli,2010,4794,70222,,1835,6.8,140,527,
Satara,2010,,,,,,,,
Sindhudurg,2010,,,,,,,,
Solapur,2010,258,714370,,,0,,,
Thane,2010,85,,,,,,,
Wardha,2010,,,,,,,,
Washim,2010,,74919,,3410,0,,,
Yavatmal,2010,,,,10,,,,
Ahilyanagar,2009,,261022,,,0,560,659,
Akola,2009,887,279820,,8,0.3,1136,458,
Amravati,2009,288,349856,,1397,0.1,5619,7643,
Beed,2009,,,,,,,,
Bhandara,2009,,203568,,,0,1064,467,
Buldhana,2009,6246,,,,,,,
Chandrapur,2009,,335578,,,0,1803,1313,
Chh. Sambhaji Nagar,2009,,325934,,,0,202,493,
Dharashiv,2009,,169830,,,0,1349,374,
Dhule,2009,,284283,,4120,0,423,1103,
Gadchiroli,2009,,158048,,,0,772,544,
