District,Year,Taluka,Select Variable,Percentage
Ahilyanagar,2017,Nevasa,Infants with Moderate Acute Malnutrition,5.72
Ahilyanagar,2017,Nevasa,Infants with Severe Acute Malnutrition,1.04
Ahilyanagar,2017,Shevgaon,Infants at Normal Weight,92.88
Ahilyanagar,2017,Shevgaon,Infants with Moderate Acute Malnutrition,6.29
Ahilyanagar,2017,Shevgaon,Infants with Severe Acute Malnutrition,0.83
Ahilyanagar,2017,Pathardi,Infants at Normal Weight,90.5
Ahilyanagar,2017,Pathardi,Infants with Moderate Acute Malnutrition,8.32
Ahilyanagar,2017,Pathardi,Infants with Severe Acute Malnutrition,1.18
Ahilyanagar,2017,Nagar,Infants at Normal Weight,92.95
Ahilyanagar,2017,Nagar,Infants with Moderate Acute Malnutrition,6.37
Ahilyanagar,2017,Nagar,Infants with Severe Acute Malnutrition,0.67
Ahilyanagar,2017,Rahuri,Infants at Normal Weight,96.43
Ahilyanagar,2017,Rahuri,Infants with Moderate Acute Malnutrition,2.99
Ahilyanagar,2017,Rahuri,Infants with Severe Acute Malnutrition,0.59
Ahilyanagar,2017,Parner,Infants at Normal Weight,91.63
Ahilyanagar,2017,Parner,Infants with Moderate Acute Malnutrition,7.41
Ahilyanagar,2017,Parner,Infants with Severe Acute Malnutrition,0.96
Ahilyanagar,2017,Srigonda,Infants at Normal Weight,94.21
Ahilyanagar,2017,Srigonda,Infants with Moderate Acute Malnutrition,5.17
Ahilyanagar,2017,Srigonda,Infants with Severe Acute Malnutrition,0.62
Ahilyanagar,2017,Karjat,Infants at Normal Weight,90.26
Ahilyanagar,2017,Karjat,Infants with Moderate Acute Malnutrition,8.52
Ahilyanagar,2017,Karjat,Infants with Severe Acute Malnutrition,1.22
Ahilyanagar,2017,Jamkhed,Infants at Normal Weight,94.01
Ahilyanagar,2017,Jamkhed,Infants with Moderate Acute Malnutrition,5.19
Ahilyanagar,2017,Jamkhed,Infants with Severe Acute Malnutrition,0.8
Ahilyanagar,2018,Akole,Infants at Normal Weight,81
Ahilyanagar,2018,Akole,Infants with Moderate Acute Malnutrition,15.25
Ahilyanagar,2018,Akole,Infants with Severe Acute Malnutrition,3.74
Ahilyanagar,2018,Sangamner,Infants at Normal Weight,93.74
Ahilyanagar,2018,Sangamner,Infants with Moderate Acute Malnutrition,5.43
Ahilyanagar,2018,Sangamner,Infants with Severe Acute Malnutrition,0.83
Ahilyanagar,2018,Kopargaon,Infants at Normal Weight,94.46
Ahilyanagar,2018,Kopargaon,Infants with Moderate Acute Malnutrition,5.09
Ahilyanagar,2018,Kopargaon,Infants with Severe Acute Malnutrition,0.45
Ahilyanagar,2018,Rahata,Infants at Normal Weight,91.77
Ahilyanagar,2018,Rahata,Infants with Moderate Acute Malnutrition,7.15
Ahilyanagar,2018,Rahata,Infants with Severe Acute Malnutrition,1.08
Ahilyanagar,2018,Srirampur,Infants at Normal Weight,89.93
Ahilyanagar,2018,Srirampur,Infants with Moderate Acute Malnutrition,8.7
Ahilyanagar,2018,Srirampur,Infants with Severe Acute Malnutrition,1.37
Ahilyanagar,2018,Nevasa,Infants at Normal Weight,94.82
Ahilyanagar,2018,Nevasa,Infants with Moderate Acute Malnutrition,4.54
Ahilyanagar,2018,Nevasa,Infants with Severe Acute Malnutrition,0.64
Ahilyanagar,2018,Shevgaon,Infants at Normal Weight,93.89
Ahilyanagar,2018,Shevgaon,Infants with Moderate Acute Malnutrition,5.62
Ahilyanagar,2018,Shevgaon,Infants with Severe Acute Malnutrition,0.5
Ahilyanagar,2018,Pathardi,Infants at Normal Weight,92.07
Ahilyanagar,2018,Pathardi,Infants with Moderate Acute Malnutrition,6.99
Ahilyanagar,2018,Pathardi,Infants with Severe Acute Malnutrition,0.94
Ahilyanagar,2018,Nagar,Infants at Normal Weight,92.81
Ahilyanagar,2018,Nagar,Infants with Moderate Acute Malnutrition,6.61
Ahilyanagar,2018,Nagar,Infants with Severe Acute Malnutrition,0.58
Ahilyanagar,2018,Rahuri,Infants at Normal Weight,94.13
Ahilyanagar,2018,Rahuri,Infants with Moderate Acute Malnutrition,4.88
Ahilyanagar,2018,Rahuri,Infants with Severe Acute Malnutrition,0.99
Ahilyanagar,2018,Parner,Infants at Normal Weight,93.43
Ahilyanagar,2018,Parner,Infants with Moderate Acute Malnutrition,5.87
Ahilyanagar,2018,Parner,Infants with Severe Acute Malnutrition,0.7
Ahilyanagar,2018,Srigonda,Infants at Normal Weight,92.88
Ahilyanagar,2018,Srigonda,Infants with Moderate Acute Malnutrition,6.17
Ahilyanagar,2018,Srigonda,Infants with Severe Acute Malnutrition,0.95
Ahilyanagar,2018,Karjat,Infants at Normal Weight,92.47
Ahilyanagar,2018,Karjat,Infants with Moderate Acute Malnutrition,6.75
Ahilyanagar,2018,Karjat,Infants with Severe Acute Malnutrition,0.79
Ahilyanagar,2018,Jamkhed,Infants at Normal Weight,94.26
Ahilyanagar,2018,Jamkhed,Infants with Moderate Acute Malnutrition,5.18
Ahilyanagar,2018,Jamkhed,Infants with Severe Acute Malnutrition,0.56
Ahilyanagar,2019,Akole,Infants at Normal Weight,78.88
Ahilyanagar,2019,Akole,Infants with Moderate Acute Malnutrition,16.88
Ahilyanagar,2019,Akole,Infants with Severe Acute Malnutrition,4.24
Ahilyanagar,2019,Sangamner,Infants at Normal Weight,92.96
Ahilyanagar,2019,Sangamner,Infants with Moderate Acute Malnutrition,6.11
Ahilyanagar,2019,Sangamner,Infants with Severe Acute Malnutrition,0.93
Ahilyanagar,2019,Kopargaon,Infants at Normal Weight,93.79
Ahilyanagar,2019,Kopargaon,Infants with Moderate Acute Malnutrition,5.59
Ahilyanagar,2019,Kopargaon,Infants with Severe Acute Malnutrition,0.62
Ahilyanagar,2019,Rahata,Infants at Normal Weight,91.7
Ahilyanagar,2019,Rahata,Infants with Moderate Acute Malnutrition,7.2
Ahilyanagar,2019,Rahata,Infants with Severe Acute Malnutrition,1.1
Ahilyanagar,2019,Srirampur,Infants at Normal Weight,90.12
Ahilyanagar,2019,Srirampur,Infants with Moderate Acute Malnutrition,8.34
Ahilyanagar,2019,Srirampur,Infants with Severe Acute Malnutrition,1.54
Ahilyanagar,2019,Nevasa,Infants at Normal Weight,93.76
Ahilyanagar,2019,Nevasa,Infants with Moderate Acute Malnutrition,5.25
Ahilyanagar,2019,Nevasa,Infants with Severe Acute Malnutrition,0.99
Ahilyanagar,2019,Shevgaon,Infants at Normal Weight,93.76
Ahilyanagar,2019,Shevgaon,Infants with Moderate Acute Malnutrition,5.35
Ahilyanagar,2019,Shevgaon,Infants with Severe Acute Malnutrition,0.89
Ahilyanagar,2019,Pathardi,Infants at Normal Weight,92.02
Ahilyanagar,2019,Pathardi,Infants with Moderate Acute Malnutrition,6.74
Ahilyanagar,2019,Pathardi,Infants with Severe Acute Malnutrition,1.24
Ahilyanagar,2019,Nagar,Infants at Normal Weight,92.14
Ahilyanagar,2019,Nagar,Infants with Moderate Acute Malnutrition,7.15
Ahilyanagar,2019,Nagar,Infants with Severe Acute Malnutrition,0.71
