District,Year,Taluka,Rural/Urban,Normal Weight,Moderate Acute Malnutrition,Severe Acute Malnutrition
Ahilyanagar,2018,Akole,Total,81,15.25,3.74
Ahilyanagar,2018,Sangamner,Rural,93.96,5.2,0.84
Ahilyanagar,2018,Sangamner,Urban,77.89,21.84,0.26
Ahilyanagar,2018,Sangamner,Total,93.74,5.43,0.83
Ahilyanagar,2018,Kopargaon,Rural,95.63,3.94,0.43
Ahilyanagar,2018,Kopargaon,Urban,88.08,11.38,0.54
Ahilyanagar,2018,Kopargaon,Total,94.46,5.09,0.45
Ahilyanagar,2018,Rahata,Rural,91.77,7.15,1.09
Ahilyanagar,2018,Rahata,Urban,92.27,7.25,0.48
Ahilyanagar,2018,Rahata,Total,91.77,7.15,1.08
Ahilyanagar,2018,Srirampur,Rural,90.15,8.35,1.5
Ahilyanagar,2018,Srirampur,Urban,88.84,10.43,0.74
Ahilyanagar,2018,Srirampur,Total,89.93,8.7,1.37
Ahilyanagar,2018,Nevasa,Rural,94.82,4.54,0.64
Ahilyanagar,2018,Nevasa,Urban,,,
Ahilyanagar,2018,Nevasa,Total,94.82,4.54,0.64
Ahilyanagar,2018,Shevgaon,Rural,93.89,5.62,0.5
Ahilyanagar,2018,Shevgaon,Urban,,,
Ahilyanagar,2018,Shevgaon,Total,93.89,5.62,0.5
Ahilyanagar,2018,Pathardi,Rural,91.97,7.08,0.96
Ahilyanagar,2018,Pathardi,Urban,98.26,1.74,0
Ahilyanagar,2018,Pathardi,Total,92.07,6.99,0.94
Ahilyanagar,2018,Nagar,Rural,93.62,5.8,0.58
Ahilyanagar,2018,Nagar,Urban,90.53,8.89,0.58
Ahilyanagar,2018,Nagar,Total,92.81,6.61,0.58
Ahilyanagar,2018,Rahuri,Rural,94.38,4.63,0.99
Ahilyanagar,2018,Rahuri,Urban,73.54,25.56,0.9
Ahilyanagar,2018,Rahuri,Total,94.13,4.88,0.99
Ahilyanagar,2018,Parner,Rural,93.43,5.87,0.7
Ahilyanagar,2018,Parner,Urban,,,
Ahilyanagar,2018,Parner,Total,93.43,5.87,0.7
Ahilyanagar,2018,Srigonda,Rural,92.85,6.19,0.96
Ahilyanagar,2018,Srigonda,Urban,95.29,4.31,0.39
Ahilyanagar,2018,Srigonda,Total,92.88,6.17,0.95
Ahilyanagar,2018,Karjat,Rural,92.47,6.75,0.79
Ahilyanagar,2018,Karjat,Urban,,,
Ahilyanagar,2018,Karjat,Total,92.47,6.75,0.79
Ahilyanagar,2018,Jamkhed,Rural,94.26,5.18,0.56
Ahilyanagar,2018,Jamkhed,Urban,,,
Ahilyanagar,2018,Jamkhed,Total,94.26,5.18,0.56
Ahilyanagar,2019,Akole,Rural,78.88,16.88,4.24
Ahilyanagar,2019,Akole,Urban,,,
Ahilyanagar,2019,Akole,Total,78.88,16.88,4.24
Ahilyanagar,2019,Sangamner,Rural,93.2,5.86,0.94
Ahilyanagar,2019,Sangamner,Urban,76.81,22.72,0.47
Ahilyanagar,2019,Sangamner,Total,92.96,6.11,0.93
Ahilyanagar,2019,Kopargaon,Rural,95.35,4.06,0.59
Ahilyanagar,2019,Kopargaon,Urban,83.74,15.46,0.8
Ahilyanagar,2019,Kopargaon,Total,93.79,5.59,0.62
Ahilyanagar,2019,Rahata,Rural,91.76,7.15,1.09
Ahilyanagar,2019,Rahata,Urban,86.36,11.82,1.82
Ahilyanagar,2019,Rahata,Total,91.7,7.2,1.1
Ahilyanagar,2019,Srirampur,Rural,90.17,8.17,1.66
Ahilyanagar,2019,Srirampur,Urban,89.89,9.19,0.93
Ahilyanagar,2019,Srirampur,Total,90.12,8.34,1.54
Ahilyanagar,2019,Nevasa,Rural,93.76,5.25,0.99
Ahilyanagar,2019,Nevasa,Urban,,,
Ahilyanagar,2019,Nevasa,Total,93.76,5.25,0.99
Ahilyanagar,2019,Shevgaon,Rural,93.76,5.35,0.89
Ahilyanagar,2019,Shevgaon,Urban,,,
Ahilyanagar,2019,Shevgaon,Total,93.76,5.35,0.89
Ahilyanagar,2019,Pathardi,Rural,91.92,6.81,1.27
Ahilyanagar,2019,Pathardi,Urban,96.5,3.5,0
Ahilyanagar,2019,Pathardi,Total,92.02,6.74,1.24
Ahilyanagar,2019,Nagar,Rural,93.87,5.53,0.6
Ahilyanagar,2019,Nagar,Urban,87.32,11.67,1.01
Ahilyanagar,2019,Nagar,Total,92.14,7.15,0.71
Ahilyanagar,2019,Rahuri,Rural,93.11,5.55,1.35
Ahilyanagar,2019,Rahuri,Urban,82.74,15.49,1.77
Ahilyanagar,2019,Rahuri,Total,92.98,5.67,1.35
Ahilyanagar,2019,Parner,Rural,93.38,5.79,0.83
Ahilyanagar,2019,Parner,Urban,,,
Ahilyanagar,2019,Parner,Total,93.38,5.79,0.83
Ahilyanagar,2019,Srigonda,Rural,93.07,5.86,1.07
Ahilyanagar,2019,Srigonda,Urban,78.42,21.23,0.34
Ahilyanagar,2019,Srigonda,Total,92.83,6.11,1.06
Ahilyanagar,2019,Karjat,Rural,92.22,6.81,0.97
Ahilyanagar,2019,Karjat,Urban,,,
Ahilyanagar,2019,Karjat,Total,92.22,6.81,0.97
Ahilyanagar,2019,Jamkhed,Rural,89.43,8.92,1.65
Ahilyanagar,2019,Jamkhed,Urban,,,
Ahilyanagar,2019,Jamkhed,Total,89.43,8.92,1.65
Ahilyanagar,2020,Akole,Rural,80.82,15.44,3.74
Ahilyanagar,2020,Akole,Urban,,,
Ahilyanagar,2020,Akole,Total,80.82,15.44,3.74
Ahilyanagar,2020,Sangamner,Rural,94.37,4.93,0.71
Ahilyanagar,2020,Sangamner,Urban,94.99,4.49,0.52
Ahilyanagar,2020,Sangamner,Total,94.38,4.92,0.7
Ahilyanagar,2020,Kopargaon,Rural,95.51,4.03,0.46
Ahilyanagar,2020,Kopargaon,Urban,85.76,13.87,0.37
Ahilyanagar,2020,Kopargaon,Total,93.95,5.6,0.45
Ahilyanagar,2020,Rahata,Rural,92.15,6.65,1.2
Ahilyanagar,2020,Rahata,Urban,86.77,12.06,1.17
Ahilyanagar,2020,Rahata,Total,92.08,6.72,1.2
Ahilyanagar,2020,Srirampur,Rural,92.41,6.46,1.13
Ahilyanagar,2020,Srirampur,Urban,90.38,8.93,0.68
Ahilyanagar,2020,Srirampur,Total,92.01,6.95,1.04
Ahilyanagar,2020,Nevasa,Rural,93.74,5.23,1.03
Ahilyanagar,2020,Nevasa,Urban,,,
Ahilyanagar,2020,Nevasa,Total,93.74,5.23,1.03
Ahilyanagar,2020,Shevgaon,Rural,93.56,5.56,0.88
Ahilyanagar,2020,Shevgaon,Urban,,,
Ahilyanagar,2020,Shevgaon,Total,93.56,5.56,0.88
Ahilyanagar,2020,Pathardi,Rural,94.47,4.86,0.67
Ahilyanagar,2020,Pathardi,Urban,97.46,2.54,0
Ahilyanagar,2020,Pathardi,Total,94.53,4.82,0.65
Ahilyanagar,2020,Nagar,Rural,95.43,4.19,0.37
Ahilyanagar,2020,Nagar,Urban,91.91,7.36,0.73
Ahilyanagar,2020,Nagar,Total,94.47,5.06,0.47
Ahilyanagar,2020,Rahuri,Rural,94.29,4.84,0.87
Ahilyanagar,2020,Rahuri,Urban,82.59,16.67,0.74
Ahilyanagar,2020,Rahuri,Total,94.12,5,0.87
Ahilyanagar,2020,Parner,Rural,93.56,5.76,0.68
Ahilyanagar,2020,Parner,Urban,,,
Ahilyanagar,2020,Parner,Total,93.56,5.76,0.68
Ahilyanagar,2020,Srigonda,Rural,95.4,4,0.6
Ahilyanagar,2020,Srigonda,Urban,89.93,10.07,0
Ahilyanagar,2020,Srigonda,Total,95.31,4.09,0.59
Ahilyanagar,2020,Karjat,Rural,93.54,5.87,0.59
Ahilyanagar,2020,Karjat,Urban,,,
Ahilyanagar,2020,Karjat,Total,93.54,5.87,0.59
Ahilyanagar,2020,Jamkhed,Rural,93.61,5.55,0.84
Ahilyanagar,2020,Jamkhed,Urban,,,
Ahilyanagar,2020,Jamkhed,Total,93.61,5.55,0.84
Ahilyanagar,2021,Akole,Rural,82.24,14.69,3.06
Ahilyanagar,2021,Akole,Urban,,,
Ahilyanagar,2021,Akole,Total,82.24,14.69,3.06
Ahilyanagar,2021,Sangamner,Rural,95.98,3.22,0.81
Ahilyanagar,2021,Sangamner,Urban,93.95,6.05,0
Ahilyanagar,2021,Sangamner,Total,95.95,3.26,0.79
Ahilyanagar,2021,Kopargaon,Rural,98.06,1.73,0.22
Ahilyanagar,2021,Kopargaon,Urban,93.33,6.47,0.2
Ahilyanagar,2021,Kopargaon,Total,97.28,2.51,0.21
Ahilyanagar,2021,Rahata,Rural,98.04,1.65,0.31
Ahilyanagar,2021,Rahata,Urban,88.74,10.26,0.99
Ahilyanagar,2021,Rahata,Total,97.88,1.8,0.32
Ahilyanagar,2021,Srirampur,Rural,94.41,4.81,0.78
Ahilyanagar,2021,Srirampur,Urban,95.27,4.47,0.25
Ahilyanagar,2021,Srirampur,Total,94.58,4.74,0.68
Ahilyanagar,2021,Nevasa,Rural,97.61,2,0.39
Ahilyanagar,2021,Nevasa,Urban,,,
Ahilyanagar,2021,Nevasa,Total,97.61,2,0.39
Ahilyanagar,2021,Shevgaon,Rural,96.57,3.11,0.33
Ahilyanagar,2021,Shevgaon,Urban,,,
Ahilyanagar,2021,Shevgaon,Total,96.57,3.11,0.33
Ahilyanagar,2021,Pathardi,Rural,98.21,1.61,0.18
Ahilyanagar,2021,Pathardi,Urban,97.25,2.75,0
Ahilyanagar,2021,Pathardi,Total,98.19,1.63,0.18
Ahilyanagar,2021,Nagar,Rural,96.09,3.36,0.54
Ahilyanagar,2021,Nagar,Urban,90.88,8.42,0.7
Ahilyanagar,2021,Nagar,Total,95.16,4.27,0.57
Ahilyanagar,2021,Rahuri,Rural,94.51,4.85,0.64
Ahilyanagar,2021,Rahuri,Urban,92.33,6.65,1.02
Ahilyanagar,2021,Rahuri,Total,94.47,4.89,0.65
Ahilyanagar,2021,Parner,Rural,94.4,5.11,0.49
Ahilyanagar,2021,Parner,Urban,,,
Ahilyanagar,2021,Parner,Total,94.4,5.11,0.49
Ahilyanagar,2021,Srigonda,Rural,94.54,4.81,0.65
Ahilyanagar,2021,Srigonda,Urban,91.25,8.75,0
Ahilyanagar,2021,Srigonda,Total,94.48,4.87,0.64
Ahilyanagar,2021,Karjat,Rural,96.09,3.44,0.47
Ahilyanagar,2021,Karjat,Urban,,,
Ahilyanagar,2021,Karjat,Total,96.09,3.44,0.47
Ahilyanagar,2021,Jamkhed,Rural,93.27,5.84,0.89
Ahilyanagar,2021,Jamkhed,Urban,,,
Ahilyanagar,2021,Jamkhed,Total,93.27,5.84,0.89
Akola,2019,Telhara,Rural,99,0.9,0.1
Akola,2019,Telhara,Urban,63.51,35.59,0.9
Akola,2019,Telhara,Total,98.33,1.55,0.12
Akola,2019,Akot,Rural,99.06,0.81,0.13
Akola,2019,Akot,Urban,93.81,5.73,0.46
Akola,2019,Akot,Total,98.23,1.59,0.18
Akola,2019,Balapur,Rural,99.46,0.43,0.11
Akola,2019,Balapur,Urban,98.87,0.99,0.14
Akola,2019,Balapur,Total,99.42,0.47,0.11
Akola,2019,Akola,Rural,99.51,0.43,0.06
Akola,2019,Akola,Urban,96.69,2.95,0.36
Akola,2019,Akola,Total,98.32,1.49,0.19
Akola,2019,Murtijapur,Rural,99.77,0.19,0.04
