District,Year,Select Effect,Number
Nashik,2018,Other Complications,37
Palghar,2018,Abscess Cases,0
Palghar,2018,Deaths,3
Palghar,2018,Other Complications,4
Parbhani,2018,Abscess Cases,2
Parbhani,2018,Deaths,2
Parbhani,2018,Other Complications,15
Pune,2018,Abscess Cases,4
Pune,2018,Deaths,3
Pune,2018,Other Complications,41
Raigad,2018,Abscess Cases,0
Raigad,2018,Deaths,2
Raigad,2018,Other Complications,3
Ratnagiri,2018,Abscess Cases,0
Ratnagiri,2018,Deaths,0
Ratnagiri,2018,Other Complications,2
Sangli,2018,Abscess Cases,0
Sangli,2018,Deaths,0
Sangli,2018,Other Complications,5
Satara,2018,Abscess Cases,0
Satara,2018,Deaths,0
Satara,2018,Other Complications,0
Sindhudurg,2018,Abscess Cases,0
Sindhudurg,2018,Deaths,0
Sindhudurg,2018,Other Complications,8
Solapur,2018,Abscess Cases,0
Solapur,2018,Deaths,2
Solapur,2018,Other Complications,0
Thane,2018,Abscess Cases,34
Thane,2018,Deaths,7
Thane,2018,Other Complications,128
Wardha,2018,Abscess Cases,0
Wardha,2018,Deaths,1
Wardha,2018,Other Complications,14
Washim,2018,Abscess Cases,0
Washim,2018,Deaths,1
Washim,2018,Other Complications,88
Yavatmal,2018,Abscess Cases,0
Yavatmal,2018,Deaths,0
Yavatmal,2018,Other Complications,16
Ahilyanagar,2017,Abscess Cases,0
Ahilyanagar,2017,Deaths,0
Ahilyanagar,2017,Other Complications,1
Akola,2017,Abscess Cases,0
Akola,2017,Deaths,0
Akola,2017,Other Complications,2
Amravati,2017,Abscess Cases,1
Amravati,2017,Deaths,0
Amravati,2017,Other Complications,0
Beed,2017,Abscess Cases,1
Beed,2017,Deaths,0
Beed,2017,Other Complications,0
Bhandara,2017,Abscess Cases,0
Bhandara,2017,Deaths,0
Bhandara,2017,Other Complications,10
Buldhana,2017,Abscess Cases,0
Buldhana,2017,Deaths,0
Buldhana,2017,Other Complications,6
Chandrapur,2017,Abscess Cases,1
Chandrapur,2017,Deaths,0
Chandrapur,2017,Other Complications,100
Chhatrapati Sambhaji Nagar,2017,Abscess Cases,0
Chhatrapati Sambhaji Nagar,2017,Deaths,0
Chhatrapati Sambhaji Nagar,2017,Other Complications,13
Dharashiv,2017,Abscess Cases,0
Dharashiv,2017,Deaths,0
Dharashiv,2017,Other Complications,10
Dhule,2017,Abscess Cases,0
Dhule,2017,Deaths,0
Dhule,2017,Other Complications,1
Gadchiroli,2017,Abscess Cases,0
Gadchiroli,2017,Deaths,0
Gadchiroli,2017,Other Complications,132
Gondia,2017,Abscess Cases,0
Gondia,2017,Deaths,1
Gondia,2017,Other Complications,6
Hingoli,2017,Abscess Cases,0
Hingoli,2017,Deaths,0
Hingoli,2017,Other Complications,4
Jalgaon,2017,Abscess Cases,1
Jalgaon,2017,Deaths,0
Jalgaon,2017,Other Complications,0
Jalna,2017,Abscess Cases,0
Jalna,2017,Deaths,0
Jalna,2017,Other Complications,177
Kolhapur,2017,Abscess Cases,2
Kolhapur,2017,Deaths,2
Kolhapur,2017,Other Complications,15
Latur,2017,Abscess Cases,0
Latur,2017,Deaths,0
Latur,2017,Other Complications,2
Mumbai,2017,Abscess Cases,1
Mumbai,2017,Deaths,8
Mumbai,2017,Other Complications,94
Nagpur,2017,Abscess Cases,1
Nagpur,2017,Deaths,0
Nagpur,2017,Other Complications,0
Nanded,2017,Abscess Cases,0
Nanded,2017,Deaths,0
Nanded,2017,Other Complications,0
Nandurbar,2017,Abscess Cases,0
Nandurbar,2017,Deaths,0
Nandurbar,2017,Other Complications,0
Nashik,2017,Abscess Cases,2
Nashik,2017,Deaths,0
Nashik,2017,Other Complications,10
Palghar,2017,Abscess Cases,0
Palghar,2017,Deaths,2
Palghar,2017,Other Complications,0
Parbhani,2017,Abscess Cases,0
Parbhani,2017,Deaths,0
Parbhani,2017,Other Complications,0
Pune,2017,Abscess Cases,17
Pune,2017,Deaths,1
Pune,2017,Other Complications,2590
Raigad,2017,Abscess Cases,0
Raigad,2017,Deaths,0
Raigad,2017,Other Complications,0
Ratnagiri,2017,Abscess Cases,0
Ratnagiri,2017,Deaths,0
Ratnagiri,2017,Other Complications,1
Sangli,2017,Abscess Cases,0
Sangli,2017,Deaths,0
Sangli,2017,Other Complications,3
Satara,2017,Abscess Cases,0
Satara,2017,Deaths,1
Satara,2017,Other Complications,0
Sindhudurg,2017,Abscess Cases,0
Sindhudurg,2017,Deaths,0
Sindhudurg,2017,Other Complications,6
Solapur,2017,Abscess Cases,4
Solapur,2017,Deaths,0
Solapur,2017,Other Complications,19
Thane,2017,Abscess Cases,11
Thane,2017,Deaths,3
Thane,2017,Other Complications,1903
Wardha,2017,Abscess Cases,0
Wardha,2017,Deaths,0
Wardha,2017,Other Complications,6
Washim,2017,Abscess Cases,0
Washim,2017,Deaths,0
Washim,2017,Other Complications,0
Yavatmal,2017,Abscess Cases,0
Yavatmal,2017,Deaths,0
Yavatmal,2017,Other Complications,13
Ahilyanagar,2016,Other Complications,6
Akola,2016,Other Complications,1
Amravati,2016,Other Complications,14
Beed,2016,Other Complications,1
Bhandara,2016,Other Complications,98
Buldhana,2016,Other Complications,15
Chandrapur,2016,Other Complications,67
Chhatrapati Sambhaji Nagar,2016,Other Complications,17
Dharashiv,2016,Other Complications,2
Dhule,2016,Other Complications,0
Gadchiroli,2016,Other Complications,120
Gondia,2016,Other Complications,0
Hingoli,2016,Other Complications,2
Jalgaon,2016,Other Complications,1
Jalna,2016,Other Complications,1
Kolhapur,2016,Other Complications,3
Latur,2016,Other Complications,50
Mumbai,2016,Other Complications,22
Nagpur,2016,Other Complications,0
Nanded,2016,Other Complications,54
Nandurbar,2016,Other Complications,0
Nashik,2016,Other Complications,3
Palghar,2016,Other Complications,0
Parbhani,2016,Other Complications,23
Pune,2016,Other Complications,1176
Raigad,2016,Other Complications,9
Ratnagiri,2016,Other Complications,3
Sangli,2016,Other Complications,0
Satara,2016,Other Complications,1
