District,Year,Moderately Anaemic Women,Women with Severe Anemia Treated at Institution
Latur,2012,30788,1621
Mumbai,2012,17514,2130
Nagpur,2012,79744,2299
Nanded,2012,38756,2608
Nandurbar,2012,20818,2263
Nashik,2012,40394,3430
Palghar,2012,,
Parbhani,2012,19076,1389
Pune,2012,88176,5823
Raigad,2012,19549,573
Ratnagiri,2012,16146,272
Sangli,2012,30682,854
Satara,2012,31970,1092
Sindhudurg,2012,7250,134
Solapur,2012,39946,2497
Thane,2012,104964,7320
Wardha,2012,12634,339
Washim,2012,12001,303
Yavatmal,2012,27417,1405
Ahilyanagar,2011,39059,2819
Akola,2011,20568,362
Amravati,2011,38053,2974
Beed,2011,21821,467
Bhandara,2011,14587,996
Buldhana,2011,20202,2841
Chandrapur,2011,26838,2339
Chh. Sambhaji Nagar,2011,28039,2875
Dharashiv,2011,17981,1705
Dhule,2011,8998,1540
Gadchiroli,2011,17023,2853
Gondia,2011,14593,936
Hingoli,2011,12827,992
Jalgaon,2011,32798,5260
Jalna,2011,15575,1718
Kolhapur,2011,26283,1583
Latur,2011,30408,2182
Mumbai,2011,26015,1069
Nagpur,2011,68021,2325
Nanded,2011,37032,3959
Nandurbar,2011,15311,2081
Nashik,2011,28582,4269
Palghar,2011,,
Parbhani,2011,14199,1559
Pune,2011,63107,4202
Raigad,2011,16751,1170
Ratnagiri,2011,16569,592
Sangli,2011,21716,1214
Satara,2011,26104,1883
Sindhudurg,2011,7993,502
Solapur,2011,37057,2582
Thane,2011,63839,4434
Wardha,2011,10234,117
Washim,2011,8814,442
Yavatmal,2011,26971,2987
Ahilyanagar,2010,,
Akola,2010,4334,1866
Amravati,2010,4921,64
Beed,2010,,
Bhandara,2010,,
Buldhana,2010,,
Chandrapur,2010,,
Chh. Sambhaji Nagar,2010,18,
Dharashiv,2010,19,
Dhule,2010,26,
Gadchiroli,2010,,
Gondia,2010,,
Hingoli,2010,,
Jalgaon,2010,,
Jalna,2010,16378,1418
Kolhapur,2010,,
Latur,2010,,
Mumbai,2010,,
Nagpur,2010,,
Nanded,2010,,
Nandurbar,2010,,
Nashik,2010,,
Palghar,2010,,
Parbhani,2010,,
Pune,2010,,
Raigad,2010,,
Ratnagiri,2010,,
Sangli,2010,3963,138
Satara,2010,,
Sindhudurg,2010,,
Solapur,2010,29557,9016
Thane,2010,530,530
Wardha,2010,,
Washim,2010,,
Yavatmal,2010,,
Ahilyanagar,2009,,
Akola,2009,,
Amravati,2009,653,175
Beed,2009,,
Bhandara,2009,,
Buldhana,2009,,
Chandrapur,2009,,
Chh. Sambhaji Nagar,2009,,
Dharashiv,2009,,
Dhule,2009,,
Gadchiroli,2009,,
Gondia,2009,,
Hingoli,2009,,
Jalgaon,2009,,
Jalna,2009,16276,1252
Kolhapur,2009,,
Latur,2009,,
Mumbai,2009,,
Nagpur,2009,1105,1105
Nanded,2009,,
Nandurbar,2009,,
Nashik,2009,,
Palghar,2009,,
Parbhani,2009,,
Pune,2009,1236,672
Raigad,2009,,
Ratnagiri,2009,,
Sangli,2009,,
Satara,2009,,
Sindhudurg,2009,,
Solapur,2009,15518,11280
Thane,2009,,
Wardha,2009,,
Washim,2009,,
Yavatmal,2009,,
Ahilyanagar,2008,,
Akola,2008,,
Amravati,2008,,
Beed,2008,,
Bhandara,2008,,
Buldhana,2008,,
Chandrapur,2008,,
Chh. Sambhaji Nagar,2008,,
Dharashiv,2008,,
Dhule,2008,,
Gadchiroli,2008,,
Gondia,2008,,
Hingoli,2008,,
Jalgaon,2008,,
Jalna,2008,,
Kolhapur,2008,,
Latur,2008,,
Mumbai,2008,,
Nagpur,2008,,
Nanded,2008,,
Nandurbar,2008,,
Nashik,2008,,
Palghar,2008,,
Parbhani,2008,,
Pune,2008,,
Raigad,2008,,
Ratnagiri,2008,,
Sangli,2008,,
Satara,2008,,
Sindhudurg,2008,,
Solapur,2008,,
Thane,2008,,
Wardha,2008,,
Washim,2008,,
Yavatmal,2008,,
