District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Gadchiroli,2012,Dhanora,Total,159,159,156,140,3,16,140
Gadchiroli,2012,Dhanora,Rural,159,159,156,140,3,16,140
Gadchiroli,2012,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Etapalli,Total,156,156,155,147,9,0,147
Gadchiroli,2012,Etapalli,Rural,156,156,155,147,9,0,147
Gadchiroli,2012,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Gadchiroli,Total,196,196,193,128,55,13,166
Gadchiroli,2012,Gadchiroli,Rural,148,148,145,128,12,8,128
Gadchiroli,2012,Gadchiroli,Urban,48,48,48,0,43,5,38
Gadchiroli,2012,Korachi,Total,100,100,94,70,21,9,70
Gadchiroli,2012,Korachi,Rural,100,100,94,70,21,9,70
Gadchiroli,2012,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Kurkheda,Total,141,141,139,141,0,0,141
Gadchiroli,2012,Kurkheda,Rural,141,141,139,141,0,0,141
Gadchiroli,2012,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Mulchera,Total,106,106,106,84,11,11,84
Gadchiroli,2012,Mulchera,Rural,106,106,106,84,11,11,84
Gadchiroli,2012,Mulchera,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Sironcha,Total,151,151,144,123,6,22,123
Gadchiroli,2012,Sironcha,Rural,151,151,144,123,6,22,123
Gadchiroli,2012,Sironcha,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Aarmori,Total,162,162,157,140,5,17,140
Gadchiroli,2013,Aarmori,Rural,162,162,157,140,5,17,140
Gadchiroli,2013,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Aheri,Total,180,180,180,157,9,14,157
Gadchiroli,2013,Aheri,Rural,180,180,180,157,9,14,157
Gadchiroli,2013,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Bhamragad,Total,98,98,93,72,12,14,72
Gadchiroli,2013,Bhamragad,Rural,98,98,93,72,12,14,72
Gadchiroli,2013,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Chomoshi,Total,288,288,288,241,17,30,241
Gadchiroli,2013,Chomoshi,Rural,288,288,288,241,17,30,241
Gadchiroli,2013,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Desaiganj,Total,123,123,118,80,42,1,114
Gadchiroli,2013,Desaiganj,Rural,82,82,81,80,1,1,80
Gadchiroli,2013,Desaiganj,Urban,41,41,37,0,41,0,34
Gadchiroli,2013,Dhanora,Total,159,159,159,152,3,4,152
Gadchiroli,2013,Dhanora,Rural,159,159,159,152,3,4,152
Gadchiroli,2013,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Etapalli,Total,156,156,154,152,2,2,152
Gadchiroli,2013,Etapalli,Rural,156,156,154,152,2,2,152
Gadchiroli,2013,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Gadchiroli,Total,196,196,194,137,52,7,174
Gadchiroli,2013,Gadchiroli,Rural,148,148,146,137,9,2,137
Gadchiroli,2013,Gadchiroli,Urban,48,48,48,0,43,5,37
Gadchiroli,2013,Korachi,Total,100,100,99,91,3,6,91
Gadchiroli,2013,Korachi,Rural,100,100,99,91,3,6,91
Gadchiroli,2013,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Kurkheda,Total,141,141,141,131,0,10,131
Gadchiroli,2013,Kurkheda,Rural,141,141,141,131,0,10,131
Gadchiroli,2013,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Mulchera,Total,106,106,104,95,1,10,95
Gadchiroli,2013,Mulchera,Rural,106,106,104,95,1,10,95
Gadchiroli,2013,Mulchera,Urban,0,0,0,0,0,0,0
Gadchiroli,2013,Sironcha,Total,151,151,149,133,6,12,133
Gadchiroli,2013,Sironcha,Rural,151,151,149,133,6,12,133
Gadchiroli,2013,Sironcha,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Aarmori,Total,162,162,159,152,1,9,152
Gadchiroli,2014,Aarmori,Rural,162,162,159,152,1,9,152
Gadchiroli,2014,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Aheri,Total,180,180,175,161,10,9,161
Gadchiroli,2014,Aheri,Rural,180,180,175,161,10,9,161
Gadchiroli,2014,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Bhamragad,Total,98,98,93,63,3,32,63
Gadchiroli,2014,Bhamragad,Rural,98,98,93,63,3,32,63
Gadchiroli,2014,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Chomoshi,Total,288,288,286,254,12,22,254
Gadchiroli,2014,Chomoshi,Rural,288,288,286,254,12,22,254
Gadchiroli,2014,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Desaiganj,Total,123,123,117,81,41,1,115
Gadchiroli,2014,Desaiganj,Rural,82,82,80,81,0,1,81
Gadchiroli,2014,Desaiganj,Urban,41,41,37,0,41,0,34
Gadchiroli,2014,Dhanora,Total,159,159,155,153,2,4,153
Gadchiroli,2014,Dhanora,Rural,159,159,155,153,2,4,153
Gadchiroli,2014,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Etapalli,Total,156,156,149,149,5,2,149
Gadchiroli,2014,Etapalli,Rural,156,156,149,149,5,2,149
Gadchiroli,2014,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Gadchiroli,Total,196,196,196,125,50,21,165
Gadchiroli,2014,Gadchiroli,Rural,148,148,148,125,7,16,125
Gadchiroli,2014,Gadchiroli,Urban,48,48,48,0,43,5,40
Gadchiroli,2014,Korachi,Total,100,100,99,91,4,5,91
Gadchiroli,2014,Korachi,Rural,100,100,99,91,4,5,91
Gadchiroli,2014,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Kurkheda,Total,141,141,140,134,3,4,134
Gadchiroli,2014,Kurkheda,Rural,141,141,140,134,3,4,134
Gadchiroli,2014,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Mulchera,Total,106,106,102,84,13,9,84
Gadchiroli,2014,Mulchera,Rural,106,106,102,84,13,9,84
Gadchiroli,2014,Mulchera,Urban,0,0,0,0,0,0,0
Gadchiroli,2014,Sironcha,Total,151,151,149,127,5,19,127
Gadchiroli,2014,Sironcha,Rural,151,151,149,127,5,19,127
Gadchiroli,2014,Sironcha,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Aarmori,Total,162,162,162,148,0,14,139
Gadchiroli,2015,Aarmori,Rural,162,162,162,148,0,14,139
Gadchiroli,2015,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Aheri,Total,180,180,175,149,16,15,71
Gadchiroli,2015,Aheri,Rural,180,180,175,149,16,15,71
Gadchiroli,2015,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Bhamragad,Total,98,98,92,63,16,19,46
Gadchiroli,2015,Bhamragad,Rural,98,98,92,63,16,19,46
Gadchiroli,2015,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Chomoshi,Total,288,288,285,255,8,25,150
Gadchiroli,2015,Chomoshi,Rural,288,288,285,255,8,25,150
Gadchiroli,2015,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Desaiganj,Total,123,123,123,81,40,2,101
Gadchiroli,2015,Desaiganj,Rural,82,82,82,81,0,1,69
Gadchiroli,2015,Desaiganj,Urban,41,41,41,0,40,1,32
Gadchiroli,2015,Dhanora,Total,159,159,155,133,13,13,73
Gadchiroli,2015,Dhanora,Rural,159,159,155,133,13,13,73
Gadchiroli,2015,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Etapalli,Total,156,156,153,153,2,1,64
Gadchiroli,2015,Etapalli,Rural,156,156,153,153,2,1,64
Gadchiroli,2015,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Gadchiroli,Total,196,196,196,140,43,13,88
Gadchiroli,2015,Gadchiroli,Rural,148,148,148,131,8,9,48
Gadchiroli,2015,Gadchiroli,Urban,48,48,48,9,35,4,40
Gadchiroli,2015,Korachi,Total,100,100,99,94,3,3,53
Gadchiroli,2015,Korachi,Rural,100,100,99,94,3,3,53
Gadchiroli,2015,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Kurkheda,Total,141,141,138,136,4,1,120
Gadchiroli,2015,Kurkheda,Rural,141,141,138,136,4,1,120
Gadchiroli,2015,Kurkheda,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Mulchera,Total,106,106,106,100,4,2,52
Gadchiroli,2015,Mulchera,Rural,106,106,106,100,4,2,52
Gadchiroli,2015,Mulchera,Urban,0,0,0,0,0,0,0
Gadchiroli,2015,Sironcha,Total,151,151,150,133,5,13,83
Gadchiroli,2015,Sironcha,Rural,151,151,150,133,5,13,83
Gadchiroli,2015,Sironcha,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Aarmori,Total,162,162,161,153,0,9,97
Gadchiroli,2016,Aarmori,Rural,162,162,161,153,0,9,97
Gadchiroli,2016,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Aheri,Total,180,180,175,158,20,2,102
Gadchiroli,2016,Aheri,Rural,180,180,175,158,20,2,102
Gadchiroli,2016,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Bhamragad,Total,98,98,92,68,14,16,62
Gadchiroli,2016,Bhamragad,Rural,98,98,92,68,14,16,62
Gadchiroli,2016,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Chomoshi,Total,288,288,286,267,8,13,153
Gadchiroli,2016,Chomoshi,Rural,288,288,286,267,8,13,153
Gadchiroli,2016,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Desaiganj,Total,123,123,122,95,26,2,66
Gadchiroli,2016,Desaiganj,Rural,82,82,82,80,0,2,34
Gadchiroli,2016,Desaiganj,Urban,41,41,40,15,26,0,32
Gadchiroli,2016,Dhanora,Total,159,159,156,137,16,6,113
Gadchiroli,2016,Dhanora,Rural,159,159,156,137,16,6,113
Gadchiroli,2016,Dhanora,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Etapalli,Total,156,156,154,145,10,1,105
Gadchiroli,2016,Etapalli,Rural,156,156,154,145,10,1,105
Gadchiroli,2016,Etapalli,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Gadchiroli,Total,196,196,196,141,45,10,164
Gadchiroli,2016,Gadchiroli,Rural,148,148,148,132,9,7,124
Gadchiroli,2016,Gadchiroli,Urban,48,48,48,9,36,3,40
Gadchiroli,2016,Korachi,Total,100,100,99,91,5,4,73
Gadchiroli,2016,Korachi,Rural,100,100,99,91,5,4,73
Gadchiroli,2016,Korachi,Urban,0,0,0,0,0,0,0
Gadchiroli,2016,Kurkheda,Total,141,141,136,136,5,0,124
