District,Year,Taluka,Rural/Urban,Family Welfare Centers,Fertile Couples,Male Sterilization Numbers,Female Sterilization Numbers,IUDs Inserted,Other Family Planning Methods Used
Latur,2016,Nilanga,Rural,7,18802,6,1260,1024,1475
Latur,2016,Nilanga,Urban,1,5911,0,262,0,338
Latur,2016,Nilanga,Total,8,24713,6,1522,1024,1813
Latur,2016,Devani,Rural,2,15837,2,523,384,237
Latur,2016,Devani,Urban,0,0,0,0,0,0
Latur,2016,Devani,Total,2,15837,2,523,384,237
Latur,2016,Udgir,Rural,5,31350,4,984,773,1090
Latur,2016,Udgir,Urban,1,20015,0,889,0,2015
Latur,2016,Udgir,Total,6,51365,4,1873,773,3105
Latur,2017,Latur,Rural,8,282433,7,1255,768,8464
Latur,2017,Latur,Urban,2,48708,0,25407,12163,12673
Latur,2017,Latur,Total,10,"3,31,141",7,26662,12931,21137
Latur,2017,Renapur,Rural,5,21686,3,648,377,5038
Latur,2017,Renapur,Urban,0,0,0,0,0,0
Latur,2017,Renapur,Total,5,21686,3,648,377,5038
Latur,2017,Ahamadpur,Rural,5,27498,3,813,492,5280
Latur,2017,Ahamadpur,Urban,1,7672,27,3232,672,2051
Latur,2017,Ahamadpur,Total,6,35170,30,4045,1164,7331
Latur,2017,Jalkot,Rural,2,12571,0,464,395,2959
Latur,2017,Jalkot,Urban,0,0,0,0,0,0
Latur,2017,Jalkot,Total,2,12571,0,464,395,2959
Latur,2017,Chakur,Rural,3,29259,4,714,588,6267
Latur,2017,Chakur,Urban,0,0,0,0,0,0
Latur,2017,Chakur,Total,3,29259,4,714,588,6267
Latur,2017,Shirur-Anantpal,Rural,2,12371,0,446,288,2984
Latur,2017,Shirur-Anantpal,Urban,0,0,0,0,0,0
Latur,2017,Shirur-Anantpal,Total,2,12371,0,446,288,2984
Latur,2017,Aosa,Rural,7,40971,10,1304,950,8764
Latur,2017,Aosa,Urban,1,6301,0,3062,228,457
Latur,2017,Aosa,Total,8,47272,0,4366,1178,9221
Latur,2017,Nilanga,Rural,7,44195,3,1333,701,9554
Latur,2017,Nilanga,Urban,1,5963,11,3972,101,256
Latur,2017,Nilanga,Total,8,50158,14,5305,802,9810
Latur,2017,Devani,Rural,2,15530,0,501,76,2691
Latur,2017,Devani,Urban,0,0,0,0,0,0
Latur,2017,Devani,Total,2,15530,0,501,76,2691
Latur,2017,Udgir,Rural,5,32119,1,1083,638,7946
Latur,2017,Udgir,Urban,1,20387,25,12880,1486,1892
Latur,2017,Udgir,Total,6,52506,26,13963,2124,9838
Latur,2018,Latur,Rural,8,41207,5,1133,958,68200
Latur,2018,Latur,Urban,3,55479,0,27303,18858,4999
Latur,2018,Latur,Total,11,96686,5,28436,19816,73199
Latur,2018,Renapur,Rural,5,19388,2,492,364,32372
Latur,2018,Renapur,Urban,0,0,0,0,0,0
Latur,2018,Renapur,Total,5,19388,2,492,364,32372
Latur,2018,Ahamadpur,Rural,5,26709,2,705,678,39519
Latur,2018,Ahamadpur,Urban,1,7235,26,4761,180,456
Latur,2018,Ahamadpur,Total,6,33944,28,5466,858,39975
Latur,2018,Jalkot,Rural,2,12688,0,418,318,24865
Latur,2018,Jalkot,Urban,0,0,0,0,0,0
Latur,2018,Jalkot,Total,2,12688,0,418,318,24865
Latur,2018,Chakur,Rural,3,27951,0,588,792,43358
Latur,2018,Chakur,Urban,0,0,0,0,0,0
Latur,2018,Chakur,Total,3,27951,0,588,792,43358
Latur,2018,Shirur-Anantpal,Rural,2,10683,3,432,313,31566
Latur,2018,Shirur-Anantpal,Urban,0,0,0,0,0,0
Latur,2018,Shirur-Anantpal,Total,2,10683,3,432,313,31566
Latur,2018,Aosa,Rural,7,41389,0,991,789,54386
Latur,2018,Aosa,Urban,1,6102,0,3032,228,442
Latur,2018,Aosa,Total,8,47491,0,4023,1017,54828
Latur,2018,Nilanga,Rural,7,44677,8,1004,937,56096
Latur,2018,Nilanga,Urban,1,5971,11,3976,102,257
Latur,2018,Nilanga,Total,8,50648,19,4980,1039,56353
Latur,2018,Devani,Rural,2,14971,2,468,25,3470
Latur,2018,Devani,Urban,0,0,0,0,0,0
Latur,2018,Devani,Total,2,14971,2,468,25,3470
Latur,2018,Udgir,Rural,5,67365,2,921,753,25478
Latur,2018,Udgir,Urban,1,20515,25,13366,598,1564
Latur,2018,Udgir,Total,6,87880,27,14287,1351,27042
Latur,2019,Latur,Rural,8,41207,6,980,632,54106
Latur,2019,Latur,Urban,3,59782,0,23840,1460,3864
Latur,2019,Latur,Total,11,100989,6,24820,2092,57970
Latur,2019,Renapur,Rural,5,11388,4,414,413,33335
Latur,2019,Renapur,Urban,0,0,0,0,0,0
Latur,2019,Renapur,Total,5,19388,4,414,413,33335
Latur,2019,Ahamadpur,Rural,5,26709,10,606,326,31873
Latur,2019,Ahamadpur,Urban,1,7139,25,4819,0,604
Latur,2019,Ahamadpur,Total,6,33848,35,5425,326,32477
Latur,2019,Jalkot,Rural,2,12688,3,381,251,13932
Latur,2019,Jalkot,Urban,0,0,0,0,0,0
Latur,2019,Jalkot,Total,2,12688,3,381,251,13932
Latur,2019,Chakur,Rural,3,27951,0,799,690,49279
Latur,2019,Chakur,Urban,0,0,0,0,0,0
Latur,2019,Chakur,Total,3,27951,0,799,690,49279
Latur,2019,Shirur-Anantpal,Rural,2,10683,2,396,233,13475
Latur,2019,Shirur-Anantpal,Urban,0,0,0,0,0,0
Latur,2019,Shirur-Anantpal,Total,2,10683,2,396,233,13475
Latur,2019,Aosa,Rural,7,41389,1,760,478,44293
Latur,2019,Aosa,Urban,1,6137,0,3072,0,696
Latur,2019,Aosa,Total,8,47526,1,3832,478,44989
Latur,2019,Nilanga,Rural,7,44677,3,835,646,35887
Latur,2019,Nilanga,Urban,1,6069,11,3891,0,513
Latur,2019,Nilanga,Total,8,50746,14,4726,646,36400
Latur,2019,Devani,Rural,2,14971,2,314,52,4651
Latur,2019,Devani,Urban,0,0,0,0,0,0
Latur,2019,Devani,Total,2,14971,2,314,52,4651
Latur,2019,Udgir,Rural,5,31469,3,812,611,8608
Latur,2019,Udgir,Urban,1,20823,25,13398,0,3178
Latur,2019,Udgir,Total,6,52292,28,14210,611,11786
Latur,2020,Latur,Rural,8,41207,1,493,820,53327
Latur,2020,Latur,Urban,3,61668,0,24331,1578,4339
Latur,2020,Latur,Total,11,102875,1,24824,2398,57666
Latur,2020,Renapur,Rural,5,11388,3,208,452,28147
Latur,2020,Renapur,Urban,0,0,0,0,0,0
Latur,2020,Renapur,Total,5,11388,3,208,452,28147
Latur,2020,Ahamadpur,Rural,5,26709,2,566,349,17906
Latur,2020,Ahamadpur,Urban,1,7783,28,5292,0,600
Latur,2020,Ahamadpur,Total,6,34492,30,5858,349,18506
Latur,2020,Jalkot,Rural,2,12688,3,378,329,16856
Latur,2020,Jalkot,Urban,0,0,0,0,0,0
Latur,2020,Jalkot,Total,2,12688,3,378,329,16856
Latur,2020,Chakur,Rural,3,27951,1,294,665,38611
Latur,2020,Chakur,Urban,0,0,0,0,0,0
Latur,2020,Chakur,Total,3,27951,1,294,665,38611
Latur,2020,Shirur-Anantpal,Rural,2,12837,0,264,152,12700
Latur,2020,Shirur-Anantpal,Urban,0,0,0,0,0,0
Latur,2020,Shirur-Anantpal,Total,2,12837,0,264,152,12700
Latur,2020,Aosa,Rural,7,41389,0,455,793,52272
Latur,2020,Aosa,Urban,1,6279,0,3096,0,765
Latur,2020,Aosa,Total,8,47668,0,3551,793,53037
Latur,2020,Nilanga,Rural,7,44677,1,471,895,41513
Latur,2020,Nilanga,Urban,1,6093,14,3737,0,551
Latur,2020,Nilanga,Total,8,50770,15,4208,895,42064
Latur,2020,Devani,Rural,2,14971,1,334,225,3541
Latur,2020,Devani,Urban,0,0,0,0,0,0
Latur,2020,Devani,Total,2,14971,1,334,225,3541
Latur,2020,Udgir,Rural,5,31469,1,462,814,12800
Latur,2020,Udgir,Urban,1,21532,25,13489,0,3451
Latur,2020,Udgir,Total,6,53001,26,13951,814,16251
Latur,2021,Latur,Rural,8,41207,4,468,836,54598
Latur,2021,Latur,Urban,3,83664,0,1094,31,30394
Latur,2021,Latur,Total,11,124871,4,1562,867,84992
Latur,2021,Renapur,Rural,5,19388,0,197,531,18045
Latur,2021,Renapur,Urban,0,0,0,0,0,0
Latur,2021,Renapur,Total,5,19388,0,197,531,18045
Latur,2021,Ahamadpur,Rural,5,26709,2,612,319,14058
Latur,2021,Ahamadpur,Urban,1,7783,0,328,5,1104
Latur,2021,Ahamadpur,Total,6,34492,2,940,324,15162
Latur,2021,Jalkot,Rural,2,12688,0,241,384,16694
Latur,2021,Jalkot,Urban,0,0,0,0,0,0
Latur,2021,Jalkot,Total,2,12688,0,241,384,16694
Latur,2021,Chakur,Rural,3,27951,4,278,605,43338
Latur,2021,Chakur,Urban,0,0,0,0,0,0
Latur,2021,Chakur,Total,3,27951,4,278,605,43338
Latur,2021,Shirur-Anantpal,Rural,2,12837,6,138,274,6531
Latur,2021,Shirur-Anantpal,Urban,0,0,0,0,0,0
Latur,2021,Shirur-Anantpal,Total,2,12837,6,138,274,6531
Latur,2021,Aosa,Rural,7,41389,0,559,914,54960
Latur,2021,Aosa,Urban,1,6279,0,323,0,822
Latur,2021,Aosa,Total,8,47668,0,882,914,55782
Latur,2021,Nilanga,Rural,7,44677,4,603,556,35955
Latur,2021,Nilanga,Urban,1,6093,0,426,0,765
Latur,2021,Nilanga,Total,8,50770,4,1029,556,36720
Latur,2021,Devani,Rural,2,14971,2,440,278,4174
Latur,2021,Devani,Urban,0,0,0,0,0,0
Latur,2021,Devani,Total,2,14971,2,440,278,4174
Latur,2021,Udgir,Rural,5,31469,1,709,1135,27282
Latur,2021,Udgir,Urban,1,21532,0,533,27,2543
Latur,2021,Udgir,Total,6,53001,1,1242,1162,29825
Nandurbar,2012,Akkalkuva,Rural,17,39986,238,2454,373,1583
Nandurbar,2012,Akkalkuva,Urban,,,,,,
Nandurbar,2012,Akkalkuva,Total,17,39986,238,2454,373,1583
Nandurbar,2012,Akrani,Rural,15,33062,1042,2043,262,1405
Nandurbar,2012,Akrani,Urban,,,,,,
Nandurbar,2012,Akrani,Total,15,33062,1042,2043,262,1405
Nandurbar,2012,Taloda,Rural,4,20135,69,235,134,742
Nandurbar,2012,Taloda,Urban,,,,,,
Nandurbar,2012,Taloda,Total,5,25515,100,2388,259,849
Nandurbar,2012,Shahada,Rural,12,54742,35,1192,457,1750
Nandurbar,2012,Shahada,Urban,,,,,,
Nandurbar,2012,Shahada,Total,14,56152,1027,6523,648,1866
Nandurbar,2012,Nandurbar,Rural,7,33866,7,1289,383,2139
Nandurbar,2012,Nandurbar,Urban,,,,,,
Nandurbar,2012,Nandurbar,Total,11,44822,38,6099,540,2349
Nandurbar,2012,Navapur,Rural,9,32202,89,230,244,2182
Nandurbar,2012,Navapur,Urban,,,,,,
Nandurbar,2012,Navapur,Total,12,49937,95,2373,413,2320
Nandurbar,2013,Akkalkuva,Rural,16,36164,98,290,321,57471
Nandurbar,2013,Akkalkuva,Urban,,,,,,
