District,Year,Sex,Select Cause,Number
Satara,2015,Male,Traffic,10
Satara,2015,Male,Electric Shock,0
Satara,2015,Male,Burns,5
Satara,2015,Male,Other Accidents,43
Satara,2015,Male,Other Reasons,78
Satara,2015,Female,Winter Fever,0
Satara,2015,Female,Typhoid Fever,0
Satara,2015,Female,Tuberculosis,94
Satara,2015,Female,Pneumonia/ Respiratory disorders,4
Satara,2015,Female,Diarrhoea or Gastro,0
Satara,2015,Female,AIDS,2
Satara,2015,Female,Heart Disorder,158
Satara,2015,Female,Cancer,30
Satara,2015,Female,Maternal Death during Childbirth,0
Satara,2015,Female,Paralysis,54
Satara,2015,Female,Kidney Related,11
Satara,2015,Female,Suicide,3
Satara,2015,Female,Traffic,6
Satara,2015,Female,Electric Shock,1
Satara,2015,Female,Burns,9
Satara,2015,Female,Other Accidents,40
Satara,2015,Female,Other Reasons,34
Satara,2016,Total,Winter Fever,0
Satara,2016,Total,Typhoid Fever,0
Satara,2016,Total,Tuberculosis,0
Satara,2016,Total,Pneumonia/ Respiratory disorders,183
Satara,2016,Total,Diarrhoea or Gastro,0
Satara,2016,Total,AIDS,12
Satara,2016,Total,Heart Disorder,406
Satara,2016,Total,Cancer,60
Satara,2016,Total,Maternal Death during Childbirth,0
Satara,2016,Total,Paralysis,118
Satara,2016,Total,Kidney Related,25
Satara,2016,Total,Suicide,27
Satara,2016,Total,Traffic,92
Satara,2016,Total,Electric Shock,0
Satara,2016,Total,Burns,16
Satara,2016,Total,Other Accidents,11
Satara,2016,Total,Other Reasons,112
Satara,2016,Male,Winter Fever,0
Satara,2016,Male,Typhoid Fever,0
Satara,2016,Male,Tuberculosis,0
Satara,2016,Male,Pneumonia/ Respiratory disorders,75
Satara,2016,Male,Diarrhoea or Gastro,0
Satara,2016,Male,AIDS,8
Satara,2016,Male,Heart Disorder,248
Satara,2016,Male,Cancer,29
Satara,2016,Male,Maternal Death during Childbirth,0
Satara,2016,Male,Paralysis,62
Satara,2016,Male,Kidney Related,14
Satara,2016,Male,Suicide,24
Satara,2016,Male,Traffic,52
Satara,2016,Male,Electric Shock,0
Satara,2016,Male,Burns,6
Satara,2016,Male,Other Accidents,5
Satara,2016,Male,Other Reasons,84
Satara,2016,Female,Winter Fever,0
Satara,2016,Female,Typhoid Fever,0
Satara,2016,Female,Tuberculosis,0
Satara,2016,Female,Pneumonia/ Respiratory disorders,108
Satara,2016,Female,Diarrhoea or Gastro,0
Satara,2016,Female,AIDS,4
Satara,2016,Female,Heart Disorder,158
Satara,2016,Female,Cancer,31
Satara,2016,Female,Maternal Death during Childbirth,0
Satara,2016,Female,Paralysis,56
Satara,2016,Female,Kidney Related,11
Satara,2016,Female,Suicide,3
Satara,2016,Female,Traffic,40
Satara,2016,Female,Electric Shock,0
Satara,2016,Female,Burns,10
Satara,2016,Female,Other Accidents,6
Satara,2016,Female,Other Reasons,28
Satara,2017,Total,Winter Fever,4
Satara,2017,Total,Typhoid Fever,0
Satara,2017,Total,Tuberculosis,115
Satara,2017,Total,Pneumonia/ Respiratory disorders,2752
Satara,2017,Total,Diarrhoea or Gastro,21
Satara,2017,Total,AIDS,62
Satara,2017,Total,Heart Disorder,4164
Satara,2017,Total,Cancer,457
Satara,2017,Total,Maternal Death during Childbirth,16
Satara,2017,Total,Paralysis,574
Satara,2017,Total,Kidney Related,321
Satara,2017,Total,Suicide,305
Satara,2017,Total,Traffic,0
Satara,2017,Total,Electric Shock,0
Satara,2017,Total,Burns,0
Satara,2017,Total,Other Accidents,4041
Satara,2017,Total,Other Reasons,863
Satara,2017,Male,Winter Fever,1
Satara,2017,Male,Typhoid Fever,0
Satara,2017,Male,Tuberculosis,62
Satara,2017,Male,Pneumonia/ Respiratory disorders,1362
Satara,2017,Male,Diarrhoea or Gastro,12
Satara,2017,Male,AIDS,35
Satara,2017,Male,Heart Disorder,2130
Satara,2017,Male,Cancer,246
Satara,2017,Male,Maternal Death during Childbirth,0
Satara,2017,Male,Paralysis,295
Satara,2017,Male,Kidney Related,155
Satara,2017,Male,Suicide,152
Satara,2017,Male,Traffic,0
Satara,2017,Male,Electric Shock,0
Satara,2017,Male,Burns,0
Satara,2017,Male,Other Accidents,2115
Satara,2017,Male,Other Reasons,404
Satara,2017,Female,Winter Fever,3
Satara,2017,Female,Typhoid Fever,0
Satara,2017,Female,Tuberculosis,53
Satara,2017,Female,Pneumonia/ Respiratory disorders,1390
Satara,2017,Female,Diarrhoea or Gastro,9
Satara,2017,Female,AIDS,27
Satara,2017,Female,Heart Disorder,2034
Satara,2017,Female,Cancer,211
Satara,2017,Female,Maternal Death during Childbirth,16
Satara,2017,Female,Paralysis,279
Satara,2017,Female,Kidney Related,166
Satara,2017,Female,Suicide,153
Satara,2017,Female,Traffic,0
Satara,2017,Female,Electric Shock,0
Satara,2017,Female,Burns,0
Satara,2017,Female,Other Accidents,1926
Satara,2017,Female,Other Reasons,459
Satara,2018,Total,Winter Fever,2
Satara,2018,Total,Typhoid Fever,0
Satara,2018,Total,Tuberculosis,79
Satara,2018,Total,Pneumonia/ Respiratory disorders,2414
Satara,2018,Total,Diarrhoea or Gastro,19
Satara,2018,Total,Dengue,0
Satara,2018,Total,Swine Flu,0
Satara,2018,Total,AIDS,86
Satara,2018,Total,Heart Disorder,4224
Satara,2018,Total,Cancer,441
Satara,2018,Total,Maternal Death during Childbirth,20
Satara,2018,Total,Paralysis,616
Satara,2018,Total,Kidney Related,378
Satara,2018,Total,Suicide,253
Satara,2018,Total,Traffic,0
Satara,2018,Total,Electric Shock,0
Satara,2018,Total,Burns,439
Satara,2018,Total,Other Accidents,4157
Satara,2018,Total,Other Reasons,5284
Satara,2018,Male,Winter Fever,1
Satara,2018,Male,Typhoid Fever,0
Satara,2018,Male,Tuberculosis,37
Satara,2018,Male,Pneumonia/ Respiratory disorders,1156
Satara,2018,Male,Diarrhoea or Gastro,10
Satara,2018,Male,Dengue,0
Satara,2018,Male,Swine Flu,0
