District,Year,Infant Deaths Reported,Sepsis x,Asphyxia x,Pneumonia x,Diarrhea x,Fever x,Measles x,Low Birth Weight x,Sepsis,Asphyxia,Pneumonia,Diarrhea,Fever,Measles,Low Birth Weight
Sindhudurg,2017,45,0,8.9,4.4,0,2.2,0,,,,,,,,
Solapur,2017,872,8.6,13.5,2.6,0,4.5,0,,,,,,,,
Thane,2017,803,8,11.6,2.9,0.1,0.7,0,,,,,,,,
Wardha,2017,249,8.8,9.2,3.6,0,0.8,0,,,,,,,,
Washim,2017,162,14.2,11.7,8,0,0,0,,,,,,,,
Yavatmal,2017,412,2.7,2.4,1.9,0,1,0,,,,,,,,
Ahilyanagar,2016,330,3.5,12.2,3.2,0,0,0,27.9,,,,,,,
Akola,2016,1025,19.6,14.5,1.4,0,0,0,31.9,,,,,,,
Amravati,2016,544,1.7,15.8,9.3,0,0,0.4,23.2,,,,,,,
Beed,2016,254,3.9,12.1,3.9,0,0,0.4,39.2,,,,,,,
Bhandara,2016,280,6.2,13.6,4.9,0,0,0,37,,,,,,,
Buldhana,2016,292,8.8,14.1,2.4,0,0,0,39,,,,,,,
Chandrapur,2016,550,16.7,12.7,3.9,0,0,0.5,13.7,,,,,,,
Chh. Sambhaji Nagar,2016,113,10.2,7.1,2,0,0,0,23.5,,,,,,,
Dharashiv,2016,109,7.2,13,1.4,0,0,0,26.1,,,,,,,
Dhule,2016,443,11.8,7.6,7.9,0,0,0.3,15.8,,,,,,,
Gadchiroli,2016,398,7,17.9,6.1,0,0,0.6,24,,,,,,,
Gondia,2016,295,10.6,19.3,2.6,0,0,0.4,38,,,,,,,
Hingoli,2016,176,1.3,13.2,0,0,0,2,33.6,,,,,,,
Jalgaon,2016,696,4.6,13.5,1.8,0,0,0,16.5,,,,,,,
Jalna,2016,151,4.4,16.2,1.5,0,0,0,32.4,,,,,,,
Kolhapur,2016,345,4.1,5.1,1,0,0,0,36,,,,,,,
Latur,2016,40,2.7,8.1,2.7,0,0,0,18.9,,,,,,,
Mumbai,2016,1097,18.3,14.1,8.8,0.8,0.3,0.1,15.5,,,,,,,
Nagpur,2016,201,0.5,13.9,4.3,0,0,0,20.3,,,,,,,
Nanded,2016,93,1.3,8.8,3.8,0,0,0,25,,,,,,,
Nandurbar,2016,632,6.9,14.9,8,0,0,0,33.1,,,,,,,
Nashik,2016,702,4,14.8,8.1,0,0,0,26.2,,,,,,,
Palghar,2016,378,1.9,14.2,9.2,0,0,0.6,24.5,,,,,,,
Parbhani,2016,57,7,28.1,0,3.5,0,0,17.5,,,,,,,
Pune,2016,591,7.8,6.5,5.9,0,0,0,14.3,,,,,,,
Raigad,2016,258,0.4,11.9,3.5,0,0,0,37,,,,,,,
Ratnagiri,2016,169,4.9,20.9,3.1,0,0,0,25.8,,,,,,,
Sangli,2016,582,6,11.8,4.1,0,0,0,16.9,,,,,,,
Satara,2016,319,3.4,8.6,3.1,0,0,0,35.1,,,,,,,
Sindhudurg,2016,18,0,23.1,0,0,0,0,7.7,,,,,,,
Solapur,2016,185,0,4.5,1.1,0,0,0,19.9,,,,,,,
Thane,2016,610,8,10.2,5,0,0,0,35.1,,,,,,,
Wardha,2016,114,1.1,10.6,4.3,0,0,0,25.5,,,,,,,
Washim,2016,117,6.7,16.7,2.2,0,0,0,44.4,,,,,,,
Yavatmal,2016,246,4.7,5.1,4.7,0,0,0,25.6,,,,,,,
Ahilyanagar,2015,483,4,11.5,1.5,0,0,0,30.1,,,,,,,
Akola,2015,957,16.8,16.9,0.3,0,0,0,32.7,,,,,,,
Amravati,2015,468,2.2,13.4,6.7,0,0,0,24.2,,,,,,,
Beed,2015,301,3.1,21.9,1.7,0,0,0,44.1,,,,,,,
Bhandara,2015,356,7,10.7,4.1,0,0,0,40.1,,,,,,,
Buldhana,2015,325,6,11.6,5.6,0,0,0,36.4,,,,,,,
Chandrapur,2015,443,12.5,23.5,4.7,0,0,0,10.3,,,,,,,
Chh. Sambhaji Nagar,2015,114,1.1,9.2,2.3,0,0,0,18.4,,,,,,,
Dharashiv,2015,154,5.1,12.1,0,0,0,0,38.4,,,,,,,
Dhule,2015,511,13.1,8,9.5,0,0,0.3,14.1,,,,,,,
Gadchiroli,2015,353,7.2,11.7,4.6,0,0,0,30.9,,,,,,,
Gondia,2015,279,6.4,12,3.6,0,0,0,40.2,,,,,,,
Hingoli,2015,213,5.4,15.6,1.6,0,0,0,30.1,,,,,,,
Jalgaon,2015,880,6.2,17.9,3.2,0,0,0,19.9,,,,,,,
Jalna,2015,181,2.2,10,3.3,0,0,0,36.7,,,,,,,
Kolhapur,2015,386,10.2,9.6,0.9,0,0,0,25.7,,,,,,,
Latur,2015,40,5.7,8.6,2.9,0,0,0,28.6,,,,,,,
Mumbai,2015,1040,12.4,17.7,18.7,1.6,1,0.1,37.9,,,,,,,
Nagpur,2015,459,8.2,14.1,2.3,0,0,0,25.5,,,,,,,
Nanded,2015,148,1.5,5.2,2.2,0,0,0,31.3,,,,,,,
Nandurbar,2015,573,7.6,17.1,6.6,0,0,0,35.3,,,,,,,
Nashik,2015,789,3.8,9.4,5.3,0,0,0,29.8,,,,,,,
Palghar,2015,216,4.3,11.6,6.8,0,0,0.5,21.7,,,,,,,
Parbhani,2015,143,2.9,23.5,0.7,0,0,0,25.7,,,,,,,
Pune,2015,462,4.3,6.9,2.1,0,0,0,18.7,,,,,,,
Raigad,2015,348,3,15.8,7.2,0,0,0,29.3,,,,,,,
Ratnagiri,2015,216,1.4,18.6,2.4,0,0,0,32.4,,,,,,,
Sangli,2015,615,8.5,14.8,2,0,0,0,16.1,,,,,,,
Satara,2015,316,4.2,10.2,2.5,0,0,0,27.2,,,,,,,
Sindhudurg,2015,44,5.3,18.4,2.6,0,0,0,18.4,,,,,,,
Solapur,2015,435,11.4,12.3,1,0,0,0,26.8,,,,,,,
Thane,2015,665,12.2,12,4.2,0,0,0,23.8,,,,,,,
Wardha,2015,170,6.3,9.1,4.2,0,0,0,34.3,,,,,,,
Washim,2015,149,8.9,14.3,1.8,0,0,0,33,,,,,,,
Yavatmal,2015,433,0.7,2.2,1.7,0,0,0,32.4,,,,,,,
Ahilyanagar,2014,1037,2.4,13,4.3,0,0,0.1,27.6,,,,,,,
Akola,2014,856,11.7,16.1,1.8,0,0.1,0,35.6,,,,,,,
Amravati,2014,601,0.9,12.5,4.4,0,0,0.2,31.7,,,,,,,
Beed,2014,176,3.7,30.5,10.4,0,0,0,25,,,,,,,
Bhandara,2014,334,11.4,17.8,5,0,0,0,24.8,,,,,,,
Buldhana,2014,345,5.1,13.5,3.6,0,0,0,33.8,,,,,,,
Chandrapur,2014,124,5,18,4,0,0,0,29,,,,,,,
Chh. Sambhaji Nagar,2014,242,2.7,8.2,4.9,0,0,0,20.7,,,,,,,
Dharashiv,2014,115,6.6,14.5,2.6,0,0,0,38.2,,,,,,,
Dhule,2014,501,7.6,10.3,8.8,0,0,0,9.4,,,,,,,
Gadchiroli,2014,250,12.9,13.4,3.4,0,0.4,0,36.2,,,,,,,
Gondia,2014,410,10.9,14.5,3,0,0,0,42.3,,,,,,,
Hingoli,2014,275,2.6,21.5,0.4,0,0,0.4,43.4,,,,,,,
Jalgaon,2014,937,8.3,12.3,6.6,0,0,0,20.9,,,,,,,
Jalna,2014,264,0.6,13.3,1.1,0,0,0,27.6,,,,,,,
Kolhapur,2014,514,14,6.6,1.5,0,0,0,28.1,,,,,,,
Latur,2014,28,0,8.3,0,0,0,0,33.3,,,,,,,
Mumbai,2014,1806,13.5,20.5,22,3.3,0.5,0,40.2,,,,,,,
Nagpur,2014,388,9.2,8.3,5.5,0,0,0,27.6,,,,,,,
Nanded,2014,159,2.3,9.2,2.3,0,0,0,28.2,,,,,,,
Nandurbar,2014,568,8.6,8.9,11.2,0,0,0,25.1,,,,,,,
Nashik,2014,701,4.1,7.6,9.1,0,0,0.6,30.2,,,,,,,
Palghar,2014,144,6.7,9,9,0,0,0,32.8,,,,,,,
Parbhani,2014,244,15.6,22.3,2.2,0,0,0,34.6,,,,,,,
