District,Year,Taluka,Select Facility,Number
Ahilyanagar,2014,Srirampur,Doctors/Vaids,12
Ahilyanagar,2014,Srirampur,Number of Beds,80
Ahilyanagar,2014,Srirampur,Beds for Women,10
Ahilyanagar,2014,Srirampur,Beds for Children,10
Ahilyanagar,2014,Nevasa,Hospitals,2
Ahilyanagar,2014,Nevasa,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Nevasa,Clinics,1
Ahilyanagar,2014,Nevasa,Maternity Wards,1
Ahilyanagar,2014,Nevasa,Primary Health Centres,9
Ahilyanagar,2014,Nevasa,Sub-Centres,41
Ahilyanagar,2014,Nevasa,Doctors/Vaids,15
Ahilyanagar,2014,Nevasa,Number of Beds,99
Ahilyanagar,2014,Nevasa,Beds for Women,10
Ahilyanagar,2014,Nevasa,Beds for Children,10
Ahilyanagar,2014,Shevgaon,Hospitals,2
Ahilyanagar,2014,Shevgaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Shevgaon,Clinics,1
Ahilyanagar,2014,Shevgaon,Maternity Wards,1
Ahilyanagar,2014,Shevgaon,Primary Health Centres,6
Ahilyanagar,2014,Shevgaon,Sub-Centres,37
Ahilyanagar,2014,Shevgaon,Doctors/Vaids,8
Ahilyanagar,2014,Shevgaon,Number of Beds,104
Ahilyanagar,2014,Shevgaon,Beds for Women,10
Ahilyanagar,2014,Shevgaon,Beds for Children,10
Ahilyanagar,2014,Pathardi,Hospitals,1
Ahilyanagar,2014,Pathardi,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Pathardi,Clinics,1
Ahilyanagar,2014,Pathardi,Maternity Wards,1
Ahilyanagar,2014,Pathardi,Primary Health Centres,6
Ahilyanagar,2014,Pathardi,Sub-Centres,32
Ahilyanagar,2014,Pathardi,Doctors/Vaids,7
Ahilyanagar,2014,Pathardi,Number of Beds,87
Ahilyanagar,2014,Pathardi,Beds for Women,20
Ahilyanagar,2014,Pathardi,Beds for Children,10
Ahilyanagar,2014,Nagar,Hospitals,2
Ahilyanagar,2014,Nagar,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Nagar,Clinics,2
Ahilyanagar,2014,Nagar,Maternity Wards,2
Ahilyanagar,2014,Nagar,Primary Health Centres,9
Ahilyanagar,2014,Nagar,Sub-Centres,43
Ahilyanagar,2014,Nagar,Doctors/Vaids,17
Ahilyanagar,2014,Nagar,Number of Beds,289
Ahilyanagar,2014,Nagar,Beds for Women,100
Ahilyanagar,2014,Nagar,Beds for Children,60
Ahilyanagar,2014,Rahuri,Hospitals,3
Ahilyanagar,2014,Rahuri,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Rahuri,Clinics,1
Ahilyanagar,2014,Rahuri,Maternity Wards,1
Ahilyanagar,2014,Rahuri,Primary Health Centres,6
Ahilyanagar,2014,Rahuri,Sub-Centres,38
Ahilyanagar,2014,Rahuri,Doctors/Vaids,15
Ahilyanagar,2014,Rahuri,Number of Beds,150
Ahilyanagar,2014,Rahuri,Beds for Women,10
Ahilyanagar,2014,Rahuri,Beds for Children,10
Ahilyanagar,2014,Parner,Hospitals,2
Ahilyanagar,2014,Parner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Parner,Clinics,1
Ahilyanagar,2014,Parner,Maternity Wards,1
Ahilyanagar,2014,Parner,Primary Health Centres,7
Ahilyanagar,2014,Parner,Sub-Centres,41
Ahilyanagar,2014,Parner,Doctors/Vaids,12
Ahilyanagar,2014,Parner,Number of Beds,104
Ahilyanagar,2014,Parner,Beds for Women,10
Ahilyanagar,2014,Parner,Beds for Children,10
Ahilyanagar,2014,Srigonda,Hospitals,1
Ahilyanagar,2014,Srigonda,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Srigonda,Clinics,1
Ahilyanagar,2014,Srigonda,Maternity Wards,1
Ahilyanagar,2014,Srigonda,Primary Health Centres,7
Ahilyanagar,2014,Srigonda,Sub-Centres,39
Ahilyanagar,2014,Srigonda,Doctors/Vaids,7
Ahilyanagar,2014,Srigonda,Number of Beds,72
Ahilyanagar,2014,Srigonda,Beds for Women,10
Ahilyanagar,2014,Srigonda,Beds for Children,10
Ahilyanagar,2014,Karjat,Hospitals,1
Ahilyanagar,2014,Karjat,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Karjat,Clinics,1
Ahilyanagar,2014,Karjat,Maternity Wards,1
Ahilyanagar,2014,Karjat,Primary Health Centres,5
Ahilyanagar,2014,Karjat,Sub-Centres,34
Ahilyanagar,2014,Karjat,Doctors/Vaids,10
Ahilyanagar,2014,Karjat,Number of Beds,80
Ahilyanagar,2014,Karjat,Beds for Women,20
Ahilyanagar,2014,Karjat,Beds for Children,10
Ahilyanagar,2014,Jamkhed,Hospitals,1
Ahilyanagar,2014,Jamkhed,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Jamkhed,Clinics,1
Ahilyanagar,2014,Jamkhed,Maternity Wards,1
Ahilyanagar,2014,Jamkhed,Primary Health Centres,3
Ahilyanagar,2014,Jamkhed,Sub-Centres,22
Ahilyanagar,2014,Jamkhed,Doctors/Vaids,6
Ahilyanagar,2014,Jamkhed,Number of Beds,77
Ahilyanagar,2014,Jamkhed,Beds for Women,10
Ahilyanagar,2014,Jamkhed,Beds for Children,10
Ahilyanagar,2015,Akole,Hospitals,4
Ahilyanagar,2015,Akole,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Akole,Clinics,4
Ahilyanagar,2015,Akole,Maternity Wards,4
Ahilyanagar,2015,Akole,Primary Health Centres,10
Ahilyanagar,2015,Akole,Sub-Centres,70
Ahilyanagar,2015,Akole,Doctors/Vaids,35
Ahilyanagar,2015,Akole,Number of Beds,180
Ahilyanagar,2015,Akole,Beds for Women,10
Ahilyanagar,2015,Akole,Beds for Children,10
Ahilyanagar,2015,Sangamner,Hospitals,2
Ahilyanagar,2015,Sangamner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2015,Sangamner,Clinics,1
Ahilyanagar,2015,Sangamner,Maternity Wards,2
Ahilyanagar,2015,Sangamner,Primary Health Centres,10
Ahilyanagar,2015,Sangamner,Sub-Centres,66
Ahilyanagar,2015,Sangamner,Doctors/Vaids,24
Ahilyanagar,2015,Sangamner,Number of Beds,124
Ahilyanagar,2015,Sangamner,Beds for Women,10
Ahilyanagar,2015,Sangamner,Beds for Children,10
Ahilyanagar,2015,Kopargaon,Hospitals,1
