District,Year,Public,Private,C-Section Share of Institutional Deliveries,Public Facilities,Private Facilities
Satara,2017,2850,11992,33.1,16.1,44.3
Sindhudurg,2017,1737,1117,36.7,33.9,42.1
Solapur,2017,4157,12827,22.9,12.9,30.6
Thane,2017,9888,8012,13.3,21,9.1
Wardha,2017,835,4606,31.5,13,42.3
Washim,2017,150,1193,8.3,1.5,18.8
Yavatmal,2017,2330,2203,10.5,8.7,13.3
Ahilyanagar,2016,3569,10373,17.9,12.9,20.7
Akola,2016,9526,1467,31.4,37.8,14.9
Amravati,2016,4168,6535,25.6,14.5,49.8
Beed,2016,6292,1347,16.9,20.8,9
Bhandara,2016,4513,1772,36.8,31.9,60.5
Buldhana,2016,736,2092,7.6,4.1,10.9
Chandrapur,2016,3015,1227,14.7,14.8,14.5
Chh. Sambhaji Nagar,2016,2757,4439,9.5,7.2,12
Dharashiv,2016,1988,2051,16.7,11,33.8
Dhule,2016,5,537,1.3,0,7
Gadchiroli,2016,1467,132,10.3,9.9,19.8
Gondia,2016,2761,997,22.6,18.6,57.8
Hingoli,2016,959,633,9.7,8,14.4
Jalgaon,2016,2495,6203,12.6,8.8,15.3
Jalna,2016,409,3063,10.7,2.3,20.9
Kolhapur,2016,1523,7351,20.1,6.9,33.6
Latur,2016,799,2762,8.6,3.2,17
Mumbai,2016,32047,10150,25.7,43,11.3
Nagpur,2016,12148,2322,31.2,32.2,26.7
Nanded,2016,2245,3386,9.7,5,25.5
Nandurbar,2016,1352,0,6,6.4,0
Nashik,2016,5101,5744,11.1,8.2,16.4
Palghar,2016,2299,4671,14,7.5,24.5
Parbhani,2016,2832,324,11.7,15.3,3.8
Pune,2016,14272,20927,23.5,20.5,26
Raigad,2016,2160,3363,17.7,16.4,18.6
Ratnagiri,2016,1406,1711,16.6,19.4,14.8
Sangli,2016,607,3805,9.3,2.9,14.1
Satara,2016,2870,5465,18.2,15.5,20.1
Sindhudurg,2016,1481,574,25.2,29,18.9
Solapur,2016,2365,6035,12.5,8,16
Thane,2016,7633,16666,24.5,13.6,38.7
Wardha,2016,730,3131,22.2,10.8,29.3
Washim,2016,140,1140,7.6,1.5,15
Yavatmal,2016,1921,3859,14.3,7.7,24.7
Ahilyanagar,2015,3606,3230,8.7,11.7,6.7
Akola,2015,9401,2219,33,32.8,33.9
Amravati,2015,5171,4986,23.6,15.9,47.3
Beed,2015,5326,1510,16,16.4,14.6
Bhandara,2015,4980,1695,33.8,29.6,58.1
Buldhana,2015,526,1684,5.3,2.6,7.8
Chandrapur,2015,2943,2342,17.7,12.4,37.6
Chh. Sambhaji Nagar,2015,1510,2954,5.5,3.7,7.3
