District,Year,Taluka,Pollution Category ,Number of Industries 
Akola,2013,Murtijapur,Green,43
Akola,2013,Patur,Green,2
Akola,2013,Barshitakali,Green,10
Akola,2014,Telhara,Red,0
Akola,2014,Akot,Red,30
Akola,2014,Balapur,Red,7
Akola,2014,Akola,Red,89
Akola,2014,Murtijapur,Red,23
Akola,2014,Patur,Red,4
Akola,2014,Barshitakali,Red,21
Akola,2014,Telhara,Orange,6
Akola,2014,Akot,Orange,56
Akola,2014,Balapur,Orange,7
Akola,2014,Akola,Orange,567
Akola,2014,Murtijapur,Orange,29
Akola,2014,Patur,Orange,3
Akola,2014,Barshitakali,Orange,4
Akola,2014,Telhara,Green,15
Akola,2014,Akot,Green,50
Akola,2014,Balapur,Green,13
Akola,2014,Akola,Green,386
Akola,2014,Murtijapur,Green,47
Akola,2014,Patur,Green,7
Akola,2014,Barshitakali,Green,12
Akola,2014,Telhara,White,6
Akola,2014,Akot,White,79
Akola,2014,Balapur,White,10
Akola,2014,Akola,White,370
Akola,2014,Murtijapur,White,37
Akola,2014,Patur,White,12
Akola,2014,Barshitakali,White,52
Akola,2015,Telhara,Red,12
Akola,2015,Akot,Red,72
Akola,2015,Balapur,Red,34
Akola,2015,Akola,Red,274
Akola,2015,Murtijapur,Red,27
Akola,2015,Patur,Red,16
Akola,2015,Barshitakali,Red,36
Akola,2015,Telhara,Orange,35
Akola,2015,Akot,Orange,248
Akola,2015,Balapur,Orange,75
Akola,2015,Akola,Orange,954
Akola,2015,Murtijapur,Orange,119
Akola,2015,Patur,Orange,56
Akola,2015,Barshitakali,Orange,138
Akola,2015,Telhara,Green,35
Akola,2015,Akot,Green,248
Akola,2015,Balapur,Green,75
Akola,2015,Akola,Green,954
Akola,2015,Murtijapur,Green,119
Akola,2015,Patur,Green,56
Akola,2015,Barshitakali,Green,138
Akola,2016,Telhara,Red,6
Akola,2016,Akot,Red,79
Akola,2016,Balapur,Red,10
Akola,2016,Akola,Red,370
Akola,2016,Murtijapur,Red,37
Akola,2016,Patur,Red,12
Akola,2016,Barshitakali,Red,52
Akola,2016,Telhara,Orange,12
Akola,2016,Akot,Orange,74
Akola,2016,Balapur,Orange,35
Akola,2016,Akola,Orange,278
Akola,2016,Murtijapur,Orange,28
Akola,2016,Patur,Orange,16
Akola,2016,Barshitakali,Orange,37
Akola,2016,Telhara,Green,35
Akola,2016,Akot,Green,250
Akola,2016,Balapur,Green,77
Akola,2016,Akola,Green,967
Akola,2016,Murtijapur,Green,120
Akola,2016,Patur,Green,56
Akola,2016,Barshitakali,Green,140
Akola,2017,Telhara,Red,6
Akola,2017,Akot,Red,79
Akola,2017,Balapur,Red,10
Akola,2017,Akola,Red,373
Akola,2017,Murtijapur,Red,37
Akola,2017,Patur,Red,12
Akola,2017,Barshitakali,Red,52
Akola,2017,Telhara,Orange,12
Akola,2017,Akot,Orange,76
Akola,2017,Balapur,Orange,37
Akola,2017,Akola,Orange,306
Akola,2017,Murtijapur,Orange,24
Akola,2017,Patur,Orange,16
Akola,2017,Barshitakali,Orange,39
Akola,2017,Telhara,Green,37
Akola,2017,Akot,Green,257
Akola,2017,Balapur,Green,81
Akola,2017,Akola,Green,1004
Akola,2017,Murtijapur,Green,128
Akola,2017,Patur,Green,58
Akola,2017,Barshitakali,Green,148
Akola,2018,Telhara,Red,6
