District,Year,Taluka,Industrial Power Consumption
Bhandara,2014,Lakhandur,2178000
Bhandara,2015,Tumsar,22169000
Bhandara,2015,Mohadi,12801000
Bhandara,2015,Bhandara,172604000
Bhandara,2015,Sakoli,2169000
Bhandara,2015,Lakhani,2330000
Bhandara,2015,Pavani,5551000
Bhandara,2015,Lakhandur,2088000
Bhandara,2016,Tumsar,66554000
Bhandara,2016,Mohadi,35379000
Bhandara,2016,Bhandara,96671000
Bhandara,2016,Sakoli,17509000
Bhandara,2016,Lakhani,24155000
Bhandara,2016,Pavani,48984000
Bhandara,2016,Lakhandur,21066000
Bhandara,2017,Tumsar,4996000
Bhandara,2017,Mohadi,3400000
Bhandara,2017,Bhandara,9945000
Bhandara,2017,Sakoli,2194000
Bhandara,2017,Lakhani,2091000
Bhandara,2017,Pavani,4662000
Bhandara,2017,Lakhandur,2201000
Bhandara,2018,Tumsar,4670000
Bhandara,2018,Mohadi,3670000
Bhandara,2018,Bhandara,9420000
Bhandara,2018,Sakoli,1220000
Bhandara,2018,Lakhani,2010000
Bhandara,2018,Pavani,4950000
Bhandara,2018,Lakhandur,1600000
Bhandara,2019,Tumsar,4620000
Bhandara,2019,Mohadi,3840000
Bhandara,2019,Bhandara,9930000
Bhandara,2019,Sakoli,1430000
Bhandara,2019,Lakhani,2380000
Bhandara,2019,Pavani,5250000
Bhandara,2019,Lakhandur,1780000
Bhandara,2020,Tumsar,6810000
Bhandara,2020,Mohadi,4300000
Bhandara,2020,Bhandara,11240000
Bhandara,2020,Sakoli,3130000
Bhandara,2020,Lakhani,3390000
Bhandara,2020,Pavani,4950000
Bhandara,2020,Lakhandur,2630000
Bhandara,2021,Tumsar,7280000
Bhandara,2021,Mohadi,4600000
Bhandara,2021,Bhandara,12310000
Bhandara,2021,Sakoli,3460000
Bhandara,2021,Lakhani,3770000
Bhandara,2021,Pavani,5170000
Bhandara,2021,Lakhandur,2920000
Buldana,2013,Jalgaon Jamod,1887000
Buldana,2013,Sangrampur,1236000
Buldana,2013,Shegaon,3288000
Buldana,2013,Nandura,3170000
Buldana,2013,Malkapur,6725000
Buldana,2013,Motala,1915000
Buldana,2013,Khamgaon,18446000
Buldana,2013,Mehkar,3036000
Buldana,2013,Chikhali,46235000
Buldana,2013,Buldana,38740000
Buldana,2013,Deulgaon Raja,2708000
Buldana,2013,Sindkhed Raja,1384000
Buldana,2013,Lonar,1560000
Buldana,2014,Jalgaon Jamod,1794220
Buldana,2014,Sangrampur,1199790
Buldana,2014,Shegaon,3375530
Buldana,2014,Nandura,3516770
Buldana,2014,Malkapur,6740350
Buldana,2014,Motala,1906740
Buldana,2014,Khamgaon,17869030
Buldana,2014,Mehkar,3207730
Buldana,2014,Chikhali,3977530
Buldana,2014,Buldana,4573660
Buldana,2014,Deulgaon Raja,2553280
Buldana,2014,Sindkhed Raja,1298570
Buldana,2014,Lonar,1430720
Buldana,2015,Jalgaon Jamod,1645860
Buldana,2015,Sangrampur,1179080
Buldana,2015,Shegaon,3326350
Buldana,2015,Nandura,3628350
Buldana,2015,Malkapur,6962590
Buldana,2015,Motala,1893670
Buldana,2015,Khamgaon,17072250
Buldana,2015,Mehkar,3474150
Buldana,2015,Chikhali,4171569.9999999995
Buldana,2015,Buldana,4994760
Buldana,2015,Deulgaon Raja,2352890
Buldana,2015,Sindkhed Raja,1327870
Buldana,2015,Lonar,1422480
Buldana,2016,Jalgaon Jamod,4273010
Buldana,2016,Sangrampur,1174130
Buldana,2016,Shegaon,6091160
Buldana,2016,Nandura,5400580
Buldana,2016,Malkapur,9062940
Buldana,2016,Motala,2031840
Buldana,2016,Khamgaon,37446400
Buldana,2016,Mehkar,4030460
Buldana,2016,Chikhali,11018010
Buldana,2016,Buldana,5315310
Buldana,2016,Deulgaon Raja,4324820
Buldana,2016,Sindkhed Raja,1459010
Buldana,2016,Lonar,1846260
Buldana,2017,Jalgaon Jamod,2059000
Buldana,2017,Sangrampur,1510000
Buldana,2017,Shegaon,3493000
Buldana,2017,Nandura,4202000
Buldana,2017,Malkapur,8289000
Buldana,2017,Motala,2251000
Buldana,2017,Khamgaon,16870000
Buldana,2017,Mehkar,3694000
Buldana,2017,Chikhali,6617000
Buldana,2017,Buldana,4883000
Buldana,2017,Deulgaon Raja,2326000
Buldana,2017,Sindkhed Raja,688000
Buldana,2017,Lonar,1760000
Buldana,2018,Jalgaon Jamod,2150000
Buldana,2018,Sangrampur,1632000
Buldana,2018,Shegaon,3606000
Buldana,2018,Nandura,4588000
Buldana,2018,Malkapur,8286000
Buldana,2018,Motala,2238000
Buldana,2018,Khamgaon,16092000
Buldana,2018,Mehkar,3696000
Buldana,2018,Chikhali,5130000
Buldana,2018,Buldana,6505000
Buldana,2018,Deulgaon Raja,2225000
Buldana,2018,Sindkhed Raja,840000
Buldana,2018,Lonar,1914000
Buldana,2019,Jalgaon Jamod,1908000
Buldana,2019,Sangrampur,1632000
Buldana,2019,Shegaon,3201000
Buldana,2019,Nandura,4751000
Buldana,2019,Malkapur,7832000
