District,Year,Taluka,Manufacturing Category,No. of Workers
Ahilyanagar,2023,Nagar,Plastic & Rubber,90
Ahilyanagar,2023,Shrirampur,Food & Beverages,2
Ahilyanagar,2023,Shrigonda,Food & Beverages,2
Ahilyanagar,2023,Akole,Food & Beverages,2
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Parner,Others,25
Ahilyanagar,2023,Sangamner,Food & Beverages,12
Ahilyanagar,2023,Nagar,Others,17
Ahilyanagar,2023,Parner,Others,10
Ahilyanagar,2023,Sangamner,Food & Beverages,2
Ahilyanagar,2023,Shrirampur,Food & Beverages,10
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Jamkhed,Food & Beverages,246
Ahilyanagar,2023,Shrirampur,Food & Beverages,3
Ahilyanagar,2023,Pathardi,Food & Beverages,2
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Nagar,Food & Beverages,150
Ahilyanagar,2023,Sangamner,Food & Beverages,4
Ahilyanagar,2023,Jamkhed,Food & Beverages,2
Ahilyanagar,2023,Rahata,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,12
Ahilyanagar,2023,Karjat,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,13
Ahilyanagar,2023,Nagar,Metal & Engineering,28
Ahilyanagar,2023,Nagar,Others,8
Ahilyanagar,2023,Parner,Food & Beverages,10
Ahilyanagar,2023,Rahata,Others,250
Ahilyanagar,2023,Nagar,Food & Beverages,25
Ahilyanagar,2023,Shrirampur,Others,12
Ahilyanagar,2023,Rahata,Food & Beverages,8
Ahilyanagar,2023,Shrirampur,Plastic & Rubber,20
Ahilyanagar,2023,Shrirampur,Metal & Engineering,11
Ahilyanagar,2023,Nagar,Textile & Apparel,31
Ahilyanagar,2023,Nagar,Metal & Engineering,17
Ahilyanagar,2023,Nagar,Automotive & Transport,21
Ahilyanagar,2023,Sangamner,Wood & Paper Products,27
Ahilyanagar,2023,Jamkhed,Food & Beverages,2
Ahilyanagar,2023,Nagar,Food & Beverages,6
Ahilyanagar,2023,Nagar,Others,350
Ahilyanagar,2023,Sangamner,Others,22
Ahilyanagar,2023,Shrirampur,Others,97
Ahilyanagar,2023,Nagar,Plastic & Rubber,30
Ahilyanagar,2023,Parner,Plastic & Rubber,20
Ahilyanagar,2023,Rahuri,Food & Beverages,16
Ahilyanagar,2023,Parner,Food & Beverages,3
Ahilyanagar,2023,Pathardi,Food & Beverages,400
Ahilyanagar,2023,Parner,Food & Beverages,2
Ahilyanagar,2023,Rahuri,Food & Beverages,11
Ahilyanagar,2023,Nagar,Others,18
Ahilyanagar,2023,Kopargaon,Food & Beverages,7
Ahilyanagar,2023,Nagar,Automotive & Transport,500
Ahilyanagar,2023,Nagar,Others,12
Ahilyanagar,2023,Rahata,Food & Beverages,2
Ahilyanagar,2023,Parner,Automotive & Transport,45
Ahilyanagar,2023,Nagar,Automotive & Transport,250
Ahilyanagar,2023,Nagar,Automotive & Transport,210
Ahilyanagar,2023,Shrigonda,Textile & Apparel,22
Ahilyanagar,2023,Shrigonda,Food & Beverages,7
Ahilyanagar,2023,Parner,Food & Beverages,105
Ahilyanagar,2023,Kopargaon,Others,41
Ahilyanagar,2023,Kopargaon,Wood & Paper Products,5
Ahilyanagar,2023,Kopargaon,Food & Beverages,729
Ahilyanagar,2023,Kopargaon,Food & Beverages,610
Ahilyanagar,2023,Pathardi,Food & Beverages,2
Ahilyanagar,2023,Nagar,Automotive & Transport,21
Ahilyanagar,2023,Karjat,Food & Beverages,0
Ahilyanagar,2023,Shrirampur,Food & Beverages,8
Ahilyanagar,2023,Parner,Food & Beverages,2
Ahilyanagar,2023,Shrigonda,Wood & Paper Products,2
Ahilyanagar,2023,Nagar,Metal & Engineering,221
Ahilyanagar,2023,Parner,Machinery & Equipment,375
Ahilyanagar,2023,Shrigonda,Food & Beverages,580
Ahilyanagar,2023,Shrirampur,Food & Beverages,13
Ahilyanagar,2023,Nagar,Machinery & Equipment,1633
Ahilyanagar,2023,Newasa,Food & Beverages,2
Ahilyanagar,2023,Kopargaon,Others,10
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Shrigonda,Food & Beverages,3
Ahilyanagar,2023,Nagar,Food & Beverages,5
Ahilyanagar,2023,Shrirampur,Food & Beverages,13
Ahilyanagar,2023,Rahuri,Food & Beverages,7
Ahilyanagar,2023,Newasa,Food & Beverages,3
Ahilyanagar,2023,Nagar,Textile & Apparel,22
Ahilyanagar,2023,Nagar,Machinery & Equipment,65
Ahilyanagar,2023,Karjat,Food & Beverages,8
Ahilyanagar,2023,Shrigonda,Wood & Paper Products,20
Ahilyanagar,2023,Nagar,Metal & Engineering,17
Ahilyanagar,2023,Nagar,Metal & Engineering,22
Ahilyanagar,2023,Sangamner,Food & Beverages,18
Ahilyanagar,2023,Shrirampur,Wood & Paper Products,30
Ahilyanagar,2023,Sangamner,Food & Beverages,2
Ahilyanagar,2023,Shevgaon,Food & Beverages,2
Ahilyanagar,2023,Pathardi,Food & Beverages,2
Ahilyanagar,2023,Shrirampur,Food & Beverages,2
Ahilyanagar,2023,Shrigonda,Food & Beverages,10
Ahilyanagar,2023,Shevgaon,Food & Beverages,17
Ahilyanagar,2023,Sangamner,Food & Beverages,2
Ahilyanagar,2023,Nagar,Others,22
Ahilyanagar,2023,Rahuri,Others,9
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Jamkhed,Others,2
Ahilyanagar,2023,Sangamner,Food & Beverages,4
Ahilyanagar,2023,Shrirampur,Food & Beverages,0
Ahilyanagar,2023,Parner,Automotive & Transport,28
Ahilyanagar,2023,Parner,Food & Beverages,15
Ahilyanagar,2023,Parner,Others,21
Ahilyanagar,2023,Nagar,Machinery & Equipment,21
Ahilyanagar,2023,Sangamner,Others,57
Ahilyanagar,2023,Sangamner,Plastic & Rubber,34
Ahilyanagar,2023,Nagar,Automotive & Transport,50
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,28
Ahilyanagar,2023,Nagar,Metal & Engineering,29
Ahilyanagar,2023,Parner,Food & Beverages,18
Ahilyanagar,2023,Nagar,Metal & Engineering,29
Ahilyanagar,2023,Kopargaon,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,20
Ahilyanagar,2023,Shevgaon,Textile & Apparel,22
Ahilyanagar,2023,Rahuri,Food & Beverages,10
Ahilyanagar,2023,Newasa,Others,4
Ahilyanagar,2023,Nagar,Others,10
Ahilyanagar,2023,Jamkhed,Others,0
Ahilyanagar,2023,Shrirampur,Food & Beverages,9
Ahilyanagar,2023,Newasa,Food & Beverages,0
Ahilyanagar,2023,Rahuri,Food & Beverages,9
Ahilyanagar,2023,Parner,Food & Beverages,27
Ahilyanagar,2023,Nagar,Metal & Engineering,25
Ahilyanagar,2023,Nagar,Others,7
Ahilyanagar,2023,Nagar,Food & Beverages,28
Ahilyanagar,2023,Nagar,Metal & Engineering,24
Ahilyanagar,2023,Nagar,Others,15
Ahilyanagar,2023,Nagar,Automotive & Transport,20
Ahilyanagar,2023,Shrirampur,Others,0
Ahilyanagar,2023,Newasa,Food & Beverages,2
Ahilyanagar,2023,Nagar,Others,12
Ahilyanagar,2023,Sangamner,Others,0
Ahilyanagar,2023,Kopargaon,Metal & Engineering,23
