Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non-Workers,Non-Workers Seeking Work,People Seeking Work
2011,Gondia,Rural,50-59,36057,10743,2402,233,5609
2011,Gondia,Rural,60-69,16857,6877,7154,226,2426
2011,Gondia,Rural,70-79,4215,2116,6469,87,481
2011,Gondia,Rural,80+,696,363,2192,20,98
2011,Gondia,Urban,05-09,128,41,8818,66,5
2011,Gondia,Urban,10-14,300,106,10636,128,36
2011,Gondia,Urban,15-19,1242,528,9220,974,303
2011,Gondia,Urban,20-24,3823,1107,6047,1767,668
2011,Gondia,Urban,25-29,6053,1291,2451,1084,680
2011,Gondia,Urban,30-34,7349,1198,941,394,610
2011,Gondia,Urban,35-39,7484,1162,528,162,545
2011,Gondia,Urban,40-49,13276,1696,780,147,661
2011,Gondia,Urban,50-59,7886,881,1162,74,287
2011,Gondia,Urban,60-69,2480,504,2993,68,132
2011,Gondia,Urban,70-79,612,141,1658,11,22
2011,Gondia,Urban,80+,161,36,486,5,14
2011,Gadchiroli,Total,05-09,1874,585,46554,268,131
2011,Gadchiroli,Total,10-14,3396,1841,55119,600,510
2011,Gadchiroli,Total,15-19,12198,8765,37963,7543,5502
2011,Gadchiroli,Total,20-24,24445,13861,13829,5736,10354
2011,Gadchiroli,Total,25-29,29963,11366,4242,2169,8343
2011,Gadchiroli,Total,30-34,29058,8774,1349,632,6269
2011,Gadchiroli,Total,35-39,30506,8048,829,329,5515
2011,Gadchiroli,Total,40-49,53317,13075,1165,306,8454
2011,Gadchiroli,Total,50-59,32361,8116,1763,233,4511
2011,Gadchiroli,Total,60-69,16296,5941,5372,337,2403
2011,Gadchiroli,Total,70-79,4948,2309,4766,135,659
2011,Gadchiroli,Total,80+,1019,473,2079,29,131
2011,Gadchiroli,Rural,05-09,1738,565,41712,213,123
2011,Gadchiroli,Rural,10-14,3174,1783,49227,461,490
2011,Gadchiroli,Rural,15-19,11599,8481,32484,6564,5317
2011,Gadchiroli,Rural,20-24,22631,13143,10477,4299,9840
2011,Gadchiroli,Rural,25-29,26822,10525,3030,1462,7759
2011,Gadchiroli,Rural,30-34,25365,7927,984,425,5722
2011,Gadchiroli,Rural,35-39,26403,7303,627,238,5044
2011,Gadchiroli,Rural,40-49,46052,12014,945,250,7820
2011,Gadchiroli,Rural,50-59,28573,7574,1281,185,4239
2011,Gadchiroli,Rural,60-69,15340,5596,4224,305,2256
2011,Gadchiroli,Rural,70-79,4656,2190,4101,127,629
2011,Gadchiroli,Rural,80+,937,451,1832,23,126
2011,Gadchiroli,Urban,05-09,136,20,4842,55,8
2011,Gadchiroli,Urban,10-14,222,58,5892,139,20
2011,Gadchiroli,Urban,15-19,599,284,5479,979,185
2011,Gadchiroli,Urban,20-24,1814,718,3352,1437,514
2011,Gadchiroli,Urban,25-29,3141,841,1212,707,584
2011,Gadchiroli,Urban,30-34,3693,847,365,207,547
2011,Gadchiroli,Urban,35-39,4103,745,202,91,471
2011,Gadchiroli,Urban,40-49,7265,1061,220,56,634
2011,Gadchiroli,Urban,50-59,3788,542,482,48,272
2011,Gadchiroli,Urban,60-69,956,345,1148,32,147
2011,Gadchiroli,Urban,70-79,292,119,665,8,30
2011,Gadchiroli,Urban,80+,82,22,247,6,5
2011,Chandrapur,Total,05-09,582,543,87018,571,140
2011,Chandrapur,Total,10-14,1939,1365,102545,1278,493
2011,Chandrapur,Total,15-19,17058,10684,82349,12686,7642
2011,Chandrapur,Total,20-24,48235,19447,43116,15302,15342
2011,Chandrapur,Total,25-29,66962,15757,15787,7338,11903
2011,Chandrapur,Total,30-34,72047,12652,4990,2271,9393
2011,Chandrapur,Total,35-39,72071,10968,2547,754,7953
2011,Chandrapur,Total,40-49,126475,17181,3902,702,11848
2011,Chandrapur,Total,50-59,82029,10667,6079,502,6168
2011,Chandrapur,Total,60-69,34230,7970,20018,669,3433
2011,Chandrapur,Total,70-79,11288,3497,15410,256,1093
2011,Chandrapur,Total,80+,2141,663,6397,85,213
2011,Chandrapur,Rural,05-09,418,390,56730,350,107
2011,Chandrapur,Rural,10-14,1420,1104,66666,805,410
2011,Chandrapur,Rural,15-19,13444,9218,48483,8579,6710
2011,Chandrapur,Rural,20-24,35394,15962,18592,7583,13022
2011,Chandrapur,Rural,25-29,44285,11957,5622,2798,9535
2011,Chandrapur,Rural,30-34,45277,9381,1713,773,7403
2011,Chandrapur,Rural,35-39,45319,8259,947,302,6376
2011,Chandrapur,Rural,40-49,77547,13281,1638,360,9825
2011,Chandrapur,Rural,50-59,50382,8625,2522,285,5328
2011,Chandrapur,Rural,60-69,27715,6932,8978,429,3094
2011,Chandrapur,Rural,70-79,9651,3150,9913,195,999
2011,Chandrapur,Rural,80+,1671,567,4330,53,181
2011,Chandrapur,Urban,05-09,164,153,30288,221,33
2011,Chandrapur,Urban,10-14,519,261,35879,473,83
2011,Chandrapur,Urban,15-19,3614,1466,33866,4107,932
2011,Chandrapur,Urban,20-24,12841,3485,24524,7719,2320
2011,Chandrapur,Urban,25-29,22677,3800,10165,4540,2368
2011,Chandrapur,Urban,30-34,26770,3271,3277,1498,1990
2011,Chandrapur,Urban,35-39,26752,2709,1600,452,1577
2011,Chandrapur,Urban,40-49,48928,3900,2264,342,2023
