District,Year,Group,Approved Posts,Positions Filled,Number of women
Dhule,2021,Class D,2533.0,1376.0,235.0
Gadchiroli,2012,Class A,374.0,292.0,25.0
Gadchiroli,2012,Class B,1216.0,1002.0,84.0
Gadchiroli,2012,Class C,8279.0,6682.0,688.0
Gadchiroli,2012,Class D,3095.0,2706.0,438.0
Gadchiroli,2013,Class A,374.0,292.0,25.0
Gadchiroli,2013,Class B,1216.0,1002.0,84.0
Gadchiroli,2013,Class C,8279.0,6682.0,688.0
Gadchiroli,2013,Class D,3095.0,2706.0,438.0
Gadchiroli,2014,Class A,609.0,419.0,34.0
Gadchiroli,2014,Class B,1066.0,776.0,70.0
Gadchiroli,2014,Class C,11742.0,10013.0,1578.0
Gadchiroli,2014,Class D,3043.0,2429.0,417.0
Gadchiroli,2015,Class A,609.0,409.0,35.0
Gadchiroli,2015,Class B,1066.0,798.0,70.0
Gadchiroli,2015,Class C,11742.0,9988.0,1578.0
Gadchiroli,2015,Class D,3043.0,2429.0,417.0
Gadchiroli,2016,Class A,609.0,420.0,36.0
Gadchiroli,2016,Class B,1066.0,787.0,69.0
Gadchiroli,2016,Class C,11742.0,9988.0,1578.0
Gadchiroli,2016,Class D,3043.0,2429.0,417.0
Gadchiroli,2017,Class A,661.0,439.0,36.0
Gadchiroli,2017,Class B,970.0,649.0,68.0
Gadchiroli,2017,Class C,11905.0,10128.0,1693.0
Gadchiroli,2017,Class D,2938.0,2282.0,390.0
Gadchiroli,2018,Class A,676.0,402.0,33.0
Gadchiroli,2018,Class B,1317.0,923.0,104.0
Gadchiroli,2018,Class C,11413.0,9694.0,1782.0
Gadchiroli,2018,Class D,2679.0,1965.0,361.0
Gadchiroli,2019,Class A,679.0,372.0,35.0
Gadchiroli,2019,Class B,1346.0,929.0,120.0
Gadchiroli,2019,Class C,11487.0,9283.0,1745.0
Gadchiroli,2019,Class D,2648.0,1834.0,355.0
Gadchiroli,2020,Class A,680.0,412.0,40.0
Gadchiroli,2020,Class B,1359.0,918.0,140.0
Gadchiroli,2020,Class C,11628.0,9241.0,1775.0
Gadchiroli,2020,Class D,2655.0,1765.0,359.0
Gadchiroli,2021,Class A,675.0,381.0,43.0
Gadchiroli,2021,Class B,1404.0,833.0,141.0
Gadchiroli,2021,Class C,12471.0,9857.0,1825.0
Gadchiroli,2021,Class D,2634.0,1725.0,364.0
Gondia,2012,Class A,323.0,260.0,15.0
Gondia,2012,Class B,747.0,562.0,72.0
Gondia,2012,Class C,5479.0,4129.0,423.0
Gondia,2012,Class D,1949.0,1510.0,221.0
Gondia,2013,Class A,323.0,260.0,15.0
Gondia,2013,Class B,747.0,562.0,72.0
Gondia,2013,Class C,5479.0,4129.0,423.0
Gondia,2013,Class D,1949.0,1510.0,221.0
Gondia,2014,Class A,518.0,365.0,52.0
Gondia,2014,Class B,818.0,576.0,46.0
Gondia,2014,Class C,7610.0,5956.0,936.0
Gondia,2014,Class D,2739.0,1680.0,228.0
Gondia,2015,Class A,518.0,344.0,50.0
Gondia,2015,Class B,818.0,593.0,46.0
Gondia,2015,Class C,7610.0,5942.0,937.0
Gondia,2015,Class D,2739.0,1682.0,228.0
Gondia,2016,Class A,518.0,344.0,51.0
Gondia,2016,Class B,818.0,590.0,45.0
Gondia,2016,Class C,7610.0,5945.0,937.0
Gondia,2016,Class D,2739.0,1682.0,228.0
Gondia,2017,Class A,560.0,360.0,68.0
Gondia,2017,Class B,887.0,518.0,64.0
Gondia,2017,Class C,7849.0,6011.0,1003.0
Gondia,2017,Class D,2437.0,1502.0,201.0
Gondia,2018,Class A,591.0,307.0,59.0
Gondia,2018,Class B,849.0,523.0,79.0
Gondia,2018,Class C,8401.0,6028.0,1071.0
Gondia,2018,Class D,2261.0,1331.0,199.0
Gondia,2019,Class A,578.0,271.0,56.0
Gondia,2019,Class B,818.0,419.0,79.0
Gondia,2019,Class C,8325.0,3551.0,675.0
Gondia,2019,Class D,2191.0,1219.0,195.0
Gondia,2020,Class A,592.0,347.0,69.0
Gondia,2020,Class B,884.0,570.0,102.0
Gondia,2020,Class C,8396.0,5885.0,1142.0
Gondia,2020,Class D,2129.0,1143.0,183.0
Gondia,2021,Class A,604.0,344.0,73.0
Gondia,2021,Class B,900.0,595.0,104.0
Gondia,2021,Class C,8373.0,5803.0,1204.0
Gondia,2021,Class D,2164.0,1034.0,171.0
Hingoli,2012,Class A,225.0,187.0,13.0
Hingoli,2012,Class B,434.0,314.0,17.0
Hingoli,2012,Class C,4197.0,3495.0,182.0
Hingoli,2012,Class D,1214.0,1061.0,100.0
Hingoli,2013,Class A,,,
Hingoli,2013,Class B,,,
Hingoli,2013,Class C,,,
Hingoli,2013,Class D,,,
Hingoli,2014,Class A,1771.0,1273.0,292.0
Hingoli,2014,Class B,2818.0,2101.0,369.0
Hingoli,2014,Class C,17566.0,14204.0,2551.0
Hingoli,2014,Class D,5658.0,4549.0,878.0
Hingoli,2015,Class A,373.0,227.0,26.0
Hingoli,2015,Class B,455.0,352.0,23.0
Hingoli,2015,Class C,4952.0,3748.0,379.0
Hingoli,2015,Class D,1396.0,933.0,117.0
Hingoli,2016,Class A,373.0,227.0,26.0
Hingoli,2016,Class B,455.0,352.0,23.0
Hingoli,2016,Class C,4952.0,3748.0,379.0
Hingoli,2016,Class D,1396.0,933.0,117.0
Hingoli,2017,Class A,375.0,242.0,19.0
Hingoli,2017,Class B,504.0,334.0,32.0
Hingoli,2017,Class C,4894.0,3667.0,388.0
Hingoli,2017,Class D,1273.0,820.0,107.0
Hingoli,2018,Class A,389.0,253.0,28.0
Hingoli,2018,Class B,563.0,361.0,37.0
Hingoli,2018,Class C,4873.0,3645.0,434.0
Hingoli,2018,Class D,1251.0,748.0,111.0
Hingoli,2019,Class A,389.0,210.0,20.0
Hingoli,2019,Class B,541.0,285.0,26.0
Hingoli,2019,Class C,4912.0,2539.0,311.0
Hingoli,2019,Class D,1193.0,685.0,103.0
Hingoli,2020,Class A,398.0,246.0,24.0
Hingoli,2020,Class B,511.0,334.0,33.0
Hingoli,2020,Class C,4762.0,3553.0,442.0
Hingoli,2020,Class D,1195.0,660.0,101.0
Hingoli,2021,Class A,411.0,239.0,21.0
Hingoli,2021,Class B,542.0,336.0,40.0
Hingoli,2021,Class C,4931.0,3500.0,466.0
Hingoli,2021,Class D,1195.0,623.0,100.0
Jalna,2013,Class A,295.0,226.0,20.0
Jalna,2013,Class B,730.0,610.0,45.0
Jalna,2013,Class C,5477.0,4689.0,383.0
Jalna,2013,Class D,1622.0,1431.0,193.0
