Year,District,Number of Workers,Number of Establishments,Houses used for Commercial Purposes,Houses used for Residential cum Commercial Purposes,Govt / PSU,Private Proprietary,Private Partnership,Private Company,Private Self Help Group,Co-operative,Private Non-profit Institution,Private Other,Private Sector,Self-Financed,Borrowing from Institutions,Borrowing from Non-Institutions, Financial Assistance from Govt. sources,Loans from SHGs,Donations/Transfers,Other SOF,Perennial,Non-Perennial,SC,ST,OBC,Others,Hindu,Islam,Christian,Sikh,Buddhist,Zoroastrian,Jain,Others.1
1990,Dhule,186353,75187,,,51096,,,,,13135,,,122122,,,,,,,,72313,2874,3649,8039,,63499,,,,,,,,
1990,Jalgaon,232030,90415,,,59375,,,,,13022,,,159633,,,,,,,,82445,7970,5068,3083,,82264,,,,,,,,
1990,Ahilyanagar,280453,101478,,,54314,,,,,37085,,,189054,,,,,,,,95767,5711,6453,2825,,92200,,,,,,,,
2005,Nandurbar,62920,29997,,,17948,38308.0,172.0,,,3512,2699.0,281.0,41460,25020.0,1223.0,528.0,2889.0,,,337.0,28999,998,1240,5136,6603.0,6471,,,,,,,,
2005,Dhule,134681,60199,,,29696,89486.0,256.0,,,11569,2786.0,888.0,93416,53464.0,3204.0,1011.0,2234.0,,,293.0,57670,2529,4042,3867,21890.0,7390,,,,,,,,
2005,Jalgaon,247498,131236,,,49648,180202.0,894.0,,,7070,8894.0,790.0,190780,122562.0,3845.0,1114.0,2787.0,,,1040.0,125941,5295,7295,5220,38381.0,18311,,,,,,,,
2005,Buldhana,148830,71714,,,34763,103389.0,612.0,,,4162,4910.0,994.0,109905,62880.0,4986.0,567.0,2667.0,,,616.0,66236,5478,4465,2366,22648.0,10612,,,,,,,,
2005,Akola,156880,72981,,,40625,108086.0,283.0,,,3380,3610.0,896.0,112875,66918.0,2549.0,990.0,2132.0,,,442.0,69980,3001,7466,2550,21672.0,10412,,,,,,,,
2005,Washim,61284,32615,,,12497,40704.0,62.0,,,1870,5362.0,789.0,46917,29499.0,1087.0,136.0,1797.0,,,96.0,30772,1843,2276,1388,9927.0,6414,,,,,,,,
2005,Amravati,207759,100564,,,51881,137288.0,967.0,,,6824,8161.0,2638.0,149054,92150.0,3937.0,1234.0,2947.0,,,297.0,95219,5345,8624,4907,37154.0,16333,,,,,,,,
2005,Wardha,126189,51706,,,24555,92145.0,780.0,,,4163,3174.0,1372.0,97471,48142.0,1443.0,451.0,1360.0,,,344.0,48985,2721,7270,4066,21235.0,6722,,,,,,,,
2005,Nagpur,545338,211049,,,109547,408049.0,2437.0,,,8992,13028.0,3285.0,426799,190185.0,8390.0,6539.0,4265.0,,,2562.0,205650,5399,29308,17158,85769.0,23356,,,,,,,,
2005,Bhandara,133924,59050,,,26468,95845.0,615.0,,,2511,7629.0,856.0,104945,49055.0,5747.0,1917.0,2343.0,,,526.0,52662,6388,8620,2863,29693.0,9599,,,,,,,,
2005,Gondia,126700,55162,,,21590,88453.0,1594.0,,,1694,10301.0,3068.0,103416,49292.0,2197.0,932.0,2577.0,,,328.0,47439,7723,7219,4722,23008.0,9630,,,,,,,,
2005,Gadchiroli,75202,33988,,,25096,41562.0,963.0,,,2480,4555.0,546.0,47626,28710.0,929.0,503.0,3413.0,,,435.0,30905,3083,2695,2639,10521.0,9036,,,,,,,,
2005,Chandrapur,178512,73332,,,39397,109882.0,7925.0,,,12297,7142.0,1869.0,126818,64622.0,4447.0,619.0,2981.0,,,678.0,67549,5783,7774,5796,31122.0,13879,,,,,,,,
2005,Yavatmal,183905,89645,,,45100,127461.0,427.0,,,6105,3509.0,1303.0,132700,82966.0,3202.0,646.0,2416.0,,,431.0,84819,4826,8310,6525,32803.0,12868,,,,,,,,
2005,Nanded,169097,82178,,,41293,117593.0,135.0,,,2909,6528.0,639.0,124895,80055.0,912.0,699.0,1014.0,,,274.0,79138,3040,4728,3106,15865.0,14762,,,,,,,,
2005,Hingoli,42155,21865,,,12589,26448.0,148.0,,,463,2155.0,352.0,29103,19496.0,907.0,346.0,821.0,,,299.0,20717,1148,1826,820,4904.0,5434,,,,,,,,
2005,Parbhani,100312,45745,,,26808,62925.0,307.0,,,1958,6428.0,1886.0,71546,41755.0,1730.0,383.0,1481.0,,,398.0,42745,3000,2425,1522,8546.0,10027,,,,,,,,
2005,Jalna,167920,60183,,,24744,123467.0,905.0,,,3051,14449.0,1304.0,140125,52428.0,3104.0,1307.0,2560.0,,,814.0,55939,4244,4478,2346,12844.0,12167,,,,,,,,
2005,Chhatrapati Sambhaji Nagar,262221,116053,,,44051,179434.0,8933.0,,,5599,11774.0,12430.0,212571,108038.0,3522.0,951.0,2615.0,,,927.0,112070,3983,7069,3848,21802.0,18054,,,,,,,,
2005,Nashik,433370,159157,,,104320,291429.0,3438.0,,,14696,14287.0,5200.0,314354,136014.0,13918.0,2330.0,5521.0,,,1631.0,154600,4557,9568,9779,39560.0,27111,,,,,,,,
2005,Thane,1122710,325004,,,126777,878592.0,24297.0,,,17438,37036.0,38570.0,978495,291332.0,19837.0,6259.0,6135.0,,,3589.0,315117,9887,15544,14400,75171.0,36999,,,,,,,,
2005,Mumbai Suburban,2248273,572198,,,351828,1672155.0,53067.0,,,63071,41309.0,66843.0,1833374,528145.0,19886.0,12417.0,7243.0,,,5403.0,560392,11806,42467,27675,88652.0,52960,,,,,,,,
2005,Mumbai City,251859,80402,,,71375,149917.0,1900.0,,,6357,16304.0,6006.0,174127,69134.0,6443.0,1166.0,2300.0,,,1361.0,75392,5010,2820,2338,24412.0,19295,,,,,,,,
2005,Raigad,1091360,339621,,,183765,812627.0,17461.0,,,30551,29775.0,17181.0,877044,295882.0,26372.0,5892.0,7566.0,,,3986.0,324944,14677,20474,10963,56485.0,47931,,,,,,,,
2005,Pune,443261,167285,,,76606,305626.0,13615.0,,,19009,17055.0,11350.0,347646,145775.0,12719.0,1572.0,5503.0,,,1826.0,157776,9509,8085,5783,31714.0,26243,,,,,,,,
2005,Ahilyanagar,212747,99565,,,28070,176731.0,424.0,,,3076,3684.0,762.0,181601,94709.0,2969.0,267.0,1389.0,,,232.0,93182,6383,4322,3973,18664.0,7933,,,,,,,,
2005,Beed,164608,71996,,,32021,122540.0,576.0,,,4455,4082.0,934.0,128132,66353.0,2892.0,433.0,2171.0,,,151.0,70142,1854,5432,2100,12311.0,10366,,,,,,,,
