District,Year,Type of Industry,Govt Employees,Semi Govt Employees,Private Employees,Total Employees
Gondia,2020,"Finance, Insurance, Real Estate And Trade Services",1789,1284,,
Gondia,2020,"Collective, Social And Individual Service",158,2031,,
Gondia,2021,Agriculture,122,199,8,329
Gondia,2021,Mining,1442,8,442,1892
Gondia,2021,Commodity Manufacturing,1012,365,875,2252
Gondia,2021,"Electricity Generation, Gas, Water And Sewage Services",445,12,143,600
Gondia,2021,Construction,158,2193,31,2382
Gondia,2021,Wholesale And Retail Trade And Hotel Business,3261,685,1031,4977
Gondia,2021,"Transportation, Warehousing And Transportation",22,7,16,45
Gondia,2021,"Finance, Insurance, Real Estate And Trade Services",1799,1277,8673,11749
Gondia,2021,"Collective, Social And Individual Service",158,2031,446,2635
Hingoli,2012,Agriculture,60,56,,116
Hingoli,2012,Mining,0,0,0,0
Hingoli,2012,Commodity Manufacturing,74,77,379,530
Hingoli,2012,"Electricity Generation, Gas, Water And Sewage Services",275,117,979,1371
Hingoli,2012,Construction,125,86,94,305
Hingoli,2012,Wholesale And Retail Trade And Hotel Business,296,157,336,789
Hingoli,2012,"Transportation, Warehousing And Transportation",50,26,64,140
Hingoli,2012,"Finance, Insurance, Real Estate And Trade Services",525,250,472,1247
Hingoli,2012,"Collective, Social And Individual Service",4022,524,2568,7114
Hingoli,2013,Agriculture,,,,
Hingoli,2013,Mining,,,,
Hingoli,2013,Commodity Manufacturing,,,,
Hingoli,2013,"Electricity Generation, Gas, Water And Sewage Services",,,,
Hingoli,2013,Construction,,,,
Hingoli,2013,Wholesale And Retail Trade And Hotel Business,,,,
Hingoli,2013,"Transportation, Warehousing And Transportation",,,,
Hingoli,2013,"Finance, Insurance, Real Estate And Trade Services",,,,
Hingoli,2013,"Collective, Social And Individual Service",,,,
Hingoli,2014,Agriculture,60,65,0,125
Hingoli,2014,Mining,,,,0
Hingoli,2014,Commodity Manufacturing,70,72,370,512
Hingoli,2014,"Electricity Generation, Gas, Water And Sewage Services",276,120,175,571
Hingoli,2014,Construction,118,83,91,292
Hingoli,2014,Wholesale And Retail Trade And Hotel Business,287,155,331,773
Hingoli,2014,"Transportation, Warehousing And Transportation",49,25,67,141
Hingoli,2014,"Finance, Insurance, Real Estate And Trade Services",505,251,465,1221
Hingoli,2014,"Collective, Social And Individual Service",3800,514,2511,6825
Hingoli,2015,Agriculture,73,60,11,144
Hingoli,2015,Mining,0,0,0,0
Hingoli,2015,Commodity Manufacturing,83,79,413,575
Hingoli,2015,"Electricity Generation, Gas, Water And Sewage Services",292,121,994,1407
Hingoli,2015,Construction,131,89,97,317
Hingoli,2015,Wholesale And Retail Trade And Hotel Business,310,162,339,811
Hingoli,2015,"Transportation, Warehousing And Transportation",75,33,72,180
Hingoli,2015,"Finance, Insurance, Real Estate And Trade Services",542,255,490,1287
Hingoli,2015,"Collective, Social And Individual Service",4042,542,2578,7162
Hingoli,2016,Agriculture,,,,
Hingoli,2016,Mining,,,,
Hingoli,2016,Commodity Manufacturing,,,,
Hingoli,2016,"Electricity Generation, Gas, Water And Sewage Services",,,,
Hingoli,2016,Construction,,,,
Hingoli,2016,Wholesale And Retail Trade And Hotel Business,,,,
Hingoli,2016,"Transportation, Warehousing And Transportation",,,,
Hingoli,2016,"Finance, Insurance, Real Estate And Trade Services",,,,
Hingoli,2016,"Collective, Social And Individual Service",,,,
Hingoli,2017,Agriculture,156,83,57,359
Hingoli,2017,Mining,1,0,0,2
Hingoli,2017,Commodity Manufacturing,85,79,413,607
Hingoli,2017,"Electricity Generation, Gas, Water And Sewage Services",310,123,997,1486
Hingoli,2017,Construction,155,86,99,370
Hingoli,2017,Wholesale And Retail Trade And Hotel Business,325,173,347,933
Hingoli,2017,"Transportation, Warehousing And Transportation",80,39,79,244
Hingoli,2017,"Finance, Insurance, Real Estate And Trade Services",547,259,515,1434
Hingoli,2017,"Collective, Social And Individual Service",4050,587,2598,7483
Hingoli,2018,Agriculture,173,83,57,313
Hingoli,2018,Mining,1,0,0,1
Hingoli,2018,Commodity Manufacturing,85,79,413,577
Hingoli,2018,"Electricity Generation, Gas, Water And Sewage Services",354,123,997,1474
Hingoli,2018,Construction,181,86,99,366
Hingoli,2018,Wholesale And Retail Trade And Hotel Business,325,173,362,860
Hingoli,2018,"Transportation, Warehousing And Transportation",80,39,79,198
Hingoli,2018,"Finance, Insurance, Real Estate And Trade Services",550,259,525,1334
Hingoli,2018,"Collective, Social And Individual Service",4134,587,2886,7607
Hingoli,2019,Agriculture,622,19,396,1037
Hingoli,2019,Mining,20,42,1161,1223
Hingoli,2019,Commodity Manufacturing,116,157,96,369
Hingoli,2019,"Electricity Generation, Gas, Water And Sewage Services",988,0,81,1069
Hingoli,2019,Construction,204,12,17,233
Hingoli,2019,Wholesale And Retail Trade And Hotel Business,138,271,440,849
Hingoli,2019,"Transportation, Warehousing And Transportation",11,39,130,180
Hingoli,2019,"Finance, Insurance, Real Estate And Trade Services",5798,54,3956,9808
Hingoli,2019,"Collective, Social And Individual Service",116,83,662,861
Hingoli,2020,Agriculture,742,46,396,1184
Hingoli,2020,Mining,21,43,1165,1229
Hingoli,2020,Commodity Manufacturing,117,97,96,310
Hingoli,2020,"Electricity Generation, Gas, Water And Sewage Services",960,6,81,1047
Hingoli,2020,Construction,216,6,17,239
Hingoli,2020,Wholesale And Retail Trade And Hotel Business,85,196,439,720
Hingoli,2020,"Transportation, Warehousing And Transportation",10,36,130,176
Hingoli,2020,"Finance, Insurance, Real Estate And Trade Services",5802,55,3922,9779
Hingoli,2020,"Collective, Social And Individual Service",116,77,1109,1302
Hingoli,2021,Agriculture,721,46,396,1163
Hingoli,2021,Mining,20,16,1184,1220
Hingoli,2021,Commodity Manufacturing,115,98,96,309
Hingoli,2021,"Electricity Generation, Gas, Water And Sewage Services",947,0,81,1028
Hingoli,2021,Construction,203,12,17,232
Hingoli,2021,Wholesale And Retail Trade And Hotel Business,132,196,443,771
Hingoli,2021,"Transportation, Warehousing And Transportation",11,36,130,177
Hingoli,2021,"Finance, Insurance, Real Estate And Trade Services",5750,48,3926,9724
Hingoli,2021,"Collective, Social And Individual Service",86,77,1109,1272
Jalna,2013,Agriculture,94,0,971,1065
Jalna,2013,Mining,253,21,5114,5388
Jalna,2013,Commodity Manufacturing,2116,0,0,2116
Jalna,2013,"Electricity Generation, Gas, Water And Sewage Services",1354,0,0,1354
Jalna,2013,Construction,336,52,170,558
Jalna,2013,Wholesale And Retail Trade And Hotel Business,109,65,235,409
Jalna,2013,"Transportation, Warehousing And Transportation",0,0,289,289
Jalna,2013,"Finance, Insurance, Real Estate And Trade Services",3075,1434,19,4528
Jalna,2013,"Collective, Social And Individual Service",638,65,863,1566
Jalna,2014,Agriculture,227,0,830,1057
Jalna,2014,Mining,183,82,4811,5076
Jalna,2014,Commodity Manufacturing,1298,0,0,1298
Jalna,2014,"Electricity Generation, Gas, Water And Sewage Services",0,1191,0,1191
Jalna,2014,Construction,258,49,150,457
Jalna,2014,Wholesale And Retail Trade And Hotel Business,17,62,209,288
Jalna,2014,"Transportation, Warehousing And Transportation",0,0,265,265
Jalna,2014,"Finance, Insurance, Real Estate And Trade Services",2300,63,58,2421
Jalna,2014,"Collective, Social And Individual Service",5181,1946,0,7127
Jalna,2015,Agriculture,227,0,977,1204
Jalna,2015,Mining,183,82,4811,5076
Jalna,2015,Commodity Manufacturing,1298,0,63,1361
Jalna,2015,"Electricity Generation, Gas, Water And Sewage Services",0,1191,0,1191
Jalna,2015,Construction,258,49,150,457
Jalna,2015,Wholesale And Retail Trade And Hotel Business,17,62,200,279
Jalna,2015,"Transportation, Warehousing And Transportation",0,0,265,265
Jalna,2015,"Finance, Insurance, Real Estate And Trade Services",2300,63,81,2444
Jalna,2015,"Collective, Social And Individual Service",5302,1946,198,7446
Jalna,2016,Agriculture,,,,
Jalna,2016,Mining,,,,
Jalna,2016,Commodity Manufacturing,,,,
Jalna,2016,"Electricity Generation, Gas, Water And Sewage Services",,,,
Jalna,2016,Construction,,,,
Jalna,2016,Wholesale And Retail Trade And Hotel Business,,,,
Jalna,2016,"Transportation, Warehousing And Transportation",,,,
Jalna,2016,"Finance, Insurance, Real Estate And Trade Services",,,,
Jalna,2016,"Collective, Social And Individual Service",,,,
Jalna,2017,Agriculture,274,0,563,866
Jalna,2017,Mining,62,28,2362,2492
Jalna,2017,Commodity Manufacturing,0,0,0,0
Jalna,2017,"Electricity Generation, Gas, Water And Sewage Services",9,9,0,20
Jalna,2017,Construction,116,116,12,256
Jalna,2017,Wholesale And Retail Trade And Hotel Business,16,3,228,265
Jalna,2017,"Transportation, Warehousing And Transportation",0,0,0,5
Jalna,2017,"Finance, Insurance, Real Estate And Trade Services",1442,0,104,1550
Jalna,2017,"Collective, Social And Individual Service",5713,1123,0,7089
Jalna,2018,Agriculture,,,,
Jalna,2018,Mining,,,,
Jalna,2018,Commodity Manufacturing,,,,
Jalna,2018,"Electricity Generation, Gas, Water And Sewage Services",,,,
Jalna,2018,Construction,,,,
Jalna,2018,Wholesale And Retail Trade And Hotel Business,,,,
Jalna,2018,"Transportation, Warehousing And Transportation",,,,
Jalna,2018,"Finance, Insurance, Real Estate And Trade Services",,,,
Jalna,2018,"Collective, Social And Individual Service",,,,
Jalna,2019,Agriculture,593,,31919,32512
Jalna,2019,Mining,152,17,8500,8669
Jalna,2019,Commodity Manufacturing,0,0,5,5
Jalna,2019,"Electricity Generation, Gas, Water And Sewage Services",0,1200,0,1200
Jalna,2019,Construction,352,0,12,364
Jalna,2019,Wholesale And Retail Trade And Hotel Business,13,62,447,522
Jalna,2019,"Transportation, Warehousing And Transportation",30,0,293,323
Jalna,2019,"Finance, Insurance, Real Estate And Trade Services",0,0,115,115
Jalna,2019,"Collective, Social And Individual Service",5736,840,7,6583
Jalna,2020,Agriculture,293,310,1848,2451
Jalna,2020,Mining,150,251,8514,8915
Jalna,2020,Commodity Manufacturing,0,1298,5,1303
Jalna,2020,"Electricity Generation, Gas, Water And Sewage Services",5,2408,0,2413
Jalna,2020,Construction,340,340,12,692
Jalna,2020,Wholesale And Retail Trade And Hotel Business,4,128,464,596
Jalna,2020,"Transportation, Warehousing And Transportation",29,29,293,351
Jalna,2020,"Finance, Insurance, Real Estate And Trade Services",0,3180,115,3295
Jalna,2020,"Collective, Social And Individual Service",5719,7389,7,13115
Jalna,2021,Agriculture,268,302,3702,4272
Jalna,2021,Mining,157,311,16992,17460
Jalna,2021,Commodity Manufacturing,0,2596,10,2606
Jalna,2021,"Electricity Generation, Gas, Water And Sewage Services",7,2403,0,2410
Jalna,2021,Construction,321,321,24,666
Jalna,2021,Wholesale And Retail Trade And Hotel Business,3,127,0,130
Jalna,2021,"Transportation, Warehousing And Transportation",29,29,586,644
Jalna,2021,"Finance, Insurance, Real Estate And Trade Services",104,1738,230,2072
Jalna,2021,"Collective, Social And Individual Service",5838,7260,14,13112
Latur,2012,Agriculture,208,240,--,448
Latur,2012,Mining,306,--,3401,3707
Latur,2012,Commodity Manufacturing,--,--,490,490
Latur,2012,"Electricity Generation, Gas, Water And Sewage Services",2217,2251,--,4468
Latur,2012,Construction,78,140,562,780
Latur,2012,Wholesale And Retail Trade And Hotel Business,203,3779,9468,13450
Latur,2012,"Transportation, Warehousing And Transportation",5773,2422,81,8276
Latur,2012,"Finance, Insurance, Real Estate And Trade Services",5262,8061,11921,25244
Latur,2012,"Collective, Social And Individual Service",11,--,--,11
Latur,2013,Agriculture,208,240,0,448
Latur,2013,Mining,0,0,0,0
Latur,2013,Commodity Manufacturing,0,0,497,497
Latur,2013,"Electricity Generation, Gas, Water And Sewage Services",2217,2251,0,4468
Latur,2013,Construction,78,140,562,780
Latur,2013,Wholesale And Retail Trade And Hotel Business,203,3779,9468,13450
Latur,2013,"Transportation, Warehousing And Transportation",5773,2422,81,8276
Latur,2013,"Finance, Insurance, Real Estate And Trade Services",5562,9063,11876,26501
Latur,2013,"Collective, Social And Individual Service",317,0,3501,3818
Latur,2014,Agriculture,241,270,0,511
Latur,2014,Mining,0,0,0,0
Latur,2014,Commodity Manufacturing,1,0,35,36
Latur,2014,"Electricity Generation, Gas, Water And Sewage Services",2000,3200,0,5200
Latur,2014,Construction,1800,140,570,2510
Latur,2014,Wholesale And Retail Trade And Hotel Business,0,0,4550,4550
Latur,2014,"Transportation, Warehousing And Transportation",5774,6199,81,12054
Latur,2014,"Finance, Insurance, Real Estate And Trade Services",7704,9224,27125,44053
Latur,2014,"Collective, Social And Individual Service",334,0,3528,3862
Latur,2015,Agriculture,378,479,46,903
Latur,2015,Mining,0,0,0,0
Latur,2015,Commodity Manufacturing,49,49,64,162
Latur,2015,"Electricity Generation, Gas, Water And Sewage Services",2713,3453,0,6166
Latur,2015,Construction,2800,514,679,3993
Latur,2015,Wholesale And Retail Trade And Hotel Business,0,0,5097,5097
Latur,2015,"Transportation, Warehousing And Transportation",5974,6487,92,12553
Latur,2015,"Finance, Insurance, Real Estate And Trade Services",7794,11430,28122,47346
Latur,2015,"Collective, Social And Individual Service",459,117,3629,4205
Latur,2016,Agriculture,388,485,55,928
Latur,2016,Mining,0,0,0,0
Latur,2016,Commodity Manufacturing,55,55,75,185
Latur,2016,"Electricity Generation, Gas, Water And Sewage Services",2720,3460,0,6180
Latur,2016,Construction,2850,525,691,4066
Latur,2016,Wholesale And Retail Trade And Hotel Business,0,0,6045,6045
Latur,2016,"Transportation, Warehousing And Transportation",6001,6500,108,12609
Latur,2016,"Finance, Insurance, Real Estate And Trade Services",8000,11510,28220,47730
Latur,2016,"Collective, Social And Individual Service",469,180,3650,4299
Latur,2017,Agriculture,395,495,68,958
Latur,2017,Mining,0,0,0,0
Latur,2017,Commodity Manufacturing,62,73,82,217
Latur,2017,"Electricity Generation, Gas, Water And Sewage Services",2723,3472,0,6195
Latur,2017,Construction,2858,531,702,4091
Latur,2017,Wholesale And Retail Trade And Hotel Business,0,0,6065,6065
Latur,2017,"Transportation, Warehousing And Transportation",6021,6518,121,12660
Latur,2017,"Finance, Insurance, Real Estate And Trade Services",8081,11517,28232,47830
Latur,2017,"Collective, Social And Individual Service",469,197,3658,4324
Latur,2018,Agriculture,402,895,98,1395
Latur,2018,Mining,13,15,55,83
Latur,2018,Commodity Manufacturing,72,93,102,267
Latur,2018,"Electricity Generation, Gas, Water And Sewage Services",2923,3972,15,6910
Latur,2018,Construction,2958,631,982,4571
Latur,2018,Wholesale And Retail Trade And Hotel Business,5,11,8365,8381
Latur,2018,"Transportation, Warehousing And Transportation",6221,6818,190,13229
Latur,2018,"Finance, Insurance, Real Estate And Trade Services",8381,11717,31232,51330
Latur,2018,"Collective, Social And Individual Service",569,237,3958,4764
Latur,2019,Agriculture,761,293,28,1082
Latur,2019,Mining,342,0,6263,6605
Latur,2019,Commodity Manufacturing,419,2000,1726,4145
Latur,2019,"Electricity Generation, Gas, Water And Sewage Services",1645,124,849,2618
Latur,2019,Construction,2,2818,343,3163
Latur,2019,Wholesale And Retail Trade And Hotel Business,1098,1134,2195,4427
Latur,2019,"Transportation, Warehousing And Transportation",65,208,880,1153
Latur,2019,"Finance, Insurance, Real Estate And Trade Services",11648,10903,18730,41281
Latur,2019,"Collective, Social And Individual Service",3,2,55,60
Latur,2020,Agriculture,660,296,28,984
Latur,2020,Mining,314,0,6392,6706
Latur,2020,Commodity Manufacturing,412,2000,1733,4145
Latur,2020,"Electricity Generation, Gas, Water And Sewage Services",1615,123,834,2572
Latur,2020,Construction,2,10,341,353
Latur,2020,Wholesale And Retail Trade And Hotel Business,1098,1134,2205,4437
Latur,2020,"Transportation, Warehousing And Transportation",60,3016,880,3956
Latur,2020,"Finance, Insurance, Real Estate And Trade Services",11547,10901,18730,41178
Latur,2020,"Collective, Social And Individual Service",3,2,55,60
Latur,2021,Agriculture,657,298,28,983
Latur,2021,Mining,313,0,6326,6639
Latur,2021,Commodity Manufacturing,411,2000,1728,4139
Latur,2021,"Electricity Generation, Gas, Water And Sewage Services",1572,122,824,2518
Latur,2021,Construction,2,10,341,353
Latur,2021,Wholesale And Retail Trade And Hotel Business,1096,1134,2203,4433
Latur,2021,"Transportation, Warehousing And Transportation",60,3016,880,3956
Latur,2021,"Finance, Insurance, Real Estate And Trade Services",11322,10897,18736,40955
Latur,2021,"Collective, Social And Individual Service",3,2,55,60
Mumbai City,2013,Agriculture,108,0,256,364
Mumbai City,2013,Mining,95,0,71,166
Mumbai City,2013,Commodity Manufacturing,27595,377,44487,72459
Mumbai City,2013,"Electricity Generation, Gas, Water And Sewage Services",1675,14361,384,16420
Mumbai City,2013,Construction,6225,1389,8192,15806
Mumbai City,2013,Wholesale And Retail Trade And Hotel Business,2231,1389,3826,7446
Mumbai City,2013,"Transportation, Warehousing And Transportation",31315,265,8837,40417
Mumbai City,2013,"Finance, Insurance, Real Estate And Trade Services",59682,236,24597,84515
Mumbai City,2013,"Collective, Social And Individual Service",100590,121563,123882,346035
Mumbai City,2014,Agriculture,112,0,289,401
Mumbai City,2014,Mining,117,0,87,204
Mumbai City,2014,Commodity Manufacturing,29785,451,45375,75611
Mumbai City,2014,"Electricity Generation, Gas, Water And Sewage Services",2295,15063,399,17757
Mumbai City,2014,Construction,7982,1732,9417,19131
Mumbai City,2014,Wholesale And Retail Trade And Hotel Business,3793,1573,3998,9364
Mumbai City,2014,"Transportation, Warehousing And Transportation",32577,317,9273,42167
Mumbai City,2014,"Finance, Insurance, Real Estate And Trade Services",60890,252,27372,88514
Mumbai City,2014,"Collective, Social And Individual Service",145478,121612,122402,389492
Mumbai City,2015,Agriculture,124,0,304,428
Mumbai City,2015,Mining,114,0,78,192
Mumbai City,2015,Commodity Manufacturing,30567,462,51932,82961
Mumbai City,2015,"Electricity Generation, Gas, Water And Sewage Services",2173,16427,394,18994
Mumbai City,2015,Construction,7260,1915,9407,18582
Mumbai City,2015,Wholesale And Retail Trade And Hotel Business,3981,1765,4217,9963
Mumbai City,2015,"Transportation, Warehousing And Transportation",34482,308,9174,43964
Mumbai City,2015,"Finance, Insurance, Real Estate And Trade Services",61989,259,28943,91191
Mumbai City,2015,"Collective, Social And Individual Service",146290,121685,181687,449662
Mumbai City,2016,Agriculture,128,0,317,445
Mumbai City,2016,Mining,119,0,83,202
Mumbai City,2016,Commodity Manufacturing,31670,481,52443,84594
Mumbai City,2016,"Electricity Generation, Gas, Water And Sewage Services",2803,17203,406,20412
Mumbai City,2016,Construction,7803,2343,10503,20649
Mumbai City,2016,Wholesale And Retail Trade And Hotel Business,4103,2143,5719,11965
Mumbai City,2016,"Transportation, Warehousing And Transportation",35379,409,10307,46095
Mumbai City,2016,"Finance, Insurance, Real Estate And Trade Services",62390,304,29455,92149
Mumbai City,2016,"Collective, Social And Individual Service",147460,122890,190530,460880
Mumbai City,2017,Agriculture,109,71,949,1149
Mumbai City,2017,Mining,93,0,851,962
Mumbai City,2017,Commodity Manufacturing,32530,5581,63443,102155
Mumbai City,2017,"Electricity Generation, Gas, Water And Sewage Services",1567,21203,988,23790
Mumbai City,2017,Construction,6548,6843,21503,34989
Mumbai City,2017,Wholesale And Retail Trade And Hotel Business,3789,6643,7269,18194
Mumbai City,2017,"Transportation, Warehousing And Transportation",34145,1409,21307,57019
Mumbai City,2017,"Finance, Insurance, Real Estate And Trade Services",50268,1304,40455,92831
Mumbai City,2017,"Collective, Social And Individual Service",1194722,222890,245530,589209
Mumbai City,2018,Agriculture,134,64,1099,1297
Mumbai City,2018,Mining,118,0,952,1070
Mumbai City,2018,Commodity Manufacturing,44530,4081,69443,118054
Mumbai City,2018,"Electricity Generation, Gas, Water And Sewage Services",2567,16203,1113,19883
Mumbai City,2018,Construction,9548,4843,23503,37894
Mumbai City,2018,Wholesale And Retail Trade And Hotel Business,4789,4143,7789,16721
Mumbai City,2018,"Transportation, Warehousing And Transportation",43145,709,24307,68161
Mumbai City,2018,"Finance, Insurance, Real Estate And Trade Services",62268,704,45435,108407
Mumbai City,2018,"Collective, Social And Individual Service",136472,134399,254595,555466
Mumbai City,2019,Agriculture,131,63,1179,1373
Mumbai City,2019,Mining,116,0,1013,1129
Mumbai City,2019,Commodity Manufacturing,44500,4020,74899,123419
Mumbai City,2019,"Electricity Generation, Gas, Water And Sewage Services",2552,15830,1218,19600
Mumbai City,2019,Construction,9523,4706,26181,40410
Mumbai City,2019,Wholesale And Retail Trade And Hotel Business,4769,4052,8330,17151
Mumbai City,2019,"Transportation, Warehousing And Transportation",42930,705,28430,72065
Mumbai City,2019,"Finance, Insurance, Real Estate And Trade Services",61953,702,52175,114830
Mumbai City,2019,"Collective, Social And Individual Service",135657,164365,267200,567222
Mumbai City,2020,Agriculture,423,61,458,942
Mumbai City,2020,Mining,831,146,224,1201
Mumbai City,2020,Commodity Manufacturing,1934,23637,79843,105414
Mumbai City,2020,"Electricity Generation, Gas, Water And Sewage Services",1710,39429,1499,42638
Mumbai City,2020,Construction,1497,677,16070,18244
Mumbai City,2020,Wholesale And Retail Trade And Hotel Business,2763,255,48425,51443
Mumbai City,2020,"Transportation, Warehousing And Transportation",102273,40753,56398,199424
Mumbai City,2020,"Finance, Insurance, Real Estate And Trade Services",9127,63991,192708,265826
Mumbai City,2020,"Collective, Social And Individual Service",156296,24840,93629,274765
Mumbai City,2021,Agriculture,1228,207,746,2181
Mumbai City,2021,Mining,161,8007,17896,26064
Mumbai City,2021,Commodity Manufacturing,31529,56178,65610,153317
Mumbai City,2021,"Electricity Generation, Gas, Water And Sewage Services",1497,677,18032,20206
Mumbai City,2021,Construction,86829,3042,36348,126219
Mumbai City,2021,Wholesale And Retail Trade And Hotel Business,10847,37789,31823,80459
Mumbai City,2021,"Transportation, Warehousing And Transportation",11405,42988,139202,193595
Mumbai City,2021,"Finance, Insurance, Real Estate And Trade Services",6009,21008,97151,124168
Mumbai City,2021,"Collective, Social And Individual Service",155794,26935,116983,299712
Mumbai Suburban,2016,Agriculture,,,,
Mumbai Suburban,2016,Mining,,,,
Mumbai Suburban,2016,Commodity Manufacturing,,,,
Mumbai Suburban,2016,"Electricity Generation, Gas, Water And Sewage Services",,,,
Mumbai Suburban,2016,Construction,,,,
Mumbai Suburban,2016,Wholesale And Retail Trade And Hotel Business,,,,
Mumbai Suburban,2016,"Transportation, Warehousing And Transportation",,,,
Mumbai Suburban,2016,"Finance, Insurance, Real Estate And Trade Services",,,,
Mumbai Suburban,2016,"Collective, Social And Individual Service",,,,
Mumbai Suburban,2017,Agriculture,,,,
Mumbai Suburban,2017,Mining,,,,
Mumbai Suburban,2017,Commodity Manufacturing,,,,
Mumbai Suburban,2017,"Electricity Generation, Gas, Water And Sewage Services",,,,
Mumbai Suburban,2017,Construction,,,,
Mumbai Suburban,2017,Wholesale And Retail Trade And Hotel Business,,,,
Mumbai Suburban,2017,"Transportation, Warehousing And Transportation",,,,
Mumbai Suburban,2017,"Finance, Insurance, Real Estate And Trade Services",,,,
Mumbai Suburban,2017,"Collective, Social And Individual Service",,,,
Mumbai Suburban,2018,Agriculture,,,466,466
Mumbai Suburban,2018,Mining,,,2183,2183
Mumbai Suburban,2018,Commodity Manufacturing,352,4844,70167,75363
Mumbai Suburban,2018,"Electricity Generation, Gas, Water And Sewage Services",,,1866,1866
Mumbai Suburban,2018,Construction,,,944,944
Mumbai Suburban,2018,Wholesale And Retail Trade And Hotel Business,,,31762,31762
Mumbai Suburban,2018,"Transportation, Warehousing And Transportation",889,3500,377350,381739
Mumbai Suburban,2018,"Finance, Insurance, Real Estate And Trade Services",296,,132459,132755
Mumbai Suburban,2018,"Collective, Social And Individual Service",1126,,64881,66007
Mumbai Suburban,2019,Agriculture,0,0,2409,2409
Mumbai Suburban,2019,Mining,0,0,2890,2890
Mumbai Suburban,2019,Commodity Manufacturing,0,422,72989,73411
Mumbai Suburban,2019,"Electricity Generation, Gas, Water And Sewage Services",0,0,1849,1849
Mumbai Suburban,2019,Construction,0,0,1011,1011
Mumbai Suburban,2019,Wholesale And Retail Trade And Hotel Business,0,0,35894,35894
Mumbai Suburban,2019,"Transportation, Warehousing And Transportation",1031,3497,402860,407388
Mumbai Suburban,2019,"Finance, Insurance, Real Estate And Trade Services",247,0,117860,118107
Mumbai Suburban,2019,"Collective, Social And Individual Service",0,0,437208,437208
Mumbai Suburban,2020,Agriculture,0,0,3000,3000
Mumbai Suburban,2020,Mining,0,0,4376,4376
Mumbai Suburban,2020,Commodity Manufacturing,0,4024,78925,82949
Mumbai Suburban,2020,"Electricity Generation, Gas, Water And Sewage Services",0,0,1824,1824
Mumbai Suburban,2020,Construction,0,0,78,78
Mumbai Suburban,2020,Wholesale And Retail Trade And Hotel Business,0,0,36578,36578
Mumbai Suburban,2020,"Transportation, Warehousing And Transportation",1108,3464,401331,405903
Mumbai Suburban,2020,"Finance, Insurance, Real Estate And Trade Services",241,0,126470,126711
Mumbai Suburban,2020,"Collective, Social And Individual Service",3672,0,279498,283170
Mumbai Suburban,2021,Agriculture,0,0,3228,3228
Mumbai Suburban,2021,Mining,0,0,2838,2838
Mumbai Suburban,2021,Commodity Manufacturing,0,2281,97159,99440
Mumbai Suburban,2021,"Electricity Generation, Gas, Water And Sewage Services",0,0,2009,2009
Mumbai Suburban,2021,Construction,0,0,65,65
Mumbai Suburban,2021,Wholesale And Retail Trade And Hotel Business,0,0,38654,38654
Mumbai Suburban,2021,"Transportation, Warehousing And Transportation",1405,0,438731,440136
Mumbai Suburban,2021,"Finance, Insurance, Real Estate And Trade Services",244,0,121322,121566
Mumbai Suburban,2021,"Collective, Social And Individual Service",3634,0,298790,302424
Nagpur,2012,Agriculture,1620,325,875,2820
Nagpur,2012,Mining,298,9975,375,10648
Nagpur,2012,Commodity Manufacturing,1040,320,44100,45460
Nagpur,2012,"Electricity Generation, Gas, Water And Sewage Services",170,5225,50,5445
Nagpur,2012,Construction,4000,2600,2950,9550
Nagpur,2012,Wholesale And Retail Trade And Hotel Business,425,3111,7250,10786
Nagpur,2012,"Transportation, Warehousing And Transportation",2300,3370,2770,8440
Nagpur,2012,"Finance, Insurance, Real Estate And Trade Services",3150,10150,28900,42200
Nagpur,2012,"Collective, Social And Individual Service",31250,38280,36767,106297
Nagpur,2013,Agriculture,1620,325,875,2820
Nagpur,2013,Mining,298,9975,375,10648
Nagpur,2013,Commodity Manufacturing,1040,320,44100,45460
Nagpur,2013,"Electricity Generation, Gas, Water And Sewage Services",170,5225,50,5445
Nagpur,2013,Construction,4000,2600,2950,9550
Nagpur,2013,Wholesale And Retail Trade And Hotel Business,425,3111,7250,10786
Nagpur,2013,"Transportation, Warehousing And Transportation",2300,3370,2770,8440
Nagpur,2013,"Finance, Insurance, Real Estate And Trade Services",3150,10150,28900,42200
Nagpur,2013,"Collective, Social And Individual Service",31250,38280,36767,106297
Nagpur,2014,Agriculture,,,,
Nagpur,2014,Mining,1620,9975,875,10598
Nagpur,2014,Commodity Manufacturing,1040,320,44100,45460
Nagpur,2014,"Electricity Generation, Gas, Water And Sewage Services",170,5225,50,5445
Nagpur,2014,Construction,4000,2600,2950,9550
Nagpur,2014,Wholesale And Retail Trade And Hotel Business,425,3111,7250,10786
Nagpur,2014,"Transportation, Warehousing And Transportation",2300,3370,2770,8440
Nagpur,2014,"Finance, Insurance, Real Estate And Trade Services",3150,10150,28900,42200
Nagpur,2014,"Collective, Social And Individual Service",31250,38280,36767,106297
Nagpur,2015,Agriculture,,,,
Nagpur,2015,Mining,,,,
Nagpur,2015,Commodity Manufacturing,,,,
Nagpur,2015,"Electricity Generation, Gas, Water And Sewage Services",,,,
Nagpur,2015,Construction,,,,
Nagpur,2015,Wholesale And Retail Trade And Hotel Business,,,,
Nagpur,2015,"Transportation, Warehousing And Transportation",,,,
Nagpur,2015,"Finance, Insurance, Real Estate And Trade Services",,,,
Nagpur,2015,"Collective, Social And Individual Service",,,,
