District,Year,Type of Industry,Govt Employees,Semi Govt Employees,Private Employees,Total Employees
Beed,2021,Mining,90,0,1,91
Beed,2021,Commodity Manufacturing,144,0,5443,5587
Beed,2021,"Electricity Generation, Gas, Water And Sewage Services",3059,0,0,3059
Beed,2021,Construction,2423,850,152,3425
Beed,2021,Wholesale And Retail Trade And Hotel Business,24,8,84,116
Beed,2021,"Transportation, Warehousing And Transportation",1047,0,61,1108
Beed,2021,"Finance, Insurance, Real Estate And Trade Services",1044,61,2401,3506
Beed,2021,"Collective, Social And Individual Service",20315,12571,11,32897
Bhandara,2012,Agriculture,31,966,545,1542
Bhandara,2012,Mining,,1739,0,1739
Bhandara,2012,Commodity Manufacturing,405,607,3765,4777
Bhandara,2012,"Electricity Generation, Gas, Water And Sewage Services",,,5,5
Bhandara,2012,Construction,36,,,36
Bhandara,2012,Wholesale And Retail Trade And Hotel Business,3,,107,110
Bhandara,2012,"Transportation, Warehousing And Transportation",158,2007,12,2177
Bhandara,2012,"Finance, Insurance, Real Estate And Trade Services",853,512,477,1842
Bhandara,2012,"Collective, Social And Individual Service",3831,5630,5871,15332
Bhandara,2013,Agriculture,35,901,580,1516
Bhandara,2013,Mining,0,1675,0,1675
Bhandara,2013,Commodity Manufacturing,471,413,3297,4181
Bhandara,2013,"Electricity Generation, Gas, Water And Sewage Services",0,0,5,5
Bhandara,2013,Construction,39,0,0,39
Bhandara,2013,Wholesale And Retail Trade And Hotel Business,3,0,106,109
Bhandara,2013,"Transportation, Warehousing And Transportation",264,2122,12,2398
Bhandara,2013,"Finance, Insurance, Real Estate And Trade Services",942,865,444,2251
Bhandara,2013,"Collective, Social And Individual Service",6334,6577,6059,18970
Bhandara,2014,Agriculture,40,903,586,1529
Bhandara,2014,Mining,0,1675,0,1675
Bhandara,2014,Commodity Manufacturing,475,413,3299,4187
Bhandara,2014,"Electricity Generation, Gas, Water And Sewage Services",0,0,6,6
Bhandara,2014,Construction,35,0,0,35
Bhandara,2014,Wholesale And Retail Trade And Hotel Business,6,0,110,116
Bhandara,2014,"Transportation, Warehousing And Transportation",265,2120,15,2400
Bhandara,2014,"Finance, Insurance, Real Estate And Trade Services",943,865,448,2256
Bhandara,2014,"Collective, Social And Individual Service",6337,6579,674,13590
Bhandara,2015,Agriculture,38,901,588,1527
Bhandara,2015,Mining,0,1680,0,1680
Bhandara,2015,Commodity Manufacturing,470,410,3310,4190
Bhandara,2015,"Electricity Generation, Gas, Water And Sewage Services",0,0,6,6
Bhandara,2015,Construction,37,0,0,37
Bhandara,2015,Wholesale And Retail Trade And Hotel Business,6,0,113,119
Bhandara,2015,"Transportation, Warehousing And Transportation",261,2128,15,2404
Bhandara,2015,"Finance, Insurance, Real Estate And Trade Services",941,867,457,2265
Bhandara,2015,"Collective, Social And Individual Service",6331,6567,674,13572
Bhandara,2016,Agriculture,38,905,588,1531
Bhandara,2016,Mining,0,1678,0,1678
Bhandara,2016,Commodity Manufacturing,470,410,3310,4190
Bhandara,2016,"Electricity Generation, Gas, Water And Sewage Services",0,0,6,6
Bhandara,2016,Construction,36,0,0,36
Bhandara,2016,Wholesale And Retail Trade And Hotel Business,6,0,115,121
Bhandara,2016,"Transportation, Warehousing And Transportation",260,2127,17,2404
Bhandara,2016,"Finance, Insurance, Real Estate And Trade Services",952,867,462,2281
Bhandara,2016,"Collective, Social And Individual Service",6331,6543,682,13556
Bhandara,2017,Agriculture,38,905,588,1531
Bhandara,2017,Mining,0,1678,8,1686
Bhandara,2017,Commodity Manufacturing,470,416,3360,4246
Bhandara,2017,"Electricity Generation, Gas, Water And Sewage Services",0,6,68,74
Bhandara,2017,Construction,71,0,0,71
Bhandara,2017,Wholesale And Retail Trade And Hotel Business,6,40,175,221
Bhandara,2017,"Transportation, Warehousing And Transportation",310,2127,77,2514
Bhandara,2017,"Finance, Insurance, Real Estate And Trade Services",956,879,612,2447
Bhandara,2017,"Collective, Social And Individual Service",6331,6643,834,13808
Bhandara,2018,Agriculture,38,905,588,1531
Bhandara,2018,Mining,0,1678,8,1686
Bhandara,2018,Commodity Manufacturing,470,416,3360,4246
Bhandara,2018,"Electricity Generation, Gas, Water And Sewage Services",0,0,76,76
Bhandara,2018,Construction,71,0,0,71
Bhandara,2018,Wholesale And Retail Trade And Hotel Business,6,40,175,221
Bhandara,2018,"Transportation, Warehousing And Transportation",390,2127,66,2583
Bhandara,2018,"Finance, Insurance, Real Estate And Trade Services",956,891,622,2469
Bhandara,2018,"Collective, Social And Individual Service",6341,6661,844,13846
Bhandara,2019,Agriculture,38,905,588,1531
Bhandara,2019,Mining,0,1678,8,1686
Bhandara,2019,Commodity Manufacturing,470,416,3360,4246
Bhandara,2019,"Electricity Generation, Gas, Water And Sewage Services",0,0,76,76
Bhandara,2019,Construction,71,0,0,71
Bhandara,2019,Wholesale And Retail Trade And Hotel Business,6,40,197,243
Bhandara,2019,"Transportation, Warehousing And Transportation",390,2127,66,2583
Bhandara,2019,"Finance, Insurance, Real Estate And Trade Services",956,891,634,2481
Bhandara,2019,"Collective, Social And Individual Service",6341,6666,874,13881
Bhandara,2020,Agriculture,38,905,588,1531
Bhandara,2020,Mining,0,1678,8,1686
Bhandara,2020,Commodity Manufacturing,470,416,3360,4246
Bhandara,2020,"Electricity Generation, Gas, Water And Sewage Services",0,0,76,76
Bhandara,2020,Construction,71,0,0,71
Bhandara,2020,Wholesale And Retail Trade And Hotel Business,6,1050,2200,3256
Bhandara,2020,"Transportation, Warehousing And Transportation",390,2127,1080,3597
Bhandara,2020,"Finance, Insurance, Real Estate And Trade Services",956,1891,1534,4381
Bhandara,2020,"Collective, Social And Individual Service",6341,8666,1874,16881
Bhandara,2021,Agriculture,38,905,588,1531
Bhandara,2021,Mining,0,1678,8,1686
Bhandara,2021,Commodity Manufacturing,470,416,3360,4246
Bhandara,2021,"Electricity Generation, Gas, Water And Sewage Services",0,0,76,76
