Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non Workers
2011,Yavatmal,Rural,60-69,47524,4649,10537
2011,Yavatmal,Rural,70-79,16847,2365,11855
2011,Yavatmal,Rural,80+,3202,527,5872
2011,Yavatmal,Urban,05-09,649,78,25382
2011,Yavatmal,Urban,10-14,1088,150,29373
2011,Yavatmal,Urban,15-19,4578,891,24244
2011,Yavatmal,Urban,20-24,11884,1823,15094
2011,Yavatmal,Urban,25-29,18398,1944,5780
2011,Yavatmal,Urban,30-34,20659,1678,1770
2011,Yavatmal,Urban,35-39,21630,1492,857
2011,Yavatmal,Urban,40-49,37135,2100,1230
2011,Yavatmal,Urban,50-59,20935,1255,2757
2011,Yavatmal,Urban,60-69,7124,722,8221
2011,Yavatmal,Urban,70-79,2039,270,4904
2011,Yavatmal,Urban,80+,514,42,1816
2011,Nanded,Total,05-09,2021,1075,177370
2011,Nanded,Total,10-14,8877,2962,184248
2011,Nanded,Total,15-19,57177,10283,127200
2011,Nanded,Total,20-24,105659,12189,56629
2011,Nanded,Total,25-29,116769,9831,17047
2011,Nanded,Total,30-34,110837,7847,5865
2011,Nanded,Total,35-39,104583,6807,3591
2011,Nanded,Total,40-49,160313,9326,4997
2011,Nanded,Total,50-59,94156,5614,7463
2011,Nanded,Total,60-69,64565,5662,23063
2011,Nanded,Total,70-79,19181,2322,18638
2011,Nanded,Total,80+,4318,594,9718
2011,Nanded,Rural,05-09,1536,572,129713
2011,Nanded,Rural,10-14,7038,2106,134521
2011,Nanded,Rural,15-19,46984,7713,88619
2011,Nanded,Rural,20-24,83791,8412,32779
2011,Nanded,Rural,25-29,87367,6300,8090
2011,Nanded,Rural,30-34,81091,4874,2843
2011,Nanded,Rural,35-39,75485,4249,1798
2011,Nanded,Rural,40-49,115848,5873,2562
2011,Nanded,Rural,50-59,68999,3805,3348
2011,Nanded,Rural,60-69,54529,4450,12998
2011,Nanded,Rural,70-79,16389,1911,12874
2011,Nanded,Rural,80+,3580,473,7344
2011,Nanded,Urban,05-09,485,503,47657
