District,Year,Select Industry,Govt. Employees,Semi-Govt. Employees,Private Employees
Parbhani,2021,Construction,56.0,0,121
Parbhani,2021,Wholesale And Retail Trade And Hotel Business,82.0,0,260
Parbhani,2021,"Transportation, Warehousing And Transportation",8225.0,3385,1659
Parbhani,2021,"Finance, Insurance, Real Estate And Trade Services",4032.0,7927,7720
Parbhani,2021,"Collective, Social And Individual Service",3408.0,281,311
Raigad,2012,Agriculture,1424.0,33,175
Raigad,2012,Mining,0.0,0,0
Raigad,2012,Commodity Manufacturing,0.0,3784,44747
Raigad,2012,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,7
Raigad,2012,Construction,717.0,1631,179
Raigad,2012,Wholesale And Retail Trade And Hotel Business,0.0,0,4221
Raigad,2012,"Transportation, Warehousing And Transportation",1604.0,5372,1981
Raigad,2012,"Finance, Insurance, Real Estate And Trade Services",232.0,1503,1951
Raigad,2012,"Collective, Social And Individual Service",8053.0,12052,7379
Raigad,2013,Agriculture,1457.0,0,189
Raigad,2013,Mining,0.0,0,0
Raigad,2013,Commodity Manufacturing,0.0,2256,39095
Raigad,2013,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,0
Raigad,2013,Construction,745.0,1588,180
Raigad,2013,Wholesale And Retail Trade And Hotel Business,0.0,0,3775
Raigad,2013,"Transportation, Warehousing And Transportation",1604.0,3293,2388
Raigad,2013,"Finance, Insurance, Real Estate And Trade Services",34.0,1287,1692
Raigad,2013,"Collective, Social And Individual Service",19865.0,450,7164
Raigad,2014,Agriculture,1455.0,0,189
Raigad,2014,Mining,0.0,0,0
Raigad,2014,Commodity Manufacturing,18.0,2254,44711
Raigad,2014,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,131
Raigad,2014,Construction,745.0,1588,239
Raigad,2014,Wholesale And Retail Trade And Hotel Business,20.0,0,4259
Raigad,2014,"Transportation, Warehousing And Transportation",1605.0,3803,3140
Raigad,2014,"Finance, Insurance, Real Estate And Trade Services",34.0,1299,1732
Raigad,2014,"Collective, Social And Individual Service",19987.0,441,7797
Raigad,2015,Agriculture,1455.0,0,201
Raigad,2015,Mining,3.0,0,255
Raigad,2015,Commodity Manufacturing,18.0,2219,45104
Raigad,2015,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,175
Raigad,2015,Construction,745.0,1588,284
Raigad,2015,Wholesale And Retail Trade And Hotel Business,20.0,0,4316
Raigad,2015,"Transportation, Warehousing And Transportation",1605.0,3731,3106
Raigad,2015,"Finance, Insurance, Real Estate And Trade Services",34.0,1300,1779
Raigad,2015,"Collective, Social And Individual Service",19945.0,506,8169
Raigad,2016,Agriculture,1455.0,0,201
Raigad,2016,Mining,3.0,0,255
Raigad,2016,Commodity Manufacturing,18.0,2219,47234
Raigad,2016,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,175
Raigad,2016,Construction,745.0,1590,335
Raigad,2016,Wholesale And Retail Trade And Hotel Business,20.0,0,4519
Raigad,2016,"Transportation, Warehousing And Transportation",1605.0,3731,3148
Raigad,2016,"Finance, Insurance, Real Estate And Trade Services",34.0,1326,1912
Raigad,2016,"Collective, Social And Individual Service",19949.0,526,8655
Raigad,2017,Agriculture,1458.0,0,589
Raigad,2017,Mining,0.0,2,5
Raigad,2017,Commodity Manufacturing,0.0,2041,48032
Raigad,2017,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,48
Raigad,2017,Construction,855.0,1566,307
Raigad,2017,Wholesale And Retail Trade And Hotel Business,0.0,17,1372
Raigad,2017,"Transportation, Warehousing And Transportation",1701.0,3258,3454
Raigad,2017,"Finance, Insurance, Real Estate And Trade Services",50.0,1354,1488
Raigad,2017,"Collective, Social And Individual Service",19909.0,500,8970
Raigad,2018,Agriculture,1458.0,0,391
Raigad,2018,Mining,1.0,2,259
Raigad,2018,Commodity Manufacturing,792.0,2776,58353
Raigad,2018,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,499
Raigad,2018,Construction,1440.0,1145,311
Raigad,2018,Wholesale And Retail Trade And Hotel Business,0.0,186,1419
Raigad,2018,"Transportation, Warehousing And Transportation",1700.0,4704,4259
Raigad,2018,"Finance, Insurance, Real Estate And Trade Services",50.0,1359,1679
Raigad,2018,"Collective, Social And Individual Service",20233.0,342,9656
Raigad,2019,Agriculture,1458.0,0,391
Raigad,2019,Mining,1.0,2,257
Raigad,2019,Commodity Manufacturing,631.0,2839,59219
Raigad,2019,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,507
Raigad,2019,Construction,1330.0,1145,311
Raigad,2019,Wholesale And Retail Trade And Hotel Business,0.0,0,1903
Raigad,2019,"Transportation, Warehousing And Transportation",1700.0,4732,4293
Raigad,2019,"Finance, Insurance, Real Estate And Trade Services",50.0,1310,1508
Raigad,2019,"Collective, Social And Individual Service",20206.0,342,9992
Raigad,2020,Agriculture,1455.0,0,426
Raigad,2020,Mining,1.0,2,248
Raigad,2020,Commodity Manufacturing,270.0,2997,58765
Raigad,2020,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,563
Raigad,2020,Construction,1330.0,1145,307
Raigad,2020,Wholesale And Retail Trade And Hotel Business,0.0,0,1574
Raigad,2020,"Transportation, Warehousing And Transportation",4663.0,1769,4167
Raigad,2020,"Finance, Insurance, Real Estate And Trade Services",50.0,1310,1485
Raigad,2020,"Collective, Social And Individual Service",20589.0,342,9974
Raigad,2021,Agriculture,1455.0,0,522
Raigad,2021,Mining,1.0,2,252
Raigad,2021,Commodity Manufacturing,270.0,2930,60783
Raigad,2021,"Electricity Generation, Gas, Water And Sewage Services",0.0,889,643
Raigad,2021,Construction,1330.0,1145,329
Raigad,2021,Wholesale And Retail Trade And Hotel Business,0.0,0,1589
Raigad,2021,"Transportation, Warehousing And Transportation",1700.0,4656,4193
Raigad,2021,"Finance, Insurance, Real Estate And Trade Services",50.0,1310,1515
Raigad,2021,"Collective, Social And Individual Service",20534.0,342,9963
Ratnagiri,2006,Agriculture,194.0,42,726
Ratnagiri,2006,Mining,0.0,0,0
Ratnagiri,2006,Commodity Manufacturing,116.0,0,5353
Ratnagiri,2006,"Electricity Generation, Gas, Water And Sewage Services",0.0,1701,0
Ratnagiri,2006,Construction,1824.0,1884,0
Ratnagiri,2006,Wholesale And Retail Trade And Hotel Business,0.0,0,336
Ratnagiri,2006,"Transportation, Warehousing And Transportation",40.0,3679,15
Ratnagiri,2006,"Finance, Insurance, Real Estate And Trade Services",895.0,1249,1768
Ratnagiri,2006,"Collective, Social And Individual Service",5584.0,13115,5077
Ratnagiri,2008,Agriculture,187.0,34,790
Ratnagiri,2008,Mining,0.0,0,0
Ratnagiri,2008,Commodity Manufacturing,101.0,0,5530
Ratnagiri,2008,"Electricity Generation, Gas, Water And Sewage Services",0.0,1624,0
Ratnagiri,2008,Construction,1731.0,1936,0
Ratnagiri,2008,Wholesale And Retail Trade And Hotel Business,0.0,0,296
Ratnagiri,2008,"Transportation, Warehousing And Transportation",43.0,3521,17
Ratnagiri,2008,"Finance, Insurance, Real Estate And Trade Services",469.0,1634,1601
Ratnagiri,2008,"Collective, Social And Individual Service",5563.0,12883,5440
Ratnagiri,2009,Agriculture,176.0,36,454
Ratnagiri,2009,Mining,0.0,0,0
Ratnagiri,2009,Commodity Manufacturing,91.0,0,7580
Ratnagiri,2009,"Electricity Generation, Gas, Water And Sewage Services",0.0,1615,281
Ratnagiri,2009,Construction,1616.0,1920,15
Ratnagiri,2009,Wholesale And Retail Trade And Hotel Business,0.0,0,375
