District Name Changes Log File
==============================
Chapter: Industry | File: ec_sources_of_borrowings.csv | Replaced 'Mumbai City' with 'Mumbai' in 3 rows.
Chapter: Industry | File: ec_sources_of_finance.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 3 rows.
Chapter: Industry | File: ec_sources_of_finance.csv | Replaced 'Mumbai City' with 'Mumbai' in 3 rows.
Chapter: Industry | File: ec_type.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Industry | File: ec_type.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Industry | File: mahadish_factory_workers.csv | Replaced 'Buldana' with 'Buldhana' in 200 rows.
Chapter: Industry | File: mahadish_factory_workers.csv | Replaced 'Mumbai City' with 'Mumbai' in 5031 rows.
Chapter: Labor | File: labor_age_distribution.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 144 rows.
Chapter: Labor | File: labor_age_distribution.csv | Replaced 'Mumbai City' with 'Mumbai' in 144 rows.
Chapter: Labor | File: labor_dsa_establishments.csv | Replaced 'Mumbai City' with 'Mumbai' in 9 rows.
Chapter: Labor | File: labor_dsa_workers.csv | Replaced 'Mumbai City' with 'Mumbai' in 9 rows.
Chapter: Labor | File: labor_ec_gender.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Labor | File: labor_ec_gender.csv | Replaced 'Mumbai City' with 'Mumbai' in 8 rows.
Chapter: Labor | File: labor_ec_religion.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 8 rows.
Chapter: Labor | File: labor_ec_religion.csv | Replaced 'Mumbai City' with 'Mumbai' in 8 rows.
Chapter: Labor | File: labor_ec_workers.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Labor | File: labor_ec_workers.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Labor | File: labor_govt_employees.csv | Replaced 'Mumbai City' with 'Mumbai' in 36 rows.
Chapter: Labor | File: labor_industry_type.csv | Replaced 'Mumbai City' with 'Mumbai' in 81 rows.
Chapter: Labor | File: labor_mnrega_accounts.csv | Replaced 'Mumbai City' with 'Mumbai' in 10 rows.
Chapter: Labor | File: labor_mnrega_job_cards.csv | Replaced 'Mumbai City' with 'Mumbai' in 10 rows.
Chapter: Labor | File: labor_mnrega_participation.csv | Replaced 'Mumbai City' with 'Mumbai' in 10 rows.
Chapter: Labor | File: labor_mnrega_scope.csv | Replaced 'Mumbai City' with 'Mumbai' in 10 rows.
