Year,District,Month,Crash Type,Number of Crashes
2018,Pune,October,Fatal Crashes,122
2018,Pune,November,Fatal Crashes,111
2018,Pune,December,Fatal Crashes,122
2018,Raigad,January,Fatal Crashes,21
2018,Raigad,February,Fatal Crashes,18
2018,Raigad,March,Fatal Crashes,33
2018,Raigad,April,Fatal Crashes,18
2018,Raigad,May,Fatal Crashes,35
2018,Raigad,June,Fatal Crashes,29
2018,Raigad,July,Fatal Crashes,39
2018,Raigad,August,Fatal Crashes,17
2018,Raigad,September,Fatal Crashes,23
2018,Raigad,October,Fatal Crashes,26
2018,Raigad,November,Fatal Crashes,22
2018,Raigad,December,Fatal Crashes,21
2018,Ratnagiri,January,Fatal Crashes,16
2018,Ratnagiri,February,Fatal Crashes,9
2018,Ratnagiri,March,Fatal Crashes,12
2018,Ratnagiri,April,Fatal Crashes,24
2018,Ratnagiri,May,Fatal Crashes,26
2018,Ratnagiri,June,Fatal Crashes,11
2018,Ratnagiri,July,Fatal Crashes,13
2018,Ratnagiri,August,Fatal Crashes,5
2018,Ratnagiri,September,Fatal Crashes,15
2018,Ratnagiri,October,Fatal Crashes,10
2018,Ratnagiri,November,Fatal Crashes,7
2018,Ratnagiri,December,Fatal Crashes,15
2018,Sangli,January,Fatal Crashes,37
2018,Sangli,February,Fatal Crashes,33
2018,Sangli,March,Fatal Crashes,32
2018,Sangli,April,Fatal Crashes,38
2018,Sangli,May,Fatal Crashes,28
2018,Sangli,June,Fatal Crashes,39
2018,Sangli,July,Fatal Crashes,28
2018,Sangli,August,Fatal Crashes,23
2018,Sangli,September,Fatal Crashes,17
2018,Sangli,October,Fatal Crashes,21
2018,Sangli,November,Fatal Crashes,30
2018,Sangli,December,Fatal Crashes,33
2018,Satara,January,Fatal Crashes,14
2018,Satara,February,Fatal Crashes,14
2018,Satara,March,Fatal Crashes,15
2018,Satara,April,Fatal Crashes,37
2018,Satara,May,Fatal Crashes,12
2018,Satara,June,Fatal Crashes,18
2018,Satara,July,Fatal Crashes,4
2018,Satara,August,Fatal Crashes,9
2018,Satara,September,Fatal Crashes,30
2018,Satara,October,Fatal Crashes,18
2018,Satara,November,Fatal Crashes,22
2018,Satara,December,Fatal Crashes,23
2018,Sindhudurg,January,Fatal Crashes,12
2018,Sindhudurg,February,Fatal Crashes,9
2018,Sindhudurg,March,Fatal Crashes,6
2018,Sindhudurg,April,Fatal Crashes,10
2018,Sindhudurg,May,Fatal Crashes,3
2018,Sindhudurg,June,Fatal Crashes,7
2018,Sindhudurg,July,Fatal Crashes,3
2018,Sindhudurg,August,Fatal Crashes,5
2018,Sindhudurg,September,Fatal Crashes,9
2018,Sindhudurg,October,Fatal Crashes,2
2018,Sindhudurg,November,Fatal Crashes,11
2018,Sindhudurg,December,Fatal Crashes,12
2018,Solapur,January,Fatal Crashes,46
2018,Solapur,February,Fatal Crashes,43
2018,Solapur,March,Fatal Crashes,53
2018,Solapur,April,Fatal Crashes,67
2018,Solapur,May,Fatal Crashes,71
2018,Solapur,June,Fatal Crashes,52
2018,Solapur,July,Fatal Crashes,30
2018,Solapur,August,Fatal Crashes,55
2018,Solapur,September,Fatal Crashes,45
2018,Solapur,October,Fatal Crashes,49
2018,Solapur,November,Fatal Crashes,74
2018,Solapur,December,Fatal Crashes,69
2018,Thane,January,Fatal Crashes,68
2018,Thane,February,Fatal Crashes,46
2018,Thane,March,Fatal Crashes,52
2018,Thane,April,Fatal Crashes,45
2018,Thane,May,Fatal Crashes,44
