Year,District,Taluka,Daily,Weekly,Fortnightly,Monthly,Quarterly,Yearly
2013,Amravati,Chandurbazar,0.0,1.0,0.0,0.0,0.0,0.0
2013,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Amravati,32.0,57.0,0.0,0.0,0.0,0.0
2013,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Daryapur,0.0,1.0,0.0,0.0,0.0,0.0
2013,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Dhamangaon Re,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2014,Amravati,Achalpur,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2014,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Amravati,34.0,65.0,0.0,0.0,0.0,0.0
2014,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2014,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2014,Amravati,Dhamangaon Re,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2015,Amravati,Achalpur,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2015,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Amravati,34.0,65.0,0.0,0.0,0.0,0.0
2015,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2015,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2015,Amravati,Dhamangaon Re,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2016,Amravati,Achalpur,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Chandurbazar,0.0,3.0,0.0,0.0,0.0,0.0
2016,Amravati,Morshi,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Warud,1.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Tivas,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Amravati,35.0,77.0,0.0,0.0,0.0,0.0
2016,Amravati,Bhatkuli,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Daryapur,0.0,2.0,0.0,0.0,0.0,0.0
2016,Amravati,Nandgaon Kh,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Chandur Railway,0.0,0.0,0.0,0.0,0.0,0.0
2016,Amravati,Dhamangaon Re,0.0,1.0,0.0,0.0,0.0,0.0
2017,Amravati,Dharani,0.0,1.0,0.0,0.0,0.0,0.0
2017,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
