Year,District,Age,Male,Female
2018,Satara,46-60 Y,24,1
2018,Satara,0-18 Y,0,0
2018,Satara,60 Y or more,0,0
2018,Satara,Unknown,0,0
2018,Sindhudurg,19-25 Y,10,0
2018,Sindhudurg,26-35 Y,21,3
2018,Sindhudurg,36-45 Y,24,2
2018,Sindhudurg,46-60 Y,16,2
2018,Sindhudurg,0-18 Y,3,0
2018,Sindhudurg,60 Y or more,8,0
2018,Sindhudurg,Unknown,0,0
2018,Solapur,19-25 Y,155,23
2018,Solapur,26-35 Y,182,22
2018,Solapur,36-45 Y,116,26
2018,Solapur,46-60 Y,70,8
2018,Solapur,0-18 Y,41,8
2018,Solapur,60 Y or more,2,1
2018,Solapur,Unknown,0,0
2018,Thane,19-25 Y,103,25
2018,Thane,26-35 Y,115,32
2018,Thane,36-45 Y,96,20
2018,Thane,46-60 Y,78,15
2018,Thane,0-18 Y,27,6
2018,Thane,60 Y or more,23,8
2018,Thane,Unknown,1,1
2018,Wardha,19-25 Y,37,5
2018,Wardha,26-35 Y,65,12
2018,Wardha,36-45 Y,66,9
2018,Wardha,46-60 Y,13,2
2018,Wardha,0-18 Y,1,0
2018,Wardha,60 Y or more,3,0
2018,Wardha,Unknown,0,0
2018,Washim,19-25 Y,20,5
2018,Washim,26-35 Y,40,5
2018,Washim,36-45 Y,32,3
2018,Washim,46-60 Y,21,2
2018,Washim,0-18 Y,3,0
2018,Washim,60 Y or more,10,1
2018,Washim,Unknown,0,0
2018,Yavatmal,19-25 Y,74,5
2018,Yavatmal,26-35 Y,86,12
2018,Yavatmal,36-45 Y,113,13
2018,Yavatmal,46-60 Y,24,5
2018,Yavatmal,0-18 Y,7,5
2018,Yavatmal,60 Y or more,4,2
2018,Yavatmal,Unknown,0,0
