Year,District,Time of Day,Fatalities,Grievous injuries
2018,Nandurbar,06:00 to 09:00,12,18
2018,Nandurbar,09:00 to 12:00,25,42
2018,Nandurbar,12:00 to 15:00,38,68
2018,Nandurbar,15:00 to 18:00,51,125
2018,Nandurbar,18:00 to 21:00,22,37
2018,Nandurbar,21:00 to 00:00,28,40
2018,Nandurbar,Unknown,0,0
2018,Nashik,00:00 to 03:00,80,102
2018,Nashik,03:00 to 06:00,86,93
2018,Nashik,06:00 to 09:00,119,156
2018,Nashik,09:00 to 12:00,174,233
2018,Nashik,12:00 to 15:00,192,256
2018,Nashik,15:00 to 18:00,136,172
2018,Nashik,18:00 to 21:00,131,171
2018,Nashik,21:00 to 00:00,123,135
2018,Nashik,Unknown,0,0
2018,Dharashiv,00:00 to 03:00,15,32
2018,Dharashiv,03:00 to 06:00,18,55
2018,Dharashiv,06:00 to 09:00,38,72
2018,Dharashiv,09:00 to 12:00,51,109
2018,Dharashiv,12:00 to 15:00,32,87
2018,Dharashiv,15:00 to 18:00,57,125
2018,Dharashiv,18:00 to 21:00,72,118
2018,Dharashiv,21:00 to 00:00,34,25
2018,Dharashiv,Unknown,0,0
