Year,District,Taluka,Road Material,Length
2019,Ahilyanagar,Shevgaon,Unpaved,450.05
2019,Ahilyanagar,Shevgaon,Rock,232.5
2019,Ahilyanagar,Pathardi,Unpaved,407.5
2019,Ahilyanagar,Pathardi,Rock,278.4
2019,Ahilyanagar,Nagar,Unpaved,517.56
2019,Ahilyanagar,Nagar,Rock,387.2
2019,Ahilyanagar,Rahuri,Unpaved,386
2019,Ahilyanagar,Rahuri,Rock,463.08
2019,Ahilyanagar,Parner,Unpaved,979.69
2019,Ahilyanagar,Parner,Rock,219.94
2019,Ahilyanagar,Srigonda,Unpaved,959.05
2019,Ahilyanagar,Srigonda,Rock,203.49
2019,Ahilyanagar,Karjat,Unpaved,582.87
2019,Ahilyanagar,Karjat,Rock,371.18
2019,Ahilyanagar,Jamkhed,Unpaved,314.73
2019,Ahilyanagar,Jamkhed,Rock,204.46
2020,Ahilyanagar,Akole,Unpaved,401.42
2020,Ahilyanagar,Akole,Rock,269.66
2020,Ahilyanagar,Sangamner,Unpaved,545.45
2020,Ahilyanagar,Sangamner,Rock,335.57
2020,Ahilyanagar,Kopargaon,Unpaved,61.83
2020,Ahilyanagar,Kopargaon,Rock,442.67
2020,Ahilyanagar,Rahata,Unpaved,263.55
2020,Ahilyanagar,Rahata,Rock,272.29
2020,Ahilyanagar,Srirampur,Unpaved,209
2020,Ahilyanagar,Srirampur,Rock,367.95
2020,Ahilyanagar,Nevasa,Unpaved,388.14
2020,Ahilyanagar,Nevasa,Rock,677.37
2020,Ahilyanagar,Shevgaon,Unpaved,467.05
2020,Ahilyanagar,Shevgaon,Rock,224.95
2020,Ahilyanagar,Pathardi,Unpaved,396.5
2020,Ahilyanagar,Pathardi,Rock,291.8
2020,Ahilyanagar,Nagar,Unpaved,487.49
2020,Ahilyanagar,Nagar,Rock,317.29
2020,Ahilyanagar,Rahuri,Unpaved,305.47
2020,Ahilyanagar,Rahuri,Rock,418.42
2020,Ahilyanagar,Parner,Unpaved,1037.95
2020,Ahilyanagar,Parner,Rock,219.94
2020,Ahilyanagar,Srigonda,Unpaved,949.51
2020,Ahilyanagar,Srigonda,Rock,199.66
2020,Ahilyanagar,Karjat,Unpaved,592.87
2020,Ahilyanagar,Karjat,Rock,432.88
2020,Ahilyanagar,Jamkhed,Unpaved,329.39
2020,Ahilyanagar,Jamkhed,Rock,159.09
2021,Ahilyanagar,Akole,Unpaved,401.42
2021,Ahilyanagar,Akole,Rock,269.66
2021,Ahilyanagar,Sangamner,Unpaved,545.45
2021,Ahilyanagar,Sangamner,Rock,335.57
2021,Ahilyanagar,Kopargaon,Unpaved,61.83
2021,Ahilyanagar,Kopargaon,Rock,442.67
2021,Ahilyanagar,Rahata,Unpaved,263.55
2021,Ahilyanagar,Rahata,Rock,272.29
2021,Ahilyanagar,Srirampur,Unpaved,209
2021,Ahilyanagar,Srirampur,Rock,367.95
2021,Ahilyanagar,Nevasa,Unpaved,388.14
2021,Ahilyanagar,Nevasa,Rock,677.37
2021,Ahilyanagar,Shevgaon,Unpaved,467.05
2021,Ahilyanagar,Shevgaon,Rock,224.95
2021,Ahilyanagar,Pathardi,Unpaved,396.5
2021,Ahilyanagar,Pathardi,Rock,291.8
2021,Ahilyanagar,Nagar,Unpaved,487.49
2021,Ahilyanagar,Nagar,Rock,317.29
2021,Ahilyanagar,Rahuri,Unpaved,305.47
2021,Ahilyanagar,Rahuri,Rock,418.42
2021,Ahilyanagar,Parner,Unpaved,1037.95
2021,Ahilyanagar,Parner,Rock,219.94
2021,Ahilyanagar,Srigonda,Unpaved,949.51
2021,Ahilyanagar,Srigonda,Rock,199.66
2021,Ahilyanagar,Karjat,Unpaved,592.87
2021,Ahilyanagar,Karjat,Rock,432.88
2021,Ahilyanagar,Jamkhed,Unpaved,329.39
2021,Ahilyanagar,Jamkhed,Rock,159.09
2012,Akola,Telhara,Unpaved,2.2
2012,Akola,Telhara,Rock,51.12
2012,Akola,Telhara,Asphalt/Cement/Concrete,142.7
2012,Akola,Akot,Unpaved,11.4
2012,Akola,Akot,Rock,76.38
2012,Akola,Akot,Asphalt/Cement/Concrete,175.7
2012,Akola,Balapur,Unpaved,0.8
2012,Akola,Balapur,Rock,21.9
2012,Akola,Balapur,Asphalt/Cement/Concrete,139.4
2012,Akola,Akola,Unpaved,28.9
2012,Akola,Akola,Rock,71.51
2012,Akola,Akola,Asphalt/Cement/Concrete,250.9
2012,Akola,Murtijapur,Unpaved,2
2012,Akola,Murtijapur,Rock,47.1
2012,Akola,Murtijapur,Asphalt/Cement/Concrete,245.4
2012,Akola,Patur,Unpaved,7.8
2012,Akola,Patur,Rock,24.05
2012,Akola,Patur,Asphalt/Cement/Concrete,191.7
2012,Akola,Barshitakali,Unpaved,0
2012,Akola,Barshitakali,Rock,39.4
2012,Akola,Barshitakali,Asphalt/Cement/Concrete,225.7
2013,Akola,Telhara,Unpaved,9
2013,Akola,Telhara,Rock,56
2013,Akola,Telhara,Asphalt/Cement/Concrete,159.25
2013,Akola,Akot,Unpaved,11.4
2013,Akola,Akot,Rock,76.38
2013,Akola,Akot,Asphalt/Cement/Concrete,206.38
2013,Akola,Balapur,Unpaved,2.9
2013,Akola,Balapur,Rock,29.95
2013,Akola,Balapur,Asphalt/Cement/Concrete,147.62
2013,Akola,Akola,Unpaved,28.9
2013,Akola,Akola,Rock,95.6
2013,Akola,Akola,Asphalt/Cement/Concrete,250.9
2013,Akola,Murtijapur,Unpaved,4.7
2013,Akola,Murtijapur,Rock,47.1
2013,Akola,Murtijapur,Asphalt/Cement/Concrete,390.74
2013,Akola,Patur,Unpaved,7.9
2013,Akola,Patur,Rock,26.9
2013,Akola,Patur,Asphalt/Cement/Concrete,191.7
2013,Akola,Barshitakali,Unpaved,3
2013,Akola,Barshitakali,Rock,39.4
2013,Akola,Barshitakali,Asphalt/Cement/Concrete,243.67
2014,Akola,Telhara,Unpaved,21.7
2014,Akola,Telhara,Rock,46.98
2014,Akola,Telhara,Asphalt/Cement/Concrete,159.25
2014,Akola,Akot,Unpaved,11.4
2014,Akola,Akot,Rock,76.38
2014,Akola,Akot,Asphalt/Cement/Concrete,206.38
2014,Akola,Balapur,Unpaved,2.9
2014,Akola,Balapur,Rock,34.95
2014,Akola,Balapur,Asphalt/Cement/Concrete,185.1
2014,Akola,Akola,Unpaved,28.9
2014,Akola,Akola,Rock,108.1
2014,Akola,Akola,Asphalt/Cement/Concrete,258.32
2014,Akola,Murtijapur,Unpaved,4.7
2014,Akola,Murtijapur,Rock,46.55
2014,Akola,Murtijapur,Asphalt/Cement/Concrete,390.74
2014,Akola,Patur,Unpaved,7.9
2014,Akola,Patur,Rock,33.8
2014,Akola,Patur,Asphalt/Cement/Concrete,191.7
2014,Akola,Barshitakali,Unpaved,3
2014,Akola,Barshitakali,Rock,35.9
2014,Akola,Barshitakali,Asphalt/Cement/Concrete,243.67
2015,Akola,Telhara,Unpaved,251.53
2015,Akola,Telhara,Rock,56
2015,Akola,Telhara,Asphalt/Cement/Concrete,159.3
2015,Akola,Akot,Unpaved,188.44
2015,Akola,Akot,Rock,76.38
2015,Akola,Akot,Asphalt/Cement/Concrete,214 .4
