Year,District,Taluka,Length of roads per 100 sq.km
2021,Amravati,Warud,94.19
2021,Amravati,Tivas,63.65
2021,Amravati,Amravati,79.76
2021,Amravati,Bhatkuli,86.74
2021,Amravati,Daryapur,73.85
2021,Amravati,Nandgaon Kh,93.87
2021,Amravati,Chandur Railway,90.08
2021,Amravati,Dhamangaon Re,70.44
2012,Chhatrapati Sambhaji Nagar,Kannad,57.09
2012,Chhatrapati Sambhaji Nagar,Soyegaon ,67.79
2012,Chhatrapati Sambhaji Nagar,Sillod,78.51
2012,Chhatrapati Sambhaji Nagar,Phulambri,103.41
2012,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,125.74
2012,Chhatrapati Sambhaji Nagar,Khultabad,93.0
2012,Chhatrapati Sambhaji Nagar,Vaijapur,70.78
2012,Chhatrapati Sambhaji Nagar,Gangapur,91.58
2012,Chhatrapati Sambhaji Nagar,Paithan,79.22
2013,Chhatrapati Sambhaji Nagar,Kannad,79.8
2013,Chhatrapati Sambhaji Nagar,Soyegaon ,68.73
2013,Chhatrapati Sambhaji Nagar,Sillod,82.13
2013,Chhatrapati Sambhaji Nagar,Phulambri,104.8
2013,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,167.92
2013,Chhatrapati Sambhaji Nagar,Khultabad,90.02
2013,Chhatrapati Sambhaji Nagar,Vaijapur,88.46
2013,Chhatrapati Sambhaji Nagar,Gangapur,90.12
2013,Chhatrapati Sambhaji Nagar,Paithan,86.61
2014,Chhatrapati Sambhaji Nagar,Kannad,79.51
2014,Chhatrapati Sambhaji Nagar,Soyegaon ,94.49
2014,Chhatrapati Sambhaji Nagar,Sillod,105.55
2014,Chhatrapati Sambhaji Nagar,Phulambri,116.85
2014,Chhatrapati Sambhaji Nagar,Chhatrapati Sambhaji Nagar,182.48
2014,Chhatrapati Sambhaji Nagar,Khultabad,128.86
2014,Chhatrapati Sambhaji Nagar,Vaijapur,94.09
2014,Chhatrapati Sambhaji Nagar,Gangapur,82.35
