District,Year,Hybrid Cows,Native Cows,Buffalo
Latur,2015.0,7411.0,27991.0,32019.0
Latur,2016.0,7906.0,25570.0,32866.0
Latur,2017.0,13656.0,31907.0,46042.0
Latur,2018.0,8754.0,56423.0,80424.0
Latur,2019.0,19893.0,153643.0,205947.0
Latur,2020.0,8754.0,56423.0,80424.0
Latur,2021.0,6494.0,24689.0,100573.0
Mumbai City,2018.0,1507.0,713.0,26416.0
Mumbai City,2019.0,1507.0,713.0,26416.0
Mumbai City,2020.0,1507.0,713.0,26416.0
Mumbai City,2021.0,371.0,602.0,20727.0
Nagpur,2012.0,15313.0,383.0,2239.0
Nagpur,2013.0,17457.0,1460.0,2793.0
Nagpur,2014.0,19888.0,2363.0,3016.0
Nagpur,2015.0,0.18,0.03,0.02
Nagpur,2016.0,0.18,0.05,0.02
Nagpur,2017.0,0.23549,0.07332,0.02686
Nagpur,2018.0,29319.0,52449.0,28668.0
Nagpur,2019.0,29319.0,52449.0,28668.0
Nagpur,2020.0,29319.0,52449.0,28668.0
Nagpur,2021.0,37020.0,5162.0,10033.0
Nanded,2014.0,4048.0,22019.0,20333.0
Nanded,2015.0,4738.0,24411.0,21278.0
Nanded,2016.0,3886.0,22295.0,20305.0
Nanded,2017.0,5383.0,27411.0,26181.0
Nanded,2018.0,9198.0,112977.0,75561.0
Nanded,2019.0,5048.0,112877.0,75561.0
Nanded,2020.0,5048.0,112877.0,75561.0
Nanded,2021.0,5152.0,16642.0,21078.0
,,,,
,,,,
,,,,
,,,,
,,,,
Nandurbar,2012.0,74.52,0.0,72.73
Nandurbar,2013.0,42.07,0.0,59.51
Nandurbar,2014.0,46.89,0.02,57.91
Nandurbar,2015.0,4814.0,0.0,5534.0
Nandurbar,2016.0,5583.0,0.0,6238.0
Nandurbar,2017.0,6063.0,1048.0,7460.0
Nandurbar,2018.0,4666.0,39357.0,23368.0
Nandurbar,2019.0,4666.0,39357.0,23368.0
Nandurbar,2020.0,4666.0,39357.0,23368.0
Nandurbar,2021.0,9203.0,66742.0,40715.0
Nashik,2012.0,53773.0,3873.0,15715.0
Nashik,2013.0,54830.0,4677.0,19594.0
Nashik,2014.0,63164.0,5321.0,201826.0
Nashik,2015.0,71134.0,5925.0,22095.0
Nashik,2016.0,69090.0,7530.0,20660.0
Nashik,2017.0,60842.0,11279.0,18412.0
Nashik,2018.0,178131.0,193239.0,124933.0
Nashik,2019.0,178131.0,193239.0,124933.0
Nashik,2020.0,178131.0,193239.0,124933.0
Nashik,2021.0,122955.0,22602.0,47180.0
Dharashiv,2012.0,36752.0,8407.0,22060.0
Dharashiv,2013.0,35755.0,7610.0,23311.0
Dharashiv,2014.0,36179.0,8945.0,21491.0
Dharashiv,2015.0,36895.0,9098.0,21958.0
Dharashiv,2016.0,40849.0,9992.0,25094.0
Dharashiv,2017.0,43337.0,11526.0,23331.0
Dharashiv,2018.0,50475.0,31253.0,64744.0
Dharashiv,2019.0,50475.0,31253.0,64744.0
Dharashiv,2020.0,50475.0,31253.0,64744.0
Dharashiv,2021.0,50475.0,31253.0,64744.0
Palghar,2014.0,2772.0,276.0,6665.0
Palghar,2015.0,3318.0,517.0,6507.0
Palghar,2016.0,2901.0,910.0,7231.0
Palghar,2017.0,2861.0,2272.0,8228.0
Palghar,2018.0,2182.0,37115.0,44725.0
Palghar,2019.0,2182.0,37115.0,44725.0
Palghar,2020.0,2182.0,37115.0,44725.0
Palghar,2021.0,2021.0,3902.0,29679.0
Parbhani,2013.0,2041.0,15218.0,11297.0
Parbhani,2014.0,2074.0,15702.0,11131.0
Parbhani,2015.0,1672.0,14969.0,9430.0
Parbhani,2016.0,1821.0,14914.0,9662.0
Parbhani,2017.0,2241.0,16106.0,10381.0
Parbhani,2018.0,2280.0,53336.0,34228.0
Parbhani,2019.0,2280.0,53336.0,34228.0
Parbhani,2020.0,2280.0,53336.0,34228.0
Parbhani,2021.0,2737.0,7483.0,17601.0
,,,,
Pune,2012.0,164475.0,15291.0,45215.0
Pune,2013.0,180017.0,18320.0,48047.0
Pune,2014.0,186998.0,18002.0,48533.0
Pune,2015.0,121962.0,13909.0,48558.0
Pune,2016.0,158354.0,15299.0,44345.0
Pune,2017.0,162972.0,20993.0,45459.0
Pune,2018.0,430615.0,126813.0,273764.0
Pune,2019.0,430615.0,126813.0,273764.0
