District,Year,Items,Units
Bhandara,2018,Lassi,
Bhandara,2018,Masala Milk,
Bhandara,2018,Sustainable cow's milk,4245625.0
Bhandara,2019,Milk Powder,4.7
Bhandara,2019,White butter,48.23
Bhandara,2019,Ghee,1215.0
Bhandara,2019,Energy Milk,
Bhandara,2019,Lassi,
Bhandara,2019,Masala Milk,
Bhandara,2019,Sustainable cow's milk,3958544.0
Bhandara,2020,Milk Powder,21.07
Bhandara,2020,White butter,76.896
Bhandara,2020,Ghee,2.0
Bhandara,2020,Energy Milk,
Bhandara,2020,Lassi,
Bhandara,2020,Masala Milk,
Bhandara,2020,Sustainable cow's milk,1644920.0
Bhandara,2021,Milk Powder,42.65
Bhandara,2021,White butter,32.8
Bhandara,2021,Ghee,1.0
Bhandara,2021,Energy Milk,
Bhandara,2021,Lassi,
Bhandara,2021,Masala Milk,
Bhandara,2021,Sustainable cow's milk,1417867.0
Buldhana,2013,Milk Powder,
Buldhana,2013,White butter,
Buldhana,2013,Ghee,
Buldhana,2013,Energy Milk,
Buldhana,2013,Lassi,
Buldhana,2013,Masala Milk,
Buldhana,2013,Sustainable cow's milk,
Buldhana,2014,Milk Powder,
Buldhana,2014,White butter,
Buldhana,2014,Ghee,
Buldhana,2014,Energy Milk,
Buldhana,2014,Lassi,
Buldhana,2014,Masala Milk,
Buldhana,2014,Sustainable cow's milk,
Buldhana,2015,Milk Powder,
Buldhana,2015,White butter,
Buldhana,2015,Ghee,
Buldhana,2015,Energy Milk,
Buldhana,2015,Lassi,
Buldhana,2015,Masala Milk,
Buldhana,2015,Sustainable cow's milk,
Buldhana,2016,Milk Powder,
Buldhana,2016,White butter,
Buldhana,2016,Ghee,
Buldhana,2016,Energy Milk,
Buldhana,2016,Lassi,
Buldhana,2016,Masala Milk,
Buldhana,2016,Sustainable cow's milk,
Buldhana,2017,Milk Powder,
Buldhana,2017,White butter,
Buldhana,2017,Ghee,
Buldhana,2017,Energy Milk,
Buldhana,2017,Lassi,
Buldhana,2017,Masala Milk,
Buldhana,2017,Sustainable cow's milk,
Buldhana,2018,Milk Powder,
Buldhana,2018,White butter,
Buldhana,2018,Ghee,
Buldhana,2018,Energy Milk,
Buldhana,2018,Lassi,
Buldhana,2018,Masala Milk,
Buldhana,2018,Sustainable cow's milk,
Buldhana,2019,Milk Powder,
Buldhana,2019,White butter,
Buldhana,2019,Ghee,
Buldhana,2019,Energy Milk,
Buldhana,2019,Lassi,
Buldhana,2019,Masala Milk,
Buldhana,2019,Sustainable cow's milk,592956.0
Buldhana,2020,Milk Powder,
Buldhana,2020,White butter,
Buldhana,2020,Ghee,
Buldhana,2020,Energy Milk,
Buldhana,2020,Lassi,
Buldhana,2020,Masala Milk,
Buldhana,2020,Sustainable cow's milk,789032.0
Buldhana,2021,Milk Powder,
Buldhana,2021,White butter,
Buldhana,2021,Ghee,
Buldhana,2021,Energy Milk,
Buldhana,2021,Lassi,
Buldhana,2021,Masala Milk,
Buldhana,2021,Sustainable cow's milk,614863.0
Chandrapur,2012,Milk Powder,0.0
Chandrapur,2012,White butter,0.0
