District,Year,"Receipts and Loans
","From Commercial Activities
",Government Subsidies,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Chandrapur,2016,105354000.0,66819000.00000001,2307784000.0,236252000.0,253682000.0,2969891000.0,209224000.0,20602000.0,725472000.0,31271000.0,72485000.0,7866000.0,301762000.0,181511000.0,39131000.0,12365000.0,44505000.0,16221000.0,90000.0,191622000.0,1854127000.0,453484000.0,795964000.0,604678999.9999999
Chandrapur,2017,807781000.0,15921000.0,1187563000.0,400686000.0,193534000.0,2605484000.0,389249000.0,127187000.0,362621000.0,39679000.0,55228000.0,3093000.0,1334721000.0,89473000.0,34553000.0,17663000.0,9299000.0,7284000.0,,125838000.0,2595888000.0,273632000.0,436853000.0,1885403000.0
Chandrapur,2018,419210999.9999999,36743600.0,2891890000.0,129140000.0,271710000.0,3748700000.0,443958000.0,140798000.0,386451000.0,42517000.0,86833000.0,10036000.0,1595170000.0,149979000.0,47709000.0,27893000.0,13514000.0,15455000.0,,144593000.0,3104903000.0,391441000.0,476677000.0000001,2236788000.0
Chandrapur,2019,124214000.0,23614000.0,3566236000.0,913248000.0,138843000.0,4766155000.0,371900000.0,56421000.0,750034000.0,3517000.0,61341999.99999999,3446000.0,1454528000.0,82238000.0,34651000.0,24172000.0,9454000.0,8464000.0,,75363000.0,2935531000.0,222389000.0,788202000.0,1924939000.0
Chandrapur,2020,138567000.0,21211000.0,2910886000.0,499054000.0,203861000.0,3773579000.0,436343999.9999999,74343000.0,466163000.0,28578000.0,25237000.0,41039000.0,2450110000.0,136576000.0,90426000.0,16768000.0,26368000.0,35346000.0,,134432000.0,3961731000.0,337284000.0,585167000.0,3039279000.0
Chandrapur,2021,143196000.0,100257000.0,1396616000.0,1398321000.0,243422000.0,3281812000.0,594437000.0,76017000.0,497327000.0000001,5582000.0,37199000.0,6481000.0,2697969000.0,106595000.0,63663000.0,10967000.0,76096000.0,11117000.0,,213081000.0,4396579000.0,363356000.0,566572000.0,3466602999.999999
Dhule,2012,41773000.0,13928000.0,718233000.0,120444000.0,63241999.99999999,957620000.0000001,25253000.0,5139000.0,15292000.0,3815000.0,31529000.0,317000.0,694374000.0,39059000.0,10104000.0,4479000.0,16089000.0,10238000.0,,41498000.0,897186000.0,112403000.0,29211000.0,755572000.0
Dhule,2013,370566000.0,23495000.0,584012000.0,821685000.0,54366999.99999999,1854125000.0,92118000.0,4586000.0,292186000.0,1642000.0,33834000.0,773000.0,458906000.0000001,51774000.0,13180000.0,5790000.0,500000.0,7079000.000000001,,33787000.0,996154999.9999999,120168000.0,307008000.0000001,568979000.0
Dhule,2014,268715000.0,16927000.0,280831000.0,482376000.0,77121000.0,1125970000.0,75678000.0,24760000.0,273509000.0,25811000.0,30979000.0,126000.0,391452000.0,29648000.0,8703000.0,7043000.000000001,542000.0,4321000.0,,35214000.0,907786000.0,95967000.0,308023000.0000001,503796000.0
Dhule,2015,81234000.0,16601000.0,788459000.0,207493000.0,79201000.0,1172988000.0,137593000.0,2383000.0,429664000.0000001,863000.0000000001,29630000.0,318000.0,173815000.0,65016000.0,12807000.0,7706999.999999999,509999.9999999999,2575000.0,,138815000.0,1001696000.0,233779000.0,443334000.0,324583000.0
Dhule,2016,27156000.0,27540000.0,572674000.0,208911000.0,74826000.0,911107000.0,181797000.0,7452000.0,359250000.0,,4549000.0,576000.0,211188000.0,64272000.0,29026000.0,5009000.0,608000.0,512000.0,,86529000.0,950768000.0,155926000.0,388276000.0,406566000.0
Dhule,2017,69991000.0,34508000.0,537975000.0,113670000.0,77427000.0,833570999.9999999,169063000.0,9406000.0,181812000.0,82380000.0,4118000.0,921000.0000000001,152279000.0,65797000.0,21331000.0,5788000.0,4234000.0,56000.00000000001,,124464000.0,821649000.0,195300000.0,285523000.0,340826000.0
Dhule,2018,36289000.0,9804000.0,403522000.0,133398000.0,76353000.0,659366000.0,16855000.0,6303000.0,19691000.0,,3948000.0,4472000.0,360638000.0,78860000.0,9912000.0,7894000.0,,12617000.0,,47198000.0,568388000.0,134478000.0,29603000.0,404307000.0
Dhule,2019,91549000.0,26736000.0,792735000.0,444878000.0,88214000.0,1444112000.0,200850000.0,34270000.0,253220000.0,,2573000.0,4577000.0,677044000.0,63240000.0,9317000.0,6181000.0,,3569000.0,,46901000.0,1301742000.0,117291000.0,262537000.0,921914000.0
Dhule,2020,87605000.0,24250000.0,645775000.0,338922000.0,102105000.0,1198657000.0,225288000.0,68914000.0,310786000.0,,7909999.999999999,1888000.0,369690000.0,99477000.0,9499000.0,4729000.0,,38000.0,,84198000.0,1182417000.0,193473000.0,320285000.0,668659000.0
Dhule,2021,87605000.0,24250000.0,645775000.0,338922000.0,102105000.0,1009575000.0,233003000.0,41490000.0,167444000.0,,7909999.999999999,3196000.0,663595000.0,108347000.0,24004000.0,21504000.0,,35000.0,,105875000.0,1376403000.0,225328000.0,191448000.0,959627000.0000002
