Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks
2017,Nagpur,Kamathi,18.0,9,28.0
2017,Nagpur,Nagpur (Gra),35.0,14,55.0
2017,Nagpur,Nagpur (Sh),1.0,24,339.0
2017,Nagpur,Hingana,14.0,9,25.0
2017,Nagpur,Umred,14.0,9,29.0
2017,Nagpur,Kuhi,10.0,4,15.0
2017,Nagpur,Bhiwapur,9.0,6,11.0
2018,Nagpur,Narkhed,10.0,7,12.0
2018,Nagpur,Katol,12.0,10,21.0
2018,Nagpur,Kalameshwar,10.0,11,17.0
2018,Nagpur,Sawner,12.0,14,22.0
2018,Nagpur,Parashivani,6.0,8,8.0
2018,Nagpur,Ramtech,9.0,12,21.0
2018,Nagpur,Mauda,11.0,12,18.0
2018,Nagpur,Kamathi,15.0,12,26.0
2018,Nagpur,Nagpur (Gra),23.0,20,66.0
2018,Nagpur,Nagpur (Sh),1.0,34,348.0
2018,Nagpur,Hingana,11.0,14,20.0
2018,Nagpur,Umred,13.0,12,23.0
2018,Nagpur,Kuhi,10.0,6,11.0
2018,Nagpur,Bhiwapur,6.0,5,7.0
2019,Nagpur,Narkhed,10.0,5,11.0
2019,Nagpur,Katol,12.0,10,21.0
2019,Nagpur,Kalameshwar,10.0,12,16.0
2019,Nagpur,Sawner,11.0,13,20.0
2019,Nagpur,Parashivani,6.0,8,8.0
2019,Nagpur,Ramtech,9.0,9,18.0
2019,Nagpur,Mauda,12.0,12,16.0
2019,Nagpur,Kamathi,15.0,12,25.0
2019,Nagpur,Nagpur (Gra),23.0,10,22.0
2019,Nagpur,Nagpur (Sh),1.0,23,381.0
2019,Nagpur,Hingana,10.0,11,16.0
2019,Nagpur,Umred,11.0,13,21.0
2019,Nagpur,Kuhi,10.0,6,11.0
2019,Nagpur,Bhiwapur,6.0,5,7.0
2020,Nagpur,Narkhed,10.0,5,11.0
2020,Nagpur,Katol,12.0,10,21.0
2020,Nagpur,Kalameshwar,10.0,12,16.0
2020,Nagpur,Sawner,11.0,13,20.0
