Year,District,Taluka,Select Banks/ Bank Branches,Number
2016,Ahilyanagar,Pathardi,Classified Banks,9.0
2016,Ahilyanagar,Pathardi,Branch Offices,26.0
2016,Ahilyanagar,Nagar,Classified Banks,31.0
2016,Ahilyanagar,Nagar,Branch Offices,110.0
2016,Ahilyanagar,Rahuri,Classified Banks,11.0
2016,Ahilyanagar,Rahuri,Branch Offices,43.0
2016,Ahilyanagar,Parner,Classified Banks,8.0
2016,Ahilyanagar,Parner,Branch Offices,45.0
2016,Ahilyanagar,Srigonda,Classified Banks,13.0
2016,Ahilyanagar,Srigonda,Branch Offices,42.0
2016,Ahilyanagar,Karjat,Classified Banks,7.0
2016,Ahilyanagar,Karjat,Branch Offices,27.0
2016,Ahilyanagar,Jamkhed,Classified Banks,7.0
2016,Ahilyanagar,Jamkhed,Branch Offices,20.0
2017,Ahilyanagar,Akole,Classified Banks,6.0
2017,Ahilyanagar,Akole,Branch Offices,35.0
2017,Ahilyanagar,Sangamner,Classified Banks,22.0
2017,Ahilyanagar,Sangamner,Branch Offices,73.0
2017,Ahilyanagar,Kopargaon,Classified Banks,13.0
2017,Ahilyanagar,Kopargaon,Branch Offices,40.0
2017,Ahilyanagar,Rahata,Classified Banks,25.0
2017,Ahilyanagar,Rahata,Branch Offices,54.0
2017,Ahilyanagar,Srirampur,Classified Banks,16.0
2017,Ahilyanagar,Srirampur,Branch Offices,35.0
2017,Ahilyanagar,Nevasa,Classified Banks,9.0
2017,Ahilyanagar,Nevasa,Branch Offices,34.0
2017,Ahilyanagar,Shevgaon,Classified Banks,6.0
2017,Ahilyanagar,Shevgaon,Branch Offices,26.0
2017,Ahilyanagar,Pathardi,Classified Banks,9.0
2017,Ahilyanagar,Pathardi,Branch Offices,26.0
2017,Ahilyanagar,Nagar,Classified Banks,31.0
2017,Ahilyanagar,Nagar,Branch Offices,110.0
2017,Ahilyanagar,Rahuri,Classified Banks,11.0
2017,Ahilyanagar,Rahuri,Branch Offices,43.0
2017,Ahilyanagar,Parner,Classified Banks,8.0
2017,Ahilyanagar,Parner,Branch Offices,45.0
2017,Ahilyanagar,Srigonda,Classified Banks,13.0
2017,Ahilyanagar,Srigonda,Branch Offices,42.0
2017,Ahilyanagar,Karjat,Classified Banks,7.0
2017,Ahilyanagar,Karjat,Branch Offices,27.0
2017,Ahilyanagar,Jamkhed,Classified Banks,7.0
2017,Ahilyanagar,Jamkhed,Branch Offices,20.0
2018,Ahilyanagar,Akole,Classified Banks,6.0
2018,Ahilyanagar,Akole,Branch Offices,35.0
2018,Ahilyanagar,Sangamner,Classified Banks,22.0
2018,Ahilyanagar,Sangamner,Branch Offices,73.0
2018,Ahilyanagar,Kopargaon,Classified Banks,13.0
2018,Ahilyanagar,Kopargaon,Branch Offices,40.0
2018,Ahilyanagar,Rahata,Classified Banks,25.0
2018,Ahilyanagar,Rahata,Branch Offices,54.0
2018,Ahilyanagar,Srirampur,Classified Banks,16.0
2018,Ahilyanagar,Srirampur,Branch Offices,35.0
2018,Ahilyanagar,Nevasa,Classified Banks,9.0
2018,Ahilyanagar,Nevasa,Branch Offices,34.0
2018,Ahilyanagar,Shevgaon,Classified Banks,6.0
2018,Ahilyanagar,Shevgaon,Branch Offices,26.0
2018,Ahilyanagar,Pathardi,Classified Banks,9.0
2018,Ahilyanagar,Pathardi,Branch Offices,26.0
2018,Ahilyanagar,Nagar,Classified Banks,31.0
2018,Ahilyanagar,Nagar,Branch Offices,110.0
2018,Ahilyanagar,Rahuri,Classified Banks,11.0
2018,Ahilyanagar,Rahuri,Branch Offices,43.0
2018,Ahilyanagar,Parner,Classified Banks,8.0
2018,Ahilyanagar,Parner,Branch Offices,45.0
2018,Ahilyanagar,Srigonda,Classified Banks,13.0
2018,Ahilyanagar,Srigonda,Branch Offices,42.0
2018,Ahilyanagar,Karjat,Classified Banks,7.0
2018,Ahilyanagar,Karjat,Branch Offices,27.0
2018,Ahilyanagar,Jamkhed,Classified Banks,7.0
2018,Ahilyanagar,Jamkhed,Branch Offices,20.0
2019,Ahilyanagar,Akole,Classified Banks,6.0
2019,Ahilyanagar,Akole,Branch Offices,35.0
2019,Ahilyanagar,Sangamner,Classified Banks,22.0
2019,Ahilyanagar,Sangamner,Branch Offices,73.0
2019,Ahilyanagar,Kopargaon,Classified Banks,13.0
2019,Ahilyanagar,Kopargaon,Branch Offices,40.0
2019,Ahilyanagar,Rahata,Classified Banks,25.0
2019,Ahilyanagar,Rahata,Branch Offices,54.0
2019,Ahilyanagar,Srirampur,Classified Banks,16.0
2019,Ahilyanagar,Srirampur,Branch Offices,35.0
2019,Ahilyanagar,Nevasa,Classified Banks,9.0
2019,Ahilyanagar,Nevasa,Branch Offices,34.0
2019,Ahilyanagar,Shevgaon,Classified Banks,6.0
2019,Ahilyanagar,Shevgaon,Branch Offices,26.0
2019,Ahilyanagar,Pathardi,Classified Banks,9.0
2019,Ahilyanagar,Pathardi,Branch Offices,26.0
2019,Ahilyanagar,Nagar,Classified Banks,31.0
2019,Ahilyanagar,Nagar,Branch Offices,110.0
