District,Year,Receipts and Loans,"From Commercial Activities
",Government Subsidies,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Sindhudurg,2019,21100000.0,18500000.0,367200000.0,84900000.0,74500000.0,566200000.0,51700000.0,10500000.0,168900000.0,900000.0,,2600000.0,60000000.0,40800000.0,15100000.0,,300000.0,,200000.0,13500000.0,364400000.0,56900000.0,185100000.0,122500000.0
Sindhudurg,2020,21500000.0,7900000.0,294900000.0,26900000.0,51900000.0,403200000.0,6850000.0,2096000.0,2937000.0,,,,424000.0,7580000.0,2744000.0,,,188000.0,,6273000.0,29092000.0,13853000.0,5681000.0,9558000.0
Sindhudurg,2021,31200000.0,16400000.0,213600000.0,29500000.0,61400000.0,352100000.0,26863000.0,5035000.0,109523000.0,270000.0,,34000.0,152194000.0,396000.0,201000.0,,25000.0,102000.0,,6645999.999999999,301289000.0,7075999.999999999,109994000.0,184219000.0
Solapur,2016,,,97918000.0,,13519000.0,111337000.0,978087999.9999999,228813000.0,1715877000.0,726827000.0,27650000.0,66866000.0,1334188000.0,390545000.0,68112000.0,4547000.0,56725000.0,10760000.0,,283386000.0,5892384000.0,768446999.9999999,2510816000.0,2613121000.0
Solapur,2017,20000.0,,231355000.0,7470999.999999999,29236000.0,268082000.0,39652000.0,,182836000.0,8758000.0,,650000.0,32285000.0,6094000.0,2987000.0,175000.0,459999.9999999999,8830000.0,,22509000.0,5892384000.0,29253000.0,194581000.0,81402000.0
Solapur,2018,,,235475000.0,12586000.0,21467000.0,269528000.0,42171000.0,3541000.0,206011000.0,8381000.0,,450000.0,28835000.0,7381000.0,9487000.0,1460000.0,212000.0,9920000.0,,12195000.0,330052000.0,20026000.0,223879000.0,86139000.00000001
Solapur,2019,,,235475000.0,12586000.0,21467000.0,269528000.0,101196000.0,10764000.0,89370000.0,9755000.0,50000.0,600000.0,4057000.0,7948999.999999999,12008000.0,1400000.0,50000.0,26444000.0,,15719000.0,279362000.0,24318000.0,111133000.0,143911000.0
Solapur,2020,90000.0,8400000.0,244240000.0,12812000.0,32819000.0,298361000.0,,,,,,,,,,,,,,,,,,
Solapur,2021,28790000.0,8913000.0,79746000.0,9958000.0,60500000.0,187907000.0,,,,,,,,,,,,,,,,,,
Thane,2015,,,,,,,5855000.0,6208000.0,53782000.00000001,972000.0000000001,,554000.0,2507000.0,7972000.0,6415000.000000001,,1475000.0,14819000.0,,7303000.0,107862000.0,15829000.0,61169000.00000001,30864000.0
Thane,2016,,,,,,,14027000.0,599000.0,30775000.0,1703000.0,,1307000.0,99577000.0,12247000.0,3045000.0,75000.0,,14819000.0,,2659000.0,180833000.0,16213000.0,35522999.99999999,129097000.0
Thane,2017,9500000.0,100000.0,94640000.0,16181000.0,27732000.0,148153000.0,15504000.0,2933000.0,36808000.0,2494000.0,,1383000.0,58660000.0,19472000.0,5403000.0,166000.0,,25000.0,,14500000.0,157348000.0,35355000.0,44704999.99999999,77288000.0
Thane,2018,5628000.0,1681000.0,303084000.0,20829000.0,43166000.0,374388000.0,21344000.0,5661000.0,195409000.0,1404000.0,,17788000.0,8016000.0,51642999.99999999,4189000.0,,,11000.0,,7884000.0,313349000.0,77315000.0,201002000.0,35032000.00000001
Thane,2019,5856000.0,977999.9999999999,91853000.0,10681000.0,31811000.0,141179000.0,23851000.0,3834000.0,237432000.0,13353000.0,,3954000.0,28554000.0,20304000.0,4139000.0,1113000.0,,16000.0,,2934000.0,339484000.0,27192000.0,254924000.0,57368000.00000001
Thane,2020,5735000.0,300000.0,317320000.0,9088000.0,28425000.0,360868000.0,,,,,,,,,,,,,,,,,,
Thane,2021,4949000.0,1237000.0,482781000.0000001,13264000.0,45379000.0,547610000.0,,,,,,,,,,,,,,,,,,
Wardha,2012,,,,,,,,,,,,,,,,,,,,,,,,
Wardha,2013,,,,,,,1600000.0,332000.0,3445000.0,421000.0,17000.0,470000.0,1419000.0,4036000.0,352000.0,646000.0,616000.0,199000.0,112000.0,3810000.0,17475000.0,8333000.0,4330000.0,4812000.0
Wardha,2014,,,,,,,5403000.0,1594000.0,15160000.0,6418000.000000001,54000.0,2420000.0,14086000.0,3222000.0,4136000.0,596000.0,30646000.0,388000.0,,2178000.0,86301000.0,7873999.999999999,25714000.0,52713000.0
Wardha,2015,2858000.0,491000.0,4150000.0,18631000.0,8735000.0,34865000.0,15375000.0,2272000.0,26812000.0,40639000.0,639000.0,3135000.0,720428000.0,2084000.0,40396000.0,3366000.0,1780000.0,744000.0,,13661000.0,871331000.0,19519000.0,107847000.0,743965000.0
Wardha,2016,1273000.0,65558000.00000001,59891999.99999999,5878000.0,13332000.0,145933000.0,12293000.0,1080000.0,25060000.0,14993000.0,,16996000.0,75351000.0,3694000.0,4856000.0,4687000.0,3579000.0,2133000.0,,6626000.000000001,171348000.0,27316000.0,44909000.0,99123000.0
Wardha,2017,1277000.0,200000.0,55454000.0,803887000.0,21542000.0,882360000.0,16921000.0,5717000.0,163597000.0,4319000.0,108000.0,629000.0,18448000.0,12254000.0,3121000.0,917000.0,70000.0,1027000.0,,6329000.0,233457000.0,19320000.0,171037000.0,43100000.0
Wardha,2018,18194000.0,10520000.0,133357000.0,59227000.0,22648000.0,243946000.0,36649000.0,3533000.0,89423000.0,8134000.0,,177000.0,22646000.0,4935000.0,5502000.0,,,215000.0,,35284000.0,206498000.0,40396000.0,103059000.0,63042999.99999999
Wardha,2019,3574000.0,766000.0,218774000.0,16057000.0,15064000.0,254235000.0,33622000.0,51056000.0,53432000.00000001,2815000.0,,151000.0,23346000.0,7091000.0,8333000.0,,1780000.0,2584000.0,,11210000.0,195420000.0,18452000.0,64580000.00000001,112388000.0
Wardha,2020,4533000.0,601000.0,164690000.0,15927000.0,15213000.0,200964000.0,,,,,,,,,,,,,,,,,,
Wardha,2021,243000.0,3492000.0,165697000.0,11995000.0,13951000.0,195378000.0,,,,,,,,,,,,,,,,,,
Washim,2008,,31192000.0,178027000.0,53557000.00000001,,262776000.0,,,,,,,,,,,,,,,,,,
Washim,2013,,,,,,,2900000.0,1000000.0,314000.0,,,,,2310000.0,646000.0,,,1800000.0,,4180000.0,13100000.0,6490000.000000001,960000.0,5700000.0
Washim,2014,,,,,,,844000.0,2231000.0,37931000.0,,,,3066000.0,2230000.0,432000.0,,,,,1564000.0,48298000.0,3794000.0,38363000.0,6141000.0
Washim,2015,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
Washim,2016,443000.0,,,3090000.0,926000.0,4460000.0,29129000.0,,38291000.0,669000.0,,,150000.0,6103000.0,3151000.0,633000.0,,,,33023000.0,111149000.0,39126000.0,42111000.0,29912000.0
Washim,2017,3980000.0,1063000.0,49509000.0,5708000.0,4765000.0,65025000.0,12949000.0,1683000.0,35146000.0,7942000.0,,6543000.000000001,36000.0,4278000.0,4884000.0,4493000.0,,1369000.0,,4883000.0,84206000.0,15704000.0,47972000.0,20530000.0
Washim,2018,,,,,,,19117000.0,,25948000.0,,,356000.0,3691000.0,12858000.0,5275000.0,2490000.0,,,,5232000.0,74967000.0,18446000.0,31223000.0,25298000.0
Washim,2019,,1858000.0,86837000.0,5752000.0,8040000.000000001,102488000.0,,,,,,,,,,,,,,,,,,
Washim,2020,,1200000.0,51099000.0,2262000.0,9082000.0,63642999.99999999,,,,,,,,,,,,,,,,,,
Washim,2021,5000000.0,1274000.0,57866999.99999999,6146000.0,8338000.0,78625000.0,,,,,,,,,,,,,,,,,,
Yavatmal,2012,,,,,,,,,,,,,,,,,,,,,,,,
Yavatmal,2013,,,,,,,3352000.0,9577000.0,1706000.0,4202000.0,200000.0,370000.0,81973000.0,2639000.0,3079000.0,85000.0,100000.0,400000.0,160000.0,7453000.0,115296000.0,10662000.0,9147000.0,95487000.0
Yavatmal,2014,,,,,,,15391000.0,6572000.0,195442000.0,3459000.0,30000.0,1051000.0,13727000.0,3142000.0,3740000.0,235000.0,,859000.0,127000.0,7708000.0,251483000.0,11931000.0,202768000.0,36784000.0
Yavatmal,2015,,,,,,,32359000.0,5292000.0,260715000.0,9606000.0,170000.0,1209000.0,5898000.0,9983000.0,6795999.999999999,1517000.0,465000.0000000001,897000.0000000001,100000.0,5534000.0,340541000.0,16896000.0,277217000.0,46428000.0
Yavatmal,2016,1097000.0,881000.0,216750000.0,10921000.0,19475000.0,249124000.0,44237000.0,6759999.999999999,262003000.0,2828000.0,20000.0,6248000.0,16511000.0,16165000.0,1421000.0,232000.0,,1950000.0,100000.0,15051000.0,373526000.0,37484000.0,266352000.0,69690000.00000001
Yavatmal,2017,1031000.0,1357000.0,303878000.0,11060000.0,22313000.0,339639000.0,37061000.0,5884000.0,169124000.0,3596000.0,20000.0,2629000.0,33260000.0,17075000.0,999000.0,173000.0,,844999.9999999999,100000.0,5766000.0,276532000.0,25490000.0,173819000.0,77223000.0
Yavatmal,2018,1694000.0,1029000.0,329571000.0,31345000.0,43846000.0,407485000.0,35092000.0,7131999.999999999,167353000.0,4531000.0,,1196000.0,271502000.0,16822000.0,3784000.0,3111000.0,,304000.0,,6916000.0,517743000.0,24934000.0,175668000.0,317141000.0
Yavatmal,2019,908000.0,49501000.0,243182000.0,32595000.0,17952000.0,344138000.0,,,,,,,,,,,,,,,,,,
Yavatmal,2020,3701000.0,51725000.0,164861000.0,37825000.0,12976000.0,271088000.0,,,,,,,,,,,,,,,,,,
Yavatmal,2021,6244000.0,271000.0,206274000.0,280836000.0,20292000.0,513917000.0,,,,,,,,,,,,,,,,,,
