Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2015,Gadchiroli,409,154,821,22,1406,0,1406,1205,82,337,1625,1625,439,26,208,4,77,659,843,128,358,2741,5772,991,123,6640,1109,59889
2016,Gadchiroli,550,252,436,59,1297,0,1297,1252,84,338,1674,1674,472,29,216,3,69,664,884,132,380,2849,5820,1025,104,6741,1116,60433
2017,Gadchiroli,278,317,1066,44,1705,0,1705,1395,91,352,1838,1838,518,34,238,4,60,700,962,148,420,3084,6627,1166,103,7690,1122,68552
2018,Gadchiroli,470,302,509,27,1307,0,1307,1524,104,367,1994,1994,580,34,263,4,61,757,1091,157,470,3418,6720,1200,103,7817,1128,69295
2019,Gadchiroli,566,305,581,28,1479,0,1479,1503,109,371,1983,1983,614,35,282,4,69,786,1185,186,520,3680,7142,1261,115,8288,1134,73072
2011,Gondia,834,202,379,56,1471,75,1546,1528,133,568,2228,2303,724,38,264,6,95,857,1042,206,431,3664,7438,1217,196,8459,1329,63664
2012,Gondia,947,220,482,59,1707,45,1753,1639,138,542,2319,2364,798,39,291,6,100,924,1122,208,473,3962,8034,1367,252,9149,1339,68308
2013,Gondia,891,202,337,63,1493,20,1513,1829,105,547,2481,2501,771,40,293,6,99,1037,1225,209,516,4196,8189,1385,241,9333,1350,69136
2014,Gondia,844,179,354,70,1447,30,1477,1921,139,592,2652,2682,789,44,327,6,114,1114,1370,215,581,4560,8689,1474,236,9927,1360,72968
2015,Gondia,752,213,395,73,1434,80,1514,2156,147,603,2907,2987,786,47,371,6,138,1178,1507,229,640,4903,9324,1574,196,10702,1371,78067
2016,Gondia,1032,187,343,163,1725,183,1908,2306,154,622,3082,3266,869,53,398,6,126,1222,1628,243,701,5246,10237,1717,175,11779,1380,85333
2017,Gondia,420,188,720,32,1360,181,1541,2502,163,630,3295,3476,929,61,426,7,108,1256,1725,265,753,5529,10365,1780,158,11987,1389,86291
