District,Year,Receipts and Loans,"From Commercial Activities
",Government Grants,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Bhandara,2019,69.58,2.67,2470.45,46.17,85.81,2674.68,192.89,84.59,2140.09,52.46,,7.32,198.43,24.7,65.11,,34.18,,,101.84,2901.61,133.86,2257.66,510.09
Bhandara,2020,198.26,,1327.01,77.59,109.73,1712.59,389.36,37.44,1122.55,220.27,,3.2,193.34,11.08,87.58,,,,,135.81,2200.63,150.09,1430.4,620.14
Bhandara,2021,146.13,20.08,805.24,74.65,158.94,1205.04,245.85,175.41,648.28,105.71,,5.08,172.98,14.44,53.77,74.8,39.91,4.17,2.51,35.97,1578.88,55.48999999999999,810.27,713.12
Buldhana,2013,,,,,,,,,,,,,,,,,,,,,,,,
Buldhana,2014,,,,,,,,,,,,,,,,,,,,,,,,
Buldhana,2015,,,,,,,,,,,,,,,,,,,,,,,,
Buldhana,2016,,,,,,,,,,,,,,,,,,,,,,,,
Buldhana,2017,,,,,,,,,,,,,,,,,,,,,,,,
Buldhana,2018,,,525.0,7.0,35.0,567.0,25.0,22.0,425.0,70.0,,19.0,,16.0,8.0,12.0,100.0,,300.0,18.0,1015.0,53.0,803.0,159.0
Buldhana,2019,,30.0,631.0,3.5,34.0,698.5,93.0,4.0,572.0,53.5,,16.0,22.0,30.7,27.0,2.0,,,,29.0,849.2,75.7,652.5,121.0
Buldhana,2020,3.0,210.83,388.57,26.54,800.5,1429.44,99.83,10.2,423.99,60.88,,3.13,2.12,16.52,30.54,3.0,,,,13.2,663.41,32.84999999999999,515.41,115.15
Buldhana,2021,,,162.13,4.5,8.84,243.54,21.88,21.9,28.87,38.44,,,56.07,,0.21,,,,,1.15,168.52,1.15,67.52,99.85
Chandrapur,2012,,,,,,,,,,,,,,,,,,,,,,,,
Chandrapur,2013,,,,,,,,,,,,,,,,,,,,,,,,
Chandrapur,2014,,,,,,,,,,,,,,,,,,,,,,,,
Chandrapur,2015,,,,,,,,,,,,,,,,,,,,,,,,
Chandrapur,2016,4.63,34.79,398.77,66.68,93.62,598.49,57.1,26.59,34.24,0.25,,,144.31,43.18,9.76,,,3.06,,9.16,327.65,52.34,44.25,231.06
Chandrapur,2017,73.53,78.6,3038.26,165.04,212.4,3567.83,111.08,97.34,361.03,225.99,7.5,56.72,442.36,6.97,6.13,8.18,0.85,2.7,,24.26,1351.1,95.45,593.15,662.51
