Year,District,Rural/Urban,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2019,Chandrapur,Rural,Private Unaided (Recognized),48,31,18,37,22
2019,Chandrapur,Urban,Government Aided,30,32,27,31,4
2019,Chandrapur,Urban,Local Body,88,22,3,6,2
2019,Chandrapur,Urban,Others,0,2,1,0,1
2019,Chandrapur,Urban,Private Unaided (Recognized),48,43,10,47,10
2020,Chandrapur,Rural,Government Aided,18,40,76,77,97
2020,Chandrapur,Rural,Local Body,929,555,0,7,7
2020,Chandrapur,Rural,Others,0,1,5,7,4
2020,Chandrapur,Rural,Private Unaided (Recognized),45,32,22,39,17
2020,Chandrapur,Urban,Government Aided,32,32,27,31,4
2020,Chandrapur,Urban,Local Body,86,22,3,6,2
2020,Chandrapur,Urban,Others,0,0,1,0,1
2020,Chandrapur,Urban,Private Unaided (Recognized),41,42,10,51,10
2021,Chandrapur,Rural,Government Aided,18,37,68,77,95
2021,Chandrapur,Rural,Local Body,918,554,0,7,6
2021,Chandrapur,Rural,Others,0,0,5,6,5
2021,Chandrapur,Rural,Private Unaided (Recognized),33,23,19,30,16
2021,Chandrapur,Urban,Government Aided,31,34,35,32,6
2021,Chandrapur,Urban,Local Body,98,23,3,6,2
2021,Chandrapur,Urban,Others,0,0,2,0,0
2021,Chandrapur,Urban,Private Unaided (Recognized),46,47,18,58,11
2012,Chh. Sambhaji Nagar,Rural,Government Aided,19,29,102,68,50
2012,Chh. Sambhaji Nagar,Rural,Local Body,1352,675,9,36,0
2012,Chh. Sambhaji Nagar,Rural,Others,21,23,3,9,7
2012,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),149,71,13,42,64
2012,Chh. Sambhaji Nagar,Urban,Government Aided,47,151,39,71,45
2012,Chh. Sambhaji Nagar,Urban,Local Body,42,12,2,6,1
2012,Chh. Sambhaji Nagar,Urban,Others,43,58,2,3,12
2012,Chh. Sambhaji Nagar,Urban,Private Unaided (Recognized),177,130,3,33,65
2013,Chh. Sambhaji Nagar,Rural,Government Aided,24,52,105,69,1
2013,Chh. Sambhaji Nagar,Rural,Local Body,1353,678,9,36,0
2013,Chh. Sambhaji Nagar,Rural,Others,6,3,1,7,119
2013,Chh. Sambhaji Nagar,Rural,Private Unaided (Recognized),176,80,13,44,5
2013,Chh. Sambhaji Nagar,Urban,Government Aided,51,161,37,72,0
2013,Chh. Sambhaji Nagar,Urban,Central Govt,0,0,2,0,0
2013,Chh. Sambhaji Nagar,Urban,Local Body,64,58,2,6,0
