Year,District,Select Schooling Level,Social Category,Overall,Boys,Girls
2013,Latur,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Latur,Upper Primary (VI-VIII),SC,4.52,3.08,6.13
2013,Latur,Upper Primary (VI-VIII),ST,22.33,21.04,24.05
2013,Latur,Secondary (IX-X),Overall,14.56,14.4,14.79
2013,Latur,Secondary (IX-X),General,15.81,16.79,14.54
2013,Latur,Secondary (IX-X),OBC,7.1,6.03,8.68
2013,Latur,Secondary (IX-X),SC,19.82,18.69,21.28
2013,Latur,Secondary (IX-X),ST,32.49,32.07,33.12
2013,Mumbai,Primary (I-V),Overall,0.0,0.0,0.0
2013,Mumbai,Primary (I-V),General,0.0,0.0,0.0
2013,Mumbai,Primary (I-V),OBC,0.0,0.0,0.0
2013,Mumbai,Primary (I-V),SC,0.0,0.0,0.0
2013,Mumbai,Primary (I-V),ST,0.0,0.0,0.0
2013,Mumbai,Upper Primary (VI-VIII),Overall,0.0,0.0,0.0
2013,Mumbai,Upper Primary (VI-VIII),General,0.0,0.0,0.0
2013,Mumbai,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Mumbai,Upper Primary (VI-VIII),SC,0.0,0.0,0.0
2013,Mumbai,Upper Primary (VI-VIII),ST,4.45,4.91,3.9
2013,Mumbai,Secondary (IX-X),Overall,4.73,6.42,2.76
2013,Mumbai,Secondary (IX-X),General,3.57,4.99,1.91
2013,Mumbai,Secondary (IX-X),OBC,5.45,7.05,3.69
2013,Mumbai,Secondary (IX-X),SC,12.15,15.57,8.22
2013,Mumbai,Secondary (IX-X),ST,16.72,26.96,4.57
2013,Mumbai Suburban,Primary (I-V),Overall,15.39,15.4,15.38
2013,Mumbai Suburban,Primary (I-V),General,15.03,14.9,15.17
2013,Mumbai Suburban,Primary (I-V),OBC,21.07,22.78,19.27
2013,Mumbai Suburban,Primary (I-V),SC,12.0,11.58,12.43
2013,Mumbai Suburban,Primary (I-V),ST,23.93,23.84,24.03
2013,Mumbai Suburban,Upper Primary (VI-VIII),Overall,31.69,30.53,32.86
2013,Mumbai Suburban,Upper Primary (VI-VIII),General,28.32,26.85,29.8
2013,Mumbai Suburban,Upper Primary (VI-VIII),OBC,38.52,37.48,39.52
2013,Mumbai Suburban,Upper Primary (VI-VIII),SC,38.34,38.26,38.43
2013,Mumbai Suburban,Upper Primary (VI-VIII),ST,43.65,43.73,43.57
2013,Mumbai Suburban,Secondary (IX-X),Overall,58.62,60.4,56.79
2013,Mumbai Suburban,Secondary (IX-X),General,58.99,60.96,56.97
2013,Mumbai Suburban,Secondary (IX-X),OBC,58.42,58.82,58.01
2013,Mumbai Suburban,Secondary (IX-X),SC,57.46,59.79,54.91
2013,Mumbai Suburban,Secondary (IX-X),ST,55.23,55.46,55.0
2013,Nagpur,Primary (I-V),Overall,2.51,2.73,2.26
2013,Nagpur,Primary (I-V),General,2.67,3.14,2.15
2013,Nagpur,Primary (I-V),OBC,0.86,0.92,0.8
2013,Nagpur,Primary (I-V),SC,3.6,4.09,3.07
2013,Nagpur,Primary (I-V),ST,7.98,8.06,7.89
2013,Nagpur,Upper Primary (VI-VIII),Overall,0.68,0.31,1.09
2013,Nagpur,Upper Primary (VI-VIII),General,0.0,0.07,0.0
2013,Nagpur,Upper Primary (VI-VIII),OBC,0.18,0.0,1.01
2013,Nagpur,Upper Primary (VI-VIII),SC,0.34,0.0,0.84
2013,Nagpur,Upper Primary (VI-VIII),ST,5.95,6.53,5.31
2013,Nagpur,Secondary (IX-X),Overall,13.51,15.89,10.99
2013,Nagpur,Secondary (IX-X),General,6.49,7.8,5.09
2013,Nagpur,Secondary (IX-X),OBC,13.87,16.46,11.13
2013,Nagpur,Secondary (IX-X),SC,14.85,17.59,11.92
2013,Nagpur,Secondary (IX-X),ST,22.25,24.89,19.56
2013,Nanded,Primary (I-V),Overall,2.84,3.47,2.15
2013,Nanded,Primary (I-V),General,4.02,5.28,2.64
2013,Nanded,Primary (I-V),OBC,1.4,1.37,1.42
2013,Nanded,Primary (I-V),SC,2.81,3.58,2.01
2013,Nanded,Primary (I-V),ST,4.15,4.74,3.51
2013,Nanded,Upper Primary (VI-VIII),Overall,4.98,4.1,5.92
2013,Nanded,Upper Primary (VI-VIII),General,7.56,7.87,7.25
2013,Nanded,Upper Primary (VI-VIII),OBC,2.94,1.17,4.92
2013,Nanded,Upper Primary (VI-VIII),SC,3.68,2.76,4.65
2013,Nanded,Upper Primary (VI-VIII),ST,6.16,4.76,7.69
2013,Nanded,Secondary (IX-X),Overall,22.06,19.76,24.73
2013,Nanded,Secondary (IX-X),General,21.26,19.14,23.6
2013,Nanded,Secondary (IX-X),OBC,20.56,18.18,23.62
2013,Nanded,Secondary (IX-X),SC,25.86,24.21,27.71
2013,Nanded,Secondary (IX-X),ST,20.98,17.17,25.42
2013,Nandurbar,Primary (I-V),Overall,3.36,2.93,3.84
2013,Nandurbar,Primary (I-V),General,2.7,3.11,2.21
2013,Nandurbar,Primary (I-V),OBC,0.0,0.0,0.0
2013,Nandurbar,Primary (I-V),SC,5.13,7.16,2.86
2013,Nandurbar,Primary (I-V),ST,4.54,4.19,4.92
2013,Nandurbar,Upper Primary (VI-VIII),Overall,3.4,2.15,4.81
2013,Nandurbar,Upper Primary (VI-VIII),General,6.96,5.67,8.41
2013,Nandurbar,Upper Primary (VI-VIII),OBC,0.0,0.0,1.34
2013,Nandurbar,Upper Primary (VI-VIII),SC,17.4,16.0,18.95
2013,Nandurbar,Upper Primary (VI-VIII),ST,3.66,3.15,4.23
2013,Nandurbar,Secondary (IX-X),Overall,16.78,15.77,18.0
2013,Nandurbar,Secondary (IX-X),General,14.59,14.84,14.27
2013,Nandurbar,Secondary (IX-X),OBC,7.41,4.3,10.97
2013,Nandurbar,Secondary (IX-X),SC,26.08,20.94,31.37
2013,Nandurbar,Secondary (IX-X),ST,20.04,19.85,20.29
2013,Nashik,Primary (I-V),Overall,0.56,0.47,0.67
2013,Nashik,Primary (I-V),General,0.62,0.69,0.53
2013,Nashik,Primary (I-V),OBC,0.0,0.0,0.0
2013,Nashik,Primary (I-V),SC,0.39,0.19,0.62
2013,Nashik,Primary (I-V),ST,2.23,1.85,2.63
2013,Nashik,Upper Primary (VI-VIII),Overall,2.36,1.09,3.83
2013,Nashik,Upper Primary (VI-VIII),General,1.84,0.73,3.08
2013,Nashik,Upper Primary (VI-VIII),OBC,0.0,0.0,1.0
2013,Nashik,Upper Primary (VI-VIII),SC,0.91,0.0,3.1
2013,Nashik,Upper Primary (VI-VIII),ST,6.19,4.6,8.01
2013,Nashik,Secondary (IX-X),Overall,18.97,20.24,17.46
2013,Nashik,Secondary (IX-X),General,19.42,21.39,17.25
2013,Nashik,Secondary (IX-X),OBC,14.65,16.92,11.8
2013,Nashik,Secondary (IX-X),SC,22.31,24.48,19.76
2013,Nashik,Secondary (IX-X),ST,22.8,21.26,24.74
2013,Parbhani,Primary (I-V),Overall,1.08,1.05,1.11
2013,Parbhani,Primary (I-V),General,2.19,1.96,2.42
2013,Parbhani,Primary (I-V),OBC,0.55,0.75,0.32
2013,Parbhani,Primary (I-V),SC,0.0,0.0,0.0
2013,Parbhani,Primary (I-V),ST,2.56,2.27,2.86
2013,Parbhani,Upper Primary (VI-VIII),Overall,1.98,0.67,3.47
2013,Parbhani,Upper Primary (VI-VIII),General,4.72,3.98,5.56
2013,Parbhani,Upper Primary (VI-VIII),OBC,0.0,0.0,1.63
2013,Parbhani,Upper Primary (VI-VIII),SC,0.0,0.0,0.31
2013,Parbhani,Upper Primary (VI-VIII),ST,6.22,3.81,9.07
2013,Parbhani,Secondary (IX-X),Overall,16.72,14.85,19.2
2013,Parbhani,Secondary (IX-X),General,20.31,19.32,21.53
2013,Parbhani,Secondary (IX-X),OBC,12.1,9.05,16.41
2013,Parbhani,Secondary (IX-X),SC,14.93,13.96,16.2
2013,Parbhani,Secondary (IX-X),ST,22.35,18.98,26.94
2013,Pune,Primary (I-V),Overall,0.0,0.0,0.0
2013,Pune,Primary (I-V),General,0.0,0.0,0.0
2013,Pune,Primary (I-V),OBC,0.0,0.0,0.0
2013,Pune,Primary (I-V),SC,0.0,0.0,0.0
2013,Pune,Primary (I-V),ST,2.24,1.66,2.87
2013,Pune,Upper Primary (VI-VIII),Overall,0.0,0.0,0.98
2013,Pune,Upper Primary (VI-VIII),General,0.0,0.0,0.2
2013,Pune,Upper Primary (VI-VIII),OBC,0.0,0.0,2.12
2013,Pune,Upper Primary (VI-VIII),SC,0.0,0.0,0.53
2013,Pune,Upper Primary (VI-VIII),ST,2.64,0.0,5.89
2013,Pune,Secondary (IX-X),Overall,15.75,16.57,14.78
2013,Pune,Secondary (IX-X),General,14.48,15.98,12.7
2013,Pune,Secondary (IX-X),OBC,15.09,14.21,16.17
2013,Pune,Secondary (IX-X),SC,20.44,21.62,19.08
2013,Pune,Secondary (IX-X),ST,19.43,20.13,18.58
2013,Raigad,Primary (I-V),Overall,0.47,0.3,0.65
2013,Raigad,Primary (I-V),General,1.94,1.9,1.98
2013,Raigad,Primary (I-V),OBC,0.0,0.0,0.0
2013,Raigad,Primary (I-V),SC,0.0,0.0,0.0
2013,Raigad,Primary (I-V),ST,5.27,4.55,6.05
2013,Raigad,Upper Primary (VI-VIII),Overall,0.04,0.0,1.11
2013,Raigad,Upper Primary (VI-VIII),General,0.0,0.0,0.59
2013,Raigad,Upper Primary (VI-VIII),OBC,0.0,0.0,0.0
2013,Raigad,Upper Primary (VI-VIII),SC,0.0,0.0,0.76
2013,Raigad,Upper Primary (VI-VIII),ST,11.28,9.81,13.12
2013,Raigad,Secondary (IX-X),Overall,18.66,20.28,16.81
2013,Raigad,Secondary (IX-X),General,17.42,19.57,14.99
2013,Raigad,Secondary (IX-X),OBC,16.45,17.76,15.0
2013,Raigad,Secondary (IX-X),SC,18.58,19.53,17.53
2013,Raigad,Secondary (IX-X),ST,39.6,39.3,40.03
2013,Ratnagiri,Primary (I-V),Overall,0.58,0.75,0.39
2013,Ratnagiri,Primary (I-V),General,1.13,1.98,0.23
2013,Ratnagiri,Primary (I-V),OBC,0.21,0.02,0.4
2013,Ratnagiri,Primary (I-V),SC,0.0,0.0,0.0
