Year,District,Type of School,Central Govt,Government Aided,Local body,Others,Private Unaided
2024,Amravati,Upper Primary School (I-VIII),,556.0,3202.0,4.0,565.0
2024,Amravati,Higher Secondary School (I-XII),,2817.0,171.0,172.0,951.0
2024,Amravati,Secondary School (I-X),,1705.0,197.0,103.0,1743.0
2024,Amravati,Secondary School (VI-X),,510.0,16.0,47.0,66.0
2024,Amravati,Higher Secondary School (XI-XII),,400.0,,9.0,87.0
2024,Beed,Primary School (I-V),,561.0,4100.0,2.0,443.0
2024,Beed,Upper Primary School (I-VIII),,1982.0,3656.0,,910.0
2024,Beed,Higher Secondary School (I-XII),,3355.0,21.0,,1197.0
2024,Beed,Secondary School (I-X),,2889.0,602.0,29.0,907.0
2024,Beed,Secondary School (VI-X),,353.0,31.0,15.0,90.0
2024,Beed,Higher Secondary School (XI-XII),,453.0,,,305.0
2024,Bhandara,Primary School (I-V),,158.0,961.0,1.0,59.0
2024,Bhandara,Upper Primary School (I-VIII),,248.0,1282.0,,274.0
2024,Bhandara,Higher Secondary School (I-XII),,1207.0,334.0,42.0,507.0
2024,Bhandara,Secondary School (I-X),,599.0,73.0,8.0,597.0
2024,Bhandara,Secondary School (VI-X),,128.0,6.0,6.0,29.0
2024,Bhandara,Higher Secondary School (XI-XII),,73.0,,20.0,103.0
2024,Buldhana,Primary School (I-V),,280.0,2393.0,,440.0
2024,Buldhana,Upper Primary School (I-VIII),,555.0,3798.0,,623.0
2024,Buldhana,Higher Secondary School (I-XII),,3277.0,209.0,,1183.0
2024,Buldhana,Secondary School (I-X),,1315.0,202.0,28.0,1415.0
2024,Buldhana,Secondary School (VI-X),,372.0,58.0,26.0,54.0
2024,Buldhana,Higher Secondary School (XI-XII),,225.0,,,294.0
2024,Chandrapur,Primary School (I-V),,200.0,2034.0,,333.0
2024,Chandrapur,Upper Primary School (I-VIII),,426.0,2784.0,,441.0
2024,Chandrapur,Higher Secondary School (I-XII),,2041.0,35.0,170.0,1316.0
2024,Chandrapur,Secondary School (I-X),,1004.0,83.0,48.0,1786.0
2024,Chandrapur,Secondary School (VI-X),,411.0,25.0,31.0,80.0
2024,Chandrapur,Higher Secondary School (XI-XII),,337.0,,19.0,209.0
2024,Chh. Sambhaji Nagar,Primary School (I-V),,570.0,2934.0,5.0,776.0
2024,Chh. Sambhaji Nagar,Upper Primary School (I-VIII),,4095.0,5275.0,,3240.0
2024,Chh. Sambhaji Nagar,Higher Secondary School (I-XII),,3264.0,147.0,97.0,3183.0
2024,Chh. Sambhaji Nagar,Secondary School (I-X),,2013.0,717.0,50.0,2237.0
2024,Chh. Sambhaji Nagar,Secondary School (VI-X),,882.0,16.0,9.0,450.0
2024,Chh. Sambhaji Nagar,Higher Secondary School (XI-XII),,585.0,,25.0,673.0
2024,Dharashiv,Primary School (I-V),,298.0,1503.0,2.0,296.0
2024,Dharashiv,Upper Primary School (I-VIII),,646.0,2911.0,,241.0
2024,Dharashiv,Higher Secondary School (I-XII),,1359.0,47.0,,337.0
2024,Dharashiv,Secondary School (I-X),,1025.0,425.0,14.0,238.0
2024,Dharashiv,Secondary School (VI-X),,609.0,8.0,12.0,103.0
2024,Dharashiv,Higher Secondary School (XI-XII),,252.0,,,126.0
2024,Dhule,Primary School (I-V),,603.0,3120.0,,346.0
2024,Dhule,Upper Primary School (I-VIII),,1104.0,439.0,47.0,435.0
2024,Dhule,Higher Secondary School (I-XII),,2960.0,60.0,176.0,551.0
2024,Dhule,Secondary School (I-X),,1931.0,5.0,89.0,816.0
2024,Dhule,Secondary School (VI-X),,199.0,,12.0,67.0
2024,Dhule,Higher Secondary School (XI-XII),,142.0,,,92.0
2024,Gadchiroli,Primary School (I-V),,42.0,1620.0,4.0,129.0
2024,Gadchiroli,Upper Primary School (I-VIII),,195.0,1506.0,22.0,250.0
2024,Gadchiroli,Higher Secondary School (I-XII),,1172.0,80.0,290.0,273.0
2024,Gadchiroli,Secondary School (I-X),,579.0,14.0,238.0,400.0
2024,Gadchiroli,Secondary School (VI-X),,141.0,30.0,194.0,31.0
2024,Gadchiroli,Higher Secondary School (XI-XII),,111.0,,6.0,79.0
2024,Gondia,Primary School (I-V),,100.0,998.0,4.0,146.0
2024,Gondia,Upper Primary School (I-VIII),,399.0,2082.0,,427.0
2024,Gondia,Higher Secondary School (I-XII),,1323.0,172.0,136.0,723.0
2024,Gondia,Secondary School (I-X),,408.0,59.0,40.0,448.0
2024,Gondia,Secondary School (VI-X),,286.0,,15.0,19.0
2024,Gondia,Higher Secondary School (XI-XII),,178.0,,12.0,102.0
2024,Hingoli,Primary School (I-V),,151.0,1222.0,,114.0
2024,Hingoli,Upper Primary School (I-VIII),,590.0,2215.0,,358.0
2024,Hingoli,Higher Secondary School (I-XII),,1027.0,,24.0,422.0
