Year,District,Select Class,Social Category,Boys,Girls
2012,Bhandara,Class 2,General,398,330
2012,Bhandara,Class 2,OBC,6757,6467
2012,Bhandara,Class 2,SC,1518,1409
2012,Bhandara,Class 2,ST,859,683
2012,Bhandara,Class 3,Overall,9628,9266
2012,Bhandara,Class 3,General,381,368
2012,Bhandara,Class 3,OBC,6982,6690
2012,Bhandara,Class 3,SC,1478,1441
2012,Bhandara,Class 3,ST,787,767
2012,Bhandara,Class 4,Overall,10151,9391
2012,Bhandara,Class 4,General,429,359
2012,Bhandara,Class 4,OBC,7292,6767
2012,Bhandara,Class 4,SC,1600,1500
2012,Bhandara,Class 4,ST,830,765
2012,Bhandara,Class 5,Overall,10756,9835
2012,Bhandara,Class 5,General,346,319
2012,Bhandara,Class 5,OBC,7859,7174
2012,Bhandara,Class 5,SC,1695,1589
2012,Bhandara,Class 5,ST,856,753
2012,Bhandara,Class 6,Overall,10757,10211
2012,Bhandara,Class 6,General,400,366
2012,Bhandara,Class 6,OBC,7733,7448
2012,Bhandara,Class 6,SC,1758,1635
2012,Bhandara,Class 6,ST,866,762
2012,Bhandara,Class 7,Overall,11380,10757
2012,Bhandara,Class 7,General,347,310
2012,Bhandara,Class 7,OBC,8206,7837
2012,Bhandara,Class 7,SC,1947,1787
2012,Bhandara,Class 7,ST,880,823
2012,Bhandara,Class 8,Overall,11148,10604
2012,Bhandara,Class 8,General,385,369
2012,Bhandara,Class 8,OBC,7930,7611
2012,Bhandara,Class 8,SC,1929,1818
2012,Bhandara,Class 8,ST,904,806
2012,Bhandara,Class 9,Overall,11091,10506
2012,Bhandara,Class 9,General,361,337
2012,Bhandara,Class 9,OBC,8029,7622
2012,Bhandara,Class 9,SC,1904,1752
2012,Bhandara,Class 9,ST,797,795
2012,Bhandara,Class 10,Overall,10898,10707
2012,Bhandara,Class 10,General,407,379
2012,Bhandara,Class 10,OBC,7811,7797
2012,Bhandara,Class 10,SC,1946,1859
2012,Bhandara,Class 10,ST,734,672
2012,Bhandara,Class 11,Overall,8294,9210
2012,Bhandara,Class 11,General,327,325
2012,Bhandara,Class 11,OBC,5974,6681
2012,Bhandara,Class 11,SC,1527,1653
2012,Bhandara,Class 11,ST,466,551
2012,Bhandara,Class 12,Overall,7715,8506
2012,Bhandara,Class 12,General,295,319
2012,Bhandara,Class 12,OBC,5450,6189
2012,Bhandara,Class 12,SC,1533,1535
2012,Bhandara,Class 12,ST,437,463
2012,Buldhana,Pre-Primary,Overall,10792,6648
2012,Buldhana,Pre-Primary,General,2507,1623
2012,Buldhana,Pre-Primary,OBC,6723,4110
2012,Buldhana,Pre-Primary,SC,1282,739
2012,Buldhana,Pre-Primary,ST,280,176
2012,Buldhana,Class 1,Overall,25774,21841
2012,Buldhana,Class 1,General,4438,3993
2012,Buldhana,Class 1,OBC,14656,11946
2012,Buldhana,Class 1,SC,5046,4464
2012,Buldhana,Class 1,ST,1634,1438
2012,Buldhana,Class 2,Overall,25966,22124
2012,Buldhana,Class 2,General,4513,3961
2012,Buldhana,Class 2,OBC,14774,11909
2012,Buldhana,Class 2,SC,4982,4774
2012,Buldhana,Class 2,ST,1697,1480
2012,Buldhana,Class 3,Overall,26661,23044
2012,Buldhana,Class 3,General,4733,4191
2012,Buldhana,Class 3,OBC,14912,12659
2012,Buldhana,Class 3,SC,5271,4697
2012,Buldhana,Class 3,ST,1745,1497
2012,Buldhana,Class 4,Overall,27289,23860
2012,Buldhana,Class 4,General,4883,4232
2012,Buldhana,Class 4,OBC,15247,12927
2012,Buldhana,Class 4,SC,5478,5184
2012,Buldhana,Class 4,ST,1681,1517
2012,Buldhana,Class 5,Overall,26869,23150
2012,Buldhana,Class 5,General,4964,4252
2012,Buldhana,Class 5,OBC,14746,12374
2012,Buldhana,Class 5,SC,5692,5210
2012,Buldhana,Class 5,ST,1467,1314
2012,Buldhana,Class 6,Overall,27437,23341
2012,Buldhana,Class 6,General,5028,4318
2012,Buldhana,Class 6,OBC,15177,12522
2012,Buldhana,Class 6,SC,5898,5259
2012,Buldhana,Class 6,ST,1334,1242
2012,Buldhana,Class 7,Overall,27631,24430
2012,Buldhana,Class 7,General,4957,4413
2012,Buldhana,Class 7,OBC,15449,13450
2012,Buldhana,Class 7,SC,5955,5416
2012,Buldhana,Class 7,ST,1270,1151
2012,Buldhana,Class 8,Overall,26177,22993
2012,Buldhana,Class 8,General,4776,4314
2012,Buldhana,Class 8,OBC,14872,12993
2012,Buldhana,Class 8,SC,5509,4852
2012,Buldhana,Class 8,ST,1020,834
2012,Buldhana,Class 9,Overall,24712,20589
