Year,District ,Gender Mix,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2024,Nanded,Girls,12,12,4,14,6
2024,Nandurbar,Co-Ed,1339,278,81,256,41
2024,Nandurbar,Boys,19,0,1,0,1
2024,Nandurbar,Girls,16,0,6,7,7
2024,Nashik,Co-Ed,2894,1144,341,485,338
2024,Nashik,Boys,11,35,0,5,3
2024,Nashik,Girls,15,37,12,18,5
2024,Palghar,Co-Ed,1665,853,132,270,202
2024,Palghar,Boys,1,0,0,2,0
2024,Palghar,Girls,1,3,2,1,8
2024,Parbhani,Co-Ed,716,731,127,178,120
2024,Parbhani,Boys,7,0,1,1,3
2024,Parbhani,Girls,3,6,1,3,9
2024,Pune,Co-Ed,3211,1718,693,760,424
2024,Pune,Boys,19,43,4,9,3
2024,Pune,Girls,26,46,21,26,7
2024,Raigad,Co-Ed,1954,889,164,284,167
2024,Raigad,Boys,3,7,0,2,1
2024,Raigad,Girls,6,6,2,2,3
2024,Ratnagiri,Co-Ed,1473,1030,107,129,173
2024,Ratnagiri,Boys,1,3,0,0,0
2024,Ratnagiri,Girls,1,3,0,1,2
2024,Sangli,Co-Ed,1395,653,183,290,177
2024,Sangli,Boys,19,41,0,2,4
2024,Sangli,Girls,24,42,8,23,5
2024,Satara,Co-Ed,1969,949,184,347,209
2024,Satara,Boys,18,11,0,3,2
2024,Satara,Girls,16,8,8,9,3
2024,Sindhudurg,Co-Ed,874,519,52,105,75
2024,Sindhudurg,Boys,0,1,0,0,0
2024,Sindhudurg,Girls,1,1,0,0,0
2024,Solapur,Co-Ed,2406,1083,305,450,208
2024,Solapur,Boys,17,24,1,2,2
2024,Solapur,Girls,22,22,6,9,0
2024,Thane,Co-Ed,1342,1733,271,335,634
2024,Thane,Boys,3,11,0,5,0
2024,Thane,Girls,5,20,6,10,2
2024,Wardha,Co-Ed,716,372,88,148,68
2024,Wardha,Boys,1,1,0,0,2
2024,Wardha,Girls,2,1,1,3,0
2024,Washim,Co-Ed,568,399,140,121,53
2024,Washim,Boys,4,0,1,0,2
2024,Washim,Girls,6,2,4,6,0
2024,Yavatmal,Co-Ed,1433,1048,197,242,172
2024,Yavatmal,Boys,11,2,0,1,4
2024,Yavatmal,Girls,11,5,8,6,6
