Year,District,Social Category,Gender,Pre-Primary,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12
2012,Jalgaon,Overall,Total,21217,82790,84649,83934,90005,82884,81561,80498,74600,70653,60897,34396,36198
2012,Jalgaon,Overall,Boys,12705,45472,46089,45527,48988,45373,44715,44231,41470,40100,34604,18997,20166
2012,Jalgaon,Overall,Girls,8512,37318,38560,38407,41017,37511,36846,36267,33130,30553,26293,15399,16032
2012,Jalgaon,General,Total,6077,13668,14176,14249,14989,15213,15309,15589,15169,14670,12451,6856,7156
2012,Jalgaon,General,Boys,3550,7338,7614,7716,7981,8038,8178,8280,8147,7991,6672,3628,3824
2012,Jalgaon,General,Girls,2527,6330,6562,6533,7008,7175,7131,7309,7022,6679,5779,3228,3332
2012,Jalgaon,OBC,Total,12049,41051,41614,42505,45208,41859,42494,43176,40139,38833,34982,21390,21803
2012,Jalgaon,OBC,Boys,7363,22984,23126,23335,24913,23250,23599,23967,22412,22260,19819,11696,11813
2012,Jalgaon,OBC,Girls,4686,18067,18488,19170,20295,18609,18895,19209,17727,16573,15163,9694,9990
2012,Jalgaon,SC,Total,1853,8029,8548,8181,9267,8910,8931,8639,8295,7944,6660,3354,3750
2012,Jalgaon,SC,Boys,1053,4189,4487,4247,4902,4715,4681,4603,4596,4432,3872,1869,2174
2012,Jalgaon,SC,Girls,800,3840,4061,3934,4365,4195,4250,4036,3699,3512,2788,1485,1576
2012,Jalgaon,ST,Total,1238,20042,20311,18999,20541,16902,14827,13094,10997,9206,6804,2796,3489
2012,Jalgaon,ST,Boys,739,10961,10862,10229,11192,9370,8257,7381,6315,5417,4241,1804,2355
2012,Jalgaon,ST,Girls,499,9081,9449,8770,9349,7532,6570,5713,4682,3789,2563,992,1134
2012,Jalna,Overall,Total,5351,41390,41440,43642,43736,41498,38955,37389,31198,27412,21661,15425,13728
2012,Jalna,Overall,Boys,3186,22127,21929,22645,22880,21688,20552,19616,16825,15481,12340,8908,8845
2012,Jalna,Overall,Girls,2165,19263,19511,20997,20856,19810,18403,17773,14373,11931,9321,6517,4883
2012,Jalna,General,Total,3443,18925,18773,19400,19247,18140,17725,17141,14732,12985,10246,7942,7064
2012,Jalna,General,Boys,2053,10176,10044,10140,10125,9535,9325,8873,7798,7240,5655,4420,4422
2012,Jalna,General,Girls,1390,8749,8729,9260,9122,8605,8400,8268,6934,5745,4591,3522,2642
2012,Jalna,OBC,Total,1206,14533,14624,15487,15657,14755,13323,13086,10617,9490,7493,5079,4485
2012,Jalna,OBC,Boys,732,7817,7702,8043,8158,7764,7037,6933,5780,5327,4376,3000,2973
2012,Jalna,OBC,Girls,474,6716,6922,7444,7499,6991,6286,6153,4837,4163,3117,2079,1512
2012,Jalna,SC,Total,603,6642,6750,7326,7493,7390,6826,6181,4892,4202,3201,2039,1882
2012,Jalna,SC,Boys,346,3439,3496,3700,3885,3755,3604,3275,2697,2469,1874,1277,1256
2012,Jalna,SC,Girls,257,3203,3254,3626,3608,3635,3222,2906,2195,1733,1327,762,626
2012,Jalna,ST,Total,99,1290,1293,1429,1339,1213,1081,981,957,735,721,365,297
2012,Jalna,ST,Boys,55,695,687,762,712,634,586,535,550,445,435,211,194
2012,Jalna,ST,Girls,44,595,606,667,627,579,495,446,407,290,286,154,103
2012,Kolhapur,Overall,Total,14382,60760,60249,61623,62443,64646,63565,65344,64367,65354,59121,43015,37711
2012,Kolhapur,Overall,Boys,8338,33090,32618,33171,34020,35595,35547,35994,35935,37059,32907,23383,19955
