Year,District,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X),Higher Secondary School (XI-XII),Total
2013,Beed,Private Unaided,574.0,344.0,104.0,798.0,,,1820
2013,Bhandara,Government Aided,255.0,357.0,1681.0,1129.0,9.0,,3431
2013,Bhandara,Central Govt,,,28.0,9.0,,,37
2013,Bhandara,Others,86.0,18.0,,17.0,252.0,185.0,558
2013,Bhandara,Local body,1226.0,1691.0,471.0,106.0,,,3494
2013,Bhandara,Private Unaided,192.0,252.0,206.0,294.0,,,944
2013,Buldhana,Government Aided,244.0,431.0,3417.0,1573.0,5.0,,5675
2013,Buldhana,Central Govt,,,,,,,26
2013,Buldhana,Others,44.0,54.0,4.0,34.0,446.0,354.0,936
2013,Buldhana,Local body,2586.0,4595.0,334.0,353.0,,,7868
2013,Buldhana,Private Unaided,517.0,606.0,231.0,523.0,17.0,,1941
2013,Chandrapur,Government Aided,259.0,550.0,2770.0,1558.0,14.0,,5161
2013,Chandrapur,Central Govt,,,76.0,,,,92
2013,Chandrapur,Others,166.0,29.0,83.0,94.0,693.0,474.0,1539
2013,Chandrapur,Local body,2405.0,3756.0,78.0,117.0,,,6356
2013,Chandrapur,Private Unaided,428.0,575.0,491.0,827.0,,,2323
2013,Chhatrapati Sambhaji Nagar,Government Aided,584.0,2237.0,3039.0,2187.0,5.0,,8068
2013,Chhatrapati Sambhaji Nagar,Central Govt,,,68.0,,,,93
2013,Chhatrapati Sambhaji Nagar,Others,51.0,31.0,21.0,81.0,1452.0,1176.0,2812
2013,Chhatrapati Sambhaji Nagar,Local body,3350.0,5901.0,242.0,730.0,,,10223
2013,Chhatrapati Sambhaji Nagar,Private Unaided,1594.0,1916.0,280.0,1066.0,57.0,,4914
2013,Dharashiv,Government Aided,377.0,730.0,1567.0,1313.0,,,3987
2013,Dharashiv,Central Govt,,,,,,,15
2013,Dharashiv,Others,9.0,19.0,,12.0,706.0,396.0,1142
2013,Dharashiv,Local body,1698.0,3250.0,75.0,518.0,,,5541
2013,Dharashiv,Private Unaided,196.0,138.0,22.0,156.0,5.0,,517
2013,Dhule,Government Aided,657.0,936.0,3390.0,2536.0,201.0,,7845
2013,Dhule,Central Govt,,,,6.0,11.0,,17
2013,Dhule,Others,16.0,65.0,103.0,118.0,9.0,186.0,497
2013,Dhule,Local body,3408.0,393.0,79.0,9.0,,,3889
2013,Dhule,Private Unaided,378.0,253.0,78.0,280.0,127.0,,1116
2013,Gadchiroli,Government Aided,62.0,276.0,1655.0,683.0,,,2676
2013,Gadchiroli,Central Govt,,,,,,,20
2013,Gadchiroli,Others,32.0,69.0,269.0,225.0,373.0,168.0,1136
2013,Gadchiroli,Local body,2306.0,2287.0,94.0,75.0,,,4762
2013,Gadchiroli,Private Unaided,180.0,251.0,52.0,330.0,,,813
2013,Gondia,Government Aided,133.0,429.0,1832.0,605.0,,,2999
2013,Gondia,Central Govt,,5.0,,,,,32
2013,Gondia,Others,43.0,23.0,123.0,43.0,438.0,320.0,990
2013,Gondia,Local body,1362.0,2880.0,273.0,156.0,,,4671
2013,Gondia,Private Unaided,252.0,537.0,187.0,184.0,,,1160
2013,Hingoli,Government Aided,185.0,367.0,909.0,515.0,,,1981
2013,Hingoli,Central Govt,,,,,,,24
2013,Hingoli,Others,9.0,19.0,30.0,34.0,235.0,274.0,601
2013,Hingoli,Local body,1486.0,2628.0,24.0,388.0,,,4530
2013,Hingoli,Private Unaided,203.0,178.0,36.0,84.0,,,506
2013,Jalgaon,Government Aided,1002.0,1292.0,4245.0,5216.0,44.0,,11799
2013,Jalgaon,Central Govt,27.0,12.0,60.0,,,,119
2013,Jalgaon,Others,57.0,74.0,39.0,191.0,611.0,584.0,1556
2013,Jalgaon,Local body,4614.0,3700.0,160.0,107.0,,,8581
2013,Jalgaon,Private Unaided,758.0,650.0,132.0,575.0,54.0,,2169
2013,Jalna,Government Aided,239.0,606.0,1620.0,1061.0,10.0,,3536
2013,Jalna,Central Govt,,,,,,,23
2013,Jalna,Others,21.0,15.0,5.0,5.0,263.0,406.0,715
2013,Jalna,Local body,2532.0,3479.0,22.0,477.0,,,6510
2013,Jalna,Private Unaided,451.0,307.0,161.0,378.0,22.0,,1319
2013,Kolhapur,Government Aided,1206.0,1349.0,3777.0,3823.0,73.0,,10228
2013,Kolhapur,Central Govt,,,20.0,,,,45
2013,Kolhapur,Others,96.0,48.0,,32.0,1930.0,560.0,2666
2013,Kolhapur,Local body,2968.0,7081.0,56.0,50.0,,,10155
2013,Kolhapur,Private Unaided,329.0,317.0,65.0,619.0,22.0,,1383
2013,Latur,Government Aided,1062.0,2560.0,3350.0,2554.0,,,9551
2013,Latur,Central Govt,,6.0,26.0,,,,49
2013,Latur,Others,38.0,52.0,17.0,32.0,818.0,680.0,1637
2013,Latur,Local body,1836.0,3765.0,,687.0,,,6288
2013,Latur,Private Unaided,389.0,846.0,,233.0,17.0,,1491
2013,Mumbai City,Government Aided,,43.0,6620.0,10843.0,94.0,,17627
2013,Mumbai City,Central Govt,,,469.0,187.0,,,656
2013,Mumbai City,Others,,,,11.0,1014.0,3684.0,4709
2013,Mumbai City,Private Unaided,71.0,369.0,3548.0,7450.0,88.0,,11538
2013,Mumbai Suburban,Government Aided,3748.0,,,,,,3748
2013,Mumbai Suburban,Central Govt,9.0,,,,,,9
2013,Mumbai Suburban,Local body,1119.0,10065.0,,775.0,22.0,,11981
2013,Mumbai Suburban,Private Unaided,6825.0,26.0,,12.0,,,6863
2013,Mumbai Suburban,Others,566.0,46.0,,,708.0,,1320
2013,Nagpur,Government Aided,1466.0,2179.0,6119.0,4157.0,18.0,,13939
2013,Nagpur,Central Govt,,,241.0,,,,269
2013,Nagpur,Others,203.0,48.0,34.0,91.0,1241.0,884.0,2501
2013,Nagpur,Local body,2955.0,3803.0,269.0,520.0,28.0,,7584
2013,Nagpur,Private Unaided,1824.0,2370.0,1772.0,1439.0,38.0,,7531
2013,Nanded,Government Aided,909.0,2454.0,3222.0,2634.0,35.0,20.0,9274
2013,Nanded,Central Govt,,8.0,,38.0,,,53
2013,Nanded,Others,59.0,81.0,145.0,100.0,730.0,716.0,1831
2013,Nanded,Local body,3700.0,4927.0,,1125.0,,,9763
2013,Nanded,Private Unaided,536.0,461.0,198.0,557.0,29.0,,1786
2013,Nandurbar,Government Aided,272.0,343.0,1911.0,1630.0,158.0,,4378
2013,Nandurbar,Central Govt,,,,,,,25
2013,Nandurbar,Others,19.0,122.0,134.0,516.0,5.0,101.0,897
2013,Nandurbar,Local body,3281.0,911.0,44.0,54.0,,,4292
2013,Nandurbar,Private Unaided,224.0,138.0,48.0,828.0,51.0,5.0,1297
2013,Nashik,Government Aided,1112.0,1764.0,5231.0,4865.0,21.0,,13060
2013,Nashik,Central Govt,,,107.0,6.0,,,136
2013,Nashik,Others,55.0,109.0,221.0,590.0,1820.0,786.0,3581
2013,Nashik,Local body,6934.0,6235.0,,115.0,,,13284
2013,Nashik,Private Unaided,1056.0,1387.0,469.0,871.0,10.0,,3793
2013,Parbhani,Government Aided,489.0,1142.0,1205.0,1290.0,25.0,,4161
2013,Parbhani,Central Govt,,,,11.0,,,17
2013,Parbhani,Others,,22.0,,5.0,599.0,792.0,1418
2013,Parbhani,Local body,1565.0,3327.0,31.0,496.0,,,5447
2013,Parbhani,Private Unaided,625.0,469.0,130.0,315.0,42.0,,1598
2013,Pune,Government Aided,1464.0,2033.0,9100.0,5733.0,6.0,,18336
2013,Pune,Central Govt,,,485.0,,,,498
2013,Pune,Others,371.0,246.0,59.0,184.0,3257.0,1464.0,5581
2013,Pune,Local body,7142.0,8864.0,167.0,347.0,,,16520
2013,Pune,Private Unaided,2547.0,5966.0,2311.0,3709.0,27.0,,14560
2013,Raigad,Others,160.0,121.0,52.0,55.0,969.0,167.0,1524
2013,Raigad,Government Aided,334.0,202.0,2825.0,1883.0,,,5244
2013,Raigad,Central Govt,,,100.0,,,,110
2013,Raigad,Local body,4522.0,3796.0,,34.0,,,8352
2013,Raigad,Private Unaided,656.0,1010.0,1040.0,976.0,10.0,,3692
2013,Ratnagiri,Government Aided,130.0,20.0,1749.0,1166.0,,,3065
2013,Ratnagiri,Central Govt,,28.0,,,,,41
2013,Ratnagiri,Others,77.0,22.0,4.0,32.0,956.0,202.0,1293
2013,Ratnagiri,Local body,3552.0,4905.0,,,,,8457
2013,Ratnagiri,Private Unaided,208.0,391.0,56.0,138.0,,,808
2013,Sangli,Government Aided,506.0,917.0,3820.0,3194.0,,,8437
2013,Sangli,Central Govt,,,,,,,21
2013,Sangli,Others,52.0,91.0,,,878.0,621.0,1642
2013,Sangli,Local body,2973.0,3756.0,,51.0,,,6780
2013,Sangli,Private Unaided,454.0,596.0,61.0,194.0,15.0,,1320
2013,Satara,Government Aided,364.0,322.0,3582.0,3625.0,35.0,,7928
2013,Satara,Central Govt,,,,,,,55
2013,Satara,Others,131.0,60.0,,58.0,1162.0,704.0,2115
2013,Satara,Local body,4576.0,4640.0,18.0,10.0,,,9244
2013,Satara,Private Unaided,474.0,691.0,296.0,486.0,8.0,,1973
2013,Sindhudurg,Government Aided,66.0,33.0,1143.0,948.0,,,2190
2013,Sindhudurg,Central Govt,,,,,,,20
2013,Sindhudurg,Others,32.0,11.0,,,386.0,157.0,586
2013,Sindhudurg,Local body,1931.0,2304.0,,,,,4235
2013,Sindhudurg,Private Unaided,81.0,92.0,21.0,224.0,,,418
2013,Solapur,Government Aided,1390.0,2206.0,5694.0,4531.0,232.0,,14062
2013,Solapur,Central Govt,5.0,,23.0,10.0,6.0,,68
2013,Solapur,Others,42.0,15.0,16.0,30.0,818.0,717.0,1638
2013,Solapur,Local body,5462.0,5554.0,34.0,61.0,26.0,,11137
2013,Solapur,Private Unaided,763.0,507.0,416.0,921.0,102.0,,2724
2013,Wardha,Government Aided,208.0,227.0,1883.0,1389.0,,,3719
2013,Wardha,Central Govt,,,18.0,,,,42
2013,Wardha,Others,23.0,35.0,8.0,49.0,322.0,254.0,691
2013,Wardha,Local body,1512.0,1646.0,190.0,8.0,,,3356
2013,Wardha,Private Unaided,305.0,505.0,175.0,381.0,,,1366
2013,Washim,Government Aided,124.0,388.0,1777.0,703.0,19.0,,3016
2013,Washim,Central Govt,,,,,,,24
2013,Washim,Others,4.0,19.0,19.0,12.0,245.0,132.0,431
2013,Washim,Local body,1341.0,2056.0,171.0,12.0,,,3580
2013,Washim,Private Unaided,321.0,237.0,128.0,321.0,10.0,,1017
2013,Yavatmal,Government Aided,290.0,870.0,2688.0,1393.0,7.0,,5248
2013,Yavatmal,Central Govt,,,,14.0,,,34
2013,Yavatmal,Others,37.0,56.0,105.0,157.0,794.0,512.0,1661
2013,Yavatmal,Local body,3136.0,5466.0,187.0,220.0,,,9009
2013,Yavatmal,Private Unaided,553.0,488.0,388.0,532.0,,,1961
2014,Ahilyanagar,Government Aided,612.0,904.0,5897.0,5199.0,686.0,728.0,14161
2014,Ahilyanagar,Central Govt,,,81.0,,,,103
2014,Ahilyanagar,Others,15.0,106.0,69.0,149.0,9.0,,348
2014,Ahilyanagar,Local body,8183.0,3626.0,,13.0,11.0,,11833
2014,Ahilyanagar,Private Unaided,1065.0,875.0,338.0,695.0,642.0,296.0,4009
2014,Akola,Government Aided,164.0,596.0,2469.0,1311.0,345.0,163.0,5187
2014,Akola,Central Govt,,,,,,,26
2014,Akola,Others,13.0,24.0,,25.0,,,62
2014,Akola,Local body,1681.0,2656.0,105.0,120.0,,,4562
2014,Akola,Private Unaided,665.0,727.0,126.0,453.0,293.0,153.0,2506
2014,Amravati,Government Aided,538.0,703.0,3777.0,2339.0,503.0,403.0,8470
2014,Amravati,Central Govt,,,,,,,35
2014,Amravati,Others,62.0,71.0,136.0,105.0,,15.0,389
2014,Amravati,Local body,2562.0,4456.0,326.0,219.0,38.0,,7605
2014,Amravati,Private Unaided,863.0,365.0,170.0,781.0,246.0,40.0,2523
2014,Beed,Government Aided,598.0,1525.0,3465.0,2773.0,321.0,431.0,9270
2014,Beed,Central Govt,1.0,,,,,,26
2014,Beed,Others,38.0,32.0,,18.0,7.0,,95
2014,Beed,Local body,4726.0,4028.0,33.0,854.0,40.0,,9684
2014,Beed,Private Unaided,690.0,338.0,127.0,789.0,287.0,307.0,2628
2014,Bhandara,Government Aided,258.0,354.0,1671.0,1110.0,197.0,76.0,3827
2014,Bhandara,Central Govt,,,31.0,13.0,,,44
2014,Bhandara,Others,67.0,14.0,,15.0,,4.0,100
2014,Bhandara,Local body,1270.0,1607.0,442.0,100.0,4.0,,3428
2014,Bhandara,Private Unaided,251.0,260.0,198.0,309.0,67.0,111.0,1207
2014,Buldhana,Government Aided,266.0,489.0,3447.0,1627.0,226.0,100.0,6241
2014,Buldhana,Central Govt,,,,,,,25
2014,Buldhana,Others,21.0,41.0,,33.0,,6.0,101
2014,Buldhana,Local body,2666.0,4453.0,334.0,348.0,24.0,,7825
2014,Buldhana,Private Unaided,653.0,589.0,193.0,460.0,233.0,283.0,2568
2014,Chandrapur,Government Aided,266.0,563.0,2928.0,1601.0,467.0,258.0,6363
2014,Chandrapur,Central Govt,,,79.0,,,,95
2014,Chandrapur,Others,142.0,7.0,40.0,112.0,5.0,14.0,320
2014,Chandrapur,Local body,2455.0,3876.0,79.0,123.0,45.0,,6578
2014,Chandrapur,Private Unaided,515.0,659.0,579.0,845.0,196.0,252.0,3140
2014,Chhatrapati Sambhaji Nagar,Government Aided,694.0,2740.0,3216.0,2272.0,603.0,730.0,10505
2014,Chhatrapati Sambhaji Nagar,Central Govt,,,58.0,,,,83
2014,Chhatrapati Sambhaji Nagar,Others,25.0,17.0,,52.0,2.0,16.0,112
2014,Chhatrapati Sambhaji Nagar,Local body,3366.0,5683.0,249.0,722.0,58.0,,10078
2014,Chhatrapati Sambhaji Nagar,Private Unaided,1797.0,1913.0,361.0,1056.0,916.0,509.0,6788
2014,Dharashiv,Government Aided,370.0,735.0,1607.0,1357.0,560.0,270.0,4999
2014,Dharashiv,Central Govt,,,,,,,15
2014,Dharashiv,Others,8.0,35.0,,12.0,,,55
2014,Dharashiv,Local body,1682.0,3089.0,73.0,550.0,3.0,,5401
2014,Dharashiv,Private Unaided,295.0,137.0,8.0,149.0,172.0,134.0,943
2014,Dhule,Government Aided,633.0,952.0,3423.0,2577.0,210.0,177.0,8110
2014,Dhule,Central Govt,,,,12.0,9.0,,21
2014,Dhule,Others,16.0,64.0,96.0,94.0,,,270
2014,Dhule,Local body,3425.0,378.0,79.0,9.0,,,3891
2014,Dhule,Private Unaided,386.0,262.0,65.0,336.0,140.0,2.0,1196
2014,Gadchiroli,Government Aided,60.0,279.0,1632.0,772.0,159.0,60.0,3104
2014,Gadchiroli,Central Govt,,,,,,,20
2014,Gadchiroli,Others,30.0,45.0,265.0,191.0,,7.0,538
2014,Gadchiroli,Local body,2281.0,2240.0,92.0,74.0,5.0,,4699
2014,Gadchiroli,Private Unaided,212.0,242.0,25.0,261.0,217.0,135.0,1140
2014,Gondia,Government Aided,140.0,435.0,1895.0,598.0,350.0,143.0,3882
2014,Gondia,Central Govt,,5.0,,,,,32
2014,Gondia,Others,36.0,18.0,113.0,43.0,5.0,15.0,230
