Year,District,Social Category,Gender,Primary (I-V),Upper Primary (VI-VIII),Secondary (IX-X)
2013,Nagpur,SC,Girls,3.07,0.84,11.92
2013,Nagpur,ST,Overall,7.98,5.95,22.25
2013,Nagpur,ST,Boys,8.06,6.53,24.89
2013,Nagpur,ST,Girls,7.89,5.31,19.56
2013,Nanded,Overall,Overall,2.84,4.98,22.06
2013,Nanded,Overall,Boys,3.47,4.1,19.76
2013,Nanded,Overall,Girls,2.15,5.92,24.73
2013,Nanded,General,Overall,4.02,7.56,21.26
2013,Nanded,General,Boys,5.28,7.87,19.14
2013,Nanded,General,Girls,2.64,7.25,23.6
2013,Nanded,OBC,Overall,1.4,2.94,20.56
2013,Nanded,OBC,Boys,1.37,1.17,18.18
2013,Nanded,OBC,Girls,1.42,4.92,23.62
2013,Nanded,SC,Overall,2.81,3.68,25.86
2013,Nanded,SC,Boys,3.58,2.76,24.21
2013,Nanded,SC,Girls,2.01,4.65,27.71
2013,Nanded,ST,Overall,4.15,6.16,20.98
2013,Nanded,ST,Boys,4.74,4.76,17.17
2013,Nanded,ST,Girls,3.51,7.69,25.42
2013,Nandurbar,Overall,Overall,3.36,3.4,16.78
2013,Nandurbar,Overall,Boys,2.93,2.15,15.77
2013,Nandurbar,Overall,Girls,3.84,4.81,18.0
2013,Nandurbar,General,Overall,2.7,6.96,14.59
2013,Nandurbar,General,Boys,3.11,5.67,14.84
2013,Nandurbar,General,Girls,2.21,8.41,14.27
2013,Nandurbar,OBC,Overall,0.0,0.0,7.41
2013,Nandurbar,OBC,Boys,0.0,0.0,4.3
2013,Nandurbar,OBC,Girls,0.0,1.34,10.97
2013,Nandurbar,SC,Overall,5.13,17.4,26.08
2013,Nandurbar,SC,Boys,7.16,16.0,20.94
2013,Nandurbar,SC,Girls,2.86,18.95,31.37
2013,Nandurbar,ST,Overall,4.54,3.66,20.04
2013,Nandurbar,ST,Boys,4.19,3.15,19.85
2013,Nandurbar,ST,Girls,4.92,4.23,20.29
2013,Nashik,Overall,Overall,0.56,2.36,18.97
2013,Nashik,Overall,Boys,0.47,1.09,20.24
2013,Nashik,Overall,Girls,0.67,3.83,17.46
2013,Nashik,General,Overall,0.62,1.84,19.42
2013,Nashik,General,Boys,0.69,0.73,21.39
2013,Nashik,General,Girls,0.53,3.08,17.25
2013,Nashik,OBC,Overall,0.0,0.0,14.65
2013,Nashik,OBC,Boys,0.0,0.0,16.92
2013,Nashik,OBC,Girls,0.0,1.0,11.8
