Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2019,Akola,Urban,Higher Secondary School (I-XII),,39.0,3.0,0.0,11.0
2020,Akola,Rural,Primary School (I-V),,11.0,542.0,1.0,89.0
2020,Akola,Rural,Upper Primary School (I-VIII),,28.0,344.0,0.0,30.0
2020,Akola,Rural,Secondary School (VI-X),,80.0,1.0,4.0,12.0
2020,Akola,Rural,Secondary School (I-X),,66.0,1.0,2.0,15.0
2020,Akola,Rural,Higher Secondary School (I-XII),,81.0,2.0,0.0,10.0
2020,Akola,Urban,Primary School (I-V),,21.0,37.0,7.0,51.0
2020,Akola,Urban,Upper Primary School (I-VIII),,48.0,53.0,3.0,48.0
2020,Akola,Urban,Secondary School (VI-X),,19.0,0.0,0.0,14.0
2020,Akola,Urban,Secondary School (I-X),,41.0,6.0,0.0,24.0
2020,Akola,Urban,Higher Secondary School (I-XII),,39.0,3.0,0.0,16.0
2021,Akola,Rural,Primary School (I-V),,8.0,533.0,0.0,83.0
2021,Akola,Rural,Upper Primary School (I-VIII),,27.0,346.0,1.0,20.0
2021,Akola,Rural,Secondary School (VI-X),,79.0,1.0,4.0,12.0
2021,Akola,Rural,Secondary School (I-X),,63.0,1.0,1.0,13.0
2021,Akola,Rural,Higher Secondary School (I-XII),,81.0,2.0,1.0,9.0
2021,Akola,Urban,Primary School (I-V),,24.0,44.0,7.0,51.0
2021,Akola,Urban,Upper Primary School (I-VIII),,49.0,53.0,1.0,57.0
2021,Akola,Urban,Secondary School (VI-X),,20.0,0.0,0.0,14.0
2021,Akola,Urban,Secondary School (I-X),,45.0,6.0,0.0,22.0
2021,Akola,Urban,Higher Secondary School (I-XII),,39.0,3.0,0.0,21.0
2012,Amravati,Rural,Primary School (I-V),,23.0,935.0,24.0,29.0
2012,Amravati,Rural,Upper Primary School (I-VIII),,8.0,641.0,31.0,6.0
2012,Amravati,Rural,Secondary School (VI-X),,89.0,4.0,7.0,38.0
2012,Amravati,Rural,Secondary School (I-X),,128.0,6.0,18.0,20.0
2012,Amravati,Rural,Higher Secondary School (I-XII),,109.0,7.0,10.0,3.0
2012,Amravati,Urban,Primary School (I-V),,55.0,64.0,59.0,76.0
2012,Amravati,Urban,Upper Primary School (I-VIII),,42.0,26.0,53.0,23.0
2012,Amravati,Urban,Secondary School (VI-X),,10.0,1.0,1.0,10.0
2012,Amravati,Urban,Secondary School (I-X),,54.0,7.0,9.0,22.0
2012,Amravati,Urban,Higher Secondary School (I-XII),,59.0,7.0,1.0,4.0
2013,Amravati,Rural,Primary School (I-V),,32.0,936.0,7.0,51.0
2013,Amravati,Rural,Upper Primary School (I-VIII),,30.0,640.0,9.0,6.0
