Year,District,Social Category,Primary School (I-V),Upper Primary School (VI-VIII),Secondary School (IX-X),Higher Secondary School (XI-XII)
2013,Ratnagiri,ST,2214,1134,479,211
2013,Sangli,Overall,226358,146082,90148,65780
2013,Sangli,General,110163,72163,47170,36579
2013,Sangli,OBC,82276,52180,30462,20990
2013,Sangli,SC,32533,21074,12215,7930
2013,Sangli,ST,1386,665,301,281
2013,Satara,Overall,227204,145002,95255,72515
2013,Satara,General,122059,79301,54352,43527
2013,Satara,OBC,73279,45685,28294,20668
2013,Satara,SC,28106,18434,11833,7927
2013,Satara,ST,3760,1582,776,393
2013,Sindhudurg,Overall,55386,40267,27830,22510
2013,Sindhudurg,General,30299,22891,16374,13400
2013,Sindhudurg,OBC,20569,14095,9224,7281
2013,Sindhudurg,SC,3937,2938,2015,1680
2013,Sindhudurg,ST,581,343,217,149
2013,Solapur,Overall,403036,240885,137750,88260
2013,Solapur,General,168586,102498,61388,41298
2013,Solapur,OBC,157664,93904,52748,33980
2013,Solapur,SC,67249,40006,21555,12410
2013,Solapur,ST,9537,4477,2059,572
2013,Wardha,Overall,96326,63752,42706,31901
2013,Wardha,General,9468,5827,3660,2773
2013,Wardha,OBC,59854,39593,26719,20324
2013,Wardha,SC,14654,10082,7103,5663
2013,Wardha,ST,12350,8250,5224,3141
2013,Washim,Overall,113298,73041,42956,26765
2013,Washim,General,15600,9976,5966,3697
2013,Washim,OBC,65022,41648,24914,16108
2013,Washim,SC,23066,15943,9513,5821
2013,Washim,ST,9610,5474,2563,1139
2013,Yavatmal,Overall,248752,155666,87275,50786
2013,Yavatmal,General,33284,20380,11742,7037
2013,Yavatmal,OBC,135751,84558,48365,28805
2013,Yavatmal,SC,29776,19779,11622,7131
2013,Yavatmal,ST,49941,30949,15546,7813
2014,Ahilyanagar,Overall,405524,258399,157403,116779
2014,Ahilyanagar,General,180268,114955,75942,56015
2014,Ahilyanagar,OBC,123334,79081,47824,39332
2014,Ahilyanagar,SC,55608,37050,21489,13921
2014,Ahilyanagar,ST,46314,27313,12148,7511
2014,Akola,Overall,150727,99146,65395,42128
2014,Akola,General,39238,24382,14710,9188
2014,Akola,OBC,67344,44809,31370,21878
2014,Akola,SC,34646,24422,16475,9578
2014,Akola,ST,9499,5533,2840,1484
2014,Amravati,Overall,232132,148794,99582,64411
2014,Amravati,General,46858,28107,16767,9978
2014,Amravati,OBC,102281,66572,48464,34318
2014,Amravati,SC,38611,25810,19390,13107
2014,Amravati,ST,44382,28305,14961,7008
2014,Beed,Overall,282019,161499,91013,69558
2014,Beed,General,124918,71059,41487,34239
2014,Beed,OBC,108207,61770,34618,24770
2014,Beed,SC,42749,25361,13419,9453
2014,Beed,ST,6145,3309,1489,1096
2014,Bhandara,Overall,92360,60746,44329,29960
2014,Bhandara,General,3353,2150,1360,1079
2014,Bhandara,OBC,67615,44308,32051,21542
2014,Bhandara,SC,14214,9706,7691,5619
2014,Bhandara,ST,7178,4582,3227,1720
2014,Buldhana,Overall,239105,148283,91902,56495
2014,Buldhana,General,40668,26056,15645,9747
2014,Buldhana,OBC,135414,82902,53733,33868
2014,Buldhana,SC,47647,31790,19289,11157
2014,Buldhana,ST,15376,7535,3235,1723
2014,Chandrapur,Overall,170701,109357,75684,53132
2014,Chandrapur,General,15432,9474,6107,4099
2014,Chandrapur,OBC,93961,60789,42289,30468
2014,Chandrapur,SC,27919,18129,13344,9895
2014,Chandrapur,ST,33389,20965,13944,8670
2014,Chh. Sambhaji Nagar,Overall,426085,243476,132698,96707
2014,Chh. Sambhaji Nagar,General,218796,121919,65800,49405
2014,Chh. Sambhaji Nagar,OBC,116012,69029,39766,29511
2014,Chh. Sambhaji Nagar,SC,67796,39918,22188,14566
2014,Chh. Sambhaji Nagar,ST,23481,12610,4944,3225
2014,Dharashiv,Overall,143142,86952,52242,31018
2014,Dharashiv,General,71610,43498,27138,16798
2014,Dharashiv,OBC,43539,25668,15032,8835
2014,Dharashiv,SC,23100,15206,8837,4711
2014,Dharashiv,ST,4893,2580,1235,674
2014,Dhule,Overall,210783,116343,66936,43494
2014,Dhule,General,23660,14086,9055,5825
2014,Dhule,OBC,84510,52408,34870,26380
2014,Dhule,SC,12572,8061,5053,3359
2014,Dhule,ST,90041,41788,17958,7930
2014,Gadchiroli,Overall,93209,55654,36285,25968
2014,Gadchiroli,General,7515,5091,3448,2545
2014,Gadchiroli,OBC,33859,21519,15043,11353
2014,Gadchiroli,SC,9541,6342,4476,3747
2014,Gadchiroli,ST,42294,22702,13318,8323
2014,Gondia,Overall,104231,70209,49922,41522
2014,Gondia,General,6571,4227,2947,2581
2014,Gondia,OBC,65767,44546,31394,26387
2014,Gondia,SC,13628,9089,6729,6168
2014,Gondia,ST,18265,12347,8852,6386
2014,Hingoli,Overall,121099,71897,35357,21647
2014,Hingoli,General,46097,26767,13410,8969
2014,Hingoli,OBC,38560,22765,11206,6366
2014,Hingoli,SC,22581,14697,7482,4561
2014,Hingoli,ST,13861,7668,3259,1751
2014,Jalgaon,Overall,405426,242836,142426,85955
2014,Jalgaon,General,71006,46789,29724,19551
2014,Jalgaon,OBC,200856,124274,78549,50182
2014,Jalgaon,SC,39129,25643,15356,8732
2014,Jalgaon,ST,94435,46130,18797,7490
2014,Jalna,Overall,207404,118886,61649,41453
2014,Jalna,General,92486,51252,27989,18840
2014,Jalna,OBC,75754,43906,22379,14985
2014,Jalna,SC,33064,20618,9799,6538
2014,Jalna,ST,6100,3110,1482,1090
2014,Kolhapur,Overall,299143,190886,126712,90995
2014,Kolhapur,General,184463,118617,80566,61028
2014,Kolhapur,OBC,69924,44064,28436,18650
2014,Kolhapur,SC,42673,27364,17312,11008
2014,Kolhapur,ST,2083,841,398,309
2014,Latur,Overall,265722,159951,90541,63747
2014,Latur,General,120282,71433,41265,31071
2014,Latur,OBC,82972,50312,29005,20364
2014,Latur,SC,54694,33587,17657,10817
