Year,District,Select School Management Type,Social Category,Female,Male
2012,Gadchiroli,Private Unaided,OBC,150.0,300.0
2012,Gadchiroli,Private Unaided,SC,86.0,133.0
2012,Gadchiroli,Private Unaided,ST,35.0,61.0
2012,Gadchiroli,Private Unaided,ORC,,
2012,Gadchiroli,Private Unaided,Others,,
2012,Gadchiroli,Local body,General,162.0,382.0
2012,Gadchiroli,Local body,OBC,561.0,1433.0
2012,Gadchiroli,Local body,SC,236.0,630.0
2012,Gadchiroli,Local body,ST,309.0,1168.0
2012,Gadchiroli,Local body,ORC,1.0,
2012,Gadchiroli,Local body,Others,,1.0
2012,Gadchiroli,Others,General,42.0,158.0
2012,Gadchiroli,Others,OBC,73.0,552.0
2012,Gadchiroli,Others,SC,45.0,221.0
2012,Gadchiroli,Others,ST,39.0,222.0
2012,Gadchiroli,Others,ORC,,
2012,Gadchiroli,Others,Others,,
2012,Gondia,Government Aided,General,119.0,238.0
2012,Gondia,Government Aided,OBC,435.0,1684.0
2012,Gondia,Government Aided,SC,148.0,447.0
2012,Gondia,Government Aided,ST,44.0,152.0
2012,Gondia,Government Aided,ORC,,
2012,Gondia,Government Aided,Others,6.0,26.0
2012,Gondia,Private Unaided,General,136.0,41.0
2012,Gondia,Private Unaided,OBC,426.0,332.0
2012,Gondia,Private Unaided,SC,93.0,121.0
2012,Gondia,Private Unaided,ST,31.0,37.0
2012,Gondia,Private Unaided,ORC,,
2012,Gondia,Private Unaided,Others,9.0,1.0
2012,Gondia,Local body,General,113.0,165.0
2012,Gondia,Local body,OBC,888.0,2609.0
2012,Gondia,Local body,SC,245.0,643.0
2012,Gondia,Local body,ST,116.0,292.0
2012,Gondia,Local body,ORC,,
2012,Gondia,Local body,Others,5.0,13.0
2012,Gondia,Others,General,18.0,44.0
2012,Gondia,Others,OBC,100.0,330.0
2012,Gondia,Others,SC,56.0,106.0
2012,Gondia,Others,ST,7.0,69.0
2012,Gondia,Others,ORC,,
2012,Gondia,Others,Others,4.0,
2012,Hingoli,Government Aided,General,167.0,648.0
2012,Hingoli,Government Aided,OBC,83.0,430.0
2012,Hingoli,Government Aided,SC,30.0,196.0
2012,Hingoli,Government Aided,ST,23.0,74.0
2012,Hingoli,Government Aided,ORC,1.0,2.0
2012,Hingoli,Government Aided,Others,,
2012,Hingoli,Private Unaided,General,84.0,186.0
2012,Hingoli,Private Unaided,OBC,45.0,108.0
2012,Hingoli,Private Unaided,SC,18.0,77.0
2012,Hingoli,Private Unaided,ST,5.0,18.0
2012,Hingoli,Private Unaided,ORC,,
2012,Hingoli,Private Unaided,Others,,
2012,Hingoli,Local body,General,468.0,1262.0
2012,Hingoli,Local body,OBC,403.0,1238.0
2012,Hingoli,Local body,SC,108.0,559.0
2012,Hingoli,Local body,ST,49.0,318.0
2012,Hingoli,Local body,ORC,,
2012,Hingoli,Local body,Others,,
2012,Hingoli,Others,General,8.0,136.0
2012,Hingoli,Others,OBC,11.0,128.0
2012,Hingoli,Others,SC,6.0,49.0
2012,Hingoli,Others,ST,3.0,29.0
2012,Hingoli,Others,ORC,,6.0
2012,Hingoli,Others,Others,,
2012,Jalgaon,Government Aided,General,925.0,2724.0
2012,Jalgaon,Government Aided,OBC,1231.0,3564.0
2012,Jalgaon,Government Aided,SC,312.0,796.0
2012,Jalgaon,Government Aided,ST,174.0,483.0
2012,Jalgaon,Government Aided,ORC,,
2012,Jalgaon,Government Aided,Others,2.0,27.0
2012,Jalgaon,Private Unaided,General,513.0,341.0
2012,Jalgaon,Private Unaided,OBC,547.0,407.0
2012,Jalgaon,Private Unaided,SC,79.0,59.0
2012,Jalgaon,Private Unaided,ST,49.0,48.0
2012,Jalgaon,Private Unaided,ORC,,
2012,Jalgaon,Private Unaided,Others,5.0,7.0
2012,Jalgaon,Local body,General,988.0,2137.0
2012,Jalgaon,Local body,OBC,1345.0,2503.0
2012,Jalgaon,Local body,SC,356.0,704.0
2012,Jalgaon,Local body,ST,181.0,490.0
2012,Jalgaon,Local body,ORC,,
2012,Jalgaon,Local body,Others,5.0,10.0
2012,Jalgaon,Others,General,153.0,359.0
2012,Jalgaon,Others,OBC,303.0,721.0
2012,Jalgaon,Others,SC,68.0,143.0
2012,Jalgaon,Others,ST,40.0,88.0
2012,Jalgaon,Others,ORC,,
2012,Jalgaon,Others,Others,,1.0
2012,Jalna,Government Aided,General,428.0,1449.0
2012,Jalna,Government Aided,OBC,204.0,862.0
2012,Jalna,Government Aided,SC,71.0,295.0
2012,Jalna,Government Aided,ST,17.0,100.0
2012,Jalna,Government Aided,ORC,,
2012,Jalna,Government Aided,Others,,
2012,Jalna,Private Unaided,General,305.0,482.0
2012,Jalna,Private Unaided,OBC,153.0,306.0
2012,Jalna,Private Unaided,SC,38.0,105.0
2012,Jalna,Private Unaided,ST,10.0,32.0
2012,Jalna,Private Unaided,ORC,,
2012,Jalna,Private Unaided,Others,,
2012,Jalna,Local body,General,826.0,1962.0
2012,Jalna,Local body,OBC,673.0,1922.0
2012,Jalna,Local body,SC,236.0,626.0
2012,Jalna,Local body,ST,59.0,289.0
2012,Jalna,Local body,ORC,,
2012,Jalna,Local body,Others,,
2012,Jalna,Others,General,20.0,163.0
2012,Jalna,Others,OBC,13.0,86.0
2012,Jalna,Others,SC,14.0,49.0
2012,Jalna,Others,ST,1.0,9.0
2012,Jalna,Others,ORC,,
2012,Jalna,Others,Others,,
2012,Kolhapur,Government Aided,General,1775.0,4149.0
2012,Kolhapur,Government Aided,OBC,761.0,1633.0
2012,Kolhapur,Government Aided,SC,423.0,1007.0
2012,Kolhapur,Government Aided,ST,58.0,176.0
2012,Kolhapur,Government Aided,ORC,3.0,23.0
2012,Kolhapur,Government Aided,Others,37.0,98.0
2012,Kolhapur,Private Unaided,General,1239.0,580.0
2012,Kolhapur,Private Unaided,OBC,213.0,139.0
2012,Kolhapur,Private Unaided,SC,125.0,119.0
2012,Kolhapur,Private Unaided,ST,15.0,12.0
2012,Kolhapur,Private Unaided,ORC,1.0,
2012,Kolhapur,Private Unaided,Others,65.0,20.0
2012,Kolhapur,Local body,General,1689.0,3459.0
2012,Kolhapur,Local body,OBC,1196.0,1920.0
2012,Kolhapur,Local body,SC,484.0,840.0
2012,Kolhapur,Local body,ST,149.0,435.0
2012,Kolhapur,Local body,ORC,4.0,6.0
2012,Kolhapur,Local body,Others,35.0,64.0
2012,Kolhapur,Others,General,275.0,309.0
2012,Kolhapur,Others,OBC,122.0,183.0
2012,Kolhapur,Others,SC,84.0,92.0
2012,Kolhapur,Others,ST,16.0,22.0
2012,Kolhapur,Others,ORC,,
2012,Kolhapur,Others,Others,9.0,6.0
2012,Latur,Government Aided,General,1123.0,3572.0
2012,Latur,Government Aided,OBC,821.0,2463.0
2012,Latur,Government Aided,SC,225.0,867.0
2012,Latur,Government Aided,ST,65.0,265.0
2012,Latur,Government Aided,ORC,,1.0
2012,Latur,Government Aided,Others,,15.0
2012,Latur,Private Unaided,General,380.0,422.0
2012,Latur,Private Unaided,OBC,261.0,269.0
2012,Latur,Private Unaided,SC,61.0,82.0
2012,Latur,Private Unaided,ST,16.0,23.0
2012,Latur,Private Unaided,ORC,,
2012,Latur,Private Unaided,Others,1.0,3.0
2012,Latur,Local body,General,674.0,2020.0
2012,Latur,Local body,OBC,809.0,1750.0
2012,Latur,Local body,SC,255.0,631.0
2012,Latur,Local body,ST,113.0,302.0
2012,Latur,Local body,ORC,,
2012,Latur,Local body,Others,1.0,2.0
2012,Latur,Others,General,89.0,423.0
2012,Latur,Others,OBC,94.0,433.0
2012,Latur,Others,SC,30.0,168.0
2012,Latur,Others,ST,8.0,56.0
2012,Latur,Others,ORC,,
2012,Latur,Others,Others,,2.0
2012,Mumbai City,Government Aided,General,10123.0,5433.0
2012,Mumbai City,Government Aided,OBC,1486.0,1807.0
