Year,District,Taluka,Kharif,Rabi
2020,Amravati,Chikhraldara,2390.0,2783.0
2020,Amravati,Anjangaon Su,10873.0,8264.0
2020,Amravati,Achalpur,12952.0,11090.0
2020,Amravati,Chandurbazar,11910.0,9392.0
2020,Amravati,Morshi,12033.0,9020.0
2020,Amravati,Warud,13600.0,9062.0
2020,Amravati,Tivas,9101.0,7939.0
2020,Amravati,Amravati,13622.0,10133.0
2020,Amravati,Bhatkuli,4867.0,3075.0
2020,Amravati,Daryapur,9655.0,6091.0
2020,Amravati,Nandgaon Kh,6796.0,4162.0
2020,Amravati,Chandur Railway,7299.0,4447.0
2020,Amravati,Dhamangaon Re,9650.0,5607.0
2021,Amravati,Dharani,5920.0,4735.0
2021,Amravati,Chikhraldara,2670.0,2514.0
2021,Amravati,Anjangaon Su,10508.0,8708.0
2021,Amravati,Achalpur,9175.0,9045.0
2021,Amravati,Chandurbazar,8647.0,3835.0
2021,Amravati,Morshi,11397.0,9456.0
2021,Amravati,Warud,14150.0,9169.0
2021,Amravati,Tivas,9590.0,7450.0
2021,Amravati,Amravati,13850.0,10240.0
2021,Amravati,Bhatkuli,5325.0,2395.0
2021,Amravati,Daryapur,12425.0,1221.0
2021,Amravati,Nandgaon Kh,6412.0,4420.0
2021,Amravati,Chandur Railway,2895.0,1928.0
2021,Amravati,Dhamangaon Re,8834.0,5979.0
2013,Beed,Ashti,1355.5,421.2
2013,Beed,Patoda,602.5,187.2
2013,Beed,Shirur Kasar,753.2,234.0
2013,Beed,Gevrai,2108.8,655.2
2013,Beed,Majalgaon,2108.8,625.2
2013,Beed,Wadwani,602.5,187.1
2013,Beed,Beed,2259.4,701.9
2013,Beed,Cage,1355.5,421.2
2013,Beed,Dharur,602.5,187.2
2013,Beed,Parli,1657.0,514.7
2013,Beed,Ambajogai,1657.0,514.7
2014,Beed,Ashti,10581.0,339.0
2014,Beed,Patoda,6508.0,150.0
2014,Beed,Shirur Kasar,7350.0,188.0
2014,Beed,Gevrai,20059.0,524.0
2014,Beed,Majalgaon,15243.0,526.0
2014,Beed,Wadwani,7478.0,151.0
2014,Beed,Beed,20748.0,564.0
2014,Beed,Cage,12658.0,339.0
2014,Beed,Dharur,6187.0,150.0
2014,Beed,Parli,12847.0,412.0
2014,Beed,Ambajogai,9119.0,412.0
2015,Beed,Ashti,9561.0,879.0
2015,Beed,Patoda,4601.0,418.0
2015,Beed,Shirur Kasar,6296.0,836.0
2015,Beed,Gevrai,18304.0,2080.0
2015,Beed,Majalgaon,12475.0,1002.0
2015,Beed,Wadwani,1507.0,769.0
2015,Beed,Beed,15692.0,2587.0
2015,Beed,Cage,10908.0,1484.0
2015,Beed,Dharur,5591.0,987.0
2015,Beed,Parli,9053.0,2464.0
2015,Beed,Ambajogai,4869.0,2791.0
2016,Beed,Ashti,7366.0,4735.0
2016,Beed,Patoda,4878.0,1940.0
2016,Beed,Shirur Kasar,4915.0,2029.0
2016,Beed,Gevrai,13138.0,6521.0
2016,Beed,Majalgaon,11696.0,5375.0
2016,Beed,Wadwani,4730.0,2031.0
2016,Beed,Beed,12473.0,4541.0
2016,Beed,Cage,10696.0,4321.0
2016,Beed,Dharur,5118.0,1545.0
2016,Beed,Parli,10239.0,4326.0
2016,Beed,Ambajogai,10051.0,4617.0
2017,Beed,Ashti,8500.0,4000.0
2017,Beed,Patoda,5200.0,1800.0
2017,Beed,Shirur Kasar,5300.0,1800.0
2017,Beed,Gevrai,13200.0,6300.0
2017,Beed,Majalgaon,11900.0,6100.0
2017,Beed,Wadwani,4900.0,2450.0
2017,Beed,Beed,13400.0,3600.0
2017,Beed,Cage,11000.0,4500.0
2017,Beed,Dharur,5650.0,1350.0
2017,Beed,Parli,10800.0,4700.0
2017,Beed,Ambajogai,12000.0,3200.0
2018,Beed,Ashti,8500.0,3000.0
2018,Beed,Patoda,7300.0,2016.0
2018,Beed,Shirur Kasar,6400.0,1000.0
2018,Beed,Gevrai,11400.0,6500.0
2018,Beed,Majalgaon,10400.0,6000.0
2018,Beed,Wadwani,6000.0,2000.0
2018,Beed,Beed,15600.0,5000.0
2018,Beed,Cage,11600.0,3000.0
2018,Beed,Dharur,5000.0,2000.0
2018,Beed,Parli,7300.0,5000.0
2018,Beed,Ambajogai,8650.0,4500.0
2019,Beed,Ashti,16258.0,1919.0
2019,Beed,Patoda,9170.0,1432.0
2019,Beed,Shirur Kasar,9150.0,961.0
2019,Beed,Gevrai,19650.0,2339.0
2019,Beed,Majalgaon,14020.0,2111.0
2019,Beed,Wadwani,6580.0,930.0
2019,Beed,Beed,20990.0,1988.0
2019,Beed,Cage,16670.0,1326.0
2019,Beed,Dharur,7880.0,685.0
2019,Beed,Parli,10900.0,1464.0
2019,Beed,Ambajogai,13002.0,1573.0
2020,Beed,Ashti,14508.0,9500.0
2020,Beed,Patoda,10154.0,7500.0
2020,Beed,Shirur Kasar,10033.0,7200.0
2020,Beed,Gevrai,24073.0,9640.0
2020,Beed,Majalgaon,14042.0,9500.0
2020,Beed,Wadwani,6732.0,7000.0
2020,Beed,Beed,22022.0,9400.0
2020,Beed,Cage,17431.0,9350.0
2020,Beed,Dharur,7638.0,7200.0
2020,Beed,Parli,11298.0,9640.0
2020,Beed,Ambajogai,10238.0,9100.0
2021,Beed,Ashti,22848.0,5597.0
2021,Beed,Patoda,13578.0,3327.0
2021,Beed,Shirur Kasar,11478.0,2812.0
2021,Beed,Gevrai,25346.0,6209.0
2021,Beed,Majalgaon,14556.0,3566.0
2021,Beed,Wadwani,6481.0,1588.0
2021,Beed,Beed,27464.0,6728.0
2021,Beed,Cage,21091.0,5167.0
2021,Beed,Dharur,9270.0,2271.0
2021,Beed,Parli,12963.0,3175.0
2021,Beed,Ambajogai,15968.0,3911.0
2012,Bhandara,Tumsar,9065.0,3018.0
2012,Bhandara,Mohadi,8816.0,3854.0
2012,Bhandara,Bhandara,9281.0,3167.0
2012,Bhandara,Sakoli,9613.0,2998.0
2012,Bhandara,Lakhani,9892.0,2605.0
2012,Bhandara,Pavani,8399.0,2815.0
2012,Bhandara,Lakhandur,8636.0,2410.0
2013,Bhandara,Tumsar,9459.0,2895.0
2013,Bhandara,Mohadi,9222.0,2549.0
2013,Bhandara,Bhandara,9907.0,2363.0
2013,Bhandara,Sakoli,9791.0,2814.0
2013,Bhandara,Lakhani,9521.0,2936.0
2013,Bhandara,Pavani,8950.0,3606.0
2013,Bhandara,Lakhandur,8956.0,3805.0
2014,Bhandara,Tumsar,9854.0,2380.0
2014,Bhandara,Mohadi,11079.0,2677.0
2014,Bhandara,Bhandara,9241.0,2230.0
2014,Bhandara,Sakoli,6177.0,1490.0
2014,Bhandara,Lakhani,8017.0,1935.0
2014,Bhandara,Pavani,8016.0,1935.0
2014,Bhandara,Lakhandur,9241.0,2227.0
2015,Bhandara,Tumsar,9251.0,4560.0
2015,Bhandara,Mohadi,9830.0,4845.0
2015,Bhandara,Bhandara,8673.0,4276.0
2015,Bhandara,Sakoli,6361.0,3135.0
2015,Bhandara,Lakhani,6938.0,3418.0
2015,Bhandara,Pavani,8673.0,4275.0
2015,Bhandara,Lakhandur,8094.0,3991.0
2016,Bhandara,Tumsar,8121.0,1630.0
2016,Bhandara,Mohadi,8414.0,1772.0
2016,Bhandara,Bhandara,7969.0,2077.0
2016,Bhandara,Sakoli,728.0,72.0
2016,Bhandara,Lakhani,866.0,108.0
2016,Bhandara,Pavani,8139.0,3997.0
2016,Bhandara,Lakhandur,1059.0,156.0
2017,Bhandara,Tumsar,8620.0,3224.0
2017,Bhandara,Mohadi,6917.0,3653.0
2017,Bhandara,Bhandara,10552.0,3009.0
2017,Bhandara,Sakoli,7968.0,1934.0
2017,Bhandara,Lakhani,7841.0,2363.0
2017,Bhandara,Pavani,6851.0,3868.0
2017,Bhandara,Lakhandur,5360.0,3438.0
2018,Bhandara,Tumsar,7672.0,2277.0
2018,Bhandara,Mohadi,5766.0,2602.0
2018,Bhandara,Bhandara,6028.0,1788.0
2018,Bhandara,Sakoli,9314.0,2764.0
2018,Bhandara,Lakhani,9863.0,2927.0
2018,Bhandara,Pavani,4931.0,1463.0
2018,Bhandara,Lakhandur,8220.0,2439.0
2019,Bhandara,Tumsar,9545.8,13955.5
2019,Bhandara,Mohadi,10909.5,15949.3
2019,Bhandara,Bhandara,7500.3,10965.2
2019,Bhandara,Sakoli,11591.4,16946.2
2019,Bhandara,Lakhani,12273.1,17942.8
2019,Bhandara,Pavani,6136.6,8971.4
2019,Bhandara,Lakhandur,10227.7,14952.5
2020,Bhandara,Tumsar,6205.7,8312.6
2020,Bhandara,Mohadi,7092.2,9500.0
2020,Bhandara,Bhandara,4875.9,6531.3
2020,Bhandara,Sakoli,7535.5,10093.8
2020,Bhandara,Lakhani,7978.7,10687.6
2020,Bhandara,Pavani,3989.4,5343.8
2020,Bhandara,Lakhandur,6649.0,8906.3
2021,Bhandara,Tumsar,10602.2,14381.5
2021,Bhandara,Mohadi,12117.2,16436.6
2021,Bhandara,Bhandara,8330.3,11299.8
2021,Bhandara,Sakoli,12874.2,17463.4
2021,Bhandara,Lakhani,13631.4,18490.5
2021,Bhandara,Pavani,6815.8,9245.4
2021,Bhandara,Lakhandur,11359.6,15408.9
2013,Buldhana,Jalgaon Jamod,13504.0,5284.0
2013,Buldhana,Sangrampur,13400.0,5254.0
2013,Buldhana,Shegaon,13329.0,526.0
2013,Buldhana,Nandura,13045.0,5246.0
2013,Buldhana,Malkapur,13112.0,5187.0
2013,Buldhana,Motala,11834.0,4969.0
2013,Buldhana,Khamgaon,11875.0,4779.0
2013,Buldhana,Mehkar,12528.0,4973.0
2013,Buldhana,Chikhali,12200.0,4395.0
2013,Buldhana,Buldhana,12566.0,5210.0
2013,Buldhana,Deulgaon Raja,11539.0,4608.0
2013,Buldhana,Sindkhed Raja,11589.0,4591.0
2013,Buldhana,Lonar,11513.0,4355.0
2014,Buldhana,Jalgaon Jamod,11210.0,5300.0
2014,Buldhana,Sangrampur,11584.0,4950.0
2014,Buldhana,Shegaon,10296.0,4300.0
2014,Buldhana,Nandura,11505.0,3800.0
2014,Buldhana,Malkapur,12627.0,5800.0
2014,Buldhana,Motala,12137.0,5100.0
2014,Buldhana,Khamgaon,14609.0,5900.0
2014,Buldhana,Mehkar,14854.0,6800.0
2014,Buldhana,Chikhali,14860.0,7000.0
2014,Buldhana,Buldhana,14040.0,5900.0
2014,Buldhana,Deulgaon Raja,14669.0,6300.0
2014,Buldhana,Sindkhed Raja,14523.0,5400.0
2014,Buldhana,Lonar,11374.0,4920.0
2015,Buldhana,Jalgaon Jamod,7855.0,4600.0
