Year,District,Taluka,Total Irrigation Wells,Wells In Use With Diesel Pump,Wells In Use With Electric Pump,Irrigation Wells Not in Use
2019,Amravati,Nandgaon Kh,4440,10.0,4300.0,3777
2019,Amravati,Chandur Railway,3387,107.0,3110.0,38
2019,Amravati,Dhamangaon Re,4068,181.0,2318.0,635
2020,Amravati,Dharani,3084,1265.0,1492.0,4340
2020,Amravati,Chikhraldara,992,125.0,87.0,357
2020,Amravati,Anjangaon Su,390,0.0,390.0,2328
2020,Amravati,Achalpur,5268,0.0,10831.0,540
2020,Amravati,Chandurbazar,5812,0.0,4312.0,791
2020,Amravati,Morshi,10235,206.0,6986.0,1100
2020,Amravati,Warud,16371,225.0,13523.0,1703
2020,Amravati,Tivas,9113,0.0,608.0,0
2020,Amravati,Amravati,5087,35.0,4250.0,690
2020,Amravati,Bhatkuli,778,3.0,273.0,2538
2020,Amravati,Daryapur,174,0.0,100.0,74
2020,Amravati,Nandgaon Kh,4581,20.0,4350.0,3327
2020,Amravati,Chandur Railway,3733,110.0,1822.0,38
2020,Amravati,Dhamangaon Re,4068,181.0,2318.0,635
2021,Amravati,Dharani,3629,562.0,3130.0,228
2021,Amravati,Chikhraldara,1809,245.0,1384.0,180
2021,Amravati,Anjangaon Su,5301,0.0,4881.0,1437
2021,Amravati,Achalpur,16132,0.0,14650.0,1948
2021,Amravati,Chandurbazar,16179,0.0,16179.0,780
2021,Amravati,Morshi,11310,137.0,9913.0,164
2021,Amravati,Warud,18795,0.0,16991.0,1101
2021,Amravati,Tivas,7042,28.0,6149.0,638
2021,Amravati,Amravati,5046,4789.0,257.0,767
2021,Amravati,Bhatkuli,1495,20.0,734.0,741
2021,Amravati,Daryapur,532,0.0,357.0,175
2021,Amravati,Nandgaon Kh,7020,252.0,6203.0,615
2021,Amravati,Chandur Railway,6328,67.0,5598.0,358
2021,Amravati,Dhamangaon Re,7268,106.0,6577.0,373
2013,Beed,Ashti,565,115.0,400.0,50
2013,Beed,Patoda,3020,70.0,2600.0,350
2013,Beed,Shirur Kasar,447,0.0,400.0,47
2013,Beed,Gevrai,570,25.0,500.0,45
2013,Beed,Majalgaon,2517,23.0,2394.0,100
2013,Beed,Wadwani,650,105.0,510.0,35
2013,Beed,Beed,8266,355.0,7500.0,411
2013,Beed,Cage,4232,272.0,3210.0,750
2013,Beed,Dharur,1780,30.0,1500.0,250
2013,Beed,Parli,1930,0.0,980.0,950
2013,Beed,Ambajogai,10753,25.0,9880.0,848
2014,Beed,Ashti,565,115.0,400.0,50
2014,Beed,Patoda,3020,70.0,2600.0,350
2014,Beed,Shirur Kasar,447,0.0,400.0,47
2014,Beed,Gevrai,570,25.0,500.0,45
2014,Beed,Majalgaon,2517,23.0,2394.0,100
2014,Beed,Wadwani,650,105.0,510.0,35
2014,Beed,Beed,8266,355.0,7500.0,411
2014,Beed,Cage,4232,272.0,3210.0,750
2014,Beed,Dharur,1780,30.0,1500.0,250
2014,Beed,Parli,1930,0.0,980.0,950
2014,Beed,Ambajogai,10753,25.0,9880.0,848
2015,Beed,Ashti,565,115.0,400.0,50
2015,Beed,Patoda,3020,70.0,2600.0,350
2015,Beed,Shirur Kasar,447,0.0,400.0,47
2015,Beed,Gevrai,570,25.0,500.0,45
2015,Beed,Majalgaon,2517,23.0,2394.0,100
2015,Beed,Wadwani,650,105.0,510.0,35
2015,Beed,Beed,8266,355.0,7500.0,411
2015,Beed,Cage,4232,272.0,3210.0,750
2015,Beed,Dharur,1780,30.0,1500.0,250
2015,Beed,Parli,1930,0.0,980.0,950
2015,Beed,Ambajogai,10753,25.0,9880.0,848
2016,Beed,Ashti,565,115.0,400.0,50
2016,Beed,Patoda,3020,70.0,2600.0,350
2016,Beed,Shirur Kasar,447,0.0,400.0,47
2016,Beed,Gevrai,570,25.0,500.0,45
