Year,District,Taluka,Small (Local),Small (State),Medium,Big
2012,Amravati,Chikhraldara,1.0,,,
2012,Amravati,Daryapur,,,,
2012,Amravati,Dhamangaon Re,,,,
2012,Amravati,Dharani,,16.0,,
2012,Amravati,Morshi,4.0,2.0,,1
2012,Amravati,Nandgaon Kh,5.0,2.0,,
2012,Amravati,Tivas,1.0,3.0,,
2012,Amravati,Warud,3.0,11.0,,
2013,Amravati,Achalpur,12.0,5.0,2.0,
2013,Amravati,Amravati,9.0,5.0,,
2013,Amravati,Anjangaon Su,4.0,2.0,2.0,
2013,Amravati,Bhatkuli,2.0,1.0,,
2013,Amravati,Chandur Railway,4.0,8.0,,
2013,Amravati,Chandurbazar,7.0,5.0,1.0,
2013,Amravati,Chikhraldara,9.0,1.0,,
2013,Amravati,Daryapur,1.0,3.0,,
2013,Amravati,Dhamangaon Re,1.0,,,
2013,Amravati,Dharani,29.0,16.0,1.0,
2013,Amravati,Morshi,4.0,4.0,,1
2013,Amravati,Nandgaon Kh,10.0,2.0,,
2013,Amravati,Tivas,14.0,7.0,,
2013,Amravati,Warud,11.0,16.0,1.0,
2014,Amravati,Achalpur,11.0,3.0,3.0,
2014,Amravati,Amravati,9.0,4.0,,
2014,Amravati,Anjangaon Su,2.0,2.0,0.0,
2014,Amravati,Bhatkuli,2.0,0.0,,
2014,Amravati,Chandur Railway,2.0,7.0,,
2014,Amravati,Chandurbazar,7.0,1.0,1.0,
2014,Amravati,Chikhraldara,9.0,0.0,,
2014,Amravati,Daryapur,1.0,0.0,,
2014,Amravati,Dhamangaon Re,1.0,,,
2014,Amravati,Dharani,21.0,16.0,0.0,
2014,Amravati,Morshi,3.0,2.0,,1
2014,Amravati,Nandgaon Kh,9.0,2.0,,
2014,Amravati,Tivas,12.0,2.0,,
2014,Amravati,Warud,6.0,10.0,,
2015,Amravati,Achalpur,10.0,3.0,3.0,
2015,Amravati,Amravati,9.0,4.0,,
2015,Amravati,Anjangaon Su,2.0,2.0,0.0,
2015,Amravati,Bhatkuli,2.0,0.0,,
2015,Amravati,Chandur Railway,2.0,7.0,,
2015,Amravati,Chandurbazar,9.0,1.0,1.0,
2015,Amravati,Chikhraldara,9.0,0.0,,
2015,Amravati,Daryapur,1.0,0.0,,
2015,Amravati,Dhamangaon Re,1.0,,,
2015,Amravati,Dharani,20.0,16.0,0.0,
2015,Amravati,Morshi,4.0,2.0,,1
2015,Amravati,Nandgaon Kh,10.0,2.0,,
2015,Amravati,Tivas,12.0,2.0,,
2015,Amravati,Warud,5.0,10.0,,
2016,Amravati,Achalpur,10.0,3.0,3.0,
2016,Amravati,Amravati,9.0,4.0,,
2016,Amravati,Anjangaon Su,2.0,2.0,0.0,
2016,Amravati,Bhatkuli,2.0,0.0,,
2016,Amravati,Chandur Railway,2.0,7.0,,
2016,Amravati,Chandurbazar,9.0,1.0,1.0,
2016,Amravati,Chikhraldara,9.0,0.0,,
2016,Amravati,Daryapur,1.0,0.0,,
2016,Amravati,Dhamangaon Re,1.0,,,
2016,Amravati,Dharani,20.0,16.0,0.0,
2016,Amravati,Morshi,4.0,2.0,,1
2016,Amravati,Nandgaon Kh,10.0,2.0,,
2016,Amravati,Tivas,12.0,2.0,,
2016,Amravati,Warud,5.0,10.0,,
2017,Amravati,Achalpur,21.0,3.0,3.0,
2017,Amravati,Amravati,9.0,4.0,,
2017,Amravati,Anjangaon Su,4.0,2.0,0.0,
2017,Amravati,Bhatkuli,2.0,0.0,,
2017,Amravati,Chandur Railway,9.0,7.0,,
2017,Amravati,Chandurbazar,28.0,1.0,1.0,
2017,Amravati,Chikhraldara,75.0,0.0,,
2017,Amravati,Daryapur,3.0,0.0,,
2017,Amravati,Dhamangaon Re,2.0,,,
2017,Amravati,Dharani,26.0,16.0,0.0,
2017,Amravati,Morshi,10.0,2.0,,1
2017,Amravati,Nandgaon Kh,11.0,2.0,,
2017,Amravati,Tivas,14.0,2.0,,
2017,Amravati,Warud,9.0,10.0,,
2018,Amravati,Achalpur,10.0,3.0,3.0,0
2018,Amravati,Amravati,9.0,4.0,0.0,0
2018,Amravati,Anjangaon Su,2.0,2.0,0.0,0
2018,Amravati,Bhatkuli,2.0,0.0,0.0,0
2018,Amravati,Chandur Railway,3.0,7.0,0.0,0
2018,Amravati,Chandurbazar,9.0,1.0,1.0,0
2018,Amravati,Chikhraldara,11.0,0.0,0.0,0
2018,Amravati,Daryapur,1.0,0.0,0.0,0
2018,Amravati,Dhamangaon Re,1.0,0.0,0.0,0
2018,Amravati,Dharani,23.0,16.0,0.0,0
2018,Amravati,Morshi,7.0,2.0,0.0,1
2018,Amravati,Nandgaon Kh,10.0,2.0,0.0,0
2018,Amravati,Tivas,12.0,2.0,0.0,0
2018,Amravati,Warud,6.0,10.0,0.0,0
2019,Amravati,Achalpur,10.0,3.0,3.0,0
2019,Amravati,Amravati,9.0,4.0,0.0,0
2019,Amravati,Anjangaon Su,2.0,2.0,0.0,0
2019,Amravati,Bhatkuli,2.0,0.0,0.0,0
2019,Amravati,Chandur Railway,3.0,7.0,0.0,0
2019,Amravati,Chandurbazar,9.0,1.0,1.0,0
2019,Amravati,Chikhraldara,11.0,0.0,0.0,0
2019,Amravati,Daryapur,1.0,0.0,0.0,0
2019,Amravati,Dhamangaon Re,1.0,0.0,0.0,0
2019,Amravati,Dharani,24.0,16.0,0.0,0
2019,Amravati,Morshi,7.0,2.0,0.0,1
2019,Amravati,Nandgaon Kh,10.0,2.0,0.0,0
2019,Amravati,Tivas,12.0,2.0,0.0,0
2019,Amravati,Warud,6.0,10.0,0.0,0
2020,Amravati,Achalpur,5.0,5.0,4.0,0
2020,Amravati,Amravati,9.0,5.0,0.0,0
2020,Amravati,Anjangaon Su,1.0,2.0,0.0,0
2020,Amravati,Bhatkuli,0.0,1.0,0.0,0
2020,Amravati,Chandur Railway,3.0,9.0,0.0,0
2020,Amravati,Chandurbazar,3.0,1.0,1.0,0
2020,Amravati,Chikhraldara,5.0,0.0,0.0,0
2020,Amravati,Daryapur,0.0,3.0,0.0,0
2020,Amravati,Dhamangaon Re,1.0,0.0,0.0,0
2020,Amravati,Dharani,19.0,18.0,1.0,0
2020,Amravati,Morshi,5.0,2.0,0.0,1
2020,Amravati,Nandgaon Kh,9.0,1.0,0.0,0
2020,Amravati,Tivas,12.0,3.0,0.0,0
2020,Amravati,Warud,6.0,12.0,1.0,0
2021,Amravati,Achalpur,8.0,0.0,3.0,0
2021,Amravati,Amravati,13.0,1.0,0.0,0
2021,Amravati,Anjangaon Su,3.0,0.0,0.0,0
2021,Amravati,Bhatkuli,0.0,1.0,0.0,0
2021,Amravati,Chandur Railway,6.0,7.0,0.0,0
2021,Amravati,Chandurbazar,3.0,3.0,1.0,0
2021,Amravati,Chikhraldara,6.0,1.0,0.0,0
2021,Amravati,Daryapur,0.0,3.0,0.0,0
2021,Amravati,Dhamangaon Re,1.0,0.0,0.0,0
2021,Amravati,Dharani,20.0,16.0,2.0,0
2021,Amravati,Morshi,6.0,1.0,0.0,1
2021,Amravati,Nandgaon Kh,11.0,4.0,0.0,0
2021,Amravati,Tivas,15.0,0.0,0.0,0
2021,Amravati,Warud,14.0,5.0,1.0,0
2013,Beed,Ambajogai,2.0,18.0,0.0,0
2013,Beed,Ashti,12.0,18.0,6.0,0
2013,Beed,Beed,4.0,20.0,1.0,0
2013,Beed,Cage,3.0,13.0,1.0,1
2013,Beed,Dharur,1.0,9.0,1.0,0
2013,Beed,Gevrai,1.0,6.0,0.0,0
2013,Beed,Majalgaon,2.0,3.0,0.0,1
2013,Beed,Parli,2.0,11.0,3.0,0
2013,Beed,Patoda,9.0,8.0,2.0,0
2013,Beed,Shirur Kasar,2.0,9.0,1.0,0
2013,Beed,Wadwani,0.0,6.0,1.0,0
2014,Beed,Ambajogai,2.0,18.0,0.0,0
2014,Beed,Ashti,15.0,25.0,6.0,0
2014,Beed,Beed,6.0,23.0,1.0,0
2014,Beed,Cage,3.0,13.0,1.0,1
2014,Beed,Dharur,1.0,9.0,1.0,0
2014,Beed,Gevrai,6.0,7.0,0.0,0
2014,Beed,Majalgaon,1.0,4.0,0.0,1
2014,Beed,Parli,2.0,12.0,3.0,0
2014,Beed,Patoda,10.0,8.0,2.0,0
2014,Beed,Shirur Kasar,3.0,10.0,1.0,0
2014,Beed,Wadwani,1.0,7.0,1.0,0
2015,Beed,Ambajogai,1.0,17.0,0.0,0
2015,Beed,Ashti,13.0,29.0,6.0,0
2015,Beed,Beed,7.0,28.0,1.0,0
2015,Beed,Cage,1.0,14.0,1.0,1
2015,Beed,Dharur,0.0,14.0,1.0,0
2015,Beed,Gevrai,4.0,8.0,0.0,0
2015,Beed,Majalgaon,1.0,6.0,0.0,1
2015,Beed,Parli,1.0,14.0,3.0,0
2015,Beed,Patoda,6.0,11.0,2.0,0
2015,Beed,Shirur Kasar,2.0,13.0,1.0,0
2015,Beed,Wadwani,3.0,10.0,1.0,0
2016,Beed,Ambajogai,1.0,17.0,0.0,0
2016,Beed,Ashti,13.0,29.0,6.0,0
2016,Beed,Beed,7.0,28.0,1.0,0
2016,Beed,Cage,1.0,14.0,1.0,1
2016,Beed,Dharur,0.0,14.0,1.0,0
2016,Beed,Gevrai,4.0,7.0,0.0,0
2016,Beed,Majalgaon,1.0,6.0,0.0,1
2016,Beed,Parli,1.0,14.0,3.0,0
2016,Beed,Patoda,6.0,11.0,2.0,0
2016,Beed,Shirur Kasar,2.0,13.0,1.0,0
2016,Beed,Wadwani,3.0,10.0,1.0,0
2017,Beed,Ambajogai,1.0,17.0,0.0,0
2017,Beed,Ashti,13.0,29.0,6.0,0
2017,Beed,Beed,7.0,28.0,1.0,0
2017,Beed,Cage,1.0,14.0,1.0,1
2017,Beed,Dharur,0.0,14.0,1.0,0
2017,Beed,Gevrai,4.0,7.0,0.0,0
2017,Beed,Majalgaon,1.0,6.0,0.0,1
2017,Beed,Parli,1.0,14.0,3.0,0
2017,Beed,Patoda,6.0,11.0,2.0,0
2017,Beed,Shirur Kasar,2.0,13.0,1.0,0
2017,Beed,Wadwani,3.0,10.0,1.0,0
2018,Beed,Ambajogai,1.0,14.0,0.0,0
2018,Beed,Ashti,11.0,28.0,6.0,0
2018,Beed,Beed,2.0,29.0,1.0,0
2018,Beed,Cage,0.0,19.0,1.0,1
2018,Beed,Dharur,0.0,8.0,1.0,0
2018,Beed,Gevrai,1.0,12.0,0.0,0
2018,Beed,Majalgaon,0.0,9.0,0.0,1
2018,Beed,Parli,1.0,12.0,3.0,0
2018,Beed,Patoda,6.0,22.0,2.0,0
2018,Beed,Shirur Kasar,1.0,17.0,1.0,0
2018,Beed,Wadwani,0.0,11.0,1.0,0
2019,Beed,Ambajogai,1.0,14.0,0.0,0
2019,Beed,Ashti,11.0,28.0,6.0,0
2019,Beed,Beed,2.0,29.0,1.0,0
2019,Beed,Cage,0.0,19.0,1.0,1
2019,Beed,Dharur,0.0,8.0,1.0,0
2019,Beed,Gevrai,1.0,12.0,0.0,0
2019,Beed,Majalgaon,0.0,9.0,0.0,1
2019,Beed,Parli,1.0,12.0,3.0,0
2019,Beed,Patoda,6.0,22.0,2.0,0
2019,Beed,Shirur Kasar,1.0,17.0,1.0,0
2019,Beed,Wadwani,0.0,11.0,1.0,0
2020,Beed,Ambajogai,1.0,14.0,0.0,0
