District,Year,Type of Court,Regular,Miscellaneous,All Original Cases
Amravati,2016,Labor Court,749.0,47.0,796.0
Amravati,2016,Public Court,,,
Amravati,2017,Civil Court,2624.0,5668.0,8292.0
Amravati,2017,Consumer Forum,6978.0,1261.0,8239.0
Amravati,2017,Criminal Court,1992.0,598.0,259.0
Amravati,2017,District Magistrate And Executive Magistrate,,,
Amravati,2017,"Family Court
",267.0,846.0,1113.0
Amravati,2017,Industrial Court,,21.0,21.0
Amravati,2017,Labor Court,788.0,44.0,832.0
Amravati,2017,Public Court,,,
Amravati,2018,Civil Court,2619.0,6891.0,951.0
Amravati,2018,Consumer Forum,,1316.0,1316.0
Amravati,2018,Criminal Court,16989.0,49.0,2998.0
Amravati,2018,District Magistrate And Executive Magistrate,1563.0,579.0,2142.0
Amravati,2018,"Family Court
",,648.0,648.0
Amravati,2018,Industrial Court,,14.0,14.0
Amravati,2018,Labor Court,817.0,6.0,877.0
Amravati,2018,Public Court,,,
Amravati,2019,Civil Court,273.0,685.0,9553.0
Amravati,2019,Consumer Forum,7433.0,137.0,883.0
Amravati,2019,Criminal Court,1548.0,389.0,1937.0
Amravati,2019,District Magistrate And Executive Magistrate,3897.0,94.0,4837.0
Amravati,2019,"Family Court
",264.0,626.0,89.0
Amravati,2019,Industrial Court,44.0,6.0,5.0
Amravati,2019,Labor Court,212.0,26.0,238.0
Amravati,2019,Public Court,,,
Amravati,2020,Civil Court,1797.0,4526.0,6323.0
Amravati,2020,Consumer Forum,7498.0,1373.0,8871.0
Amravati,2020,Criminal Court,4912.0,351.0,8422.0
Amravati,2020,District Magistrate And Executive Magistrate,36.0,1318.0,4324.0
Amravati,2020,"Family Court
",149.0,126.0,275.0
Amravati,2020,Industrial Court,675.0,18.0,693.0
Amravati,2020,Labor Court,933.0,2.0,953.0
Amravati,2020,Public Court,,,
Amravati,2021,Civil Court,3532.0,941.0,12942.0
Amravati,2021,Consumer Forum,258.0,38.0,296.0
Amravati,2021,Criminal Court,24193.0,4791.0,28984.0
Amravati,2021,District Magistrate And Executive Magistrate,,564.0,564.0
Amravati,2021,"Family Court
",259.0,241.0,5.0
Amravati,2021,Industrial Court,,45.0,45.0
Amravati,2021,Labor Court,992.0,51.0,143.0
Amravati,2021,Public Court,,,
Beed,2013,Civil Court,6136.0,194.0,876.0
Beed,2013,Consumer Forum,287.0,115.0,42.0
Beed,2013,Criminal Court,12528.0,2841.0,15369.0
Beed,2013,District Magistrate And Executive Magistrate,,,
Beed,2013,"Family Court
",,,
Beed,2013,Industrial Court,9.0,6.0,96.0
Beed,2013,Labor Court,92.0,15.0,17.0
Beed,2013,Public Court,252.0,338.0,59.0
Beed,2014,Civil Court,6838.0,1935.0,8773.0
Beed,2014,Consumer Forum,256.0,97.0,353.0
Beed,2014,Criminal Court,14261.0,3691.0,17952.0
Beed,2014,District Magistrate And Executive Magistrate,,,
Beed,2014,"Family Court
",,,
Beed,2014,Industrial Court,16.0,,16.0
Beed,2014,Labor Court,248.0,6.0,254.0
Beed,2014,Public Court,387.0,915.0,4722.0
Beed,2015,Civil Court,7891.0,2263.0,1154.0
Beed,2015,Consumer Forum,247.0,162.0,49.0
Beed,2015,Criminal Court,12993.0,5438.0,18431.0
Beed,2015,District Magistrate And Executive Magistrate,,,
Beed,2015,"Family Court
",,,
Beed,2015,Industrial Court,45.0,7.0,52.0
Beed,2015,Labor Court,148.0,14.0,288.0
Beed,2015,Public Court,387.0,915.0,4722.0
Beed,2016,Civil Court,84.0,2858.0,11258.0
Beed,2016,Consumer Forum,262.0,143.0,45.0
Beed,2016,Criminal Court,8834.0,397.0,12741.0
Beed,2016,District Magistrate And Executive Magistrate,,,
Beed,2016,Family Court,,,
Beed,2016,Industrial Court,8.0,,8.0
Beed,2016,Labor Court,234.0,359.0,593.0
Beed,2016,Public Court,527.0,285.0,5492.0
Beed,2017,Civil Court,9223.0,3989.0,13212.0
Beed,2017,Consumer Forum,441.0,19.0,55.0
Beed,2017,Criminal Court,1654.0,4617.0,2671.0
Beed,2017,District Magistrate And Executive Magistrate,,,
Beed,2017,"Family Court
",,,
Beed,2017,Industrial Court,51.0,,51.0
Beed,2017,Labor Court,47.0,2.0,67.0
Beed,2017,Public Court,4947.0,247.0,5194.0
Beed,2018,Civil Court,7472.0,595.0,13422.0
Beed,2018,Consumer Forum,267.0,9.0,357.0
Beed,2018,Criminal Court,9725.0,4331.0,1456.0
Beed,2018,District Magistrate And Executive Magistrate,,,
Beed,2018,"Family Court
",,,
Beed,2018,Industrial Court,49.0,3.0,52.0
Beed,2018,Labor Court,6.0,136.0,196.0
Beed,2018,Public Court,457.0,,457.0
Beed,2019,Civil Court,8914.0,692.0,15834.0
Beed,2019,Consumer Forum,217.0,98.0,315.0
Beed,2019,Criminal Court,9279.0,632.0,15599.0
Beed,2019,District Magistrate And Executive Magistrate,,,
Beed,2019,"Family Court
",,,
Beed,2019,Industrial Court,22.0,11.0,33.0
Beed,2019,Labor Court,138.0,52.0,19.0
Beed,2019,Public Court,3447.0,142.0,3589.0
Beed,2020,Civil Court,2845.0,5973.0,8818.0
Beed,2020,Consumer Forum,24.0,123.0,147.0
Beed,2020,Criminal Court,2199.0,5518.0,7717.0
Beed,2020,District Magistrate And Executive Magistrate,,,
Beed,2020,"Family Court
",269.0,146.0,415.0
Beed,2020,Industrial Court,1.0,,1.0
Beed,2020,Labor Court,472.0,3.0,475.0
Beed,2020,Public Court,84.0,29.0,113.0
Beed,2021,Civil Court,6112.0,1198.0,1631.0
Beed,2021,Consumer Forum,13.0,126.0,139.0
Beed,2021,Criminal Court,1744.0,17298.0,1942.0
Beed,2021,District Magistrate And Executive Magistrate,24.0,,24.0
Beed,2021,"Family Court
",3397.0,,3397.0
Beed,2021,Industrial Court,26.0,3.0,29.0
Beed,2021,Labor Court,3988.0,1.0,3989.0
Beed,2021,Public Court,1215.0,2287.0,352.0
Bhandara,2012,Civil Court,848.0,269.0,1117.0
Bhandara,2012,Consumer Forum,155.0,32.0,187.0
Bhandara,2012,Criminal Court,9495.0,1121.0,1616.0
Bhandara,2012,District Magistrate And Executive Magistrate,,,
Bhandara,2012,Family Court,,,
Bhandara,2012,Industrial Court,,12.0,12.0
Bhandara,2012,Labor Court,89.0,91.0,18.0
Bhandara,2012,Public Court,2769.0,,2769.0
Bhandara,2013,Civil Court,765.0,51.0,1266.0
Bhandara,2013,Consumer Forum,61.0,11.0,72.0
Bhandara,2013,Criminal Court,8237.0,1188.0,9425.0
Bhandara,2013,District Magistrate And Executive Magistrate,,,
Bhandara,2013,"Family Court
",,,
Bhandara,2013,Industrial Court,,,
Bhandara,2013,Labor Court,73.0,35.0,378.0
Bhandara,2013,Public Court,29.0,,29.0
Bhandara,2014,Civil Court,98.0,571.0,1479.0
Bhandara,2014,Consumer Forum,13.0,13.0,116.0
Bhandara,2014,Criminal Court,8912.0,1266.0,1178.0
Bhandara,2014,District Magistrate And Executive Magistrate,,,
Bhandara,2014,"Family Court
",,,
Bhandara,2014,Industrial Court,,154.0,154.0
Bhandara,2014,Labor Court,172.0,55.0,227.0
Bhandara,2014,Public Court,164.0,6.0,224.0
Bhandara,2015,Civil Court,125.0,623.0,1648.0
Bhandara,2015,Consumer Forum,4166.0,931.0,597.0
Bhandara,2015,Criminal Court,6394.0,1851.0,8245.0
Bhandara,2015,District Magistrate And Executive Magistrate,,,
Bhandara,2015,"Family Court
",,,
Bhandara,2015,Industrial Court,,216.0,216.0
Bhandara,2015,Labor Court,156.0,67.0,223.0
Bhandara,2015,Public Court,1144.0,448.0,1592.0
Bhandara,2016,Civil Court,126.0,7.0,1726.0
