Year,District,Taluka,Select Type of Police Establishment,Number
2019,Chandrapur,Chandrapur,Police Stations,5
2019,Chandrapur,Mul,Police Stations,1
2019,Chandrapur,Ponbhurna,Police Stations,1
2019,Chandrapur,Ballarpur,Police Stations,2
2019,Chandrapur,Korpana,Police Stations,2
2019,Chandrapur,Rajura,Police Stations,3
2019,Chandrapur,Gondpipari,Police Stations,3
2019,Chandrapur,Jivati,Police Stations,5
2020,Chandrapur,Varora,Police Stations,2
2020,Chandrapur,Chimur,Police Stations,2
2020,Chandrapur,Nagbhid,Police Stations,2
2020,Chandrapur,Bramhapuri,Police Stations,1
2020,Chandrapur,Savali,Police Stations,2
2020,Chandrapur,Sindevahi,Police Stations,1
2020,Chandrapur,Bhadravati,Police Stations,2
2020,Chandrapur,Chandrapur,Police Stations,5
2020,Chandrapur,Mul,Police Stations,1
2020,Chandrapur,Ponbhurna,Police Stations,1
2020,Chandrapur,Ballarpur,Police Stations,2
2020,Chandrapur,Korpana,Police Stations,2
2020,Chandrapur,Rajura,Police Stations,3
2020,Chandrapur,Gondpipari,Police Stations,3
2020,Chandrapur,Jivati,Police Stations,5
2021,Chandrapur,Varora,Police Stations,2
2021,Chandrapur,Chimur,Police Stations,2
2021,Chandrapur,Nagbhid,Police Stations,2
2021,Chandrapur,Bramhapuri,Police Stations,1
2021,Chandrapur,Savali,Police Stations,2
2021,Chandrapur,Sindevahi,Police Stations,1
2021,Chandrapur,Bhadravati,Police Stations,2
2021,Chandrapur,Chandrapur,Police Stations,5
2021,Chandrapur,Mul,Police Stations,1
2021,Chandrapur,Ponbhurna,Police Stations,1
2021,Chandrapur,Ballarpur,Police Stations,2
2021,Chandrapur,Korpana,Police Stations,2
2021,Chandrapur,Rajura,Police Stations,3
2021,Chandrapur,Gondpipari,Police Stations,3
2021,Chandrapur,Jivati,Police Stations,5
2018,Dhule,Shirpur,Police Stations,
2018,Dhule,Shindkheda,Police Stations,2
2018,Dhule,Sakri,Police Stations,2
2018,Dhule,Dhule,Police Stations,6
2019,Dhule,Shirpur,Police Stations,3
2019,Dhule,Shindkheda,Police Stations,3
2019,Dhule,Sakri,Police Stations,3
2019,Dhule,Dhule,Police Stations,8
2020,Dhule,Shirpur,Police Stations,3
2020,Dhule,Shindkheda,Police Stations,3
2020,Dhule,Sakri,Police Stations,3
2020,Dhule,Dhule,Police Stations,8
2021,Dhule,Shirpur,Police Stations,3
2021,Dhule,Shindkheda,Police Stations,3
2021,Dhule,Sakri,Police Stations,3
2021,Dhule,Dhule,Police Stations,8
2018,Gadchiroli,Desaiganj,Police Stations,1
2018,Gadchiroli,Aarmori,Police Stations,1
2018,Gadchiroli,Kurkheda,Police Stations,2
2018,Gadchiroli,Korachi,Police Stations,1
2018,Gadchiroli,Dhanora,Police Stations,1
2018,Gadchiroli,Gadchiroli,Police Stations,1
2018,Gadchiroli,Chomoshi,Police Stations,2
2018,Gadchiroli,Mulchera,Police Stations,1
2018,Gadchiroli,Etapalli,Police Stations,2
2018,Gadchiroli,Bhamragad,Police Stations,1
2018,Gadchiroli,Aheri,Police Stations,1
2018,Gadchiroli,Sironcha,Police Stations,2
2019,Gadchiroli,Desaiganj,Police Stations,1
2019,Gadchiroli,Aarmori,Police Stations,1
2019,Gadchiroli,Kurkheda,Police Stations,2
2019,Gadchiroli,Korachi,Police Stations,1
2019,Gadchiroli,Dhanora,Police Stations,1
2019,Gadchiroli,Gadchiroli,Police Stations,2
2019,Gadchiroli,Chomoshi,Police Stations,2
2019,Gadchiroli,Mulchera,Police Stations,1
2019,Gadchiroli,Etapalli,Police Stations,2
2019,Gadchiroli,Bhamragad,Police Stations,1
2019,Gadchiroli,Aheri,Police Stations,1
2019,Gadchiroli,Sironcha,Police Stations,2
2020,Gadchiroli,Desaiganj,Police Stations,1
2020,Gadchiroli,Aarmori,Police Stations,1
2020,Gadchiroli,Kurkheda,Police Stations,2
2020,Gadchiroli,Korachi,Police Stations,1
2020,Gadchiroli,Dhanora,Police Stations,1
2020,Gadchiroli,Gadchiroli,Police Stations,2
2020,Gadchiroli,Chomoshi,Police Stations,2
2020,Gadchiroli,Mulchera,Police Stations,1
2020,Gadchiroli,Etapalli,Police Stations,2
2020,Gadchiroli,Bhamragad,Police Stations,1
2020,Gadchiroli,Aheri,Police Stations,1
2020,Gadchiroli,Sironcha,Police Stations,2
2021,Gadchiroli,Desaiganj,Police Stations,1
2021,Gadchiroli,Aarmori,Police Stations,1
2021,Gadchiroli,Kurkheda,Police Stations,2
2021,Gadchiroli,Korachi,Police Stations,1
2021,Gadchiroli,Dhanora,Police Stations,2
2021,Gadchiroli,Gadchiroli,Police Stations,2
2021,Gadchiroli,Chomoshi,Police Stations,1
2021,Gadchiroli,Mulchera,Police Stations,1
2021,Gadchiroli,Etapalli,Police Stations,1
2021,Gadchiroli,Bhamragad,Police Stations,1
2021,Gadchiroli,Aheri,Police Stations,2
2021,Gadchiroli,Sironcha,Police Stations,2
2018,Gondia,Tiroda,Police Stations,3
2018,Gondia,Goregaon,Police Stations,1
2018,Gondia,Gondia,Police Stations,4
2018,Gondia,Aamgaon,Police Stations,1
2018,Gondia,Salekasa,Police Stations,1
2018,Gondia,Sadak Arjuni,Police Stations,1
2018,Gondia,Arjuni Morgaon,Police Stations,3
2018,Gondia,Devari,Police Stations,2
2019,Gondia,Tiroda,Police Stations,3
2019,Gondia,Goregaon,Police Stations,1
2019,Gondia,Gondia,Police Stations,4
2019,Gondia,Aamgaon,Police Stations,1
2019,Gondia,Salekasa,Police Stations,1
2019,Gondia,Sa/Arguni,Police Stations,1
2019,Gondia,Arguni/Mor,Police Stations,3
2019,Gondia,Devari,Police Stations,2
2020,Gondia,Tiroda,Police Stations,3
2020,Gondia,Goregaon,Police Stations,1
2020,Gondia,Gondia,Police Stations,4
2020,Gondia,Aamgaon,Police Stations,1
2020,Gondia,Salekasa,Police Stations,1
2020,Gondia,Sa/Arguni,Police Stations,1
2020,Gondia,Arguni/Mor,Police Stations,3
2020,Gondia,Devari,Police Stations,2
2021,Gondia,Tiroda,Police Stations,3
2021,Gondia,Goregaon,Police Stations,1
2021,Gondia,Gondia,Police Stations,4
2021,Gondia,Aamgaon,Police Stations,1
2021,Gondia,Salekasa,Police Stations,1
2021,Gondia,Sa/Arguni,Police Stations,1
2021,Gondia,Arguni/Mor,Police Stations,3
2021,Gondia,Devari,Police Stations,2
2018,Hingoli,Sengaon,Police Stations,2
2018,Hingoli,Hingoli,Police Stations,4
2018,Hingoli,Aundha Na,Police Stations,1
2018,Hingoli,Kalamanuri,Police Stations,2
2018,Hingoli,Vasamat,Police Stations,4
2019,Hingoli,Sengaon,Police Stations,2
2019,Hingoli,Hingoli,Police Stations,4
2019,Hingoli,Aundha Na,Police Stations,1
2019,Hingoli,Kalamanuri,Police Stations,2
2019,Hingoli,Vasamat,Police Stations,4
2020,Hingoli,Sengaon,Police Stations,2
2020,Hingoli,Hingoli,Police Stations,4
2020,Hingoli,Aundha Na,Police Stations,1
2020,Hingoli,Kalamanuri,Police Stations,2
2020,Hingoli,Vasamat,Police Stations,4
2021,Hingoli,Sengaon,Police Stations,2
2021,Hingoli,Hingoli,Police Stations,4
2021,Hingoli,Aundha Na,Police Stations,1
2021,Hingoli,Kalamanuri,Police Stations,2
2021,Hingoli,Vasamat,Police Stations,4
2018,Jalna,Bhokardan,Police Stations,
2018,Jalna,Jaffrabad,Police Stations,
2018,Jalna,Jalna,Police Stations,
2018,Jalna,Badnapur,Police Stations,
2018,Jalna,Ambad,Police Stations,
2018,Jalna,Ghansawangi,Police Stations,
2018,Jalna,Partur,Police Stations,
2018,Jalna,Mantha,Police Stations,
2019,Jalna,Bhokardan,Police Stations,3
2019,Jalna,Jaffrabad,Police Stations,2
2019,Jalna,Jalna,Police Stations,6
2019,Jalna,Badnapur,Police Stations,1
2019,Jalna,Ambad,Police Stations,2
2019,Jalna,Ghansawangi,Police Stations,1
2019,Jalna,Partur,Police Stations,2
2019,Jalna,Mantha,Police Stations,1
2020,Jalna,Bhokardan,Police Stations,3
2020,Jalna,Jaffrabad,Police Stations,2
2020,Jalna,Jalna,Police Stations,6
2020,Jalna,Badnapur,Police Stations,1
2020,Jalna,Ambad,Police Stations,2
2020,Jalna,Ghansawangi,Police Stations,1
2020,Jalna,Partur,Police Stations,2
2020,Jalna,Mantha,Police Stations,1
2021,Jalna,Bhokardan,Police Stations,3
