District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Amravati,2017,Labor Court,,,
Amravati,2017,Public Court,,,
Amravati,2018,Civil Court,1251.0,1189.0,244.0
Amravati,2018,Consumer Forum,,,
Amravati,2018,Criminal Court,753.0,2743.0,3496.0
Amravati,2018,District Magistrate And Executive Magistrate,342.0,1.0,352.0
Amravati,2018,"Family Court
",,,
Amravati,2018,Industrial Court,195.0,,195.0
Amravati,2018,Labor Court,,,
Amravati,2018,Public Court,,,
Amravati,2019,Civil Court,121.0,133.0,2243.0
Amravati,2019,Consumer Forum,,,
Amravati,2019,Criminal Court,65.0,133.0,1935.0
Amravati,2019,District Magistrate And Executive Magistrate,24.0,1.0,214.0
Amravati,2019,"Family Court
",,,
Amravati,2019,Industrial Court,81.0,,81.0
Amravati,2019,Labor Court,,,
Amravati,2019,Public Court,,,
Amravati,2020,Civil Court,39.0,61.0,919.0
Amravati,2020,Consumer Forum,,,
Amravati,2020,Criminal Court,186.0,211.0,3196.0
Amravati,2020,District Magistrate And Executive Magistrate,859.0,12.0,871.0
Amravati,2020,"Family Court
",,,
Amravati,2020,Industrial Court,199.0,,199.0
Amravati,2020,Labor Court,,,
Amravati,2020,Public Court,,,
Amravati,2021,Civil Court,1136.0,964.0,21.0
Amravati,2021,Consumer Forum,,,
Amravati,2021,Criminal Court,196.0,2618.0,3714.0
Amravati,2021,District Magistrate And Executive Magistrate,817.0,21.0,838.0
Amravati,2021,"Family Court
",,,
Amravati,2021,Industrial Court,185.0,,185.0
Amravati,2021,Labor Court,,,
Amravati,2021,Public Court,,,
Beed,2013,Civil Court,11.0,1543.0,2643.0
Beed,2013,Consumer Forum,,,
Beed,2013,Criminal Court,622.0,245.0,2667.0
Beed,2013,District Magistrate And Executive Magistrate,,,
Beed,2013,"Family Court
",,,
Beed,2013,Industrial Court,,,
Beed,2013,Labor Court,,,
Beed,2013,Public Court,8.0,47.0,127.0
Beed,2014,Civil Court,1114.0,1775.0,2889.0
Beed,2014,Consumer Forum,,,
Beed,2014,Criminal Court,772.0,1783.0,2555.0
Beed,2014,District Magistrate And Executive Magistrate,,,
Beed,2014,"Family Court
",,,
Beed,2014,Industrial Court,,,
