Year,District,Cases
2020,Bhandara,295
2020,Buldhana,754
2020,Chandrapur,653
2020,Chh. Sambhaji Nagar,1059
2020,Dharashiv,364
2020,Dhule,488
2020,Gadchiroli,187
2020,Gondia,199
2020,Hingoli,224
2020,Jalgaon,826
2020,Jalna,742
2020,Kolhapur,815
2020,Latur,454
2020,Nagpur,1326
2020,Nanded,752
2020,Nandurbar,167
2020,Nashik,1494
2020,Palghar,207
2020,Parbhani,421
2020,Pune,3235
2020,Raigad,270
2020,Ratnagiri,180
2020,Sangli,711
2020,Satara,843
2020,Sindhudurg,102
2020,Solapur,1291
2020,Thane,3201
2020,Wardha,481
2020,Washim,457
2020,Yavatmal,740
2021,Ahilyanagar,1936
2021,Akola,731
2021,Amravati,1324
2021,Beed,1163
2021,Bhandara,275
2021,Buldhana,899
2021,Chandrapur,752
2021,Chh. Sambhaji Nagar,1419
2021,Dharashiv,491
2021,Dhule,621
2021,Gadchiroli,210
2021,Gondia,310
2021,Hingoli,317
2021,Jalgaon,1173
2021,Jalna,1002
2021,Kolhapur,952
2021,Latur,673
2021,Nagpur,1539
2021,Nanded,772
2021,Nandurbar,257
2021,Nashik,1569
2021,Palghar,246
2021,Parbhani,521
2021,Pune,4100
2021,Raigad,318
2021,Ratnagiri,221
2021,Sangli,762
2021,Satara,921
2021,Sindhudurg,132
2021,Solapur,1562
2021,Thane,4947
2021,Wardha,413
2021,Washim,468
2021,Yavatmal,931
